glyph,unicode,leaf,line,band,category,x,y,w,h,notes
H,0048,464,96pt,4,cap,536,1670,391,464,"survey #27, 'HOME'"
O,004F,464,96pt,4,cap,947,1666,367,479,"survey #28, 'HOME'"
M,004D,464,96pt,4,cap,1330,1673,406,462,"survey #29, 'HOME'"
E,0045,464,96pt,4,cap,1757,1673,334,461,"survey #30, 'HOME'"
H.96pt,,464,96pt,5,cap,220,2205,392,464,"survey #31, 'Hot 8 Air'"
o,006F,464,96pt,5,lower,633,2342,273,332,"survey #32, 'Hot 8 Air'"
t,0074,464,96pt,5,lower,925,2245,218,428,"survey #33, 'Hot 8 Air'"
eight,0038,464,96pt,5,figure,1213,2203,317,477,"survey #34, 'Hot 8 Air'"
A,0041,464,96pt,5,cap,1577,2207,408,460,"survey #35, 'Hot 8 Air'"
i,0069,464,96pt,5,lower,1992,2222,156,446,"survey #36, 'Hot 8 Air'"
r,0072,464,96pt,5,lower,2169,2339,252,329,"survey #37, 'Hot 8 Air'"
M.72pt,,464,72pt,2,cap,472,729,300,350,"survey #13, 'MARKET'"
A.72pt,,464,72pt,2,cap,778,730,302,351,"survey #14, 'MARKET'"
R,0052,464,72pt,2,cap,1088,730,269,351,"survey #15, 'MARKET'"
K,004B,464,72pt,2,cap,1367,730,299,350,"survey #16, 'MARKET'"
E.72pt,,464,72pt,2,cap,1675,731,245,350,"survey #17, 'MARKET'"
T,0054,464,72pt,2,cap,1927,731,243,351,"survey #18, 'MARKET'"
N,004E,464,72pt,3,cap,216,1130,280,350,"survey #19, 'New 2 Road'"
e,0065,464,72pt,3,lower,506,1230,197,253,"survey #20, 'New 2 Road'"
w,0077,464,72pt,3,lower,706,1233,324,246,"survey #21, 'New 2 Road'"
two,0032,464,72pt,3,figure,1164,1127,226,355,"survey #22, 'New 2 Road'"
R.72pt,,464,72pt,3,cap,1528,1131,268,352,"survey #23, 'New 2 Road'"
o.72pt,,464,72pt,3,lower,1805,1231,189,253,"survey #24, 'New 2 Road'"
a,0061,464,72pt,3,lower,2001,1231,203,253,"survey #25, 'New 2 Road'"
d,0064,464,72pt,3,lower,2210,1131,209,353,"survey #26, 'New 2 Road'"
H.60pt,,463,60pt,8,cap,367,2945,237,293,"survey #80, 'HIGH RENT'"
I,0049,463,60pt,8,cap,618,2947,109,291,"survey #81, 'HIGH RENT'"
G,0047,463,60pt,8,cap,744,2947,203,292,"survey #82, 'HIGH RENT'"
H.60pt_2,,463,60pt,8,cap,959,2946,238,292,"survey #83, 'HIGH RENT'"
R.60pt,,463,60pt,8,cap,1278,2947,224,291,"survey #84, 'HIGH RENT'"
E.60pt,,463,60pt,8,cap,1508,2947,206,292,"survey #85, 'HIGH RENT'"
N.60pt,,463,60pt,8,cap,1729,2947,222,291,"survey #86, 'HIGH RENT'"
T.60pt,,463,60pt,8,cap,1968,2947,194,292,"survey #87, 'HIGH RENT'"
C,0043,463,60pt,9,cap,179,3285,180,296,"survey #88, 'Cheap 8 Board'"
h,0068,463,60pt,9,lower,371,3285,194,293,"survey #89, 'Cheap 8 Board'"
e.60pt,,463,60pt,9,lower,576,3368,165,213,"survey #90, 'Cheap 8 Board'"
a.60pt,,463,60pt,9,lower,749,3368,171,214,"survey #91, 'Cheap 8 Board'"
