glyph,unicode,leaf,line,band,category,x,y,w,h,notes
N,004E,467,120pt,6,cap,151,2965,269,568,"survey #66, 'Nine 9 Hurt'"
i,0069,467,120pt,6,lower,431,2967,124,569,"survey #67, 'Nine 9 Hurt'"
n,006E,467,120pt,6,lower,561,3141,241,395,"survey #68, 'Nine 9 Hurt'"
e,0065,467,120pt,6,lower,806,3139,210,399,"survey #69, 'Nine 9 Hurt'"
nine,0039,467,120pt,6,figure,1090,2964,268,577,"survey #70, 'Nine 9 Hurt'"
H,0048,467,120pt,6,cap,1428,2964,282,568,"survey #71, 'Nine 9 Hurt'"
u,0075,467,120pt,6,lower,1715,3139,241,395,"survey #72, 'Nine 9 Hurt'"
r,0072,467,120pt,6,lower,1964,3134,183,397,"survey #73, 'Nine 9 Hurt'"
t,0074,467,120pt,6,lower,2148,3027,188,506,"survey #74, 'Nine 9 Hurt'"
D,0044,467,96pt,4,cap,490,1743,223,458,"survey #47, 'DECISION'"
E,0045,467,96pt,4,cap,722,1743,202,460,"survey #48, 'DECISION'"
C,0043,467,96pt,4,cap,926,1742,206,464,"survey #49, 'DECISION'"
I,0049,467,96pt,4,cap,1132,1741,112,459,"survey #50, 'DECISION'"
S,0053,467,96pt,4,cap,1247,1737,190,468,"survey #51, 'DECISION'"
I.96pt,,467,96pt,4,cap,1437,1740,112,459,"survey #52, 'DECISION'"
O,004F,467,96pt,4,cap,1555,1737,209,466,"survey #53, 'DECISION'"
N.96pt,,467,96pt,4,cap,1771,1738,218,459,"survey #54, 'DECISION'"
M,004D,467,96pt,5,cap,149,2272,256,459,"survey #55, 'Motor 5 Broke'"
o,006F,467,96pt,5,lower,408,2408,167,327,"survey #56, 'Motor 5 Broke'"
t.96pt,,467,96pt,5,lower,580,2324,154,410,"survey #57, 'Motor 5 Broke'"
o.96pt,,467,96pt,5,lower,736,2407,167,327,"survey #58, 'Motor 5 Broke'"
r.96pt,,467,96pt,5,lower,912,2409,148,323,"survey #59, 'Motor 5 Broke'"
five,0035,467,96pt,5,figure,1133,2271,198,465,"survey #60, 'Motor 5 Broke'"
B,0042,467,96pt,5,cap,1417,2272,209,457,"survey #61, 'Motor 5 Broke'"
r.96pt_2,,467,96pt,5,lower,1637,2406,148,323,"survey #62, 'Motor 5 Broke'"
o.96pt_2,,467,96pt,5,lower,1790,2403,167,327,"survey #63, 'Motor 5 Broke'"
k,006B,467,96pt,5,lower,1966,2270,193,457,"survey #64, 'Motor 5 Broke'"
e.96pt,,467,96pt,5,lower,2166,2403,167,325,"survey #65, 'Motor 5 Broke'"
S.60pt,,466,60pt,8,cap,606,2963,118,298,"survey #135, 'STATE BOARD'"
T,0054,466,60pt,8,cap,723,2964,129,294,"survey #136, 'STATE BOARD'"
A,0041,466,60pt,8,cap,851,2964,142,293,"survey #137, 'STATE BOARD'"
T.60pt,,466,60pt,8,cap,991,2963,129,294,"survey #138, 'STATE BOARD'"
E.60pt,,466,60pt,8,cap,1118,2963,126,293,"survey #139, 'STATE BOARD'"
B.60pt,,466,60pt,8,cap,1357,2961,131,295,"survey #140, 'STATE BOARD'"
O.60pt,,466,60pt,8,cap,1493,2961,130,298,"survey #141, 'STATE BOARD'"
A.60pt,,466,60pt,8,cap,1626,2962,142,294,"survey #142, 'STATE BOARD'"
R,0052,466,60pt,8,cap,1767,2962,141,294,"survey #143, 'STATE BOARD'"
D.60pt,,466,60pt,8,cap,1906,2961,138,294,"survey #144, 'STATE BOARD'"
G,0047,466,60pt,9,cap,229,3309,135,292,"survey #145, 'Governors 3 Examined'"
o.60pt,,466,60pt,9,lower,364,3391,101,213,"survey #146, 'Governors 3 Examined'"
v,0076,466,60pt,9,lower,465,3394,122,208,"survey #147, 'Governors 3 Examined'"
e.60pt,,466,60pt,9,lower,586,3392,103,213,"survey #148, 'Governors 3 Examined'"
r.60pt,,466,60pt,9,lower,689,3392,90,210,"survey #149, 'Governors 3 Examined'"
n.60pt,,466,60pt,9,lower,780,3391,117,210,"survey #150, 'Governors 3 Examined'"
o.60pt_2,,466,60pt,9,lower,897,3390,101,213,"survey #151, 'Governors 3 Examined'"
r.60pt_2,,466,60pt,9,lower,999,3390,90,211,"survey #152, 'Governors 3 Examined'"
s,0073,466,60pt,9,lower,1088,3390,89,212,"survey #153, 'Governors 3 Examined'"
