glyph,unicode,leaf,line,band,category,x,y,w,h,notes
B,0042,537,72pt,9,cap,178,3255,272,347,"survey #47, 'Bank 9 [Slide]'"
a,0061,537,72pt,9,lower,450,3359,218,247,"survey #48, 'Bank 9 [Slide]'"
n,006E,537,72pt,9,lower,673,3356,221,249,"survey #49, 'Bank 9 [Slide]'"
k,006B,537,72pt,9,lower,909,3253,223,350,"survey #50, 'Bank 9 [Slide]'"
nine,0039,537,72pt,9,figure,1215,3249,208,352,"survey #51, 'Bank 9 [Slide]'"
a.60pt,,537,60pt,7,lower,567,2512,186,211,"survey #41, '[Sh]a[de] 8 [Co][rds]'"
eight,0038,537,60pt,7,figure,1204,2421,193,299,"survey #43, '[Sh]a[de] 8 [Co][rds]'"
S,0053,537,54pt,4,cap,1985,1381,197,273,"survey #27, '[CONSUMER]S'"
e,0065,537,54pt,5,lower,902,1763,151,195,"survey #30, '[Ma][rk]et 5 [Re][po]rt'"
t,0074,537,54pt,5,lower,1057,1717,106,240,"survey #31, '[Ma][rk]et 5 [Re][po]rt'"
five,0035,537,54pt,5,figure,1229,1683,157,274,"survey #32, '[Ma][rk]et 5 [Re][po]rt'"
r,0072,537,54pt,5,lower,1989,1758,147,195,"survey #35, '[Ma][rk]et 5 [Re][po]rt'"
t.54pt,,537,54pt,5,lower,2142,1714,241,239,"survey #36, '[Ma][rk]et 5 [Re][po]rt'"
S.48pt,,537,48pt,2,cap,340,733,173,246,"survey #11, 'S[UB][UR][BA][NITE]'"
D,0044,537,48pt,3,cap,174,999,193,244,"survey #16, 'D[es][er]ts 6 [Co]un[try]'"
t.48pt,,537,48pt,3,lower,628,1065,133,179,"survey #19, 'D[es][er]ts 6 [Co]un[try]'"
s,0073,537,48pt,3,lower,760,1024,332,219,"survey #20, 'D[es][er]ts 6 [Co]un[try]'"
six,0036,537,48pt,3,figure,1167,996,136,246,"survey #21, 'D[es][er]ts 6 [Co]un[try]'"
u,0075,537,48pt,3,lower,1663,1065,148,178,"survey #23, 'D[es][er]ts 6 [Co]un[try]'"
n.48pt,,537,48pt,3,lower,1811,1063,153,179,"survey #24, 'D[es][er]ts 6 [Co]un[try]'"
s.42pt,,536,42pt,10,lower,446,3411,111,165,"survey #98, '[Re]s[ide]nt 4 [Me]mbe[rs]'"
n.42pt,,536,42pt,10,lower,889,3411,138,164,"survey #100, '[Re]s[ide]nt 4 [Me]mbe[rs]'"
t.42pt,,536,42pt,10,lower,1034,3374,88,201,"survey #101, '[Re]s[ide]nt 4 [Me]mbe[rs]'"
four,0034,536,42pt,10,figure,1160,3351,145,222,"survey #102, '[Re]s[ide]nt 4 [Me]mbe[rs]'"
m,006D,536,42pt,10,lower,1682,3409,208,163,"survey #104, '[Re]s[ide]nt 4 [Me]mbe[rs]'"
b,0062,536,42pt,10,lower,1892,3348,135,224,"survey #105, '[Re]s[ide]nt 4 [Me]mbe[rs]'"
e.42pt,,536,42pt,10,lower,2031,3407,123,165,"survey #106, '[Re]s[ide]nt 4 [Me]mbe[rs]'"
L,004C,536,36pt,7,cap,411,2571,123,195,"survey #76, 'L[OND][ON] [BRID][GE]'"
o,006F,536,36pt,8,lower,789,2839,103,146,"survey #83, '[Ch][ildh]ood 3 Re[cre]at[io]n'"
o.36pt,,536,36pt,8,lower,896,2839,102,146,"survey #84, '[Ch][ildh]ood 3 Re[cre]at[io]n'"
d,0064,536,36pt,8,lower,1006,2786,131,199,"survey #85, '[Ch][ildh]ood 3 Re[cre]at[io]n'"
three,0033,536,36pt,8,figure,1200,2785,111,198,"survey #86, '[Ch][ildh]ood 3 Re[cre]at[io]n'"
R,0052,536,36pt,8,cap,1356,2788,144,197,"survey #87, '[Ch][ildh]ood 3 Re[cre]at[io]n'"
e.36pt,,536,36pt,8,lower,1498,2838,104,146,"survey #88, '[Ch][ildh]ood 3 Re[cre]at[io]n'"
a.36pt,,536,36pt,8,lower,1897,2837,115,146,"survey #90, '[Ch][ildh]ood 3 Re[cre]at[io]n'"
t.36pt,,536,36pt,8,lower,2016,2807,75,177,"survey #91, '[Ch][ildh]ood 3 Re[cre]at[io]n'"
n.36pt,,536,36pt,8,lower,2255,2837,117,146,"survey #93, '[Ch][ildh]ood 3 Re[cre]at[io]n'"
B.30pt,,536,30pt,5,cap,335,2103,117,168,"survey #53, 'B[UIL][DING] [INSPECTORS]'"
