glyph,unicode,leaf,line,band,category,x,y,w,h,notes
D,0044,469,60pt,8,cap,344,2950,419,294,"survey #56, 'DRUM'"
R,0052,469,60pt,8,cap,781,2951,410,294,"survey #57, 'DRUM'"
U,0055,469,60pt,8,cap,1197,2950,410,301,"survey #58, 'DRUM'"
M,004D,469,60pt,8,cap,1615,2951,468,292,"survey #59, 'DRUM'"
B,0042,469,60pt,9,cap,128,3275,400,298,"survey #60, 'Bender 9'"
e,0065,469,60pt,9,lower,540,3361,245,219,"survey #61, 'Bender 9'"
n,006E,469,60pt,9,lower,790,3362,321,212,"survey #62, 'Bender 9'"
d,0064,469,60pt,9,lower,1123,3282,286,298,"survey #63, 'Bender 9'"
e.60pt,,469,60pt,9,lower,1421,3361,244,218,"survey #64, 'Bender 9'"
r,0072,469,60pt,9,lower,1670,3362,223,212,"survey #65, 'Bender 9'"
nine,0039,469,60pt,9,figure,1992,3278,297,302,"survey #66, 'Bender 9'"
C,0043,469,54pt,6,cap,375,2173,338,278,"survey #43, 'CHIME'"
H,0048,469,54pt,6,cap,717,2173,389,272,"survey #44, 'CHIME'"
I,0049,469,54pt,6,cap,1115,2175,141,270,"survey #45, 'CHIME'"
M.54pt,,469,54pt,6,cap,1263,2174,428,272,"survey #46, 'CHIME'"
E,0045,469,54pt,6,cap,1698,2174,358,271,"survey #47, 'CHIME'"
O,004F,469,54pt,7,cap,130,2465,341,283,"survey #48, 'One 8 Tile'"
n.54pt,,469,54pt,7,lower,484,2545,293,199,"survey #49, 'One 8 Tile'"
e.54pt,,469,54pt,7,lower,789,2542,225,204,"survey #50, 'One 8 Tile'"
eight,0038,469,54pt,7,figure,1092,2469,270,281,"survey #51, 'One 8 Tile'"
T,0054,469,54pt,7,cap,1436,2471,345,272,"survey #52, 'One 8 Tile'"
i,0069,469,54pt,7,lower,1787,2470,133,273,"survey #53, 'One 8 Tile'"
l,006C,469,54pt,7,lower,1928,2472,138,271,"survey #54, 'One 8 Tile'"
e.54pt_2,,469,54pt,7,lower,2080,2542,223,203,"survey #55, 'One 8 Tile'"
H.48pt,,469,48pt,4,cap,392,1408,344,244,"survey #29, 'HORDS'"
O.48pt,,469,48pt,4,cap,752,1406,306,254,"survey #30, 'HORDS'"
R.48pt,,469,48pt,4,cap,1071,1408,331,245,"survey #31, 'HORDS'"
D.48pt,,469,48pt,4,cap,1411,1410,339,244,"survey #32, 'HORDS'"
S,0053,469,48pt,4,cap,1758,1409,281,252,"survey #33, 'HORDS'"
G,0047,469,48pt,5,cap,124,1690,321,245,"survey #34, 'Gold 7 Seat'"
o,006F,469,48pt,5,lower,456,1755,219,182,"survey #35, 'Gold 7 Seat'"
l.48pt,,469,48pt,5,lower,682,1690,123,245,"survey #36, 'Gold 7 Seat'"
d.48pt,,469,48pt,5,lower,814,1691,233,249,"survey #37, 'Gold 7 Seat'"
seven,0037,469,48pt,5,figure,1129,1691,241,244,"survey #38, 'Gold 7 Seat'"
S.48pt,,469,48pt,5,cap,1435,1690,281,253,"survey #39, 'Gold 7 Seat'"
e.48pt,,469,48pt,5,lower,1723,1755,198,184,"survey #40, 'Gold 7 Seat'"
a,0061,469,48pt,5,lower,1936,1757,214,184,"survey #41, 'Gold 7 Seat'"
t,0074,469,48pt,5,lower,2153,1713,153,228,"survey #42, 'Gold 7 Seat'"
M.42pt,,469,42pt,2,cap,406,728,337,222,"survey #13, 'MINERS'"
I.42pt,,469,42pt,2,cap,749,728,113,221,"survey #14, 'MINERS'"
N,004E,469,42pt,2,cap,867,728,309,221,"survey #15, 'MINERS'"
E.42pt,,469,42pt,2,cap,1185,729,283,222,"survey #16, 'MINERS'"
R.42pt,,469,42pt,2,cap,1475,730,295,221,"survey #17, 'MINERS'"
S.42pt,,469,42pt,2,cap,1774,730,250,229,"survey #18, 'MINERS'"
B.42pt,,469,42pt,3,cap,122,976,288,223,"survey #19, 'Blind 6 Hero'"
l.42pt,,469,42pt,3,lower,413,976,111,222,"survey #20, 'Blind 6 Hero'"
i.42pt,,469,42pt,3,lower,528,975,106,223,"survey #21, 'Blind 6 Hero'"
n.42pt,,469,42pt,3,lower,640,1034,232,164,"survey #22, 'Blind 6 Hero'"
d.42pt,,469,42pt,3,lower,880,976,208,226,"survey #23, 'Blind 6 Hero'"
six,0036,469,42pt,3,figure,1158,976,222,229,"survey #24, 'Blind 6 Hero'"
H.42pt,,469,42pt,3,cap,1457,978,306,222,"survey #25, 'Blind 6 Hero'"
e.42pt,,469,42pt,3,lower,1768,1035,177,169,"survey #26, 'Blind 6 Hero'"
r.42pt,,469,42pt,3,lower,1947,1038,162,164,"survey #27, 'Blind 6 Hero'"
o.42pt,,469,42pt,3,lower,2111,1037,193,167,"survey #28, 'Blind 6 Hero'"
D.36pt,,468,36pt,5,cap,483,3213,259,195,"survey #47, 'DIAMOND'"
I.36pt,,468,36pt,5,cap,750,3213,98,194,"survey #48, 'DIAMOND'"
A,0041,468,36pt,5,cap,849,3213,279,195,"survey #49, 'DIAMOND'"
M.36pt,,468,36pt,5,cap,1129,3213,289,195,"survey #50, 'DIAMOND'"
O.36pt,,468,36pt,5,cap,1423,3210,233,202,"survey #51, 'DIAMOND'"
N.36pt,,468,36pt,5,cap,1653,3197,274,210,"survey #52, 'DIAMOND'"
D.36pt_2,,468,36pt,5,cap,1928,3211,259,195,"survey #53, 'DIAMOND'"
B.36pt,,468,36pt,6,cap,234,3412,250,194,"survey #54, 'Bands 5 Taken'"
a.36pt,,468,36pt,6,lower,493,3462,163,147,"survey #55, 'Bands 5 Taken'"
n.36pt,,468,36pt,6,lower,657,3463,198,145,"survey #56, 'Bands 5 Taken'"
d.36pt,,468,36pt,6,lower,859,3414,177,197,"survey #57, 'Bands 5 Taken'"
s,0073,468,36pt,6,lower,1040,3463,133,150,"survey #58, 'Bands 5 Taken'"
five,0035,468,36pt,6,figure,1235,3414,190,198,"survey #59, 'Bands 5 Taken'"
T.36pt,,468,36pt,6,cap,1487,3412,234,195,"survey #60, 'Bands 5 Taken'"
a.36pt_2,,468,36pt,6,lower,1725,3460,163,149,"survey #61, 'Bands 5 Taken'"
k,006B,468,36pt,6,lower,1888,3411,196,193,"survey #62, 'Bands 5 Taken'"
e.36pt,,468,36pt,6,lower,2085,3458,152,149,"survey #63, 'Bands 5 Taken'"
n.36pt_2,,468,36pt,6,lower,2240,3458,197,146,"survey #64, 'Bands 5 Taken'"
M.30pt,,468,30pt,3,cap,532,2712,240,168,"survey #24, 'MONSTERS'"
O.30pt,,468,30pt,3,cap,777,2710,193,173,"survey #25, 'MONSTERS'"
N.30pt,,468,30pt,3,cap,975,2713,217,167,"survey #26, 'MONSTERS'"
S.30pt,,468,30pt,3,cap,1188,2710,178,173,"survey #27, 'MONSTERS'"
T.30pt,,468,30pt,3,cap,1363,2712,194,167,"survey #28, 'MONSTERS'"
E.30pt,,468,30pt,3,cap,1558,2711,201,167,"survey #29, 'MONSTERS'"
R.30pt,,468,30pt,3,cap,1764,2711,208,167,"survey #30, 'MONSTERS'"
