glyph,unicode,leaf,line,band,category,x,y,w,h,notes
C,0043,444,72pt,2,cap,484,716,177,355,"survey #14, 'CONTINUED'"
O,004F,444,72pt,2,cap,671,711,185,359,"survey #15, 'CONTINUED'"
N,004E,444,72pt,2,cap,867,712,209,352,"survey #16, 'CONTINUED'"
T,0054,444,72pt,2,cap,1077,712,181,353,"survey #17, 'CONTINUED'"
I,0049,444,72pt,2,cap,1261,712,103,353,"survey #18, 'CONTINUED'"
N.72pt,,444,72pt,2,cap,1368,713,209,353,"survey #19, 'CONTINUED'"
U,0055,444,72pt,2,cap,1577,714,207,356,"survey #20, 'CONTINUED'"
E,0045,444,72pt,2,cap,1788,714,186,352,"survey #21, 'CONTINUED'"
D,0044,444,72pt,2,cap,1978,714,201,351,"survey #22, 'CONTINUED'"
R,0052,444,72pt,3,cap,225,1129,215,355,"survey #23, 'Ruinous 3 Habit'"
u,0075,444,72pt,3,lower,443,1239,175,245,"survey #24, 'Ruinous 3 Habit'"
i,0069,444,72pt,3,lower,620,1155,93,328,"survey #25, 'Ruinous 3 Habit'"
n,006E,444,72pt,3,lower,717,1234,179,249,"survey #26, 'Ruinous 3 Habit'"
o,006F,444,72pt,3,lower,899,1236,150,250,"survey #27, 'Ruinous 3 Habit'"
u.72pt,,444,72pt,3,lower,1056,1239,175,246,"survey #28, 'Ruinous 3 Habit'"
s,0073,444,72pt,3,lower,1239,1237,126,250,"survey #29, 'Ruinous 3 Habit'"
three,0033,444,72pt,3,figure,1434,1130,175,360,"survey #30, 'Ruinous 3 Habit'"
H,0048,444,72pt,3,cap,1673,1131,216,353,"survey #31, 'Ruinous 3 Habit'"
a,0061,444,72pt,3,lower,1891,1239,151,247,"survey #32, 'Ruinous 3 Habit'"
b,0062,444,72pt,3,lower,2038,1132,164,354,"survey #33, 'Ruinous 3 Habit'"
i.72pt,,444,72pt,3,lower,2206,1155,94,328,"survey #34, 'Ruinous 3 Habit'"
t,0074,444,72pt,3,lower,2303,1167,132,318,"survey #35, 'Ruinous 3 Habit'"
H.60pt,,443,60pt,8,cap,354,2913,177,295,"survey #114, 'HUNTER SHOT'"
U.60pt,,443,60pt,8,cap,534,2915,171,295,"survey #115, 'HUNTER SHOT'"
N.60pt,,443,60pt,8,cap,707,2915,174,293,"survey #116, 'HUNTER SHOT'"
T.60pt,,443,60pt,8,cap,883,2915,150,294,"survey #117, 'HUNTER SHOT'"
E.60pt,,443,60pt,8,cap,1042,2915,154,293,"survey #118, 'HUNTER SHOT'"
R.60pt,,443,60pt,8,cap,1200,2914,179,294,"survey #119, 'HUNTER SHOT'"
S,0053,443,60pt,8,cap,1486,2913,139,295,"survey #120, 'HUNTER SHOT'"
H.60pt_2,,443,60pt,8,cap,1633,2912,178,293,"survey #121, 'HUNTER SHOT'"
O.60pt,,443,60pt,8,cap,1820,2910,153,298,"survey #122, 'HUNTER SHOT'"
T.60pt_2,,443,60pt,8,cap,1982,2912,149,293,"survey #123, 'HUNTER SHOT'"
G,0047,443,60pt,9,cap,162,3240,159,293,"survey #124, 'Ground 9 Hog Dead'"
r,0072,443,60pt,9,lower,326,3328,112,207,"survey #125, 'Ground 9 Hog Dead'"
o.60pt,,443,60pt,9,lower,445,3328,126,212,"survey #126, 'Ground 9 Hog Dead'"
u.60pt,,443,60pt,9,lower,577,3331,147,207,"survey #127, 'Ground 9 Hog Dead'"
n.60pt,,443,60pt,9,lower,726,3330,147,208,"survey #128, 'Ground 9 Hog Dead'"
d,0064,443,60pt,9,lower,875,3245,137,296,"survey #129, 'Ground 9 Hog Dead'"
nine,0039,443,60pt,9,figure,1064,3242,150,298,"survey #130, 'Ground 9 Hog Dead'"
H.60pt_3,,443,60pt,9,cap,1272,3244,178,293,"survey #131, 'Ground 9 Hog Dead'"
o.60pt_2,,443,60pt,9,lower,1457,3327,128,212,"survey #132, 'Ground 9 Hog Dead'"
g,0067,443,60pt,9,lower,1591,3308,126,284,"survey #133, 'Ground 9 Hog Dead'"
D.60pt,,443,60pt,9,cap,1770,3242,168,292,"survey #134, 'Ground 9 Hog Dead'"
e,0065,443,60pt,9,lower,1944,3327,116,211,"survey #135, 'Ground 9 Hog Dead'"
a.60pt,,443,60pt,9,lower,2066,3327,127,209,"survey #136, 'Ground 9 Hog Dead'"
d.60pt,,443,60pt,9,lower,2196,3241,135,351,"survey #137, 'Ground 9 Hog Dead'"
R.54pt,,443,54pt,6,cap,314,2119,161,272,"survey #83, 'RUNNING HORSE'"
U.54pt,,443,54pt,6,cap,471,2120,156,273,"survey #84, 'RUNNING HORSE'"
N.54pt,,443,54pt,6,cap,628,2120,158,272,"survey #85, 'RUNNING HORSE'"
N.54pt_2,,443,54pt,6,cap,788,2120,159,272,"survey #86, 'RUNNING HORSE'"
I.54pt,,443,54pt,6,cap,947,2120,78,272,"survey #87, 'RUNNING HORSE'"
N.54pt_3,,443,54pt,6,cap,1025,2119,159,272,"survey #88, 'RUNNING HORSE'"
G.54pt,,443,54pt,6,cap,1187,2119,147,271,"survey #89, 'RUNNING HORSE'"
