glyph,unicode,leaf,line,band,category,x,y,w,h,notes
L,004C,213,72pt,7,cap,92,3185,153,411,"survey #129, 'LARGE 7 ESTATE'"
A,0041,213,72pt,7,cap,246,3189,183,413,"survey #130, 'LARGE 7 ESTATE'"
R,0052,213,72pt,7,cap,428,3194,199,414,"survey #131, 'LARGE 7 ESTATE'"
G,0047,213,72pt,7,cap,628,3195,170,414,"survey #132, 'LARGE 7 ESTATE'"
E,0045,213,72pt,7,cap,797,3196,159,410,"survey #133, 'LARGE 7 ESTATE'"
seven,0037,213,72pt,7,figure,1019,3196,131,411,"survey #134, 'LARGE 7 ESTATE'"
E.72pt,,213,72pt,7,cap,1210,3196,159,410,"survey #135, 'LARGE 7 ESTATE'"
S,0053,213,72pt,7,cap,1374,3195,157,413,"survey #136, 'LARGE 7 ESTATE'"
T,0054,213,72pt,7,cap,1533,3195,191,409,"survey #137, 'LARGE 7 ESTATE'"
A.72pt,,213,72pt,7,cap,1727,3193,189,412,"survey #138, 'LARGE 7 ESTATE'"
T.72pt,,213,72pt,7,cap,1918,3195,191,409,"survey #139, 'LARGE 7 ESTATE'"
E.72pt_2,,213,72pt,7,cap,2110,3195,159,409,"survey #140, 'LARGE 7 ESTATE'"
L.60pt,,213,60pt,6,cap,87,2702,129,365,"survey #115, 'LOW PRICE 5 LANDS'"
O,004F,213,60pt,6,cap,213,2703,111,362,"survey #116, 'LOW PRICE 5 LANDS'"
W,0057,213,60pt,6,cap,324,2707,190,355,"survey #117, 'LOW PRICE 5 LANDS'"
P,0050,213,60pt,6,cap,623,2709,128,356,"survey #118, 'LOW PRICE 5 LANDS'"
R.60pt,,213,60pt,6,cap,756,2709,155,359,"survey #119, 'LOW PRICE 5 LANDS'"
I,0049,213,60pt,6,cap,909,2710,89,355,"survey #120, 'LOW PRICE 5 LANDS'"
C,0043,213,60pt,6,cap,998,2708,111,363,"survey #121, 'LOW PRICE 5 LANDS'"
