glyph,unicode,leaf,line,band,category,x,y,w,h,notes
P,0050,413,60pt,4,cap,485,1460,214,304,"survey #30, 'PRINTER'"
R,0052,413,60pt,4,cap,729,1463,213,309,"survey #31, 'PRINTER'"
I,0049,413,60pt,4,cap,970,1464,62,301,"survey #32, 'PRINTER'"
N,004E,413,60pt,4,cap,1076,1463,237,303,"survey #33, 'PRINTER'"
T,0054,413,60pt,4,cap,1341,1465,215,301,"survey #34, 'PRINTER'"
E,0045,413,60pt,4,cap,1588,1465,180,301,"survey #35, 'PRINTER'"
R.60pt,,413,60pt,4,cap,1805,1465,213,308,"survey #36, 'PRINTER'"
B,0042,413,60pt,5,cap,167,1825,210,302,"survey #37, 'Blank 3 Card'"
l,006C,413,60pt,5,lower,405,1829,59,300,"survey #38, 'Blank 3 Card'"
a,0061,413,60pt,5,lower,492,1898,180,230,"survey #39, 'Blank 3 Card'"
n,006E,413,60pt,5,lower,708,1896,191,233,"survey #40, 'Blank 3 Card'"
k,006B,413,60pt,5,lower,940,1830,189,301,"survey #41, 'Blank 3 Card'"
three,0033,413,60pt,5,figure,1211,1828,196,304,"survey #42, 'Blank 3 Card'"
C,0043,413,60pt,5,cap,1490,1828,239,304,"survey #43, 'Blank 3 Card'"
a.60pt,,413,60pt,5,lower,1743,1900,179,230,"survey #44, 'Blank 3 Card'"
r,0072,413,60pt,5,lower,1960,1898,157,233,"survey #45, 'Blank 3 Card'"
d,0064,413,60pt,5,lower,2128,1832,190,300,"survey #46, 'Blank 3 Card'"
E.48pt,,413,48pt,2,cap,461,726,135,246,"survey #9, 'ENORMOUS'"
N.48pt,,413,48pt,2,cap,627,726,187,246,"survey #10, 'ENORMOUS'"
O,004F,413,48pt,2,cap,837,725,192,249,"survey #11, 'ENORMOUS'"
R.48pt,,413,48pt,2,cap,1052,727,170,252,"survey #12, 'ENORMOUS'"
M,004D,413,48pt,2,cap,1241,728,215,251,"survey #13, 'ENORMOUS'"
O.48pt,,413,48pt,2,cap,1477,728,192,248,"survey #14, 'ENORMOUS'"
U,0055,413,48pt,2,cap,1689,730,172,248,"survey #15, 'ENORMOUS'"
S,0053,413,48pt,2,cap,1882,730,157,247,"survey #16, 'ENORMOUS'"
C.48pt,,413,48pt,3,cap,157,1023,191,248,"survey #17, 'Copper 9 Mining'"
o,006F,413,48pt,3,lower,358,1080,151,219,"survey #18, 'Copper 9 Mining'"
p,0070,413,48pt,3,lower,527,1083,152,239,"survey #19, 'Copper 9 Mining'"
p.48pt,,413,48pt,3,lower,698,1083,151,239,"survey #20, 'Copper 9 Mining'"
e,0065,413,48pt,3,lower,861,1085,120,189,"survey #21, 'Copper 9 Mining'"
r.48pt,,413,48pt,3,lower,1001,1080,127,192,"survey #22, 'Copper 9 Mining'"
nine,0039,413,48pt,3,figure,1200,1028,154,246,"survey #23, 'Copper 9 Mining'"
M.48pt,,413,48pt,3,cap,1443,1027,215,251,"survey #24, 'Copper 9 Mining'"
i,0069,413,48pt,3,lower,1688,1030,48,244,"survey #25, 'Copper 9 Mining'"
n.48pt,,413,48pt,3,lower,1763,1083,152,191,"survey #26, 'Copper 9 Mining'"
i.48pt,,413,48pt,3,lower,1942,1030,49,245,"survey #27, 'Copper 9 Mining'"
n.48pt_2,,413,48pt,3,lower,2017,1084,151,192,"survey #28, 'Copper 9 Mining'"
g,0067,413,48pt,3,lower,2182,1073,156,248,"survey #29, 'Copper 9 Mining'"
M.36pt,,412,36pt,5,cap,508,3193,167,204,"survey #68, 'MODEL MAKER'"
