glyph,unicode,leaf,line,band,category,x,y,w,h,notes
K,004B,533,72pt,6,cap,346,2745,270,348,"survey #63, 'KINGFISH'"
I,0049,533,72pt,6,cap,617,2745,129,348,"survey #64, 'KINGFISH'"
N,004E,533,72pt,6,cap,753,2744,265,357,"survey #65, 'KINGFISH'"
G,0047,533,72pt,6,cap,1024,2739,232,360,"survey #66, 'KINGFISH'"
F,0046,533,72pt,6,cap,1259,2742,226,349,"survey #67, 'KINGFISH'"
I.72pt,,533,72pt,6,cap,1491,2742,129,347,"survey #68, 'KINGFISH'"
S,0053,533,72pt,6,cap,1636,2737,193,358,"survey #69, 'KINGFISH'"
H,0048,533,72pt,6,cap,1833,2740,273,349,"survey #70, 'KINGFISH'"
M,004D,533,72pt,7,cap,123,3207,308,349,"survey #71, 'Miller 7 Dead'"
i,0069,533,72pt,7,lower,437,3213,113,342,"survey #72, 'Miller 7 Dead'"
l,006C,533,72pt,7,lower,553,3209,113,346,"survey #73, 'Miller 7 Dead'"
l.72pt,,533,72pt,7,lower,670,3208,112,346,"survey #74, 'Miller 7 Dead'"
e,0065,533,72pt,7,lower,788,3304,174,256,"survey #75, 'Miller 7 Dead'"
r,0072,533,72pt,7,lower,968,3302,161,253,"survey #76, 'Miller 7 Dead'"
seven,0037,533,72pt,7,figure,1217,3205,179,348,"survey #77, 'Miller 7 Dead'"
D,0044,533,72pt,7,cap,1476,3205,245,347,"survey #78, 'Miller 7 Dead'"
e.72pt,,533,72pt,7,lower,1731,3301,174,257,"survey #79, 'Miller 7 Dead'"
a,0061,533,72pt,7,lower,1914,3301,188,258,"survey #80, 'Miller 7 Dead'"
d,0064,533,72pt,7,lower,2104,3205,204,353,"survey #81, 'Miller 7 Dead'"
D.60pt,,533,60pt,4,cap,307,1742,209,295,"survey #41, 'DEPOSITION'"
E,0045,533,60pt,4,cap,520,1741,192,296,"survey #42, 'DEPOSITION'"
P,0050,533,60pt,4,cap,721,1742,184,295,"survey #43, 'DEPOSITION'"
O,004F,533,60pt,4,cap,908,1738,202,305,"survey #44, 'DEPOSITION'"
S.60pt,,533,60pt,4,cap,1131,1738,166,304,"survey #45, 'DEPOSITION'"
I.60pt,,533,60pt,4,cap,1305,1741,109,294,"survey #46, 'DEPOSITION'"
T,0054,533,60pt,4,cap,1415,1741,189,294,"survey #47, 'DEPOSITION'"
I.60pt_2,,533,60pt,4,cap,1603,1741,110,294,"survey #48, 'DEPOSITION'"
O.60pt,,533,60pt,4,cap,1717,1738,202,304,"survey #49, 'DEPOSITION'"
N.60pt,,533,60pt,4,cap,1925,1741,224,302,"survey #50, 'DEPOSITION'"
R,0052,533,60pt,5,cap,117,2141,207,297,"survey #51, 'Radio 3 Sulpho'"
a.60pt,,533,60pt,5,lower,329,2221,161,219,"survey #52, 'Radio 3 Sulpho'"
d.60pt,,533,60pt,5,lower,491,2141,176,298,"survey #53, 'Radio 3 Sulpho'"
i.60pt,,533,60pt,5,lower,667,2145,98,290,"survey #54, 'Radio 3 Sulpho'"
o,006F,533,60pt,5,lower,768,2220,155,219,"survey #55, 'Radio 3 Sulpho'"
three,0033,533,60pt,5,figure,1035,2139,153,302,"survey #56, 'Radio 3 Sulpho'"
S.60pt_2,,533,60pt,5,cap,1318,2136,166,303,"survey #57, 'Radio 3 Sulpho'"
u,0075,533,60pt,5,lower,1491,2222,192,215,"survey #58, 'Radio 3 Sulpho'"
l.60pt,,533,60pt,5,lower,1682,2139,96,294,"survey #59, 'Radio 3 Sulpho'"
p,0070,533,60pt,5,lower,1780,2217,176,274,"survey #60, 'Radio 3 Sulpho'"
h,0068,533,60pt,5,lower,1959,2139,191,295,"survey #61, 'Radio 3 Sulpho'"
o.60pt,,533,60pt,5,lower,2153,2219,154,219,"survey #62, 'Radio 3 Sulpho'"
C,0043,533,54pt,2,cap,381,820,165,281,"survey #18, 'CONCOURSE'"
O.54pt,,533,54pt,2,cap,552,820,185,280,"survey #19, 'CONCOURSE'"
N.54pt,,533,54pt,2,cap,742,822,204,277,"survey #20, 'CONCOURSE'"
C.54pt,,533,54pt,2,cap,952,818,165,282,"survey #21, 'CONCOURSE'"
O.54pt_2,,533,54pt,2,cap,1123,819,185,280,"survey #22, 'CONCOURSE'"
U,0055,533,54pt,2,cap,1313,823,205,276,"survey #23, 'CONCOURSE'"
R.54pt,,533,54pt,2,cap,1519,824,190,273,"survey #24, 'CONCOURSE'"
S.54pt,,533,54pt,2,cap,1714,822,152,279,"survey #25, 'CONCOURSE'"
E.54pt,,533,54pt,2,cap,1872,824,176,272,"survey #26, 'CONCOURSE'"
B,0042,533,54pt,3,cap,117,1190,178,271,"survey #27, 'Boston 2 Gardens'"
o.54pt,,533,54pt,3,lower,301,1261,141,203,"survey #28, 'Boston 2 Gardens'"
s,0073,533,54pt,3,lower,447,1261,124,202,"survey #29, 'Boston 2 Gardens'"
t,0074,533,54pt,3,lower,570,1209,106,255,"survey #30, 'Boston 2 Gardens'"
o.54pt_2,,533,54pt,3,lower,678,1260,141,203,"survey #31, 'Boston 2 Gardens'"
n,006E,533,54pt,3,lower,822,1260,177,199,"survey #32, 'Boston 2 Gardens'"
two,0032,533,54pt,3,figure,1054,1183,142,275,"survey #33, 'Boston 2 Gardens'"
G.54pt,,533,54pt,3,cap,1240,1184,181,281,"survey #34, 'Boston 2 Gardens'"
a.54pt,,533,54pt,3,lower,1433,1260,147,203,"survey #35, 'Boston 2 Gardens'"
r.54pt,,533,54pt,3,lower,1578,1260,125,200,"survey #36, 'Boston 2 Gardens'"
d.54pt,,533,54pt,3,lower,1705,1189,161,274,"survey #37, 'Boston 2 Gardens'"
e.54pt,,533,54pt,3,lower,1867,1260,136,204,"survey #38, 'Boston 2 Gardens'"
n.54pt,,533,54pt,3,lower,2008,1262,175,198,"survey #39, 'Boston 2 Gardens'"
s.54pt,,533,54pt,3,lower,2185,1262,124,202,"survey #40, 'Boston 2 Gardens'"
D.48pt,,532,48pt,10,cap,427,3014,176,245,"survey #175, 'DINE ON BIRD'"
I.48pt,,532,48pt,10,cap,605,3013,93,246,"survey #176, 'DINE ON BIRD'"
N.48pt,,532,48pt,10,cap,703,3013,190,251,"survey #177, 'DINE ON BIRD'"
E.48pt,,532,48pt,10,cap,898,3013,162,247,"survey #178, 'DINE ON BIRD'"
O.48pt,,532,48pt,10,cap,1145,3010,171,253,"survey #179, 'DINE ON BIRD'"
N.48pt_2,,532,48pt,10,cap,1323,3012,191,251,"survey #180, 'DINE ON BIRD'"
B.48pt,,532,48pt,10,cap,1593,3012,166,245,"survey #181, 'DINE ON BIRD'"
I.48pt_2,,532,48pt,10,cap,1761,3011,93,245,"survey #182, 'DINE ON BIRD'"
R.48pt,,532,48pt,10,cap,1858,3010,175,248,"survey #183, 'DINE ON BIRD'"
D.48pt_2,,532,48pt,10,cap,2033,3011,176,246,"survey #184, 'DINE ON BIRD'"
F.48pt,,532,48pt,11,cap,214,3280,162,245,"survey #185, 'F[av]ored 4 Turkeys'"
o.48pt,,532,48pt,11,lower,667,3310,129,220,"survey #187, 'F[av]ored 4 Turkeys'"
r.48pt,,532,48pt,11,lower,801,3344,115,182,"survey #188, 'F[av]ored 4 Turkeys'"
e.48pt,,532,48pt,11,lower,918,3346,126,185,"survey #189, 'F[av]ored 4 Turkeys'"
d.48pt,,532,48pt,11,lower,1052,3279,148,250,"survey #190, 'F[av]ored 4 Turkeys'"
four,0034,532,48pt,11,figure,1240,3274,139,251,"survey #191, 'F[av]ored 4 Turkeys'"
T.48pt,,532,48pt,11,cap,1411,3278,159,245,"survey #192, 'F[av]ored 4 Turkeys'"
u.48pt,,532,48pt,11,lower,1573,3345,161,182,"survey #193, 'F[av]ored 4 Turkeys'"
r.48pt_2,,532,48pt,11,lower,1735,3341,115,182,"survey #194, 'F[av]ored 4 Turkeys'"
k,006B,532,48pt,11,lower,1849,3278,163,245,"survey #195, 'F[av]ored 4 Turkeys'"
e.48pt_2,,532,48pt,11,lower,2013,3343,126,185,"survey #196, 'F[av]ored 4 Turkeys'"
y,0079,532,48pt,11,lower,2141,3345,157,230,"survey #197, 'F[av]ored 4 Turkeys'"
s.48pt,,532,48pt,11,lower,2302,3342,114,229,"survey #198, 'F[av]ored 4 Turkeys'"
D.42pt,,532,42pt,8,cap,379,2384,158,224,"survey #146, 'DEMONS BENCH'"
E.42pt,,532,42pt,8,cap,540,2384,145,224,"survey #147, 'DEMONS BENCH'"
M.42pt,,532,42pt,8,cap,686,2384,198,224,"survey #148, 'DEMONS BENCH'"
