glyph,unicode,leaf,line,band,category,x,y,w,h,notes
O,004F,152,72pt,4,cap,1143,1530,321,366,"survey #36, '[CH]OI[CE]'"
I,0049,152,72pt,4,cap,1464,1537,208,353,"survey #37, '[CH]OI[CE]'"
D,0044,152,72pt,5,cap,269,1931,348,354,"survey #39, 'D[re]ss 3 [Sal]e'"
s,0073,152,72pt,5,lower,939,2071,171,222,"survey #41, 'D[re]ss 3 [Sal]e'"
s.72pt,,152,72pt,5,lower,1110,2071,170,222,"survey #42, 'D[re]ss 3 [Sal]e'"
three,0033,152,72pt,5,figure,1357,1934,246,365,"survey #43, 'D[re]ss 3 [Sal]e'"
e,0065,152,72pt,5,lower,2148,1949,274,350,"survey #45, 'D[re]ss 3 [Sal]e'"
M,004D,152,60pt,2,cap,530,718,346,298,"survey #21, 'MODEST'"
O.60pt,,152,60pt,2,cap,875,721,267,305,"survey #22, 'MODEST'"
D.60pt,,152,60pt,2,cap,1145,721,291,297,"survey #23, 'MODEST'"
E,0045,152,60pt,2,cap,1444,722,268,300,"survey #24, 'MODEST'"
S,0053,152,60pt,2,cap,1723,726,232,307,"survey #25, 'MODEST'"
T,0054,152,60pt,2,cap,2002,719,218,306,"survey #26, 'MODEST'"
r,0072,152,60pt,3,lower,701,1165,124,184,"survey #28, '[Sp]r[in]g 6 [Co][at]s'"
g,0067,152,60pt,3,lower,1084,1119,177,309,"survey #30, '[Sp]r[in]g 6 [Co][at]s'"
six,0036,152,60pt,3,figure,1344,1058,191,306,"survey #31, '[Sp]r[in]g 6 [Co][at]s'"
s.60pt,,152,60pt,3,lower,2201,1125,227,239,"survey #34, '[Sp]r[in]g 6 [Co][at]s'"
O.54pt,,151,54pt,8,cap,999,2964,242,281,"survey #81, '[KIM]ONOS'"
N,004E,151,54pt,8,cap,1237,2965,287,277,"survey #82, '[KIM]ONOS'"
O.54pt_2,,151,54pt,8,cap,1519,2964,241,280,"survey #83, '[KIM]ONOS'"
S.54pt,,151,54pt,8,cap,1768,2965,216,280,"survey #84, '[KIM]ONOS'"
o,006F,151,54pt,9,lower,422,3385,140,178,"survey #86, '[Br]own 5 [Sa]teen'"
w,0077,151,54pt,9,lower,575,3375,198,190,"survey #87, '[Br]own 5 [Sa]teen'"
n,006E,151,54pt,9,lower,782,3386,145,179,"survey #88, '[Br]own 5 [Sa]teen'"
five,0035,151,54pt,9,figure,1033,3283,197,282,"survey #89, '[Br]own 5 [Sa]teen'"
t,0074,151,54pt,9,lower,1681,3340,98,223,"survey #91, '[Br]own 5 [Sa]teen'"
e.54pt,,151,54pt,9,lower,1785,3386,134,178,"survey #92, '[Br]own 5 [Sa]teen'"
e.54pt_2,,151,54pt,9,lower,1926,3387,134,177,"survey #93, '[Br]own 5 [Sa]teen'"
n.54pt,,151,54pt,9,lower,2064,3385,145,178,"survey #94, '[Br]own 5 [Sa]teen'"
E.48pt,,151,48pt,6,cap,392,2163,218,248,"survey #63, 'ELEGANT'"
L,004C,151,48pt,6,cap,605,2166,193,244,"survey #64, 'ELEGANT'"
E.48pt_2,,151,48pt,6,cap,803,2163,220,247,"survey #65, 'ELEGANT'"
G,0047,151,48pt,6,cap,1046,2163,210,253,"survey #66, 'ELEGANT'"
A,0041,151,48pt,6,cap,1255,2163,231,247,"survey #67, 'ELEGANT'"
N.48pt,,151,48pt,6,cap,1497,2166,248,243,"survey #68, 'ELEGANT'"
