glyph,unicode,leaf,line,band,category,x,y,w,h,notes
M,004D,156,72pt,4,cap,480,1540,339,354,"survey #42, 'MASONS'"
A,0041,156,72pt,4,cap,827,1539,332,355,"survey #43, 'MASONS'"
S,0053,156,72pt,4,cap,1159,1537,244,366,"survey #44, 'MASONS'"
O,004F,156,72pt,4,cap,1418,1540,316,362,"survey #45, 'MASONS'"
N,004E,156,72pt,4,cap,1752,1542,294,353,"survey #46, 'MASONS'"
S.72pt,,156,72pt,4,cap,2056,1539,244,365,"survey #47, 'MASONS'"
L,004C,156,72pt,5,cap,293,1942,261,354,"survey #48, 'Long 8 Trail'"
o,006F,156,72pt,5,lower,563,2052,205,247,"survey #49, 'Long 8 Trail'"
n,006E,156,72pt,5,lower,783,2054,240,241,"survey #50, 'Long 8 Trail'"
g,0067,156,72pt,5,lower,1039,2013,190,363,"survey #51, 'Long 8 Trail'"
eight,0038,156,72pt,5,figure,1320,1957,194,343,"survey #52, 'Long 8 Trail'"
T,0054,156,72pt,5,cap,1606,1935,291,363,"survey #53, 'Long 8 Trail'"
r,0072,156,72pt,5,lower,1906,2051,160,244,"survey #54, 'Long 8 Trail'"
a,0061,156,72pt,5,lower,2075,2052,187,248,"survey #55, 'Long 8 Trail'"
i,0069,156,72pt,5,lower,2268,1943,111,353,"survey #56, 'Long 8 Trail'"
l,006C,156,72pt,5,lower,2389,1941,102,355,"survey #57, 'Long 8 Trail'"
B,0042,156,60pt,2,cap,552,700,219,294,"survey #25, 'BANKERS'"
A.60pt,,156,60pt,2,cap,781,698,277,298,"survey #26, 'BANKERS'"
N.60pt,,156,60pt,2,cap,1064,700,246,297,"survey #27, 'BANKERS'"
K,004B,156,60pt,2,cap,1320,701,236,297,"survey #28, 'BANKERS'"
E,0045,156,60pt,2,cap,1565,701,240,295,"survey #29, 'BANKERS'"
R,0052,156,60pt,2,cap,1807,704,215,301,"survey #30, 'BANKERS'"
S.60pt,,156,60pt,2,cap,2027,701,202,303,"survey #31, 'BANKERS'"
L.60pt,,156,60pt,3,cap,287,1039,216,296,"survey #32, 'Loan 3 Money'"
o.60pt,,156,60pt,3,lower,518,1127,171,210,"survey #33, 'Loan 3 Money'"
a.60pt,,156,60pt,3,lower,713,1127,155,210,"survey #34, 'Loan 3 Money'"
n.60pt,,156,60pt,3,lower,873,1128,200,206,"survey #35, 'Loan 3 Money'"
three,0033,156,60pt,3,figure,1191,1052,159,287,"survey #36, 'Loan 3 Money'"
M.60pt,,156,60pt,3,cap,1474,1040,281,296,"survey #37, 'Loan 3 Money'"
o.60pt_2,,156,60pt,3,lower,1776,1129,171,209,"survey #38, 'Loan 3 Money'"
n.60pt_2,,156,60pt,3,lower,1962,1130,200,206,"survey #39, 'Loan 3 Money'"
e,0065,156,60pt,3,lower,2175,1129,152,210,"survey #40, 'Loan 3 Money'"
y,0079,156,60pt,3,lower,2324,1135,175,276,"survey #41, 'Loan 3 Money'"
F,0046,155,54pt,6,cap,250,2106,168,246,"survey #79, 'FIRST PRIZE'"
I,0049,155,54pt,6,cap,420,2107,89,246,"survey #80, 'FIRST PRIZE'"
R.54pt,,155,54pt,6,cap,516,2107,178,250,"survey #81, 'FIRST PRIZE'"
S.54pt,,155,54pt,6,cap,694,2106,167,255,"survey #82, 'FIRST PRIZE'"
T.54pt,,155,54pt,6,cap,860,2103,196,251,"survey #83, 'FIRST PRIZE'"
P,0050,155,54pt,6,cap,1192,2109,179,245,"survey #84, 'FIRST PRIZE'"
R.54pt_2,,155,54pt,6,cap,1377,2109,178,249,"survey #85, 'FIRST PRIZE'"
I.54pt,,155,54pt,6,cap,1558,2109,89,246,"survey #86, 'FIRST PRIZE'"
Z,005A,155,54pt,6,cap,1649,2108,183,247,"survey #87, 'FIRST PRIZE'"
E.54pt,,155,54pt,6,cap,1830,2108,197,248,"survey #88, 'FIRST PRIZE'"
