glyph,unicode,leaf,line,band,category,x,y,w,h,notes
P,0050,148,72pt,4,cap,558,1576,264,353,"survey #37, 'PAPERS'"
A,0041,148,72pt,4,cap,821,1578,331,354,"survey #38, 'PAPERS'"
P.72pt,,148,72pt,4,cap,1155,1578,264,352,"survey #39, 'PAPERS'"
E,0045,148,72pt,4,cap,1421,1581,287,352,"survey #40, 'PAPERS'"
R,0052,148,72pt,4,cap,1715,1581,260,361,"survey #41, 'PAPERS'"
S,0053,148,72pt,4,cap,1970,1579,244,365,"survey #42, 'PAPERS'"
G,0047,148,72pt,5,cap,287,1975,306,362,"survey #43, 'Green 6 Style'"
r,0072,148,72pt,5,lower,596,2119,137,213,"survey #44, 'Green 6 Style'"
e,0065,148,72pt,5,lower,740,2117,159,219,"survey #45, 'Green 6 Style'"
e.72pt,,148,72pt,5,lower,905,2117,159,219,"survey #46, 'Green 6 Style'"
n,006E,148,72pt,5,lower,1062,2119,213,242,"survey #47, 'Green 6 Style'"
six,0036,148,72pt,5,figure,1379,1992,202,344,"survey #48, 'Green 6 Style'"
S.72pt,,148,72pt,5,cap,1673,1978,246,366,"survey #49, 'Green 6 Style'"
t,0074,148,72pt,5,lower,1927,2076,124,264,"survey #50, 'Green 6 Style'"
y,0079,148,72pt,5,lower,2046,2124,187,300,"survey #51, 'Green 6 Style'"
l,006C,148,72pt,5,lower,2233,1986,96,351,"survey #52, 'Green 6 Style'"
e.72pt_2,,148,72pt,5,lower,2340,2123,157,219,"survey #53, 'Green 6 Style'"
C,0043,147,54pt,8,cap,308,2996,208,279,"survey #105, 'COLUMBIA'"
O,004F,147,54pt,8,cap,520,2999,237,277,"survey #106, 'COLUMBIA'"
L,004C,147,54pt,8,cap,767,3002,197,271,"survey #107, 'COLUMBIA'"
U,0055,147,54pt,8,cap,963,3000,230,279,"survey #108, 'COLUMBIA'"
M,004D,147,54pt,8,cap,1195,2999,285,273,"survey #109, 'COLUMBIA'"
B,0042,147,54pt,8,cap,1481,2999,201,272,"survey #110, 'COLUMBIA'"
I,0049,147,54pt,8,cap,1692,3000,97,271,"survey #111, 'COLUMBIA'"
A.54pt,,147,54pt,8,cap,1792,2997,253,274,"survey #112, 'COLUMBIA'"
M.54pt,,147,54pt,9,cap,87,3307,248,274,"survey #113, 'Modern 9 Designs'"
o,006F,147,54pt,9,lower,344,3413,138,174,"survey #114, 'Modern 9 Designs'"
d,0064,147,54pt,9,lower,486,3316,149,272,"survey #115, 'Modern 9 Designs'"
e.54pt,,147,54pt,9,lower,638,3415,123,174,"survey #116, 'Modern 9 Designs'"
r.54pt,,147,54pt,9,lower,764,3417,107,170,"survey #117, 'Modern 9 Designs'"
n.54pt,,147,54pt,9,lower,870,3416,165,172,"survey #118, 'Modern 9 Designs'"
nine,0039,147,54pt,9,figure,1100,3326,153,264,"survey #119, 'Modern 9 Designs'"
D,0044,147,54pt,9,cap,1326,3315,220,272,"survey #120, 'Modern 9 Designs'"
e.54pt_2,,147,54pt,9,lower,1556,3414,123,174,"survey #121, 'Modern 9 Designs'"
s,0073,147,54pt,9,lower,1682,3415,100,175,"survey #122, 'Modern 9 Designs'"
i,0069,147,54pt,9,lower,1786,3333,76,252,"survey #123, 'Modern 9 Designs'"
g,0067,147,54pt,9,lower,1864,3389,130,256,"survey #124, 'Modern 9 Designs'"
n.54pt_2,,147,54pt,9,lower,1994,3415,165,171,"survey #125, 'Modern 9 Designs'"
s.54pt,,147,54pt,9,lower,2162,3416,99,175,"survey #126, 'Modern 9 Designs'"
R.48pt,,147,48pt,6,cap,216,2185,175,251,"survey #80, 'ROAN HORSE'"
O.48pt,,147,48pt,6,cap,394,2185,212,251,"survey #81, 'ROAN HORSE'"
A.48pt,,147,48pt,6,cap,612,2186,225,247,"survey #82, 'ROAN HORSE'"
