glyph,unicode,leaf,line,band,category,x,y,w,h,notes
S,0053,625,60pt,6,cap,191,3296,253,298,"survey #88, 'Sein 4 Heim'"
e,0065,625,60pt,6,lower,452,3354,192,234,"survey #89, 'Sein 4 Heim'"
i,0069,625,60pt,6,lower,650,3294,84,293,"survey #90, 'Sein 4 Heim'"
n,006E,625,60pt,6,lower,753,3347,201,238,"survey #91, 'Sein 4 Heim'"
four,0034,625,60pt,6,figure,1070,3299,209,292,"survey #92, 'Sein 4 Heim'"
H,0048,625,60pt,6,cap,1387,3297,367,292,"survey #93, 'Sein 4 Heim'"
e.60pt,,625,60pt,6,lower,1758,3355,190,231,"survey #94, 'Sein 4 Heim'"
i.60pt,,625,60pt,6,lower,1956,3294,84,291,"survey #95, 'Sein 4 Heim'"
m,006D,625,60pt,6,lower,2059,3348,317,239,"survey #96, 'Sein 4 Heim'"
K,004B,625,48pt,5,cap,185,2909,287,251,"survey #76, 'Kleiner 3 Wald'"
l,006C,625,48pt,5,lower,483,2912,71,249,"survey #77, 'Kleiner 3 Wald'"
e.48pt,,625,48pt,5,lower,555,2959,166,201,"survey #78, 'Kleiner 3 Wald'"
i.48pt,,625,48pt,5,lower,720,2910,70,250,"survey #79, 'Kleiner 3 Wald'"
n.48pt,,625,48pt,5,lower,796,2956,187,204,"survey #80, 'Kleiner 3 Wald'"
e.48pt_2,,625,48pt,5,lower,986,2959,166,201,"survey #81, 'Kleiner 3 Wald'"
r,0072,625,48pt,5,lower,1156,2960,140,201,"survey #82, 'Kleiner 3 Wald'"
three,0033,625,48pt,5,figure,1351,2913,171,253,"survey #83, 'Kleiner 3 Wald'"
W,0057,625,48pt,5,cap,1586,2911,363,253,"survey #84, 'Kleiner 3 Wald'"
a,0061,625,48pt,5,lower,1955,2961,174,202,"survey #85, 'Kleiner 3 Wald'"
l.48pt,,625,48pt,5,lower,2140,2912,70,249,"survey #86, 'Kleiner 3 Wald'"
d,0064,625,48pt,5,lower,2213,2911,166,252,"survey #87, 'Kleiner 3 Wald'"
V,0056,625,36pt,4,cap,185,2590,163,200,"survey #58, 'Vereinigte 6 Staaten'"
e.36pt,,625,36pt,4,lower,349,2628,119,164,"survey #59, 'Vereinigte 6 Staaten'"
r.36pt,,625,36pt,4,lower,465,2629,99,162,"survey #60, 'Vereinigte 6 Staaten'"
e.36pt_2,,625,36pt,4,lower,563,2628,120,164,"survey #61, 'Vereinigte 6 Staaten'"
i.36pt,,625,36pt,4,lower,679,2591,54,200,"survey #62, 'Vereinigte 6 Staaten'"
n.36pt,,625,36pt,4,lower,737,2629,145,164,"survey #63, 'Vereinigte 6 Staaten'"
i.36pt_2,,625,36pt,4,lower,877,2591,54,200,"survey #64, 'Vereinigte 6 Staaten'"
g,0067,625,36pt,4,lower,941,2627,114,194,"survey #65, 'Vereinigte 6 Staaten'"
t,0074,625,36pt,4,lower,1059,2600,72,194,"survey #66, 'Vereinigte 6 Staaten'"
e.36pt_3,,625,36pt,4,lower,1133,2628,119,164,"survey #67, 'Vereinigte 6 Staaten'"
six,0036,625,36pt,4,figure,1344,2592,126,199,"survey #68, 'Vereinigte 6 Staaten'"
S.36pt,,625,36pt,4,cap,1563,2593,161,199,"survey #69, 'Vereinigte 6 Staaten'"
t.36pt,,625,36pt,4,lower,1727,2601,72,194,"survey #70, 'Vereinigte 6 Staaten'"
a.36pt,,625,36pt,4,lower,1799,2631,128,161,"survey #71, 'Vereinigte 6 Staaten'"
a.36pt_2,,625,36pt,4,lower,1926,2630,129,162,"survey #72, 'Vereinigte 6 Staaten'"
t.36pt_2,,625,36pt,4,lower,2053,2600,72,193,"survey #73, 'Vereinigte 6 Staaten'"
e.36pt_4,,625,36pt,4,lower,2126,2628,118,162,"survey #74, 'Vereinigte 6 Staaten'"
n.36pt_2,,625,36pt,4,lower,2242,2628,142,164,"survey #75, 'Vereinigte 6 Staaten'"
M,004D,625,30pt,3,cap,185,2303,253,174,"survey #40, 'Man Friert 5 im Winter'"
a.30pt,,625,30pt,3,lower,440,2337,104,143,"survey #41, 'Man Friert 5 im Winter'"
n.30pt,,625,30pt,3,lower,540,2336,116,141,"survey #42, 'Man Friert 5 im Winter'"
F,0046,625,30pt,3,cap,716,2304,139,192,"survey #43, 'Man Friert 5 im Winter'"
r.30pt,,625,30pt,3,lower,858,2333,78,141,"survey #44, 'Man Friert 5 im Winter'"
i.30pt,,625,30pt,3,lower,938,2303,45,172,"survey #45, 'Man Friert 5 im Winter'"
e.30pt,,625,30pt,3,lower,990,2337,103,140,"survey #46, 'Man Friert 5 im Winter'"
r.30pt_2,,625,30pt,3,lower,1096,2332,79,142,"survey #47, 'Man Friert 5 im Winter'"
t.30pt,,625,30pt,3,lower,1180,2307,63,169,"survey #48, 'Man Friert 5 im Winter'"
