glyph,unicode,leaf,line,band,category,x,y,w,h,notes
A,0041,451,60pt,4,cap,468,1481,193,288,"survey #46, 'AUTOMOBILE'"
U,0055,451,60pt,4,cap,675,1482,135,291,"survey #47, 'AUTOMOBILE'"
T,0054,451,60pt,4,cap,819,1480,126,290,"survey #48, 'AUTOMOBILE'"
O,004F,451,60pt,4,cap,950,1480,163,292,"survey #49, 'AUTOMOBILE'"
M,004D,451,60pt,4,cap,1127,1481,177,287,"survey #50, 'AUTOMOBILE'"
O.60pt,,451,60pt,4,cap,1323,1480,162,292,"survey #51, 'AUTOMOBILE'"
B,0042,451,60pt,4,cap,1504,1480,169,289,"survey #52, 'AUTOMOBILE'"
I,0049,451,60pt,4,cap,1691,1480,67,289,"survey #53, 'AUTOMOBILE'"
L,004C,451,60pt,4,cap,1785,1479,119,290,"survey #54, 'AUTOMOBILE'"
E,0045,451,60pt,4,cap,1919,1480,125,289,"survey #55, 'AUTOMOBILE'"
C,0043,451,60pt,5,cap,176,1811,157,291,"survey #56, 'Country 86 Parade'"
o,006F,451,60pt,5,lower,335,1874,124,227,"survey #57, 'Country 86 Parade'"
u,0075,451,60pt,5,lower,471,1874,122,227,"survey #58, 'Country 86 Parade'"
n,006E,451,60pt,5,lower,608,1874,124,227,"survey #59, 'Country 86 Parade'"
t,0074,451,60pt,5,lower,745,1827,94,280,"survey #60, 'Country 86 Parade'"
r,0072,451,60pt,5,lower,845,1875,98,242,"survey #61, 'Country 86 Parade'"
y,0079,451,60pt,5,lower,941,1873,132,298,"survey #62, 'Country 86 Parade'"
eight,0038,451,60pt,5,figure,1151,1812,145,290,"survey #63, 'Country 86 Parade'"
six,0036,451,60pt,5,figure,1317,1813,146,288,"survey #64, 'Country 86 Parade'"
P,0050,451,60pt,5,cap,1549,1811,172,289,"survey #65, 'Country 86 Parade'"
a,0061,451,60pt,5,lower,1720,1876,124,228,"survey #66, 'Country 86 Parade'"
r.60pt,,451,60pt,5,lower,1861,1875,98,225,"survey #67, 'Country 86 Parade'"
a.60pt,,451,60pt,5,lower,1957,1876,125,228,"survey #68, 'Country 86 Parade'"
d,0064,451,60pt,5,lower,2095,1812,123,287,"survey #69, 'Country 86 Parade'"
e,0065,451,60pt,5,lower,2229,1871,124,229,"survey #70, 'Country 86 Parade'"
M.54pt,,451,54pt,2,cap,466,693,145,258,"survey #19, 'MIXED PAINTS'"
I.54pt,,451,54pt,2,cap,633,693,67,257,"survey #20, 'MIXED PAINTS'"
X,0058,451,54pt,2,cap,710,693,130,257,"survey #21, 'MIXED PAINTS'"
E.54pt,,451,54pt,2,cap,849,692,114,257,"survey #22, 'MIXED PAINTS'"
D,0044,451,54pt,2,cap,976,693,144,257,"survey #23, 'MIXED PAINTS'"
P.54pt,,451,54pt,2,cap,1269,693,145,257,"survey #24, 'MIXED PAINTS'"
A.54pt,,451,54pt,2,cap,1417,693,163,258,"survey #25, 'MIXED PAINTS'"
I.54pt_2,,451,54pt,2,cap,1593,694,66,257,"survey #26, 'MIXED PAINTS'"
N,004E,451,54pt,2,cap,1682,694,129,257,"survey #27, 'MIXED PAINTS'"
T.54pt,,451,54pt,2,cap,1820,694,112,257,"survey #28, 'MIXED PAINTS'"
S,0053,451,54pt,2,cap,1933,694,133,257,"survey #29, 'MIXED PAINTS'"
V,0056,451,54pt,3,cap,170,992,125,259,"survey #30, 'Varnish 35 and Oils'"
a.54pt,,451,54pt,3,lower,301,1048,113,204,"survey #31, 'Varnish 35 and Oils'"
r.54pt,,451,54pt,3,lower,425,1046,94,203,"survey #32, 'Varnish 35 and Oils'"
n.54pt,,451,54pt,3,lower,525,1045,109,204,"survey #33, 'Varnish 35 and Oils'"
i,0069,451,54pt,3,lower,648,990,49,258,"survey #34, 'Varnish 35 and Oils'"
s,0073,451,54pt,3,lower,704,1045,104,205,"survey #35, 'Varnish 35 and Oils'"
h,0068,451,54pt,3,lower,816,990,112,258,"survey #36, 'Varnish 35 and Oils'"
three,0033,451,54pt,3,figure,1064,991,133,257,"survey #37, 'Varnish 35 and Oils'"
five,0035,451,54pt,3,figure,1214,991,133,259,"survey #38, 'Varnish 35 and Oils'"
a.54pt_2,,451,54pt,3,lower,1483,1048,113,204,"survey #39, 'Varnish 35 and Oils'"
n.54pt_2,,451,54pt,3,lower,1607,1046,109,203,"survey #40, 'Varnish 35 and Oils'"
d.54pt,,451,54pt,3,lower,1729,991,110,258,"survey #41, 'Varnish 35 and Oils'"
O.54pt,,451,54pt,3,cap,1971,992,144,257,"survey #42, 'Varnish 35 and Oils'"
i.54pt,,451,54pt,3,lower,2128,990,49,258,"survey #43, 'Varnish 35 and Oils'"
l,006C,451,54pt,3,lower,2193,991,49,257,"survey #44, 'Varnish 35 and Oils'"
s.54pt,,451,54pt,3,lower,2250,1003,105,246,"survey #45, 'Varnish 35 and Oils'"
B.42pt,,450,42pt,7,cap,441,3133,134,226,"survey #140, 'BARGAINS TODAY'"
A.42pt,,450,42pt,7,cap,582,3134,151,226,"survey #141, 'BARGAINS TODAY'"
R,0052,450,42pt,7,cap,739,3134,136,226,"survey #142, 'BARGAINS TODAY'"
G,0047,450,42pt,7,cap,879,3133,132,230,"survey #143, 'BARGAINS TODAY'"
A.42pt_2,,450,42pt,7,cap,1021,3134,150,226,"survey #144, 'BARGAINS TODAY'"
I.42pt,,450,42pt,7,cap,1175,3132,59,227,"survey #145, 'BARGAINS TODAY'"
N.42pt,,450,42pt,7,cap,1238,3132,113,227,"survey #146, 'BARGAINS TODAY'"
S.42pt,,450,42pt,7,cap,1356,3134,113,226,"survey #147, 'BARGAINS TODAY'"
T.42pt,,450,42pt,7,cap,1588,3131,100,227,"survey #148, 'BARGAINS TODAY'"
O.42pt,,450,42pt,7,cap,1692,3131,127,229,"survey #149, 'BARGAINS TODAY'"
D.42pt,,450,42pt,7,cap,1824,3131,132,226,"survey #150, 'BARGAINS TODAY'"
A.42pt_3,,450,42pt,7,cap,1962,3131,150,226,"survey #151, 'BARGAINS TODAY'"
Y,0059,450,42pt,7,cap,2116,3130,110,226,"survey #152, 'BARGAINS TODAY'"
L.42pt,,450,42pt,8,cap,232,3378,97,225,"survey #153, 'Large Talking 78 Machine'"
a.42pt,,450,42pt,8,lower,331,3425,98,181,"survey #154, 'Large Talking 78 Machine'"
r.42pt,,450,42pt,8,lower,435,3422,87,182,"survey #155, 'Large Talking 78 Machine'"
g,0067,450,42pt,8,lower,524,3400,103,248,"survey #156, 'Large Talking 78 Machine'"
e.42pt,,450,42pt,8,lower,631,3425,90,180,"survey #157, 'Large Talking 78 Machine'"
T.42pt_2,,450,42pt,8,cap,778,3378,100,226,"survey #158, 'Large Talking 78 Machine'"
a.42pt_2,,450,42pt,8,lower,879,3426,99,181,"survey #159, 'Large Talking 78 Machine'"
l.42pt,,450,42pt,8,lower,981,3378,47,225,"survey #160, 'Large Talking 78 Machine'"
k,006B,450,42pt,8,lower,1038,3379,102,225,"survey #161, 'Large Talking 78 Machine'"
i.42pt,,450,42pt,8,lower,1145,3377,43,226,"survey #162, 'Large Talking 78 Machine'"
n.42pt,,450,42pt,8,lower,1195,3423,98,181,"survey #163, 'Large Talking 78 Machine'"
g.42pt,,450,42pt,8,lower,1298,3399,104,249,"survey #164, 'Large Talking 78 Machine'"
seven,0037,450,42pt,8,figure,1467,3377,100,226,"survey #165, 'Large Talking 78 Machine'"
eight.42pt,,450,42pt,8,figure,1580,3378,110,227,"survey #166, 'Large Talking 78 Machine'"
M.42pt,,450,42pt,8,cap,1753,3375,133,227,"survey #167, 'Large Talking 78 Machine'"
a.42pt_3,,450,42pt,8,lower,1889,3423,99,181,"survey #168, 'Large Talking 78 Machine'"
c,0063,450,42pt,8,lower,1991,3420,92,181,"survey #169, 'Large Talking 78 Machine'"
h.42pt,,450,42pt,8,lower,2086,3372,100,228,"survey #170, 'Large Talking 78 Machine'"
i.42pt_2,,450,42pt,8,lower,2193,3373,42,226,"survey #171, 'Large Talking 78 Machine'"
n.42pt_2,,450,42pt,8,lower,2243,3420,97,180,"survey #172, 'Large Talking 78 Machine'"
e.42pt_2,,450,42pt,8,lower,2345,3420,90,181,"survey #173, 'Large Talking 78 Machine'"
P.36pt,,450,36pt,5,cap,388,2527,111,196,"survey #100, 'PROSPEROUS FARMING'"
R.36pt,,450,36pt,5,cap,498,2526,114,197,"survey #101, 'PROSPEROUS FARMING'"
O.36pt,,450,36pt,5,cap,614,2526,108,198,"survey #102, 'PROSPEROUS FARMING'"
S.36pt,,450,36pt,5,cap,725,2525,102,199,"survey #103, 'PROSPEROUS FARMING'"
P.36pt_2,,450,36pt,5,cap,830,2526,111,197,"survey #104, 'PROSPEROUS FARMING'"
E.36pt,,450,36pt,5,cap,943,2525,86,198,"survey #105, 'PROSPEROUS FARMING'"
R.36pt_2,,450,36pt,5,cap,1033,2525,114,197,"survey #106, 'PROSPEROUS FARMING'"
O.36pt_2,,450,36pt,5,cap,1148,2525,108,198,"survey #107, 'PROSPEROUS FARMING'"
U.36pt,,450,36pt,5,cap,1262,2525,100,199,"survey #108, 'PROSPEROUS FARMING'"
S.36pt_2,,450,36pt,5,cap,1364,2524,102,199,"survey #109, 'PROSPEROUS FARMING'"
F,0046,450,36pt,5,cap,1569,2523,88,198,"survey #110, 'PROSPEROUS FARMING'"
A.36pt,,450,36pt,5,cap,1657,2524,121,197,"survey #111, 'PROSPEROUS FARMING'"
R.36pt_3,,450,36pt,5,cap,1779,2524,111,197,"survey #112, 'PROSPEROUS FARMING'"
M.36pt,,450,36pt,5,cap,1895,2524,115,197,"survey #113, 'PROSPEROUS FARMING'"
I.36pt,,450,36pt,5,cap,2016,2524,48,197,"survey #114, 'PROSPEROUS FARMING'"
N.36pt,,450,36pt,5,cap,2069,2524,98,197,"survey #115, 'PROSPEROUS FARMING'"
G.36pt,,450,36pt,5,cap,2173,2523,100,199,"survey #116, 'PROSPEROUS FARMING'"
N.36pt_2,,450,36pt,6,cap,224,2739,99,195,"survey #117, 'North and 36 South Carolina'"
o.36pt,,450,36pt,6,lower,325,2781,85,154,"survey #118, 'North and 36 South Carolina'"
r.36pt,,450,36pt,6,lower,414,2782,65,153,"survey #119, 'North and 36 South Carolina'"
t.36pt,,450,36pt,6,lower,474,2746,63,190,"survey #120, 'North and 36 South Carolina'"
h.36pt,,450,36pt,6,lower,536,2739,84,196,"survey #121, 'North and 36 South Carolina'"
a.36pt,,450,36pt,6,lower,705,2782,79,154,"survey #122, 'North and 36 South Carolina'"
n.36pt,,450,36pt,6,lower,791,2780,82,155,"survey #123, 'North and 36 South Carolina'"
d.36pt,,450,36pt,6,lower,878,2739,81,197,"survey #124, 'North and 36 South Carolina'"
three.36pt,,450,36pt,6,figure,1047,2737,102,198,"survey #125, 'North and 36 South Carolina'"
six.36pt,,450,36pt,6,figure,1153,2737,102,198,"survey #126, 'North and 36 South Carolina'"
S.36pt_3,,450,36pt,6,cap,1342,2736,102,199,"survey #127, 'North and 36 South Carolina'"
o.36pt_2,,450,36pt,6,lower,1442,2779,85,155,"survey #128, 'North and 36 South Carolina'"
u.36pt,,450,36pt,6,lower,1531,2780,77,154,"survey #129, 'North and 36 South Carolina'"
t.36pt_2,,450,36pt,6,lower,1609,2744,63,190,"survey #130, 'North and 36 South Carolina'"
h.36pt_2,,450,36pt,6,lower,1672,2736,83,197,"survey #131, 'North and 36 South Carolina'"
C.36pt,,450,36pt,6,cap,1844,2735,102,199,"survey #132, 'North and 36 South Carolina'"
a.36pt_2,,450,36pt,6,lower,1946,2779,79,155,"survey #133, 'North and 36 South Carolina'"
r.36pt_2,,450,36pt,6,lower,2033,2779,66,154,"survey #134, 'North and 36 South Carolina'"
o.36pt_3,,450,36pt,6,lower,2095,2778,85,155,"survey #135, 'North and 36 South Carolina'"
l.36pt,,450,36pt,6,lower,2183,2734,36,199,"survey #136, 'North and 36 South Carolina'"
i.36pt,,450,36pt,6,lower,2227,2737,36,196,"survey #137, 'North and 36 South Carolina'"
