glyph,unicode,leaf,line,band,category,x,y,w,h,notes
G,0047,368,72pt,2,cap,515,700,322,366,"survey #16, 'GREEN'"
R,0052,368,72pt,2,cap,851,699,298,358,"survey #17, 'GREEN'"
E,0045,368,72pt,2,cap,1174,699,323,355,"survey #18, 'GREEN'"
E.72pt,,368,72pt,2,cap,1520,699,322,354,"survey #19, 'GREEN'"
N,004E,368,72pt,2,cap,1861,697,332,354,"survey #20, 'GREEN'"
B,0042,368,72pt,3,cap,257,1107,301,352,"survey #21, 'Ball 7 Caps'"
a,0061,368,72pt,3,lower,587,1227,201,235,"survey #22, 'Ball 7 Caps'"
l,006C,368,72pt,3,lower,808,1104,113,355,"survey #23, 'Ball 7 Caps'"
l.72pt,,368,72pt,3,lower,945,1104,114,355,"survey #24, 'Ball 7 Caps'"
seven,0037,368,72pt,3,figure,1194,1111,190,363,"survey #25, 'Ball 7 Caps'"
C,0043,368,72pt,3,cap,1519,1105,284,368,"survey #26, 'Ball 7 Caps'"
a.72pt,,368,72pt,3,lower,1829,1229,201,235,"survey #27, 'Ball 7 Caps'"
p,0070,368,72pt,3,lower,2048,1222,227,333,"survey #28, 'Ball 7 Caps'"
s,0073,368,72pt,3,lower,2297,1225,153,238,"survey #29, 'Ball 7 Caps'"
F,0046,367,60pt,8,cap,354,2868,254,293,"survey #89, 'FEDORA'"
E.60pt,,367,60pt,8,cap,623,2867,268,295,"survey #90, 'FEDORA'"
D,0044,367,60pt,8,cap,913,2869,274,294,"survey #91, 'FEDORA'"
O,004F,367,60pt,8,cap,1212,2863,256,302,"survey #92, 'FEDORA'"
R.60pt,,367,60pt,8,cap,1491,2866,248,299,"survey #93, 'FEDORA'"
A,0041,367,60pt,8,cap,1753,2861,300,298,"survey #94, 'FEDORA'"
B.60pt,,367,60pt,9,cap,128,3194,247,295,"survey #95, 'Boys 4 Make'"
o,006F,367,60pt,9,lower,397,3298,158,200,"survey #96, 'Boys 4 Make'"
y,0079,367,60pt,9,lower,572,3299,196,270,"survey #97, 'Boys 4 Make'"
s.60pt,,367,60pt,9,lower,779,3295,129,200,"survey #98, 'Boys 4 Make'"
four,0034,367,60pt,9,figure,1057,3193,182,370,"survey #99, 'Boys 4 Make'"
