glyph,unicode,leaf,line,band,category,x,y,w,h,notes
N,004E,145,72pt,8,cap,348,2788,331,338,"survey #91, 'NORTH'"
O,004F,145,72pt,8,cap,696,2790,310,340,"survey #92, 'NORTH'"
R,0052,145,72pt,8,cap,1027,2788,311,339,"survey #93, 'NORTH'"
T,0054,145,72pt,8,cap,1339,2783,341,342,"survey #94, 'NORTH'"
H,0048,145,72pt,8,cap,1694,2783,343,340,"survey #95, 'NORTH'"
L,004C,145,72pt,9,cap,120,3182,283,343,"survey #96, 'Large 7 Gap'"
a,0061,145,72pt,9,lower,405,3285,182,242,"survey #97, 'Large 7 Gap'"
r,0072,145,72pt,9,lower,591,3281,168,244,"survey #98, 'Large 7 Gap'"
g,0067,145,72pt,9,lower,767,3248,214,353,"survey #99, 'Large 7 Gap'"
e,0065,145,72pt,9,lower,988,3289,181,238,"survey #100, 'Large 7 Gap'"
seven,0037,145,72pt,9,figure,1267,3172,181,351,"survey #101, 'Large 7 Gap'"
G,0047,145,72pt,9,cap,1543,3181,330,342,"survey #102, 'Large 7 Gap'"
a.72pt,,145,72pt,9,lower,1879,3280,184,243,"survey #103, 'Large 7 Gap'"
p,0070,145,72pt,9,lower,2067,3281,217,310,"survey #104, 'Large 7 Gap'"
M,004D,145,54pt,6,cap,372,1992,300,285,"survey #72, 'MODERN'"
O.54pt,,145,54pt,6,cap,693,1990,255,287,"survey #73, 'MODERN'"
D,0044,145,54pt,6,cap,970,1991,265,285,"survey #74, 'MODERN'"
E,0045,145,54pt,6,cap,1254,1991,225,283,"survey #75, 'MODERN'"
R.54pt,,145,54pt,6,cap,1493,1990,239,283,"survey #76, 'MODERN'"
N.54pt,,145,54pt,6,cap,1744,1990,270,282,"survey #77, 'MODERN'"
S,0053,145,54pt,7,cap,111,2324,165,285,"survey #78, 'Sheep 3 Raising'"
h,0068,145,54pt,7,lower,290,2330,173,279,"survey #79, 'Sheep 3 Raising'"
e.54pt,,145,54pt,7,lower,476,2411,146,202,"survey #80, 'Sheep 3 Raising'"
e.54pt_2,,145,54pt,7,lower,632,2411,146,202,"survey #81, 'Sheep 3 Raising'"
p.54pt,,145,54pt,7,lower,787,2411,168,245,"survey #82, 'Sheep 3 Raising'"
three,0033,145,54pt,7,figure,1007,2322,142,288,"survey #83, 'Sheep 3 Raising'"
R.54pt_2,,145,54pt,7,cap,1221,2323,239,283,"survey #84, 'Sheep 3 Raising'"
a.54pt,,145,54pt,7,lower,1462,2408,158,201,"survey #85, 'Sheep 3 Raising'"
i,0069,145,54pt,7,lower,1625,2322,78,282,"survey #86, 'Sheep 3 Raising'"
s,0073,145,54pt,7,lower,1717,2406,119,202,"survey #87, 'Sheep 3 Raising'"
i.54pt,,145,54pt,7,lower,1848,2321,78,283,"survey #88, 'Sheep 3 Raising'"
n,006E,145,54pt,7,lower,1942,2402,169,201,"survey #89, 'Sheep 3 Raising'"
g.54pt,,145,54pt,7,lower,2122,2360,168,287,"survey #90, 'Sheep 3 Raising'"
E.42pt,,145,42pt,4,cap,300,1340,152,218,"survey #46, 'EXPERIMENT'"
X,0058,145,42pt,4,cap,456,1339,200,217,"survey #47, 'EXPERIMENT'"
P,0050,145,42pt,4,cap,664,1337,146,218,"survey #48, 'EXPERIMENT'"
E.42pt_2,,145,42pt,4,cap,818,1337,155,217,"survey #49, 'EXPERIMENT'"
R.42pt,,145,42pt,4,cap,981,1338,184,215,"survey #50, 'EXPERIMENT'"
I,0049,145,42pt,4,cap,1169,1338,85,215,"survey #51, 'EXPERIMENT'"
M.42pt,,145,42pt,4,cap,1261,1339,229,214,"survey #52, 'EXPERIMENT'"
E.42pt_3,,145,42pt,4,cap,1502,1335,154,217,"survey #53, 'EXPERIMENT'"
N.42pt,,145,42pt,4,cap,1660,1335,211,221,"survey #54, 'EXPERIMENT'"
T.42pt,,145,42pt,4,cap,1874,1331,208,219,"survey #55, 'EXPERIMENT'"
M.42pt_2,,145,42pt,5,cap,106,1609,220,215,"survey #56, 'Models 24 Examined'"
o,006F,145,42pt,5,lower,334,1670,119,154,"survey #57, 'Models 24 Examined'"
d,0064,145,42pt,5,lower,462,1598,124,226,"survey #58, 'Models 24 Examined'"
e.42pt,,145,42pt,5,lower,595,1666,109,158,"survey #59, 'Models 24 Examined'"
l,006C,145,42pt,5,lower,709,1601,63,219,"survey #60, 'Models 24 Examined'"
s.42pt,,145,42pt,5,lower,780,1668,77,155,"survey #61, 'Models 24 Examined'"
two,0032,145,42pt,5,figure,940,1600,113,226,"survey #62, 'Models 24 Examined'"
four,0034,145,42pt,5,figure,1054,1602,118,217,"survey #63, 'Models 24 Examined'"
E.42pt_4,,145,42pt,5,cap,1255,1602,154,217,"survey #64, 'Models 24 Examined'"
x,0078,145,42pt,5,lower,1413,1670,127,148,"survey #65, 'Models 24 Examined'"
a.42pt,,145,42pt,5,lower,1542,1665,104,155,"survey #66, 'Models 24 Examined'"
m,006D,145,42pt,5,lower,1651,1664,183,152,"survey #67, 'Models 24 Examined'"
i.42pt,,145,42pt,5,lower,1841,1596,57,220,"survey #68, 'Models 24 Examined'"
n.42pt,,145,42pt,5,lower,1905,1663,130,153,"survey #69, 'Models 24 Examined'"
e.42pt_2,,145,42pt,5,lower,2042,1661,109,159,"survey #70, 'Models 24 Examined'"
d.42pt,,145,42pt,5,lower,2158,1593,125,226,"survey #71, 'Models 24 Examined'"
M.36pt,,145,36pt,2,cap,369,724,181,196,"survey #16, 'MAGNIFICENT'"
A,0041,145,36pt,2,cap,558,722,156,197,"survey #17, 'MAGNIFICENT'"
G.36pt,,145,36pt,2,cap,720,721,164,197,"survey #18, 'MAGNIFICENT'"
N.36pt,,145,36pt,2,cap,889,721,160,196,"survey #19, 'MAGNIFICENT'"
I.36pt,,145,36pt,2,cap,1068,721,68,196,"survey #20, 'MAGNIFICENT'"
F,0046,145,36pt,2,cap,1150,720,134,197,"survey #21, 'MAGNIFICENT'"
I.36pt_2,,145,36pt,2,cap,1294,720,69,197,"survey #22, 'MAGNIFICENT'"
