glyph,unicode,leaf,line,band,category,x,y,w,h,notes
N,004E,159,72pt,9,cap,68,3223,309,355,"survey #89, 'Neat 6 PIN'"
e,0065,159,72pt,9,lower,396,3323,198,261,"survey #90, 'Neat 6 PIN'"
a,0061,159,72pt,9,lower,613,3324,249,263,"survey #91, 'Neat 6 PIN'"
t,0074,159,72pt,9,lower,873,3262,155,326,"survey #92, 'Neat 6 PIN'"
six,0036,159,72pt,9,figure,1132,3231,206,358,"survey #93, 'Neat 6 PIN'"
P,0050,159,72pt,9,cap,1456,3235,274,348,"survey #94, 'Neat 6 PIN'"
I,0049,159,72pt,9,cap,1756,3236,126,346,"survey #95, 'Neat 6 PIN'"
N.72pt,,159,72pt,9,cap,1908,3236,322,349,"survey #96, 'Neat 6 PIN'"
F,0046,159,60pt,8,cap,70,2761,225,296,"survey #79, 'FINE 7 Paper'"
I.60pt,,159,60pt,8,cap,319,2767,99,294,"survey #80, 'FINE 7 Paper'"
N.60pt,,159,60pt,8,cap,444,2769,260,294,"survey #81, 'FINE 7 Paper'"
E,0045,159,60pt,8,cap,733,2770,239,294,"survey #82, 'FINE 7 Paper'"
seven,0037,159,60pt,8,figure,1028,2762,163,307,"survey #83, 'FINE 7 Paper'"
P.60pt,,159,60pt,8,cap,1246,2770,226,293,"survey #84, 'FINE 7 Paper'"
a.60pt,,159,60pt,8,lower,1487,2851,197,217,"survey #85, 'FINE 7 Paper'"
p,0070,159,60pt,8,lower,1695,2846,192,274,"survey #86, 'FINE 7 Paper'"
e.60pt,,159,60pt,8,lower,1904,2847,160,221,"survey #87, 'FINE 7 Paper'"
r,0072,159,60pt,8,lower,2080,2847,161,218,"survey #88, 'FINE 7 Paper'"
M,004D,159,54pt,6,cap,367,2026,291,272,"survey #62, 'MODERN'"
O,004F,159,54pt,6,cap,680,2026,238,279,"survey #63, 'MODERN'"
D,0044,159,54pt,6,cap,937,2029,242,270,"survey #64, 'MODERN'"
E.54pt,,159,54pt,6,cap,1200,2029,219,270,"survey #65, 'MODERN'"
R,0052,159,54pt,6,cap,1432,2029,240,271,"survey #66, 'MODERN'"
N.54pt,,159,54pt,6,cap,1687,2030,238,271,"survey #67, 'MODERN'"
C,0043,159,54pt,7,cap,67,2323,216,277,"survey #68, 'Candy 9 Store'"
a.54pt,,159,54pt,7,lower,297,2395,181,205,"survey #69, 'Candy 9 Store'"
n,006E,159,54pt,7,lower,488,2397,183,200,"survey #70, 'Candy 9 Store'"
d,0064,159,54pt,7,lower,688,2325,174,277,"survey #71, 'Candy 9 Store'"
y,0079,159,54pt,7,lower,873,2398,190,253,"survey #72, 'Candy 9 Store'"
nine,0039,159,54pt,7,figure,1165,2326,156,278,"survey #73, 'Candy 9 Store'"
S,0053,159,54pt,7,cap,1423,2329,196,275,"survey #74, 'Candy 9 Store'"
