glyph,unicode,leaf,line,band,category,x,y,w,h,notes
S,0053,409,72pt,8,cap,366,2843,319,319,"survey #60, 'SNAKE'"
N,004E,409,72pt,8,cap,712,2844,324,314,"survey #61, 'SNAKE'"
A,0041,409,72pt,8,cap,1061,2846,330,310,"survey #62, 'SNAKE'"
K,004B,409,72pt,8,cap,1413,2842,326,312,"survey #63, 'SNAKE'"
E,0045,409,72pt,8,cap,1761,2843,322,311,"survey #64, 'SNAKE'"
G,0047,409,72pt,9,cap,153,3236,376,319,"survey #65, 'Greedy 5'"
r,0072,409,72pt,9,lower,552,3321,215,231,"survey #66, 'Greedy 5'"
e,0065,409,72pt,9,lower,790,3323,261,309,"survey #67, 'Greedy 5'"
e.72pt,,409,72pt,9,lower,1077,3322,261,232,"survey #68, 'Greedy 5'"
d,0064,409,72pt,9,lower,1362,3233,274,320,"survey #69, 'Greedy 5'"
y,0079,409,72pt,9,lower,1664,3325,273,307,"survey #70, 'Greedy 5'"
five,0035,409,72pt,9,figure,2014,3234,277,322,"survey #71, 'Greedy 5'"
T,0054,409,60pt,6,cap,434,2013,274,265,"survey #46, 'TIGERS'"
I,0049,409,60pt,6,cap,723,2014,86,265,"survey #47, 'TIGERS'"
G.60pt,,409,60pt,6,cap,837,2016,309,270,"survey #48, 'TIGERS'"
E.60pt,,409,60pt,6,cap,1163,2013,271,266,"survey #49, 'TIGERS'"
R,0052,409,60pt,6,cap,1448,2013,278,266,"survey #50, 'TIGERS'"
S.60pt,,409,60pt,6,cap,1742,2010,259,273,"survey #51, 'TIGERS'"
R.60pt,,409,60pt,7,cap,143,2355,274,267,"survey #52, 'Red 7 Caps'"
e.60pt,,409,60pt,7,lower,428,2422,227,204,"survey #53, 'Red 7 Caps'"
d.60pt,,409,60pt,7,lower,663,2355,238,270,"survey #54, 'Red 7 Caps'"
seven,0037,409,60pt,7,figure,982,2358,222,289,"survey #55, 'Red 7 Caps'"
C,0043,409,60pt,7,cap,1289,2355,278,273,"survey #56, 'Red 7 Caps'"
a,0061,409,60pt,7,lower,1590,2424,240,201,"survey #57, 'Red 7 Caps'"
p,0070,409,60pt,7,lower,1841,2423,235,260,"survey #58, 'Red 7 Caps'"
s,0073,409,60pt,7,lower,2097,2423,212,199,"survey #59, 'Red 7 Caps'"
F,0046,409,48pt,4,cap,319,1299,249,221,"survey #31, 'FOX DOG'"
O,004F,409,48pt,4,cap,576,1295,284,228,"survey #32, 'FOX DOG'"
X,0058,409,48pt,4,cap,877,1299,265,220,"survey #33, 'FOX DOG'"
D,0044,409,48pt,4,cap,1266,1299,259,218,"survey #34, 'FOX DOG'"
O.48pt,,409,48pt,4,cap,1545,1296,283,226,"survey #35, 'FOX DOG'"
G.48pt,,409,48pt,4,cap,1853,1297,284,225,"survey #36, 'FOX DOG'"
L,004C,409,48pt,5,cap,149,1577,231,218,"survey #37, 'Large 8 Man'"
a.48pt,,409,48pt,5,lower,392,1632,218,170,"survey #38, 'Large 8 Man'"
r.48pt,,409,48pt,5,lower,624,1630,158,166,"survey #39, 'Large 8 Man'"
g,0067,409,48pt,5,lower,792,1630,210,219,"survey #40, 'Large 8 Man'"
e.48pt,,409,48pt,5,lower,1015,1629,199,170,"survey #41, 'Large 8 Man'"
eight,0038,409,48pt,5,figure,1274,1572,194,227,"survey #42, 'Large 8 Man'"
M,004D,409,48pt,5,cap,1516,1576,329,223,"survey #43, 'Large 8 Man'"
a.48pt_2,,409,48pt,5,lower,1860,1632,218,168,"survey #44, 'Large 8 Man'"
n,006E,409,48pt,5,lower,2091,1631,216,165,"survey #45, 'Large 8 Man'"
M.36pt,,409,36pt,2,cap,372,694,281,185,"survey #12, 'MINCE PIE'"
I.36pt,,409,36pt,2,cap,665,694,67,183,"survey #13, 'MINCE PIE'"
N.36pt,,409,36pt,2,cap,747,693,205,184,"survey #14, 'MINCE PIE'"
C.36pt,,409,36pt,2,cap,963,690,227,189,"survey #15, 'MINCE PIE'"
E.36pt,,409,36pt,2,cap,1202,694,223,182,"survey #16, 'MINCE PIE'"
P,0050,409,36pt,2,cap,1535,693,213,183,"survey #17, 'MINCE PIE'"
I.36pt_2,,409,36pt,2,cap,1757,694,67,182,"survey #18, 'MINCE PIE'"
E.36pt_2,,409,36pt,2,cap,1839,695,223,182,"survey #19, 'MINCE PIE'"
B,0042,409,36pt,3,cap,141,918,213,183,"survey #20, 'Bread 24 Tray'"
r.36pt,,409,36pt,3,lower,364,960,132,140,"survey #21, 'Bread 24 Tray'"
e.36pt,,409,36pt,3,lower,495,960,167,140,"survey #22, 'Bread 24 Tray'"
a.36pt,,409,36pt,3,lower,666,958,181,143,"survey #23, 'Bread 24 Tray'"
d.36pt,,409,36pt,3,lower,851,914,174,186,"survey #24, 'Bread 24 Tray'"
two,0032,409,36pt,3,figure,1151,910,159,187,"survey #25, 'Bread 24 Tray'"
four,0034,409,36pt,3,figure,1317,911,168,198,"survey #26, 'Bread 24 Tray'"
T.36pt,,409,36pt,3,cap,1596,915,222,182,"survey #27, 'Bread 24 Tray'"
r.36pt_2,,409,36pt,3,lower,1830,959,131,139,"survey #28, 'Bread 24 Tray'"
a.36pt_2,,409,36pt,3,lower,1961,959,180,142,"survey #29, 'Bread 24 Tray'"
y.36pt,,409,36pt,3,lower,2145,962,174,174,"survey #30, 'Bread 24 Tray'"
