glyph,unicode,leaf,line,band,category,x,y,w,h,notes
S,0053,305,60pt,8,cap,474,2911,292,306,"survey #80, 'SONGS'"
O,004F,305,60pt,8,cap,780,2914,292,301,"survey #81, 'SONGS'"
N,004E,305,60pt,8,cap,1096,2914,296,308,"survey #82, 'SONGS'"
G,0047,305,60pt,8,cap,1410,2911,304,304,"survey #83, 'SONGS'"
S.60pt,,305,60pt,8,cap,1723,2910,292,305,"survey #84, 'SONGS'"
B,0042,305,60pt,9,cap,159,3262,298,304,"survey #85, 'By 7 Choir'"
y,0079,305,60pt,9,lower,465,3340,272,294,"survey #86, 'By 7 Choir'"
seven,0037,305,60pt,9,figure,829,3268,244,298,"survey #87, 'By 7 Choir'"
C,0043,305,60pt,9,cap,1177,3266,287,302,"survey #88, 'By 7 Choir'"
h,0068,305,60pt,9,lower,1484,3262,256,300,"survey #89, 'By 7 Choir'"
o,006F,305,60pt,9,lower,1756,3337,238,229,"survey #90, 'By 7 Choir'"
i,0069,305,60pt,9,lower,2015,3263,107,299,"survey #91, 'By 7 Choir'"
r,0072,305,60pt,9,lower,2144,3333,196,230,"survey #92, 'By 7 Choir'"
M,004D,305,48pt,6,cap,422,2065,358,253,"survey #64, 'MELODY'"
E,0045,305,48pt,6,cap,794,2059,226,261,"survey #65, 'MELODY'"
L,004C,305,48pt,6,cap,1034,2064,235,257,"survey #66, 'MELODY'"
O.48pt,,305,48pt,6,cap,1286,2064,240,250,"survey #67, 'MELODY'"
D,0044,305,48pt,6,cap,1549,2061,246,251,"survey #68, 'MELODY'"
Y,0059,305,48pt,6,cap,1805,2064,273,247,"survey #69, 'MELODY'"
P,0050,305,48pt,7,cap,161,2370,232,249,"survey #70, 'Piano 5 Duet'"
i.48pt,,305,48pt,7,lower,406,2372,93,249,"survey #71, 'Piano 5 Duet'"
a,0061,305,48pt,7,lower,516,2432,215,192,"survey #72, 'Piano 5 Duet'"
n,006E,305,48pt,7,lower,742,2428,215,194,"survey #73, 'Piano 5 Duet'"
o.48pt,,305,48pt,7,lower,969,2433,199,193,"survey #74, 'Piano 5 Duet'"
five,0035,305,48pt,7,figure,1245,2374,188,252,"survey #75, 'Piano 5 Duet'"
D.48pt,,305,48pt,7,cap,1534,2372,244,251,"survey #76, 'Piano 5 Duet'"
u,0075,305,48pt,7,lower,1796,2428,215,199,"survey #77, 'Piano 5 Duet'"
e,0065,305,48pt,7,lower,2025,2432,177,192,"survey #78, 'Piano 5 Duet'"
t,0074,305,48pt,7,lower,2208,2379,133,243,"survey #79, 'Piano 5 Duet'"
O.36pt,,305,36pt,4,cap,378,1346,164,198,"survey #40, 'OPERA MUSIC'"
P.36pt,,305,36pt,4,cap,548,1346,161,197,"survey #41, 'OPERA MUSIC'"
E.36pt,,305,36pt,4,cap,714,1342,155,207,"survey #42, 'OPERA MUSIC'"
R,0052,305,36pt,4,cap,872,1348,171,205,"survey #43, 'OPERA MUSIC'"
A,0041,305,36pt,4,cap,1046,1344,193,198,"survey #44, 'OPERA MUSIC'"
M.36pt,,305,36pt,4,cap,1310,1348,242,200,"survey #45, 'OPERA MUSIC'"
U,0055,305,36pt,4,cap,1557,1349,175,194,"survey #46, 'OPERA MUSIC'"
S.36pt,,305,36pt,4,cap,1736,1347,166,199,"survey #47, 'OPERA MUSIC'"
I,0049,305,36pt,4,cap,1906,1348,76,196,"survey #48, 'OPERA MUSIC'"
C.36pt,,305,36pt,4,cap,1990,1347,176,198,"survey #49, 'OPERA MUSIC'"
N.36pt,,305,36pt,5,cap,157,1597,164,198,"survey #50, 'New York 8 Artist'"
e.36pt,,305,36pt,5,lower,331,1639,133,154,"survey #51, 'New York 8 Artist'"
w,0077,305,36pt,5,lower,464,1641,211,153,"survey #52, 'New York 8 Artist'"
Y.36pt,,305,36pt,5,cap,755,1597,186,196,"survey #53, 'New York 8 Artist'"
o.36pt,,305,36pt,5,lower,944,1640,136,154,"survey #54, 'New York 8 Artist'"
r.36pt,,305,36pt,5,lower,1086,1639,113,154,"survey #55, 'New York 8 Artist'"
k,006B,305,36pt,5,lower,1200,1598,157,195,"survey #56, 'New York 8 Artist'"
eight,0038,305,36pt,5,figure,1449,1597,125,197,"survey #57, 'New York 8 Artist'"
A.36pt,,305,36pt,5,cap,1666,1594,192,198,"survey #58, 'New York 8 Artist'"
r.36pt_2,,305,36pt,5,lower,1862,1638,113,155,"survey #59, 'New York 8 Artist'"
t.36pt,,305,36pt,5,lower,1970,1603,92,190,"survey #60, 'New York 8 Artist'"
i.36pt,,305,36pt,5,lower,2063,1597,64,195,"survey #61, 'New York 8 Artist'"
s,0073,305,36pt,5,lower,2129,1640,125,153,"survey #62, 'New York 8 Artist'"
t.36pt_2,,305,36pt,5,lower,2252,1604,92,190,"survey #63, 'New York 8 Artist'"
H,0048,305,30pt,2,cap,464,684,149,167,"survey #13, 'HARMONIOUS'"
A.30pt,,305,30pt,2,cap,620,682,170,170,"survey #14, 'HARMONIOUS'"
R.30pt,,305,30pt,2,cap,797,682,149,169,"survey #15, 'HARMONIOUS'"
M.30pt,,305,30pt,2,cap,951,684,216,171,"survey #16, 'HARMONIOUS'"
O.30pt,,305,30pt,2,cap,1171,684,148,169,"survey #17, 'HARMONIOUS'"
N.30pt,,305,30pt,2,cap,1329,685,146,171,"survey #18, 'HARMONIOUS'"
I.30pt,,305,30pt,2,cap,1490,685,70,168,"survey #19, 'HARMONIOUS'"
O.30pt_2,,305,30pt,2,cap,1571,684,149,169,"survey #20, 'HARMONIOUS'"
U.30pt,,305,30pt,2,cap,1723,685,159,171,"survey #21, 'HARMONIOUS'"
S.30pt,,305,30pt,2,cap,1885,684,143,170,"survey #22, 'HARMONIOUS'"
S.30pt_2,,305,30pt,3,cap,155,905,141,170,"survey #23, 'Strains in 2 Discord'"
t.30pt,,305,30pt,3,lower,300,911,82,163,"survey #24, 'Strains in 2 Discord'"
r.30pt,,305,30pt,3,lower,388,938,102,134,"survey #25, 'Strains in 2 Discord'"
a.30pt,,305,30pt,3,lower,492,939,126,134,"survey #26, 'Strains in 2 Discord'"
i.30pt,,305,30pt,3,lower,627,904,60,168,"survey #27, 'Strains in 2 Discord'"
n.30pt,,305,30pt,3,lower,700,937,131,135,"survey #28, 'Strains in 2 Discord'"
s.30pt,,305,30pt,3,lower,842,940,114,133,"survey #29, 'Strains in 2 Discord'"
i.30pt_2,,305,30pt,3,lower,1027,904,59,168,"survey #30, 'Strains in 2 Discord'"
n.30pt_2,,305,30pt,3,lower,1099,938,132,135,"survey #31, 'Strains in 2 Discord'"
two,0032,305,30pt,3,figure,1307,906,112,167,"survey #32, 'Strains in 2 Discord'"
D.30pt,,305,30pt,3,cap,1496,905,147,170,"survey #33, 'Strains in 2 Discord'"
i.30pt_3,,305,30pt,3,lower,1651,905,59,168,"survey #34, 'Strains in 2 Discord'"
s.30pt_2,,305,30pt,3,lower,1723,940,115,133,"survey #35, 'Strains in 2 Discord'"
c,0063,305,30pt,3,lower,1848,940,117,135,"survey #36, 'Strains in 2 Discord'"
o.30pt,,305,30pt,3,lower,1970,941,119,134,"survey #37, 'Strains in 2 Discord'"
r.30pt_2,,305,30pt,3,lower,2100,939,103,134,"survey #38, 'Strains in 2 Discord'"
d,0064,305,30pt,3,lower,2207,906,131,172,"survey #39, 'Strains in 2 Discord'"
