glyph,unicode,leaf,line,band,category,x,y,w,h,notes
R,0052,307,72pt,4,cap,363,1536,190,355,"survey #43, 'RELIC SOLD'"
E,0045,307,72pt,4,cap,566,1526,174,358,"survey #44, 'RELIC SOLD'"
L,004C,307,72pt,4,cap,752,1534,179,348,"survey #45, 'RELIC SOLD'"
I,0049,307,72pt,4,cap,938,1535,91,337,"survey #46, 'RELIC SOLD'"
C,0043,307,72pt,4,cap,1044,1532,181,343,"survey #47, 'RELIC SOLD'"
S,0053,307,72pt,4,cap,1341,1534,176,341,"survey #48, 'RELIC SOLD'"
O,004F,307,72pt,4,cap,1540,1536,187,338,"survey #49, 'RELIC SOLD'"
L.72pt,,307,72pt,4,cap,1747,1534,178,347,"survey #50, 'RELIC SOLD'"
D,0044,307,72pt,4,cap,1939,1530,191,342,"survey #51, 'RELIC SOLD'"
H,0048,307,72pt,5,cap,164,1953,191,337,"survey #52, 'Heavy 7 Rocker'"
e,0065,307,72pt,5,lower,371,2041,149,252,"survey #53, 'Heavy 7 Rocker'"
a,0061,307,72pt,5,lower,536,2042,165,251,"survey #54, 'Heavy 7 Rocker'"
v,0076,307,72pt,5,lower,711,2046,160,257,"survey #55, 'Heavy 7 Rocker'"
y,0079,307,72pt,5,lower,879,2046,174,323,"survey #56, 'Heavy 7 Rocker'"
seven,0037,307,72pt,5,figure,1112,1956,157,335,"survey #57, 'Heavy 7 Rocker'"
R.72pt,,307,72pt,5,cap,1319,1957,193,338,"survey #58, 'Heavy 7 Rocker'"
o,006F,307,72pt,5,lower,1527,2043,155,250,"survey #59, 'Heavy 7 Rocker'"
c,0063,307,72pt,5,lower,1697,2043,145,250,"survey #60, 'Heavy 7 Rocker'"
k,006B,307,72pt,5,lower,1855,1961,177,329,"survey #61, 'Heavy 7 Rocker'"
e.72pt,,307,72pt,5,lower,2048,2040,150,252,"survey #62, 'Heavy 7 Rocker'"
r,0072,307,72pt,5,lower,2214,2037,128,253,"survey #63, 'Heavy 7 Rocker'"
E.60pt,,307,60pt,2,cap,483,643,152,311,"survey #18, 'EXPOSITION'"
X,0058,307,60pt,2,cap,637,651,176,292,"survey #19, 'EXPOSITION'"
P,0050,307,60pt,2,cap,825,648,158,295,"survey #20, 'EXPOSITION'"
O.60pt,,307,60pt,2,cap,992,650,164,295,"survey #21, 'EXPOSITION'"
S.60pt,,307,60pt,2,cap,1170,650,151,296,"survey #22, 'EXPOSITION'"
I.60pt,,307,60pt,2,cap,1328,653,78,293,"survey #23, 'EXPOSITION'"
T,0054,307,60pt,2,cap,1411,648,165,296,"survey #24, 'EXPOSITION'"
I.60pt_2,,307,60pt,2,cap,1582,651,77,293,"survey #25, 'EXPOSITION'"
O.60pt_2,,307,60pt,2,cap,1671,651,163,295,"survey #26, 'EXPOSITION'"
N,004E,307,60pt,2,cap,1844,652,165,296,"survey #27, 'EXPOSITION'"
S.60pt_2,,307,60pt,3,cap,167,1005,147,296,"survey #28, 'Shaving 4 Parlors'"
h,0068,307,60pt,3,lower,324,1005,144,293,"survey #29, 'Shaving 4 Parlors'"
a.60pt,,307,60pt,3,lower,475,1042,143,255,"survey #30, 'Shaving 4 Parlors'"
v.60pt,,307,60pt,3,lower,625,1081,137,223,"survey #31, 'Shaving 4 Parlors'"
i,0069,307,60pt,3,lower,775,1001,63,295,"survey #32, 'Shaving 4 Parlors'"
n,006E,307,60pt,3,lower,856,1075,138,221,"survey #33, 'Shaving 4 Parlors'"
g,0067,307,60pt,3,lower,1008,1077,166,292,"survey #34, 'Shaving 4 Parlors'"
four,0034,307,60pt,3,figure,1237,1000,129,296,"survey #35, 'Shaving 4 Parlors'"
P.60pt,,307,60pt,3,cap,1440,1002,159,295,"survey #36, 'Shaving 4 Parlors'"
a.60pt_2,,307,60pt,3,lower,1606,1078,142,219,"survey #37, 'Shaving 4 Parlors'"
r.60pt,,307,60pt,3,lower,1762,1077,108,219,"survey #38, 'Shaving 4 Parlors'"
l,006C,307,60pt,3,lower,1879,1006,64,291,"survey #39, 'Shaving 4 Parlors'"
o.60pt,,307,60pt,3,lower,1955,1078,134,220,"survey #40, 'Shaving 4 Parlors'"
r.60pt_2,,307,60pt,3,lower,2104,1076,109,220,"survey #41, 'Shaving 4 Parlors'"
s,0073,307,60pt,3,lower,2216,1080,120,217,"survey #42, 'Shaving 4 Parlors'"
C.36pt,,306,36pt,7,cap,379,2522,92,187,"survey #155, 'COSTUMES FROM PARIS'"
O.36pt,,306,36pt,7,cap,478,2523,96,187,"survey #156, 'COSTUMES FROM PARIS'"
S.36pt,,306,36pt,7,cap,579,2522,89,188,"survey #157, 'COSTUMES FROM PARIS'"
T.36pt,,306,36pt,7,cap,670,2520,96,188,"survey #158, 'COSTUMES FROM PARIS'"
U,0055,306,36pt,7,cap,767,2523,102,187,"survey #159, 'COSTUMES FROM PARIS'"
M,004D,306,36pt,7,cap,871,2522,140,190,"survey #160, 'COSTUMES FROM PARIS'"
E.36pt,,306,36pt,7,cap,1015,2517,91,196,"survey #161, 'COSTUMES FROM PARIS'"
S.36pt_2,,306,36pt,7,cap,1108,2521,90,188,"survey #162, 'COSTUMES FROM PARIS'"
F,0046,306,36pt,7,cap,1271,2515,88,192,"survey #163, 'COSTUMES FROM PARIS'"
R.36pt,,306,36pt,7,cap,1365,2522,96,184,"survey #164, 'COSTUMES FROM PARIS'"
O.36pt_2,,306,36pt,7,cap,1465,2521,97,187,"survey #165, 'COSTUMES FROM PARIS'"
M.36pt,,306,36pt,7,cap,1564,2522,140,190,"survey #166, 'COSTUMES FROM PARIS'"
P.36pt,,306,36pt,7,cap,1775,2520,94,187,"survey #167, 'COSTUMES FROM PARIS'"
A,0041,306,36pt,7,cap,1868,2519,113,187,"survey #168, 'COSTUMES FROM PARIS'"
R.36pt_2,,306,36pt,7,cap,1986,2521,93,192,"survey #169, 'COSTUMES FROM PARIS'"
I.36pt,,306,36pt,7,cap,2086,2522,44,184,"survey #170, 'COSTUMES FROM PARIS'"
S.36pt_3,,306,36pt,7,cap,2134,2520,89,188,"survey #171, 'COSTUMES FROM PARIS'"
H.36pt,,306,36pt,8,cap,198,2734,94,186,"survey #172, 'Handsome Face 5 Appearance'"
a.36pt,,306,36pt,8,lower,301,2775,86,147,"survey #173, 'Handsome Face 5 Appearance'"
n.36pt,,306,36pt,8,lower,390,2773,86,148,"survey #174, 'Handsome Face 5 Appearance'"
d,0064,306,36pt,8,lower,480,2734,84,190,"survey #175, 'Handsome Face 5 Appearance'"
s.36pt,,306,36pt,8,lower,569,2776,71,146,"survey #176, 'Handsome Face 5 Appearance'"
o.36pt,,306,36pt,8,lower,645,2775,81,147,"survey #177, 'Handsome Face 5 Appearance'"
m,006D,306,36pt,8,lower,730,2772,128,148,"survey #178, 'Handsome Face 5 Appearance'"
e.36pt,,306,36pt,8,lower,864,2774,78,147,"survey #179, 'Handsome Face 5 Appearance'"
F.36pt,,306,36pt,8,cap,1006,2727,88,193,"survey #180, 'Handsome Face 5 Appearance'"
a.36pt_2,,306,36pt,8,lower,1098,2774,86,147,"survey #181, 'Handsome Face 5 Appearance'"
c.36pt,,306,36pt,8,lower,1188,2775,76,146,"survey #182, 'Handsome Face 5 Appearance'"
e.36pt_2,,306,36pt,8,lower,1268,2774,78,147,"survey #183, 'Handsome Face 5 Appearance'"
five,0035,306,36pt,8,figure,1407,2733,72,188,"survey #184, 'Handsome Face 5 Appearance'"
A.36pt,,306,36pt,8,cap,1535,2731,113,188,"survey #185, 'Handsome Face 5 Appearance'"
p,0070,306,36pt,8,lower,1651,2772,84,188,"survey #186, 'Handsome Face 5 Appearance'"
p.36pt,,306,36pt,8,lower,1740,2772,85,188,"survey #187, 'Handsome Face 5 Appearance'"
e.36pt_3,,306,36pt,8,lower,1830,2773,78,147,"survey #188, 'Handsome Face 5 Appearance'"
a.36pt_3,,306,36pt,8,lower,1913,2773,86,146,"survey #189, 'Handsome Face 5 Appearance'"
r.36pt,,306,36pt,8,lower,2003,2771,65,147,"survey #190, 'Handsome Face 5 Appearance'"
a.36pt_4,,306,36pt,8,lower,2068,2772,86,146,"survey #191, 'Handsome Face 5 Appearance'"
n.36pt_2,,306,36pt,8,lower,2158,2769,85,148,"survey #192, 'Handsome Face 5 Appearance'"
c.36pt_2,,306,36pt,8,lower,2246,2773,75,146,"survey #193, 'Handsome Face 5 Appearance'"
e.36pt_4,,306,36pt,8,lower,2324,2773,78,146,"survey #194, 'Handsome Face 5 Appearance'"
