glyph,unicode,leaf,line,band,category,x,y,w,h,notes
B,0042,309,72pt,4,cap,310,1569,159,361,"survey #56, 'BAND STANDS'"
A,0041,309,72pt,4,cap,475,1568,183,359,"survey #57, 'BAND STANDS'"
N,004E,309,72pt,4,cap,667,1569,158,362,"survey #58, 'BAND STANDS'"
D,0044,309,72pt,4,cap,847,1568,161,364,"survey #59, 'BAND STANDS'"
S,0053,309,72pt,4,cap,1151,1571,147,358,"survey #60, 'BAND STANDS'"
T,0054,309,72pt,4,cap,1305,1566,164,361,"survey #61, 'BAND STANDS'"
A.72pt,,309,72pt,4,cap,1472,1568,183,360,"survey #62, 'BAND STANDS'"
N.72pt,,309,72pt,4,cap,1665,1570,158,363,"survey #63, 'BAND STANDS'"
D.72pt,,309,72pt,4,cap,1845,1570,160,363,"survey #64, 'BAND STANDS'"
S.72pt,,309,72pt,4,cap,2015,1573,146,358,"survey #65, 'BAND STANDS'"
P,0050,309,72pt,5,cap,154,1964,148,358,"survey #66, 'Pumpkin 6 Garden'"
u,0075,309,72pt,5,lower,314,2052,127,278,"survey #67, 'Pumpkin 6 Garden'"
m,006D,309,72pt,5,lower,455,2048,210,276,"survey #68, 'Pumpkin 6 Garden'"
p,0070,309,72pt,5,lower,683,2055,128,346,"survey #69, 'Pumpkin 6 Garden'"
k,006B,309,72pt,5,lower,827,1967,141,356,"survey #70, 'Pumpkin 6 Garden'"
i,0069,309,72pt,5,lower,978,1966,60,359,"survey #71, 'Pumpkin 6 Garden'"
n,006E,309,72pt,5,lower,1057,2052,138,273,"survey #72, 'Pumpkin 6 Garden'"
six,0036,309,72pt,5,figure,1268,1963,119,366,"survey #73, 'Pumpkin 6 Garden'"
G,0047,309,72pt,5,cap,1452,1967,163,360,"survey #74, 'Pumpkin 6 Garden'"
a,0061,309,72pt,5,lower,1624,2057,139,270,"survey #75, 'Pumpkin 6 Garden'"
r,0072,309,72pt,5,lower,1775,2056,107,270,"survey #76, 'Pumpkin 6 Garden'"
d,0064,309,72pt,5,lower,1889,1966,138,368,"survey #77, 'Pumpkin 6 Garden'"
e,0065,309,72pt,5,lower,2040,2057,128,271,"survey #78, 'Pumpkin 6 Garden'"
n.72pt,,309,72pt,5,lower,2180,2054,137,272,"survey #79, 'Pumpkin 6 Garden'"
C,0043,309,60pt,2,cap,403,708,124,299,"survey #28, 'CREAM CHEESE'"
R,0052,309,60pt,2,cap,537,706,132,300,"survey #29, 'CREAM CHEESE'"
E,0045,309,60pt,2,cap,679,699,122,317,"survey #30, 'CREAM CHEESE'"
A.60pt,,309,60pt,2,cap,806,705,154,299,"survey #31, 'CREAM CHEESE'"
M,004D,309,60pt,2,cap,963,708,192,305,"survey #32, 'CREAM CHEESE'"
C.60pt,,309,60pt,2,cap,1276,708,125,299,"survey #33, 'CREAM CHEESE'"
H,0048,309,60pt,2,cap,1411,708,131,298,"survey #34, 'CREAM CHEESE'"
E.60pt,,309,60pt,2,cap,1561,701,121,317,"survey #35, 'CREAM CHEESE'"
E.60pt_2,,309,60pt,2,cap,1693,702,121,317,"survey #36, 'CREAM CHEESE'"
S.60pt,,309,60pt,2,cap,1819,710,121,299,"survey #37, 'CREAM CHEESE'"
E.60pt_3,,309,60pt,2,cap,1953,702,120,317,"survey #38, 'CREAM CHEESE'"
A.60pt_2,,309,60pt,3,cap,151,1039,150,298,"survey #39, 'American 8 Products'"
m.60pt,,309,60pt,3,lower,308,1108,171,228,"survey #40, 'American 8 Products'"
e.60pt,,309,60pt,3,lower,493,1110,104,228,"survey #41, 'American 8 Products'"
r.60pt,,309,60pt,3,lower,602,1108,88,228,"survey #42, 'American 8 Products'"
i.60pt,,309,60pt,3,lower,694,1038,50,298,"survey #43, 'American 8 Products'"
c,0063,309,60pt,3,lower,756,1109,103,228,"survey #44, 'American 8 Products'"
a.60pt,,309,60pt,3,lower,866,1108,116,229,"survey #45, 'American 8 Products'"
n.60pt,,309,60pt,3,lower,991,1104,115,231,"survey #46, 'American 8 Products'"
eight,0038,309,60pt,3,figure,1211,1039,103,299,"survey #47, 'American 8 Products'"
P.60pt,,309,60pt,3,cap,1426,1036,128,301,"survey #48, 'American 8 Products'"
r.60pt_2,,309,60pt,3,lower,1561,1109,88,228,"survey #49, 'American 8 Products'"
o,006F,309,60pt,3,lower,1653,1111,109,227,"survey #50, 'American 8 Products'"
d.60pt,,309,60pt,3,lower,1778,1040,113,304,"survey #51, 'American 8 Products'"
u.60pt,,309,60pt,3,lower,1902,1109,115,235,"survey #52, 'American 8 Products'"
c.60pt,,309,60pt,3,lower,2027,1112,103,228,"survey #53, 'American 8 Products'"
t,0074,309,60pt,3,lower,2132,1045,85,296,"survey #54, 'American 8 Products'"
s,0073,309,60pt,3,lower,2224,1113,98,228,"survey #55, 'American 8 Products'"
S.35pt,,308,35pt,6,cap,491,2420,74,199,"survey #168, 'SOLDIER BOYS MARCHING'"
O,004F,308,35pt,6,cap,565,2420,80,200,"survey #169, 'SOLDIER BOYS MARCHING'"
L,004C,308,35pt,6,cap,651,2420,76,204,"survey #170, 'SOLDIER BOYS MARCHING'"
D.35pt,,308,35pt,6,cap,728,2417,81,202,"survey #171, 'SOLDIER BOYS MARCHING'"
I,0049,308,35pt,6,cap,816,2418,41,199,"survey #172, 'SOLDIER BOYS MARCHING'"
E.35pt,,308,35pt,6,cap,860,2415,75,208,"survey #173, 'SOLDIER BOYS MARCHING'"
