glyph,unicode,leaf,line,band,category,x,y,w,h,notes
S,0053,480,60pt,8,cap,198,3232,211,293,"survey #160, 'Sonata 9 Wonder'"
o,006F,480,60pt,8,lower,425,3310,139,217,"survey #161, 'Sonata 9 Wonder'"
n,006E,480,60pt,8,lower,570,3308,144,219,"survey #162, 'Sonata 9 Wonder'"
a,0061,480,60pt,8,lower,722,3309,136,217,"survey #163, 'Sonata 9 Wonder'"
t,0074,480,60pt,8,lower,860,3256,91,271,"survey #164, 'Sonata 9 Wonder'"
a.60pt,,480,60pt,8,lower,953,3309,136,217,"survey #165, 'Sonata 9 Wonder'"
nine,0039,480,60pt,8,figure,1176,3231,152,293,"survey #166, 'Sonata 9 Wonder'"
W,0057,480,60pt,8,cap,1412,3232,292,294,"survey #167, 'Sonata 9 Wonder'"
o.60pt,,480,60pt,8,lower,1721,3307,139,218,"survey #168, 'Sonata 9 Wonder'"
n.60pt,,480,60pt,8,lower,1865,3306,145,218,"survey #169, 'Sonata 9 Wonder'"
d,0064,480,60pt,8,lower,2019,3226,143,297,"survey #170, 'Sonata 9 Wonder'"
e,0065,480,60pt,8,lower,2165,3304,121,218,"survey #171, 'Sonata 9 Wonder'"
r,0072,480,60pt,8,lower,2287,3302,123,219,"survey #172, 'Sonata 9 Wonder'"
R,0052,480,48pt,7,cap,204,2818,193,248,"survey #143, 'Revenger 8 Hardened'"
e.48pt,,480,48pt,7,lower,402,2881,98,182,"survey #144, 'Revenger 8 Hardened'"
v,0076,480,48pt,7,lower,503,2881,116,184,"survey #145, 'Revenger 8 Hardened'"
e.48pt_2,,480,48pt,7,lower,624,2881,98,182,"survey #146, 'Revenger 8 Hardened'"
n.48pt,,480,48pt,7,lower,726,2881,118,183,"survey #147, 'Revenger 8 Hardened'"
g,0067,480,48pt,7,lower,846,2881,111,228,"survey #148, 'Revenger 8 Hardened'"
e.48pt_3,,480,48pt,7,lower,961,2880,98,183,"survey #149, 'Revenger 8 Hardened'"
r.48pt,,480,48pt,7,lower,1061,2880,100,183,"survey #150, 'Revenger 8 Hardened'"
eight,0038,480,48pt,7,figure,1238,2820,122,244,"survey #151, 'Revenger 8 Hardened'"
H,0048,480,48pt,7,cap,1451,2818,190,246,"survey #152, 'Revenger 8 Hardened'"
a.48pt,,480,48pt,7,lower,1643,2879,110,183,"survey #153, 'Revenger 8 Hardened'"
r.48pt_2,,480,48pt,7,lower,1756,2879,100,183,"survey #154, 'Revenger 8 Hardened'"
d.48pt,,480,48pt,7,lower,1856,2815,116,247,"survey #155, 'Revenger 8 Hardened'"
e.48pt_4,,480,48pt,7,lower,1973,2878,98,183,"survey #156, 'Revenger 8 Hardened'"
n.48pt_2,,480,48pt,7,lower,2074,2879,117,183,"survey #157, 'Revenger 8 Hardened'"
e.48pt_5,,480,48pt,7,lower,2194,2877,98,183,"survey #158, 'Revenger 8 Hardened'"
d.48pt_2,,480,48pt,7,lower,2296,2814,115,263,"survey #159, 'Revenger 8 Hardened'"
S.36pt,,480,36pt,6,cap,196,2441,130,194,"survey #123, 'Small Change 7 Came Slow'"
m,006D,480,36pt,6,lower,325,2488,132,147,"survey #124, 'Small Change 7 Came Slow'"
a.36pt,,480,36pt,6,lower,460,2487,85,147,"survey #125, 'Small Change 7 Came Slow'"
l,006C,480,36pt,6,lower,550,2442,41,193,"survey #126, 'Small Change 7 Came Slow'"
l.36pt,,480,36pt,6,lower,597,2442,42,193,"survey #127, 'Small Change 7 Came Slow'"
C,0043,480,36pt,6,cap,719,2442,124,195,"survey #128, 'Small Change 7 Came Slow'"
h,0068,480,36pt,6,lower,845,2443,87,194,"survey #129, 'Small Change 7 Came Slow'"
a.36pt_2,,480,36pt,6,lower,934,2451,84,185,"survey #130, 'Small Change 7 Came Slow'"
n.36pt,,480,36pt,6,lower,1020,2488,89,147,"survey #131, 'Small Change 7 Came Slow'"
g.36pt,,480,36pt,6,lower,1111,2488,85,182,"survey #132, 'Small Change 7 Came Slow'"
e.36pt,,480,36pt,6,lower,1199,2489,75,148,"survey #133, 'Small Change 7 Came Slow'"
seven,0037,480,36pt,6,figure,1356,2442,91,196,"survey #134, 'Small Change 7 Came Slow'"
C.36pt,,480,36pt,6,cap,1532,2441,124,196,"survey #135, 'Small Change 7 Came Slow'"
a.36pt_3,,480,36pt,6,lower,1656,2487,85,149,"survey #136, 'Small Change 7 Came Slow'"
m.36pt,,480,36pt,6,lower,1740,2488,131,147,"survey #137, 'Small Change 7 Came Slow'"
e.36pt_2,,480,36pt,6,lower,1873,2489,75,147,"survey #138, 'Small Change 7 Came Slow'"
S.36pt_2,,480,36pt,6,cap,2015,2441,129,194,"survey #139, 'Small Change 7 Came Slow'"
l.36pt_2,,480,36pt,6,lower,2148,2441,42,193,"survey #140, 'Small Change 7 Came Slow'"
