glyph,unicode,leaf,line,band,category,x,y,w,h,notes
G,0047,72,54pt,3,cap,570,2977,82,285,"survey #41, 'GRAND SUMMER HOUSE ~'"
R,0052,72,54pt,3,cap,649,2980,98,281,"survey #42, 'GRAND SUMMER HOUSE ~'"
A,0041,72,54pt,3,cap,747,2980,89,280,"survey #43, 'GRAND SUMMER HOUSE ~'"
N,004E,72,54pt,3,cap,833,2979,92,284,"survey #44, 'GRAND SUMMER HOUSE ~'"
D,0044,72,54pt,3,cap,923,2980,94,282,"survey #45, 'GRAND SUMMER HOUSE ~'"
S,0053,72,54pt,3,cap,1084,2979,74,284,"survey #46, 'GRAND SUMMER HOUSE ~'"
U,0055,72,54pt,3,cap,1153,2979,92,284,"survey #47, 'GRAND SUMMER HOUSE ~'"
M,004D,72,54pt,3,cap,1242,2979,120,283,"survey #48, 'GRAND SUMMER HOUSE ~'"
M.54pt,,72,54pt,3,cap,1360,2979,121,283,"survey #49, 'GRAND SUMMER HOUSE ~'"
E,0045,72,54pt,3,cap,1479,2978,80,284,"survey #50, 'GRAND SUMMER HOUSE ~'"
R.54pt,,72,54pt,3,cap,1557,2979,99,283,"survey #51, 'GRAND SUMMER HOUSE ~'"
H,0048,72,54pt,3,cap,1719,2979,93,283,"survey #52, 'GRAND SUMMER HOUSE ~'"
O,004F,72,54pt,3,cap,1812,2978,80,284,"survey #53, 'GRAND SUMMER HOUSE ~'"
U.54pt,,72,54pt,3,cap,1891,2979,90,283,"survey #54, 'GRAND SUMMER HOUSE ~'"
S.54pt,,72,54pt,3,cap,1980,2979,74,283,"survey #55, 'GRAND SUMMER HOUSE ~'"
E.54pt,,72,54pt,3,cap,2052,2978,78,283,"survey #56, 'GRAND SUMMER HOUSE ~'"
S.54pt_2,,72,54pt,4,cap,244,3278,74,282,"survey #58, 'Situated Near Canal City Montana 7 ~'"
i,0069,72,54pt,4,lower,313,3280,36,279,"survey #59, 'Situated Near Canal City Montana 7 ~'"
