glyph,unicode,leaf,line,band,category,x,y,w,h,notes
P,0050,313,96pt,6,cap,416,2468,238,511,"survey #73, 'PROTECT'"
R,0052,313,96pt,6,cap,670,2469,244,519,"survey #74, 'PROTECT'"
O,004F,313,96pt,6,cap,938,2464,243,524,"survey #75, 'PROTECT'"
T,0054,313,96pt,6,cap,1207,2471,240,512,"survey #76, 'PROTECT'"
E,0045,313,96pt,6,cap,1462,2470,228,513,"survey #77, 'PROTECT'"
C,0043,313,96pt,6,cap,1713,2467,217,518,"survey #78, 'PROTECT'"
T.96pt,,313,96pt,6,cap,1951,2472,240,511,"survey #79, 'PROTECT'"
T.96pt_2,,313,96pt,7,cap,207,3037,235,511,"survey #80, 'Three 7 Boys'"
h,0068,313,96pt,7,lower,459,3041,183,510,"survey #81, 'Three 7 Boys'"
r,0072,313,96pt,7,lower,665,3187,150,366,"survey #82, 'Three 7 Boys'"
e,0065,313,96pt,7,lower,826,3188,160,368,"survey #83, 'Three 7 Boys'"
e.96pt,,313,96pt,7,lower,1006,3189,160,368,"survey #84, 'Three 7 Boys'"
seven,0037,313,96pt,7,figure,1260,3038,202,516,"survey #85, 'Three 7 Boys'"
B,0042,313,96pt,7,cap,1568,3043,242,511,"survey #86, 'Three 7 Boys'"
o,006F,313,96pt,7,lower,1829,3048,177,510,"survey #87, 'Three 7 Boys'"
y,0079,313,96pt,7,lower,2019,3194,184,407,"survey #88, 'Three 7 Boys'"
s,0073,313,96pt,7,lower,2213,3188,157,370,"survey #89, 'Three 7 Boys'"
F,0046,313,72pt,4,cap,472,1512,132,354,"survey #45, 'FIERCE FIRES'"
I,0049,313,72pt,4,cap,620,1513,61,355,"survey #46, 'FIERCE FIRES'"
E.72pt,,313,72pt,4,cap,697,1513,134,355,"survey #47, 'FIERCE FIRES'"
R.72pt,,313,72pt,4,cap,848,1514,143,355,"survey #48, 'FIERCE FIRES'"
C.72pt,,313,72pt,4,cap,1004,1512,140,361,"survey #49, 'FIERCE FIRES'"
E.72pt_2,,313,72pt,4,cap,1163,1515,133,354,"survey #50, 'FIERCE FIRES'"
F.72pt,,313,72pt,4,cap,1414,1515,132,354,"survey #51, 'FIERCE FIRES'"
I.72pt,,313,72pt,4,cap,1562,1517,61,354,"survey #52, 'FIERCE FIRES'"
R.72pt_2,,313,72pt,4,cap,1634,1517,142,354,"survey #53, 'FIERCE FIRES'"
E.72pt_3,,313,72pt,4,cap,1794,1517,134,354,"survey #54, 'FIERCE FIRES'"
S,0053,313,72pt,4,cap,1950,1514,141,359,"survey #55, 'FIERCE FIRES'"
H,0048,313,72pt,5,cap,202,1909,132,354,"survey #56, 'Handsome 8 Building'"
a,0061,313,72pt,5,lower,343,2007,117,257,"survey #57, 'Handsome 8 Building'"
n,006E,313,72pt,5,lower,461,2007,110,257,"survey #58, 'Handsome 8 Building'"
d,0064,313,72pt,5,lower,579,1906,120,362,"survey #59, 'Handsome 8 Building'"
s.72pt,,313,72pt,5,lower,701,2010,100,257,"survey #60, 'Handsome 8 Building'"
o.72pt,,313,72pt,5,lower,806,2010,104,257,"survey #61, 'Handsome 8 Building'"
m,006D,313,72pt,5,lower,913,2009,164,256,"survey #62, 'Handsome 8 Building'"
e.72pt,,313,72pt,5,lower,1085,2011,102,257,"survey #63, 'Handsome 8 Building'"
eight,0038,313,72pt,5,figure,1285,1910,142,359,"survey #64, 'Handsome 8 Building'"
B.72pt,,313,72pt,5,cap,1525,1914,140,353,"survey #65, 'Handsome 8 Building'"
u,0075,313,72pt,5,lower,1676,2015,116,257,"survey #66, 'Handsome 8 Building'"
i,0069,313,72pt,5,lower,1793,1910,67,358,"survey #67, 'Handsome 8 Building'"
l,006C,313,72pt,5,lower,1866,1912,69,356,"survey #68, 'Handsome 8 Building'"
d.72pt,,313,72pt,5,lower,1943,1910,118,361,"survey #69, 'Handsome 8 Building'"
i.72pt,,313,72pt,5,lower,2060,1910,67,358,"survey #70, 'Handsome 8 Building'"
n.72pt,,313,72pt,5,lower,2135,2011,110,257,"survey #71, 'Handsome 8 Building'"
g,0067,313,72pt,5,lower,2250,2014,129,329,"survey #72, 'Handsome 8 Building'"
H.60pt,,313,60pt,2,cap,464,698,121,290,"survey #13, 'HUDSON STREET'"
U,0055,313,60pt,2,cap,598,698,115,295,"survey #14, 'HUDSON STREET'"
D,0044,313,60pt,2,cap,722,700,124,288,"survey #15, 'HUDSON STREET'"
S.60pt,,313,60pt,2,cap,857,695,120,297,"survey #16, 'HUDSON STREET'"
O.60pt,,313,60pt,2,cap,993,699,125,293,"survey #17, 'HUDSON STREET'"
N,004E,313,60pt,2,cap,1136,701,117,289,"survey #18, 'HUDSON STREET'"
S.60pt_2,,313,60pt,2,cap,1351,698,121,297,"survey #19, 'HUDSON STREET'"
T.60pt,,313,60pt,2,cap,1481,702,122,289,"survey #20, 'HUDSON STREET'"
R.60pt,,313,60pt,2,cap,1610,703,120,292,"survey #21, 'HUDSON STREET'"
E.60pt,,313,60pt,2,cap,1739,704,115,289,"survey #22, 'HUDSON STREET'"
E.60pt_2,,313,60pt,2,cap,1868,704,114,289,"survey #23, 'HUDSON STREET'"
T.60pt_2,,313,60pt,2,cap,1996,704,112,288,"survey #24, 'HUDSON STREET'"
S.60pt_3,,313,60pt,3,cap,203,1026,118,298,"survey #25, 'Splendid 54 Investment'"
p,0070,313,60pt,3,lower,328,1102,94,267,"survey #26, 'Splendid 54 Investment'"
l.60pt,,313,60pt,3,lower,427,1027,50,293,"survey #27, 'Splendid 54 Investment'"
e.60pt,,313,60pt,3,lower,484,1101,88,222,"survey #28, 'Splendid 54 Investment'"
n.60pt,,313,60pt,3,lower,574,1103,91,217,"survey #29, 'Splendid 54 Investment'"
d.60pt,,313,60pt,3,lower,673,1028,99,295,"survey #30, 'Splendid 54 Investment'"
i.60pt,,313,60pt,3,lower,774,1029,51,292,"survey #31, 'Splendid 54 Investment'"
d.60pt_2,,313,60pt,3,lower,835,1029,98,294,"survey #32, 'Splendid 54 Investment'"
five,0035,313,60pt,3,figure,1063,1026,108,300,"survey #33, 'Splendid 54 Investment'"
four,0034,313,60pt,3,figure,1183,1029,130,293,"survey #34, 'Splendid 54 Investment'"
I.60pt,,313,60pt,3,cap,1439,1033,55,289,"survey #35, 'Splendid 54 Investment'"
n.60pt_2,,313,60pt,3,lower,1502,1107,92,217,"survey #36, 'Splendid 54 Investment'"
v,0076,313,60pt,3,lower,1600,1109,93,220,"survey #37, 'Splendid 54 Investment'"
e.60pt_2,,313,60pt,3,lower,1701,1106,87,221,"survey #38, 'Splendid 54 Investment'"
s.60pt,,313,60pt,3,lower,1794,1067,84,260,"survey #39, 'Splendid 54 Investment'"
t,0074,313,60pt,3,lower,1878,1065,85,263,"survey #40, 'Splendid 54 Investment'"
m.60pt,,313,60pt,3,lower,1967,1108,132,217,"survey #41, 'Splendid 54 Investment'"
e.60pt_3,,313,60pt,3,lower,2105,1106,88,222,"survey #42, 'Splendid 54 Investment'"
n.60pt_3,,313,60pt,3,lower,2195,1109,92,216,"survey #43, 'Splendid 54 Investment'"
t.60pt,,313,60pt,3,lower,2288,1065,85,263,"survey #44, 'Splendid 54 Investment'"
P.48pt,,312,48pt,6,cap,436,3052,103,241,"survey #129, 'POLITICAL MEETINGS'"
O.48pt,,312,48pt,6,cap,536,3049,115,246,"survey #130, 'POLITICAL MEETINGS'"
L,004C,312,48pt,6,cap,651,3051,98,242,"survey #131, 'POLITICAL MEETINGS'"
I.48pt,,312,48pt,6,cap,755,3051,46,242,"survey #132, 'POLITICAL MEETINGS'"
T.48pt,,312,48pt,6,cap,803,3052,104,241,"survey #133, 'POLITICAL MEETINGS'"
I.48pt_2,,312,48pt,6,cap,911,3051,46,242,"survey #134, 'POLITICAL MEETINGS'"
C.48pt,,312,48pt,6,cap,960,3049,113,247,"survey #135, 'POLITICAL MEETINGS'"
A,0041,312,48pt,6,cap,1072,3050,105,243,"survey #136, 'POLITICAL MEETINGS'"
L.48pt,,312,48pt,6,cap,1180,3050,98,242,"survey #137, 'POLITICAL MEETINGS'"
M,004D,312,48pt,6,cap,1347,3049,140,245,"survey #138, 'POLITICAL MEETINGS'"
E.48pt,,312,48pt,6,cap,1491,3051,97,241,"survey #139, 'POLITICAL MEETINGS'"
E.48pt_2,,312,48pt,6,cap,1592,3051,97,241,"survey #140, 'POLITICAL MEETINGS'"
T.48pt_2,,312,48pt,6,cap,1688,3050,105,242,"survey #141, 'POLITICAL MEETINGS'"
I.48pt_3,,312,48pt,6,cap,1794,3050,49,241,"survey #142, 'POLITICAL MEETINGS'"
N.48pt,,312,48pt,6,cap,1849,3049,99,242,"survey #143, 'POLITICAL MEETINGS'"
G,0047,312,48pt,6,cap,1949,3048,117,246,"survey #144, 'POLITICAL MEETINGS'"
S.48pt,,312,48pt,6,cap,2071,3048,102,246,"survey #145, 'POLITICAL MEETINGS'"
C.48pt_2,,312,48pt,7,cap,198,3316,112,246,"survey #146, 'Commissioners 23 Assembling'"
o.48pt,,312,48pt,7,lower,313,3370,74,190,"survey #147, 'Commissioners 23 Assembling'"
m.48pt,,312,48pt,7,lower,386,3370,114,189,"survey #148, 'Commissioners 23 Assembling'"
m.48pt_2,,312,48pt,7,lower,502,3370,115,189,"survey #149, 'Commissioners 23 Assembling'"
i.48pt,,312,48pt,7,lower,622,3315,43,244,"survey #150, 'Commissioners 23 Assembling'"
s.48pt,,312,48pt,7,lower,669,3371,73,189,"survey #151, 'Commissioners 23 Assembling'"
s.48pt_2,,312,48pt,7,lower,747,3371,74,189,"survey #152, 'Commissioners 23 Assembling'"
i.48pt_2,,312,48pt,7,lower,822,3314,43,244,"survey #153, 'Commissioners 23 Assembling'"
o.48pt_2,,312,48pt,7,lower,868,3370,75,191,"survey #154, 'Commissioners 23 Assembling'"
n.48pt,,312,48pt,7,lower,946,3371,73,187,"survey #155, 'Commissioners 23 Assembling'"
e.48pt,,312,48pt,7,lower,1026,3371,70,190,"survey #156, 'Commissioners 23 Assembling'"
r.48pt,,312,48pt,7,lower,1103,3370,69,188,"survey #157, 'Commissioners 23 Assembling'"
s.48pt_3,,312,48pt,7,lower,1176,3370,73,189,"survey #158, 'Commissioners 23 Assembling'"
two,0032,312,48pt,7,figure,1336,3315,88,243,"survey #159, 'Commissioners 23 Assembling'"
three,0033,312,48pt,7,figure,1443,3317,88,243,"survey #160, 'Commissioners 23 Assembling'"
A.48pt,,312,48pt,7,cap,1608,3315,105,243,"survey #161, 'Commissioners 23 Assembling'"
s.48pt_4,,312,48pt,7,lower,1717,3368,74,190,"survey #162, 'Commissioners 23 Assembling'"
s.48pt_5,,312,48pt,7,lower,1795,3369,74,189,"survey #163, 'Commissioners 23 Assembling'"
e.48pt_2,,312,48pt,7,lower,1874,3369,70,191,"survey #164, 'Commissioners 23 Assembling'"
m.48pt_3,,312,48pt,7,lower,1945,3368,115,189,"survey #165, 'Commissioners 23 Assembling'"
b,0062,312,48pt,7,lower,2068,3312,79,249,"survey #166, 'Commissioners 23 Assembling'"
l.48pt,,312,48pt,7,lower,2148,3313,46,244,"survey #167, 'Commissioners 23 Assembling'"
i.48pt_3,,312,48pt,7,lower,2198,3312,43,245,"survey #168, 'Commissioners 23 Assembling'"
n.48pt_2,,312,48pt,7,lower,2243,3369,74,187,"survey #169, 'Commissioners 23 Assembling'"
g.48pt,,312,48pt,7,lower,2317,3367,88,230,"survey #170, 'Commissioners 23 Assembling'"
S.36pt,,312,36pt,4,cap,341,2502,91,204,"survey #83, 'SUBMARINE DISCOVERIES'"
U.36pt,,312,36pt,4,cap,435,2504,87,202,"survey #84, 'SUBMARINE DISCOVERIES'"
B.36pt,,312,36pt,4,cap,530,2504,91,200,"survey #85, 'SUBMARINE DISCOVERIES'"
M.36pt,,312,36pt,4,cap,627,2504,126,200,"survey #86, 'SUBMARINE DISCOVERIES'"
A.36pt,,312,36pt,4,cap,759,2502,109,202,"survey #87, 'SUBMARINE DISCOVERIES'"
R.36pt,,312,36pt,4,cap,873,2503,97,202,"survey #88, 'SUBMARINE DISCOVERIES'"
I.36pt,,312,36pt,4,cap,974,2503,43,200,"survey #89, 'SUBMARINE DISCOVERIES'"
N.36pt,,312,36pt,4,cap,1022,2504,89,204,"survey #90, 'SUBMARINE DISCOVERIES'"
E.36pt,,312,36pt,4,cap,1116,2504,91,199,"survey #91, 'SUBMARINE DISCOVERIES'"
D.36pt,,312,36pt,4,cap,1282,2503,95,200,"survey #92, 'SUBMARINE DISCOVERIES'"
I.36pt_2,,312,36pt,4,cap,1382,2503,44,200,"survey #93, 'SUBMARINE DISCOVERIES'"
S.36pt_2,,312,36pt,4,cap,1432,2500,92,204,"survey #94, 'SUBMARINE DISCOVERIES'"
C.36pt,,312,36pt,4,cap,1525,2500,92,204,"survey #95, 'SUBMARINE DISCOVERIES'"
O.36pt,,312,36pt,4,cap,1624,2501,106,204,"survey #96, 'SUBMARINE DISCOVERIES'"
V,0056,312,36pt,4,cap,1731,2503,101,205,"survey #97, 'SUBMARINE DISCOVERIES'"
E.36pt_2,,312,36pt,4,cap,1833,2503,92,200,"survey #98, 'SUBMARINE DISCOVERIES'"
