glyph,unicode,leaf,line,band,category,x,y,w,h,notes
D,0044,620,72pt,9,cap,195,3244,242,327,"survey #237, 'Deutſ[ch]e 6 Spra[ch]e'"
e,0065,620,72pt,9,lower,446,3327,101,244,"survey #238, 'Deutſ[ch]e 6 Spra[ch]e'"
u,0075,620,72pt,9,lower,546,3322,135,250,"survey #239, 'Deutſ[ch]e 6 Spra[ch]e'"
t,0074,620,72pt,9,lower,683,3263,84,308,"survey #240, 'Deutſ[ch]e 6 Spra[ch]e'"
longs,017F,620,72pt,9,lower,765,3247,77,387,"survey #241, 'Deutſ[ch]e 6 Spra[ch]e'"
e.72pt,,620,72pt,9,lower,1021,3327,101,244,"survey #243, 'Deutſ[ch]e 6 Spra[ch]e'"
six,0036,620,72pt,9,figure,1238,3248,144,323,"survey #244, 'Deutſ[ch]e 6 Spra[ch]e'"
S,0053,620,72pt,9,cap,1507,3242,241,328,"survey #245, 'Deutſ[ch]e 6 Spra[ch]e'"
p,0070,620,72pt,9,lower,1751,3273,125,344,"survey #246, 'Deutſ[ch]e 6 Spra[ch]e'"
r,0072,620,72pt,9,lower,1879,3324,114,245,"survey #247, 'Deutſ[ch]e 6 Spra[ch]e'"
a,0061,620,72pt,9,lower,1997,3322,121,247,"survey #248, 'Deutſ[ch]e 6 Spra[ch]e'"
e.72pt_2,,620,72pt,9,lower,2302,3321,100,245,"survey #250, 'Deutſ[ch]e 6 Spra[ch]e'"
D.60pt,,620,60pt,8,cap,194,2818,234,286,"survey #221, 'Der [Eh]rliche 5 Knabe'"
e.60pt,,620,60pt,8,lower,438,2888,86,217,"survey #222, 'Der [Eh]rliche 5 Knabe'"
r.60pt,,620,60pt,8,lower,521,2886,96,220,"survey #223, 'Der [Eh]rliche 5 Knabe'"
r.60pt_2,,620,60pt,8,lower,870,2826,111,342,"survey #225, 'Der [Eh]rliche 5 Knabe'"
l,006C,620,60pt,8,lower,986,2886,96,220,"survey #226, 'Der [Eh]rliche 5 Knabe'"
i,0069,620,60pt,8,lower,1081,2823,70,283,"survey #227, 'Der [Eh]rliche 5 Knabe'"
c,0063,620,60pt,8,lower,1150,2819,72,286,"survey #228, 'Der [Eh]rliche 5 Knabe'"
h,0068,620,60pt,8,lower,1228,2826,162,332,"survey #229, 'Der [Eh]rliche 5 Knabe'"
e.60pt_2,,620,60pt,8,lower,1403,2886,86,239,"survey #230, 'Der [Eh]rliche 5 Knabe'"
five,0035,620,60pt,8,figure,1558,2834,125,265,"survey #231, 'Der [Eh]rliche 5 Knabe'"
K,004B,620,60pt,8,cap,1752,2813,207,293,"survey #232, 'Der [Eh]rliche 5 Knabe'"
n,006E,620,60pt,8,lower,1958,2881,120,220,"survey #233, 'Der [Eh]rliche 5 Knabe'"
a.60pt,,620,60pt,8,lower,2085,2886,110,214,"survey #234, 'Der [Eh]rliche 5 Knabe'"
b,0062,620,60pt,8,lower,2194,2822,108,278,"survey #235, 'Der [Eh]rliche 5 Knabe'"
e.60pt_3,,620,60pt,8,lower,2315,2883,86,218,"survey #236, 'Der [Eh]rliche 5 Knabe'"
F,0046,620,48pt,7,cap,188,2427,144,259,"survey #198, 'Findet Männer 3 ſehr ſelten'"
i.48pt,,620,48pt,7,lower,332,2429,56,223,"survey #199, 'Findet Männer 3 ſehr ſelten'"
n.48pt,,620,48pt,7,lower,386,2472,101,181,"survey #200, 'Findet Männer 3 ſehr ſelten'"
d,0064,620,48pt,7,lower,486,2430,81,224,"survey #201, 'Findet Männer 3 ſehr ſelten'"
e.48pt,,620,48pt,7,lower,579,2473,72,179,"survey #202, 'Findet Männer 3 ſehr ſelten'"
t.48pt,,620,48pt,7,lower,650,2431,71,222,"survey #203, 'Findet Männer 3 ſehr ſelten'"
M,004D,620,48pt,7,cap,760,2426,222,228,"survey #204, 'Findet Männer 3 ſehr ſelten'"
adieresis,00E4,620,48pt,7,lower,985,2431,89,222,"survey #205, 'Findet Männer 3 ſehr ſelten'"
n.48pt_2,,620,48pt,7,lower,1072,2471,101,182,"survey #206, 'Findet Männer 3 ſehr ſelten'"
n.48pt_3,,620,48pt,7,lower,1171,2471,101,181,"survey #207, 'Findet Männer 3 ſehr ſelten'"
e.48pt_2,,620,48pt,7,lower,1277,2471,72,180,"survey #208, 'Findet Männer 3 ſehr ſelten'"
r.48pt,,620,48pt,7,lower,1348,2473,74,177,"survey #209, 'Findet Männer 3 ſehr ſelten'"
three,0033,620,48pt,7,figure,1461,2425,117,228,"survey #210, 'Findet Männer 3 ſehr ſelten'"
longs.48pt,,620,48pt,7,lower,1618,2425,71,263,"survey #211, 'Findet Männer 3 ſehr ſelten'"
e.48pt_3,,620,48pt,7,lower,1684,2469,73,181,"survey #212, 'Findet Männer 3 ſehr ſelten'"
h.48pt,,620,48pt,7,lower,1755,2425,89,270,"survey #213, 'Findet Männer 3 ſehr ſelten'"
r.48pt_2,,620,48pt,7,lower,1850,2471,73,177,"survey #214, 'Findet Männer 3 ſehr ſelten'"
longs.48pt_2,,620,48pt,7,lower,1961,2424,71,263,"survey #215, 'Findet Männer 3 ſehr ſelten'"
e.48pt_4,,620,48pt,7,lower,2027,2468,72,181,"survey #216, 'Findet Männer 3 ſehr ſelten'"
l.48pt,,620,48pt,7,lower,2096,2425,60,224,"survey #217, 'Findet Männer 3 ſehr ſelten'"
t.48pt_2,,620,48pt,7,lower,2154,2427,72,222,"survey #218, 'Findet Männer 3 ſehr ſelten'"
e.48pt_5,,620,48pt,7,lower,2230,2468,72,180,"survey #219, 'Findet Männer 3 ſehr ſelten'"
n.48pt_4,,620,48pt,7,lower,2299,2467,102,182,"survey #220, 'Findet Männer 3 ſehr ſelten'"
Z,005A,620,36pt,6,cap,189,2064,125,223,"survey #172, 'Zwölf Gä[ſt]e 2 gingen früh zuhaus'"
w,0077,620,36pt,6,lower,313,2084,108,175,"survey #173, 'Zwölf Gä[ſt]e 2 gingen früh zuhaus'"
odieresis,00F6,620,36pt,6,lower,424,2073,65,186,"survey #174, 'Zwölf Gä[ſt]e 2 gingen früh zuhaus'"
l.36pt,,620,36pt,6,lower,491,2067,52,193,"survey #175, 'Zwölf Gä[ſt]e 2 gingen früh zuhaus'"
f,0066,620,36pt,6,lower,542,2065,60,219,"survey #176, 'Zwölf Gä[ſt]e 2 gingen früh zuhaus'"
G,0047,620,36pt,6,cap,649,2064,139,196,"survey #177, 'Zwölf Gä[ſt]e 2 gingen früh zuhaus'"
adieresis.36pt,,620,36pt,6,lower,790,2072,74,187,"survey #178, 'Zwölf Gä[ſt]e 2 gingen früh zuhaus'"
e.36pt,,620,36pt,6,lower,949,2105,57,154,"survey #180, 'Zwölf Gä[ſt]e 2 gingen früh zuhaus'"
two,0032,620,36pt,6,figure,1062,2066,103,194,"survey #181, 'Zwölf Gä[ſt]e 2 gingen früh zuhaus'"
g,0067,620,36pt,6,lower,1224,2105,68,193,"survey #182, 'Zwölf Gä[ſt]e 2 gingen früh zuhaus'"
i.36pt,,620,36pt,6,lower,1289,2064,48,194,"survey #183, 'Zwölf Gä[ſt]e 2 gingen früh zuhaus'"
n.36pt,,620,36pt,6,lower,1333,2105,77,153,"survey #184, 'Zwölf Gä[ſt]e 2 gingen früh zuhaus'"
g.36pt,,620,36pt,6,lower,1411,2105,68,193,"survey #185, 'Zwölf Gä[ſt]e 2 gingen früh zuhaus'"
e.36pt_2,,620,36pt,6,lower,1480,2104,57,155,"survey #186, 'Zwölf Gä[ſt]e 2 gingen früh zuhaus'"
n.36pt_2,,620,36pt,6,lower,1535,2105,76,153,"survey #187, 'Zwölf Gä[ſt]e 2 gingen früh zuhaus'"
