glyph,unicode,leaf,line,band,category,x,y,w,h,notes
A,0041,624,72pt,6,cap,218,3256,300,332,"survey #88, 'Arme 5 Frau'"
r,0072,624,72pt,6,lower,527,3340,137,247,"survey #89, 'Arme 5 Frau'"
m,006D,624,72pt,6,lower,684,3343,288,247,"survey #90, 'Arme 5 Frau'"
e,0065,624,72pt,6,lower,987,3344,154,249,"survey #91, 'Arme 5 Frau'"
five,0035,624,72pt,6,figure,1256,3266,202,327,"survey #92, 'Arme 5 Frau'"
F,0046,624,72pt,6,cap,1572,3253,293,388,"survey #93, 'Arme 5 Frau'"
r.72pt,,624,72pt,6,lower,1872,3336,138,248,"survey #94, 'Arme 5 Frau'"
a,0061,624,72pt,6,lower,2022,3337,185,252,"survey #95, 'Arme 5 Frau'"
u,0075,624,72pt,6,lower,2221,3338,194,244,"survey #96, 'Arme 5 Frau'"
K,004B,624,60pt,5,cap,214,2849,244,246,"survey #73, 'Kleine 86 Staaten'"
l,006C,624,60pt,5,lower,462,2859,74,237,"survey #74, 'Kleine 86 Staaten'"
e.60pt,,624,60pt,5,lower,541,2909,114,188,"survey #75, 'Kleine 86 Staaten'"
i,0069,624,60pt,5,lower,666,2858,78,238,"survey #76, 'Kleine 86 Staaten'"
n,006E,624,60pt,5,lower,755,2911,146,185,"survey #77, 'Kleine 86 Staaten'"
e.60pt_2,,624,60pt,5,lower,911,2909,114,188,"survey #78, 'Kleine 86 Staaten'"
eight,0038,624,60pt,5,figure,1111,2851,139,244,"survey #79, 'Kleine 86 Staaten'"
six,0036,624,60pt,5,figure,1267,2851,149,245,"survey #80, 'Kleine 86 Staaten'"
S,0053,624,60pt,5,cap,1496,2848,181,249,"survey #81, 'Kleine 86 Staaten'"
t,0074,624,60pt,5,lower,1685,2864,89,232,"survey #82, 'Kleine 86 Staaten'"
a.60pt,,624,60pt,5,lower,1779,2909,123,185,"survey #83, 'Kleine 86 Staaten'"
a.60pt_2,,624,60pt,5,lower,1914,2908,126,186,"survey #84, 'Kleine 86 Staaten'"
t.60pt,,624,60pt,5,lower,2049,2862,89,233,"survey #85, 'Kleine 86 Staaten'"
e.60pt_3,,624,60pt,5,lower,2142,2907,114,189,"survey #86, 'Kleine 86 Staaten'"
n.60pt,,624,60pt,5,lower,2271,2908,144,185,"survey #87, 'Kleine 86 Staaten'"
E,0045,624,48pt,4,cap,213,2462,182,215,"survey #57, 'Ein Treuer 39 [Fr]eund'"
i.48pt,,624,48pt,4,lower,404,2466,66,214,"survey #58, 'Ein Treuer 39 [Fr]eund'"
n.48pt,,624,48pt,4,lower,475,2503,131,175,"survey #59, 'Ein Treuer 39 [Fr]eund'"
T,0054,624,48pt,4,cap,622,2461,176,218,"survey #60, 'Ein Treuer 39 [Fr]eund'"
r.48pt,,624,48pt,4,lower,808,2505,99,175,"survey #61, 'Ein Treuer 39 [Fr]eund'"
e.48pt,,624,48pt,4,lower,911,2504,100,175,"survey #62, 'Ein Treuer 39 [Fr]eund'"
u.48pt,,624,48pt,4,lower,1020,2505,125,173,"survey #63, 'Ein Treuer 39 [Fr]eund'"
e.48pt_2,,624,48pt,4,lower,1156,2503,100,176,"survey #64, 'Ein Treuer 39 [Fr]eund'"
r.48pt_2,,624,48pt,4,lower,1266,2504,98,175,"survey #65, 'Ein Treuer 39 [Fr]eund'"
three,0033,624,48pt,4,figure,1377,2461,132,218,"survey #66, 'Ein Treuer 39 [Fr]eund'"
nine,0039,624,48pt,4,figure,1520,2464,120,214,"survey #67, 'Ein Treuer 39 [Fr]eund'"
e.48pt_3,,624,48pt,4,lower,1925,2502,101,176,"survey #69, 'Ein Treuer 39 [Fr]eund'"
u.48pt_2,,624,48pt,4,lower,2033,2503,125,174,"survey #70, 'Ein Treuer 39 [Fr]eund'"
n.48pt_2,,624,48pt,4,lower,2168,2500,132,176,"survey #71, 'Ein Treuer 39 [Fr]eund'"
d,0064,624,48pt,4,lower,2309,2464,108,213,"survey #72, 'Ein Treuer 39 [Fr]eund'"
J,004A,624,36pt,3,cap,212,2113,126,200,"survey #37, 'Jungens halt 27 wohl [fe]ſt'"
u.36pt,,624,36pt,3,lower,345,2153,97,142,"survey #38, 'Jungens halt 27 wohl [fe]ſt'"
n.36pt,,624,36pt,3,lower,447,2152,103,143,"survey #39, 'Jungens halt 27 wohl [fe]ſt'"
g,0067,624,36pt,3,lower,556,2152,86,177,"survey #40, 'Jungens halt 27 wohl [fe]ſt'"
e.36pt,,624,36pt,3,lower,649,2152,81,142,"survey #41, 'Jungens halt 27 wohl [fe]ſt'"
n.36pt_2,,624,36pt,3,lower,735,2152,103,143,"survey #42, 'Jungens halt 27 wohl [fe]ſt'"
s,0073,624,36pt,3,lower,843,2152,81,143,"survey #43, 'Jungens halt 27 wohl [fe]ſt'"
h,0068,624,36pt,3,lower,990,2115,98,181,"survey #44, 'Jungens halt 27 wohl [fe]ſt'"
a.36pt,,624,36pt,3,lower,1096,2152,90,142,"survey #45, 'Jungens halt 27 wohl [fe]ſt'"
l.36pt,,624,36pt,3,lower,1190,2116,54,178,"survey #46, 'Jungens halt 27 wohl [fe]ſt'"
t.36pt,,624,36pt,3,lower,1246,2119,60,175,"survey #47, 'Jungens halt 27 wohl [fe]ſt'"
two,0032,624,36pt,3,figure,1364,2114,112,214,"survey #48, 'Jungens halt 27 wohl [fe]ſt'"
seven,0037,624,36pt,3,figure,1479,2113,109,182,"survey #49, 'Jungens halt 27 wohl [fe]ſt'"
w,0077,624,36pt,3,lower,1652,2151,147,143,"survey #50, 'Jungens halt 27 wohl [fe]ſt'"
o,006F,624,36pt,3,lower,1805,2150,86,144,"survey #51, 'Jungens halt 27 wohl [fe]ſt'"
h.36pt,,624,36pt,3,lower,1898,2114,99,181,"survey #52, 'Jungens halt 27 wohl [fe]ſt'"
l.36pt_2,,624,36pt,3,lower,2005,2116,53,177,"survey #53, 'Jungens halt 27 wohl [fe]ſt'"
longs,017F,624,36pt,3,lower,2272,2150,81,143,"survey #55, 'Jungens halt 27 wohl [fe]ſt'"
t.36pt_2,,624,36pt,3,lower,2359,2119,60,174,"survey #56, 'Jungens halt 27 wohl [fe]ſt'"
