glyph,unicode,leaf,line,band,category,x,y,w,h,notes
C,0043,287,60pt,4,cap,358,1424,132,295,"survey #61, 'COMICAL SONGS'"
O,004F,287,60pt,4,cap,507,1424,132,295,"survey #62, 'COMICAL SONGS'"
M,004D,287,60pt,4,cap,659,1423,155,295,"survey #63, 'COMICAL SONGS'"
I,0049,287,60pt,4,cap,835,1425,31,292,"survey #64, 'COMICAL SONGS'"
C.60pt,,287,60pt,4,cap,883,1423,133,295,"survey #65, 'COMICAL SONGS'"
A,0041,287,60pt,4,cap,1026,1422,132,295,"survey #66, 'COMICAL SONGS'"
L,004C,287,60pt,4,cap,1169,1423,127,293,"survey #67, 'COMICAL SONGS'"
S,0053,287,60pt,4,cap,1384,1419,134,297,"survey #68, 'COMICAL SONGS'"
O.60pt,,287,60pt,4,cap,1535,1422,131,294,"survey #69, 'COMICAL SONGS'"
N,004E,287,60pt,4,cap,1686,1421,131,293,"survey #70, 'COMICAL SONGS'"
G,0047,287,60pt,4,cap,1838,1422,131,294,"survey #71, 'COMICAL SONGS'"
S.60pt,,287,60pt,4,cap,1986,1419,134,297,"survey #72, 'COMICAL SONGS'"
M.60pt,,287,60pt,5,cap,155,1756,153,295,"survey #73, 'Many New 7 Fe[at]ures'"
a,0061,287,60pt,5,lower,323,1835,120,216,"survey #74, 'Many New 7 Fe[at]ures'"
n,006E,287,60pt,5,lower,451,1835,108,215,"survey #75, 'Many New 7 Fe[at]ures'"
y,0079,287,60pt,5,lower,568,1835,117,286,"survey #76, 'Many New 7 Fe[at]ures'"
N.60pt,,287,60pt,5,cap,748,1755,131,294,"survey #77, 'Many New 7 Fe[at]ures'"
e,0065,287,60pt,5,lower,899,1835,108,216,"survey #78, 'Many New 7 Fe[at]ures'"
w,0077,287,60pt,5,lower,1014,1833,172,216,"survey #79, 'Many New 7 Fe[at]ures'"
seven,0037,287,60pt,5,figure,1245,1755,114,293,"survey #80, 'Many New 7 Fe[at]ures'"
F,0046,287,60pt,5,cap,1431,1753,126,295,"survey #81, 'Many New 7 Fe[at]ures'"
e.60pt,,287,60pt,5,lower,1567,1833,107,215,"survey #82, 'Many New 7 Fe[at]ures'"
