glyph,unicode,leaf,line,band,category,x,y,w,h,notes
M,004D,242,60pt,8,cap,266,3193,114,348,"survey #204, 'MILLION DOLLAR 47 MANSION'"
I,0049,242,60pt,8,cap,393,3192,29,349,"survey #205, 'MILLION DOLLAR 47 MANSION'"
L,004C,242,60pt,8,cap,436,3194,76,348,"survey #206, 'MILLION DOLLAR 47 MANSION'"
L.60pt,,242,60pt,8,cap,517,3194,76,348,"survey #207, 'MILLION DOLLAR 47 MANSION'"
I.60pt,,242,60pt,8,cap,598,3192,29,350,"survey #208, 'MILLION DOLLAR 47 MANSION'"
O,004F,242,60pt,8,cap,640,3194,86,349,"survey #209, 'MILLION DOLLAR 47 MANSION'"
N,004E,242,60pt,8,cap,739,3193,84,350,"survey #210, 'MILLION DOLLAR 47 MANSION'"
D,0044,242,60pt,8,cap,924,3194,83,349,"survey #211, 'MILLION DOLLAR 47 MANSION'"
O.60pt,,242,60pt,8,cap,1020,3194,86,349,"survey #212, 'MILLION DOLLAR 47 MANSION'"
L.60pt_2,,242,60pt,8,cap,1121,3195,77,348,"survey #213, 'MILLION DOLLAR 47 MANSION'"
L.60pt_3,,242,60pt,8,cap,1203,3195,77,349,"survey #214, 'MILLION DOLLAR 47 MANSION'"
A,0041,242,60pt,8,cap,1275,3195,83,348,"survey #215, 'MILLION DOLLAR 47 MANSION'"
R,0052,242,60pt,8,cap,1363,3195,83,348,"survey #216, 'MILLION DOLLAR 47 MANSION'"
four,0034,242,60pt,8,figure,1537,3196,103,347,"survey #217, 'MILLION DOLLAR 47 MANSION'"
seven,0037,242,60pt,8,figure,1645,3193,86,350,"survey #218, 'MILLION DOLLAR 47 MANSION'"
M.60pt,,242,60pt,8,cap,1831,3194,115,348,"survey #219, 'MILLION DOLLAR 47 MANSION'"
A.60pt,,242,60pt,8,cap,1950,3194,83,348,"survey #220, 'MILLION DOLLAR 47 MANSION'"
N.60pt,,242,60pt,8,cap,2038,3193,83,349,"survey #221, 'MILLION DOLLAR 47 MANSION'"
S,0053,242,60pt,8,cap,2131,3191,87,353,"survey #222, 'MILLION DOLLAR 47 MANSION'"
I.60pt_2,,242,60pt,8,cap,2227,3193,30,349,"survey #223, 'MILLION DOLLAR 47 MANSION'"
O.60pt_2,,242,60pt,8,cap,2269,3194,87,349,"survey #224, 'MILLION DOLLAR 47 MANSION'"
N.60pt_2,,242,60pt,8,cap,2368,3194,84,348,"survey #225, 'MILLION DOLLAR 47 MANSION'"
P,0050,242,54pt,7,cap,267,2767,74,286,"survey #181, 'PRIVATE GROUNDS 63 KEEP OUT'"
R.54pt,,242,54pt,7,cap,352,2766,72,288,"survey #182, 'PRIVATE GROUNDS 63 KEEP OUT'"
I.54pt,,242,54pt,7,cap,436,2765,25,289,"survey #183, 'PRIVATE GROUNDS 63 KEEP OUT'"
V,0056,242,54pt,7,cap,469,2766,76,290,"survey #184, 'PRIVATE GROUNDS 63 KEEP OUT'"
A.54pt,,242,54pt,7,cap,550,2765,78,289,"survey #185, 'PRIVATE GROUNDS 63 KEEP OUT'"
T,0054,242,54pt,7,cap,632,2765,91,289,"survey #186, 'PRIVATE GROUNDS 63 KEEP OUT'"
E,0045,242,54pt,7,cap,733,2765,74,289,"survey #187, 'PRIVATE GROUNDS 63 KEEP OUT'"
G,0047,242,54pt,7,cap,880,2767,76,289,"survey #188, 'PRIVATE GROUNDS 63 KEEP OUT'"
R.54pt_2,,242,54pt,7,cap,970,2767,72,288,"survey #189, 'PRIVATE GROUNDS 63 KEEP OUT'"
O.54pt,,242,54pt,7,cap,1054,2765,76,290,"survey #190, 'PRIVATE GROUNDS 63 KEEP OUT'"
U,0055,242,54pt,7,cap,1142,2765,76,292,"survey #191, 'PRIVATE GROUNDS 63 KEEP OUT'"
N.54pt,,242,54pt,7,cap,1229,2766,75,289,"survey #192, 'PRIVATE GROUNDS 63 KEEP OUT'"
D.54pt,,242,54pt,7,cap,1317,2766,74,289,"survey #193, 'PRIVATE GROUNDS 63 KEEP OUT'"
S.54pt,,242,54pt,7,cap,1395,2765,81,291,"survey #194, 'PRIVATE GROUNDS 63 KEEP OUT'"
six,0036,242,54pt,7,figure,1555,2766,74,290,"survey #195, 'PRIVATE GROUNDS 63 KEEP OUT'"
three,0033,242,54pt,7,figure,1644,2765,74,290,"survey #196, 'PRIVATE GROUNDS 63 KEEP OUT'"
K,004B,242,54pt,7,cap,1803,2767,75,288,"survey #197, 'PRIVATE GROUNDS 63 KEEP OUT'"
E.54pt,,242,54pt,7,cap,1886,2765,74,289,"survey #198, 'PRIVATE GROUNDS 63 KEEP OUT'"
E.54pt_2,,242,54pt,7,cap,1967,2765,73,289,"survey #199, 'PRIVATE GROUNDS 63 KEEP OUT'"
P.54pt,,242,54pt,7,cap,2047,2767,74,287,"survey #200, 'PRIVATE GROUNDS 63 KEEP OUT'"
O.54pt_2,,242,54pt,7,cap,2205,2765,74,290,"survey #201, 'PRIVATE GROUNDS 63 KEEP OUT'"
