glyph,unicode,leaf,line,band,category,x,y,w,h,notes
C,0043,326,60pt,7,cap,207,3214,93,361,"survey #160, 'CORRECT 64 MEASUREMENT'"
O,004F,326,60pt,7,cap,309,3215,94,360,"survey #161, 'CORRECT 64 MEASUREMENT'"
R,0052,326,60pt,7,cap,411,3216,100,357,"survey #162, 'CORRECT 64 MEASUREMENT'"
R.60pt,,326,60pt,7,cap,518,3217,98,357,"survey #163, 'CORRECT 64 MEASUREMENT'"
E,0045,326,60pt,7,cap,622,3217,94,357,"survey #164, 'CORRECT 64 MEASUREMENT'"
C.60pt,,326,60pt,7,cap,723,3217,94,362,"survey #165, 'CORRECT 64 MEASUREMENT'"
T,0054,326,60pt,7,cap,820,3218,94,358,"survey #166, 'CORRECT 64 MEASUREMENT'"
six,0036,326,60pt,7,figure,974,3218,91,361,"survey #167, 'CORRECT 64 MEASUREMENT'"
four,0034,326,60pt,7,figure,1066,3220,106,357,"survey #168, 'CORRECT 64 MEASUREMENT'"
M,004D,326,60pt,7,cap,1227,3219,136,358,"survey #169, 'CORRECT 64 MEASUREMENT'"
E.60pt,,326,60pt,7,cap,1368,3218,95,358,"survey #170, 'CORRECT 64 MEASUREMENT'"
A,0041,326,60pt,7,cap,1466,3219,106,357,"survey #171, 'CORRECT 64 MEASUREMENT'"
S,0053,326,60pt,7,cap,1579,3218,91,361,"survey #172, 'CORRECT 64 MEASUREMENT'"
U,0055,326,60pt,7,cap,1679,3218,86,360,"survey #173, 'CORRECT 64 MEASUREMENT'"
R.60pt_2,,326,60pt,7,cap,1771,3218,100,358,"survey #174, 'CORRECT 64 MEASUREMENT'"
E.60pt_2,,326,60pt,7,cap,1876,3217,96,358,"survey #175, 'CORRECT 64 MEASUREMENT'"
M.60pt,,326,60pt,7,cap,1975,3218,134,358,"survey #176, 'CORRECT 64 MEASUREMENT'"
E.60pt_3,,326,60pt,7,cap,2113,3217,96,358,"survey #177, 'CORRECT 64 MEASUREMENT'"
N,004E,326,60pt,7,cap,2212,3216,102,361,"survey #178, 'CORRECT 64 MEASUREMENT'"
T.60pt,,326,60pt,7,cap,2316,3216,93,358,"survey #179, 'CORRECT 64 MEASUREMENT'"
C.54pt,,326,54pt,6,cap,207,2748,86,306,"survey #136, 'COMPUTING 85 INTEREST RULES'"
O.54pt,,326,54pt,6,cap,297,2748,93,307,"survey #137, 'COMPUTING 85 INTEREST RULES'"
M.54pt,,326,54pt,6,cap,395,2751,121,302,"survey #138, 'COMPUTING 85 INTEREST RULES'"
P,0050,326,54pt,6,cap,519,2751,87,302,"survey #139, 'COMPUTING 85 INTEREST RULES'"
U.54pt,,326,54pt,6,cap,610,2752,81,304,"survey #140, 'COMPUTING 85 INTEREST RULES'"
T.54pt,,326,54pt,6,cap,693,2752,82,302,"survey #141, 'COMPUTING 85 INTEREST RULES'"
I,0049,326,54pt,6,cap,776,2751,38,303,"survey #142, 'COMPUTING 85 INTEREST RULES'"
N.54pt,,326,54pt,6,cap,820,2752,91,304,"survey #143, 'COMPUTING 85 INTEREST RULES'"
G,0047,326,54pt,6,cap,918,2752,88,305,"survey #144, 'COMPUTING 85 INTEREST RULES'"
eight,0038,326,54pt,6,figure,1064,2751,76,306,"survey #145, 'COMPUTING 85 INTEREST RULES'"
five,0035,326,54pt,6,figure,1153,2751,78,307,"survey #146, 'COMPUTING 85 INTEREST RULES'"
I.54pt,,326,54pt,6,cap,1303,2752,38,302,"survey #147, 'COMPUTING 85 INTEREST RULES'"
N.54pt_2,,326,54pt,6,cap,1347,2753,90,303,"survey #148, 'COMPUTING 85 INTEREST RULES'"
T.54pt_2,,326,54pt,6,cap,1438,2753,82,301,"survey #149, 'COMPUTING 85 INTEREST RULES'"
E.54pt,,326,54pt,6,cap,1520,2753,81,301,"survey #150, 'COMPUTING 85 INTEREST RULES'"
R.54pt,,326,54pt,6,cap,1605,2752,91,302,"survey #151, 'COMPUTING 85 INTEREST RULES'"
E.54pt_2,,326,54pt,6,cap,1698,2753,81,301,"survey #152, 'COMPUTING 85 INTEREST RULES'"
S.54pt,,326,54pt,6,cap,1776,2751,83,306,"survey #153, 'COMPUTING 85 INTEREST RULES'"
T.54pt_3,,326,54pt,6,cap,1855,2752,81,302,"survey #154, 'COMPUTING 85 INTEREST RULES'"
R.54pt_2,,326,54pt,6,cap,1994,2751,92,302,"survey #155, 'COMPUTING 85 INTEREST RULES'"
U.54pt_2,,326,54pt,6,cap,2089,2751,82,305,"survey #156, 'COMPUTING 85 INTEREST RULES'"
L,004C,326,54pt,6,cap,2177,2750,76,302,"survey #157, 'COMPUTING 85 INTEREST RULES'"
E.54pt_3,,326,54pt,6,cap,2255,2751,80,301,"survey #158, 'COMPUTING 85 INTEREST RULES'"
S.54pt_2,,326,54pt,6,cap,2332,2750,83,306,"survey #159, 'COMPUTING 85 INTEREST RULES'"
L.48pt,,326,48pt,5,cap,207,2312,63,272,"survey #111, 'LIMITATION AND 4 LAW STATUTES'"
I.48pt,,326,48pt,5,cap,271,2313,34,270,"survey #112, 'LIMITATION AND 4 LAW STATUTES'"
M.48pt,,326,48pt,5,cap,311,2312,108,272,"survey #113, 'LIMITATION AND 4 LAW STATUTES'"
I.48pt_2,,326,48pt,5,cap,426,2314,34,270,"survey #114, 'LIMITATION AND 4 LAW STATUTES'"
T.48pt,,326,48pt,5,cap,464,2312,75,272,"survey #115, 'LIMITATION AND 4 LAW STATUTES'"
A.48pt,,326,48pt,5,cap,543,2313,83,272,"survey #116, 'LIMITATION AND 4 LAW STATUTES'"
T.48pt_2,,326,48pt,5,cap,629,2313,75,272,"survey #117, 'LIMITATION AND 4 LAW STATUTES'"
I.48pt_3,,326,48pt,5,cap,707,2315,35,270,"survey #118, 'LIMITATION AND 4 LAW STATUTES'"
O.48pt,,326,48pt,5,cap,748,2313,86,274,"survey #119, 'LIMITATION AND 4 LAW STATUTES'"
N.48pt,,326,48pt,5,cap,839,2313,82,274,"survey #120, 'LIMITATION AND 4 LAW STATUTES'"
A.48pt_2,,326,48pt,5,cap,992,2314,84,272,"survey #121, 'LIMITATION AND 4 LAW STATUTES'"
N.48pt_2,,326,48pt,5,cap,1082,2313,83,275,"survey #122, 'LIMITATION AND 4 LAW STATUTES'"
D,0044,326,48pt,5,cap,1170,2314,82,272,"survey #123, 'LIMITATION AND 4 LAW STATUTES'"
four.48pt,,326,48pt,5,figure,1299,2315,86,272,"survey #124, 'LIMITATION AND 4 LAW STATUTES'"
L.48pt_2,,326,48pt,5,cap,1448,2315,63,272,"survey #125, 'LIMITATION AND 4 LAW STATUTES'"
A.48pt_3,,326,48pt,5,cap,1512,2315,85,272,"survey #126, 'LIMITATION AND 4 LAW STATUTES'"
W,0057,326,48pt,5,cap,1598,2313,135,278,"survey #127, 'LIMITATION AND 4 LAW STATUTES'"
S.48pt,,326,48pt,5,cap,1796,2311,78,277,"survey #128, 'LIMITATION AND 4 LAW STATUTES'"
T.48pt_3,,326,48pt,5,cap,1874,2314,75,272,"survey #129, 'LIMITATION AND 4 LAW STATUTES'"
A.48pt_4,,326,48pt,5,cap,1952,2314,84,272,"survey #130, 'LIMITATION AND 4 LAW STATUTES'"
T.48pt_4,,326,48pt,5,cap,2038,2314,75,272,"survey #131, 'LIMITATION AND 4 LAW STATUTES'"
U.48pt,,326,48pt,5,cap,2115,2314,77,275,"survey #132, 'LIMITATION AND 4 LAW STATUTES'"
T.48pt_5,,326,48pt,5,cap,2194,2314,75,272,"survey #133, 'LIMITATION AND 4 LAW STATUTES'"
E.48pt,,326,48pt,5,cap,2269,2313,64,272,"survey #134, 'LIMITATION AND 4 LAW STATUTES'"
S.48pt_2,,326,48pt,5,cap,2337,2311,78,277,"survey #135, 'LIMITATION AND 4 LAW STATUTES'"
L.42pt,,326,42pt,4,cap,205,1899,66,250,"survey #86, 'LIGHT CANDLE 84 TOUCH THE WICK'"
I.42pt,,326,42pt,4,cap,275,1898,32,251,"survey #87, 'LIGHT CANDLE 84 TOUCH THE WICK'"
G.42pt,,326,42pt,4,cap,311,1899,74,252,"survey #88, 'LIGHT CANDLE 84 TOUCH THE WICK'"
H,0048,326,42pt,4,cap,387,1900,74,249,"survey #89, 'LIGHT CANDLE 84 TOUCH THE WICK'"
T.42pt,,326,42pt,4,cap,464,1900,75,250,"survey #90, 'LIGHT CANDLE 84 TOUCH THE WICK'"
C.42pt,,326,42pt,4,cap,613,1900,75,252,"survey #91, 'LIGHT CANDLE 84 TOUCH THE WICK'"
A.42pt,,326,42pt,4,cap,686,1900,86,251,"survey #92, 'LIGHT CANDLE 84 TOUCH THE WICK'"
N.42pt,,326,42pt,4,cap,776,1899,74,253,"survey #93, 'LIGHT CANDLE 84 TOUCH THE WICK'"
D.42pt,,326,42pt,4,cap,855,1901,75,250,"survey #94, 'LIGHT CANDLE 84 TOUCH THE WICK'"
L.42pt_2,,326,42pt,4,cap,931,1901,68,250,"survey #95, 'LIGHT CANDLE 84 TOUCH THE WICK'"
E.42pt,,326,42pt,4,cap,1000,1901,68,250,"survey #96, 'LIGHT CANDLE 84 TOUCH THE WICK'"
eight.42pt,,326,42pt,4,figure,1136,1900,65,255,"survey #97, 'LIGHT CANDLE 84 TOUCH THE WICK'"
four.42pt,,326,42pt,4,figure,1202,1901,78,251,"survey #98, 'LIGHT CANDLE 84 TOUCH THE WICK'"
T.42pt_2,,326,42pt,4,cap,1342,1901,76,251,"survey #99, 'LIGHT CANDLE 84 TOUCH THE WICK'"
O.42pt,,326,42pt,4,cap,1421,1898,78,257,"survey #100, 'LIGHT CANDLE 84 TOUCH THE WICK'"
U.42pt,,326,42pt,4,cap,1505,1901,70,253,"survey #101, 'LIGHT CANDLE 84 TOUCH THE WICK'"
C.42pt_2,,326,42pt,4,cap,1580,1901,75,253,"survey #102, 'LIGHT CANDLE 84 TOUCH THE WICK'"
H.42pt,,326,42pt,4,cap,1657,1902,75,250,"survey #103, 'LIGHT CANDLE 84 TOUCH THE WICK'"
