glyph,unicode,leaf,line,band,category,x,y,w,h,notes
B,0042,299,72pt,8,cap,533,2823,297,350,"survey #64, 'BOO[TH]'"
O,004F,299,72pt,8,cap,865,2820,248,355,"survey #65, 'BOO[TH]'"
O.72pt,,299,72pt,8,cap,1147,2819,248,355,"survey #66, 'BOO[TH]'"
a,0061,299,72pt,9,lower,1261,3306,209,263,"survey #70, '[Ca][mp]a[ign] 5'"
five,0035,299,72pt,9,figure,2090,3209,248,360,"survey #72, '[Ca][mp]a[ign] 5'"
S,0053,299,60pt,6,cap,445,2011,238,297,"survey #50, 'S[PE]C[IA]L'"
C,0043,299,60pt,6,cap,1208,2007,241,299,"survey #52, 'S[PE]C[IA]L'"
L,004C,299,60pt,6,cap,1810,2006,225,300,"survey #54, 'S[PE]C[IA]L'"
r,0072,299,60pt,7,lower,502,2412,166,225,"survey #56, '[Fi]re 73 Sa[le]s'"
e,0065,299,60pt,7,lower,665,2413,161,227,"survey #57, '[Fi]re 73 Sa[le]s'"
seven,0037,299,60pt,7,figure,966,2334,194,301,"survey #58, '[Fi]re 73 Sa[le]s'"
three,0033,299,60pt,7,figure,1157,2339,196,297,"survey #59, '[Fi]re 73 Sa[le]s'"
S.60pt,,299,60pt,7,cap,1476,2340,238,297,"survey #60, '[Fi]re 73 Sa[le]s'"
a.60pt,,299,60pt,7,lower,1725,2409,174,226,"survey #61, '[Fi]re 73 Sa[le]s'"
s,0073,299,60pt,7,lower,2171,2406,167,229,"survey #63, '[Fi]re 73 Sa[le]s'"
O.48pt,,299,48pt,4,cap,299,1324,181,247,"survey #34, 'O[PEN] HO[US]E'"
H,0048,299,48pt,4,cap,1177,1326,228,236,"survey #36, 'O[PEN] HO[US]E'"
O.48pt_2,,299,48pt,4,cap,1417,1322,182,247,"survey #37, 'O[PEN] HO[US]E'"
E,0045,299,48pt,4,cap,1987,1323,225,246,"survey #39, 'O[PEN] HO[US]E'"
N,004E,299,48pt,5,cap,147,1594,217,238,"survey #40, 'New [Ye]a[rs] 2 Day'"
e.48pt,,299,48pt,5,lower,364,1640,137,192,"survey #41, 'New [Ye]a[rs] 2 Day'"
w,0077,299,48pt,5,lower,523,1643,182,189,"survey #42, 'New [Ye]a[rs] 2 Day'"
a.48pt,,299,48pt,5,lower,1092,1639,144,192,"survey #44, 'New [Ye]a[rs] 2 Day'"
two,0032,299,48pt,5,figure,1571,1591,191,245,"survey #46, 'New [Ye]a[rs] 2 Day'"
D,0044,299,48pt,5,cap,1820,1591,216,235,"survey #47, 'New [Ye]a[rs] 2 Day'"
a.48pt_2,,299,48pt,5,lower,2039,1638,145,192,"survey #48, 'New [Ye]a[rs] 2 Day'"
y,0079,299,48pt,5,lower,2200,1641,146,228,"survey #49, 'New [Ye]a[rs] 2 Day'"
T,0054,299,42pt,2,cap,1179,687,160,225,"survey #18, '[FINES]T R[UG]S'"
R,0052,299,42pt,2,cap,1401,691,180,231,"survey #19, '[FINES]T R[UG]S'"
S.42pt,,299,42pt,2,cap,1924,691,161,222,"survey #21, '[FINES]T R[UG]S'"
g,0067,299,42pt,3,lower,370,978,158,220,"survey #23, '[In]g[ra]in 85 Ca[rp]e[ts]'"
i,0069,299,42pt,3,lower,769,937,79,208,"survey #25, '[In]g[ra]in 85 Ca[rp]e[ts]'"
n,006E,299,42pt,3,lower,845,973,142,171,"survey #26, '[In]g[ra]in 85 Ca[rp]e[ts]'"
