glyph,unicode,leaf,line,band,category,x,y,w,h,notes
S,0053,481,60pt,8,cap,159,3273,207,292,"survey #139, 'Staaten 9 Kleine'"
t,0074,481,60pt,8,lower,371,3296,91,270,"survey #140, 'Staaten 9 Kleine'"
a,0061,481,60pt,8,lower,466,3350,134,218,"survey #141, 'Staaten 9 Kleine'"
a.60pt,,481,60pt,8,lower,606,3350,136,218,"survey #142, 'Staaten 9 Kleine'"
t.60pt,,481,60pt,8,lower,742,3297,91,270,"survey #143, 'Staaten 9 Kleine'"
e,0065,481,60pt,8,lower,836,3350,121,216,"survey #144, 'Staaten 9 Kleine'"
n,006E,481,60pt,8,lower,960,3349,144,218,"survey #145, 'Staaten 9 Kleine'"
nine,0039,481,60pt,8,figure,1251,3274,152,291,"survey #146, 'Staaten 9 Kleine'"
K,004B,481,60pt,8,cap,1549,3274,231,293,"survey #147, 'Staaten 9 Kleine'"
l,006C,481,60pt,8,lower,1785,3277,67,290,"survey #148, 'Staaten 9 Kleine'"
e.60pt,,481,60pt,8,lower,1865,3349,121,217,"survey #149, 'Staaten 9 Kleine'"
i,0069,481,60pt,8,lower,1987,3293,78,273,"survey #150, 'Staaten 9 Kleine'"
n.60pt,,481,60pt,8,lower,2074,3349,143,218,"survey #151, 'Staaten 9 Kleine'"
e.60pt_2,,481,60pt,8,lower,2226,3349,121,217,"survey #152, 'Staaten 9 Kleine'"
E,0045,481,48pt,7,cap,160,2836,157,243,"survey #122, 'Ein Treuer 35 Freund'"
i.48pt,,481,48pt,7,lower,321,2854,63,227,"survey #123, 'Ein Treuer 35 Freund'"
n.48pt,,481,48pt,7,lower,385,2899,117,183,"survey #124, 'Ein Treuer 35 Freund'"
T,0054,481,48pt,7,cap,570,2839,150,280,"survey #125, 'Ein Treuer 35 Freund'"
r,0072,481,48pt,7,lower,722,2900,90,181,"survey #126, 'Ein Treuer 35 Freund'"
e.48pt,,481,48pt,7,lower,813,2900,98,181,"survey #127, 'Ein Treuer 35 Freund'"
