glyph,unicode,leaf,line,band,category,x,y,w,h,notes
S,0053,224,60pt,7,cap,286,2699,96,294,"survey #176, 'Stylish June 3 WEDDINGS'"
t,0074,224,60pt,7,lower,379,2722,69,272,"survey #177, 'Stylish June 3 WEDDINGS'"
y,0079,224,60pt,7,lower,448,2768,98,289,"survey #178, 'Stylish June 3 WEDDINGS'"
l,006C,224,60pt,7,lower,545,2703,54,289,"survey #179, 'Stylish June 3 WEDDINGS'"
i,0069,224,60pt,7,lower,601,2704,51,288,"survey #180, 'Stylish June 3 WEDDINGS'"
s,0073,224,60pt,7,lower,655,2766,76,228,"survey #181, 'Stylish June 3 WEDDINGS'"
h,0068,224,60pt,7,lower,729,2703,100,289,"survey #182, 'Stylish June 3 WEDDINGS'"
J,004A,224,60pt,7,cap,899,2701,91,294,"survey #183, 'Stylish June 3 WEDDINGS'"
u,0075,224,60pt,7,lower,992,2766,100,227,"survey #184, 'Stylish June 3 WEDDINGS'"
n,006E,224,60pt,7,lower,1095,2766,100,225,"survey #185, 'Stylish June 3 WEDDINGS'"
e,0065,224,60pt,7,lower,1198,2765,78,228,"survey #186, 'Stylish June 3 WEDDINGS'"
three,0033,224,60pt,7,figure,1350,2699,96,295,"survey #187, 'Stylish June 3 WEDDINGS'"
W,0057,224,60pt,7,cap,1509,2701,187,290,"survey #188, 'Stylish June 3 WEDDINGS'"
E,0045,224,60pt,7,cap,1698,2702,117,289,"survey #189, 'Stylish June 3 WEDDINGS'"
D,0044,224,60pt,7,cap,1819,2702,124,289,"survey #190, 'Stylish June 3 WEDDINGS'"
D.60pt,,224,60pt,7,cap,1946,2702,123,288,"survey #191, 'Stylish June 3 WEDDINGS'"
I,0049,224,60pt,7,cap,2073,2701,74,289,"survey #192, 'Stylish June 3 WEDDINGS'"
N,004E,224,60pt,7,cap,2151,2701,121,289,"survey #193, 'Stylish June 3 WEDDINGS'"
G,0047,224,60pt,7,cap,2281,2697,115,295,"survey #194, 'Stylish June 3 WEDDINGS'"
S.60pt,,224,60pt,7,cap,2400,2696,92,294,"survey #195, 'Stylish June 3 WEDDINGS'"
T,0054,224,48pt,5,cap,473,1992,89,241,"survey #132, 'THAMES RIVER TRAGEDY'"
H,0048,224,48pt,5,cap,565,1991,107,242,"survey #133, 'THAMES RIVER TRAGEDY'"
A,0041,224,48pt,5,cap,670,1991,106,242,"survey #134, 'THAMES RIVER TRAGEDY'"
M,004D,224,48pt,5,cap,773,1991,126,242,"survey #135, 'THAMES RIVER TRAGEDY'"
E.48pt,,224,48pt,5,cap,896,1991,96,242,"survey #136, 'THAMES RIVER TRAGEDY'"
S.48pt,,224,48pt,5,cap,997,1988,83,249,"survey #137, 'THAMES RIVER TRAGEDY'"
R,0052,224,48pt,5,cap,1129,1991,99,242,"survey #138, 'THAMES RIVER TRAGEDY'"
I.48pt,,224,48pt,5,cap,1227,1991,56,242,"survey #139, 'THAMES RIVER TRAGEDY'"
V,0056,224,48pt,5,cap,1281,1990,101,243,"survey #140, 'THAMES RIVER TRAGEDY'"
E.48pt_2,,224,48pt,5,cap,1379,1991,96,242,"survey #141, 'THAMES RIVER TRAGEDY'"
R.48pt,,224,48pt,5,cap,1477,1992,100,241,"survey #142, 'THAMES RIVER TRAGEDY'"
T.48pt,,224,48pt,5,cap,1628,1992,89,241,"survey #143, 'THAMES RIVER TRAGEDY'"
R.48pt_2,,224,48pt,5,cap,1719,1991,99,242,"survey #144, 'THAMES RIVER TRAGEDY'"
A.48pt,,224,48pt,5,cap,1815,1991,106,242,"survey #145, 'THAMES RIVER TRAGEDY'"
G.48pt,,224,48pt,5,cap,1921,1989,95,248,"survey #146, 'THAMES RIVER TRAGEDY'"
E.48pt_3,,224,48pt,5,cap,2012,1992,96,241,"survey #147, 'THAMES RIVER TRAGEDY'"
D.48pt,,224,48pt,5,cap,2110,1991,102,242,"survey #148, 'THAMES RIVER TRAGEDY'"
Y,0059,224,48pt,5,cap,2212,1992,101,242,"survey #149, 'THAMES RIVER TRAGEDY'"
M.48pt,,224,48pt,6,cap,281,2259,126,242,"survey #150, 'Most Delight[fu]l 8 Summer Outing'"
o,006F,224,48pt,6,lower,406,2310,72,192,"survey #151, 'Most Delight[fu]l 8 Summer Outing'"
s.48pt,,224,48pt,6,lower,481,2310,66,191,"survey #152, 'Most Delight[fu]l 8 Summer Outing'"
t.48pt,,224,48pt,6,lower,547,2270,59,232,"survey #153, 'Most Delight[fu]l 8 Summer Outing'"
D.48pt_2,,224,48pt,6,cap,641,2259,103,242,"survey #154, 'Most Delight[fu]l 8 Summer Outing'"
e.48pt,,224,48pt,6,lower,747,2309,64,193,"survey #155, 'Most Delight[fu]l 8 Summer Outing'"
l.48pt,,224,48pt,6,lower,810,2259,48,242,"survey #156, 'Most Delight[fu]l 8 Summer Outing'"
i.48pt,,224,48pt,6,lower,859,2262,45,239,"survey #157, 'Most Delight[fu]l 8 Summer Outing'"
