glyph,unicode,leaf,line,band,category,x,y,w,h,notes
G,0047,221,48pt,5,cap,88,3281,251,290,"survey #48, 'GOLD 8 BUG'"
O,004F,221,48pt,5,cap,356,3285,240,292,"survey #49, 'GOLD 8 BUG'"
L,004C,221,48pt,5,cap,627,3293,223,281,"survey #50, 'GOLD 8 BUG'"
D,0044,221,48pt,5,cap,876,3294,227,281,"survey #51, 'GOLD 8 BUG'"
eight,0038,221,48pt,5,figure,1180,3299,188,278,"survey #52, 'GOLD 8 BUG'"
B,0042,221,48pt,5,cap,1445,3291,220,282,"survey #53, 'GOLD 8 BUG'"
U,0055,221,48pt,5,cap,1699,3288,245,290,"survey #54, 'GOLD 8 BUG'"
G.48pt,,221,48pt,5,cap,1982,3283,261,291,"survey #55, 'GOLD 8 BUG'"
R,0052,221,42pt,4,cap,78,2812,203,251,"survey #39, 'RED 8 ROOMS'"
E,0045,221,42pt,4,cap,292,2814,195,249,"survey #40, 'RED 8 ROOMS'"
D.42pt,,221,42pt,4,cap,505,2817,200,247,"survey #41, 'RED 8 ROOMS'"
eight.42pt,,221,42pt,4,figure,801,2823,160,245,"survey #42, 'RED 8 ROOMS'"
R.42pt,,221,42pt,4,cap,1064,2818,212,248,"survey #43, 'RED 8 ROOMS'"
O.42pt,,221,42pt,4,cap,1287,2812,215,255,"survey #44, 'RED 8 ROOMS'"
O.42pt_2,,221,42pt,4,cap,1524,2811,215,254,"survey #45, 'RED 8 ROOMS'"
M,004D,221,42pt,4,cap,1763,2812,264,247,"survey #46, 'RED 8 ROOMS'"
S,0053,221,42pt,4,cap,2051,2810,180,255,"survey #47, 'RED 8 ROOMS'"
F,0046,221,30pt,3,cap,78,2385,145,212,"survey #27, 'FINE COUCHES 7'"
I,0049,221,30pt,3,cap,238,2390,75,210,"survey #28, 'FINE COUCHES 7'"
N,004E,221,30pt,3,cap,333,2389,175,211,"survey #29, 'FINE COUCHES 7'"
E.30pt,,221,30pt,3,cap,526,2389,165,210,"survey #30, 'FINE COUCHES 7'"
C,0043,221,30pt,3,cap,760,2387,162,218,"survey #31, 'FINE COUCHES 7'"
O.30pt,,221,30pt,3,cap,940,2387,176,218,"survey #32, 'FINE COUCHES 7'"
U.30pt,,221,30pt,3,cap,1135,2388,179,214,"survey #33, 'FINE COUCHES 7'"
C.30pt,,221,30pt,3,cap,1335,2385,161,218,"survey #34, 'FINE COUCHES 7'"
H,0048,221,30pt,3,cap,1515,2387,183,211,"survey #35, 'FINE COUCHES 7'"
E.30pt_2,,221,30pt,3,cap,1720,2385,165,211,"survey #36, 'FINE COUCHES 7'"
S.30pt,,221,30pt,3,cap,1895,2384,148,218,"survey #37, 'FINE COUCHES 7'"
seven,0037,221,30pt,3,figure,2111,2382,129,219,"survey #38, 'FINE COUCHES 7'"
G.24pt,,221,24pt,2,cap,70,2021,133,172,"survey #12, 'GRAND 3 FURNITURE'"
R.24pt,,221,24pt,2,cap,206,2023,126,168,"survey #13, 'GRAND 3 FURNITURE'"
A,0041,221,24pt,2,cap,336,2024,139,168,"survey #14, 'GRAND 3 FURNITURE'"
N.24pt,,221,24pt,2,cap,486,2022,134,169,"survey #15, 'GRAND 3 FURNITURE'"
D.24pt,,221,24pt,2,cap,640,2023,133,168,"survey #16, 'GRAND 3 FURNITURE'"
three,0033,221,24pt,2,figure,858,2026,88,167,"survey #17, 'GRAND 3 FURNITURE'"
F.24pt,,221,24pt,2,cap,1031,2022,123,168,"survey #18, 'GRAND 3 FURNITURE'"
U.24pt,,221,24pt,2,cap,1160,2022,136,171,"survey #19, 'GRAND 3 FURNITURE'"
R.24pt_2,,221,24pt,2,cap,1308,2022,130,167,"survey #20, 'GRAND 3 FURNITURE'"
N.24pt_2,,221,24pt,2,cap,1452,2020,133,169,"survey #21, 'GRAND 3 FURNITURE'"
I.24pt,,221,24pt,2,cap,1606,2021,60,167,"survey #22, 'GRAND 3 FURNITURE'"
T,0054,221,24pt,2,cap,1676,2020,140,168,"survey #23, 'GRAND 3 FURNITURE'"
U.24pt_2,,221,24pt,2,cap,1823,2021,135,170,"survey #24, 'GRAND 3 FURNITURE'"
R.24pt_3,,221,24pt,2,cap,1970,2020,129,168,"survey #25, 'GRAND 3 FURNITURE'"
E.24pt,,221,24pt,2,cap,2111,2019,131,173,"survey #26, 'GRAND 3 FURNITURE'"
