glyph,unicode,leaf,line,band,category,x,y,w,h,notes
P,0050,293,72pt,8,cap,354,2834,283,351,"survey #87, 'POCKET'"
O,004F,293,72pt,8,cap,655,2832,285,357,"survey #88, 'POCKET'"
C,0043,293,72pt,8,cap,962,2828,270,366,"survey #89, 'POCKET'"
K,004B,293,72pt,8,cap,1249,2835,298,352,"survey #90, 'POCKET'"
E,0045,293,72pt,8,cap,1556,2820,276,389,"survey #91, 'POCKET'"
T,0054,293,72pt,8,cap,1845,2822,271,367,"survey #92, 'POCKET'"
S,0053,293,72pt,9,cap,154,3234,253,358,"survey #93, 'Samples 5'"
a,0061,293,72pt,9,lower,427,3328,243,271,"survey #94, 'Samples 5'"
m,006D,293,72pt,9,lower,683,3331,423,265,"survey #95, 'Samples 5'"
p,0070,293,72pt,9,lower,1122,3330,234,332,"survey #96, 'Samples 5'"
l,006C,293,72pt,9,lower,1374,3237,110,359,"survey #97, 'Samples 5'"
e,0065,293,72pt,9,lower,1504,3330,219,270,"survey #98, 'Samples 5'"
s,0073,293,72pt,9,lower,1741,3268,206,331,"survey #99, 'Samples 5'"
five,0035,293,72pt,9,figure,2051,3237,269,363,"survey #100, 'Samples 5'"
M,004D,293,60pt,6,cap,413,2035,337,295,"survey #71, 'MAPLES'"
A,0041,293,60pt,6,cap,755,2026,286,304,"survey #72, 'MAPLES'"
P.60pt,,293,60pt,6,cap,1054,2036,243,295,"survey #73, 'MAPLES'"
L,004C,293,60pt,6,cap,1314,2037,237,316,"survey #74, 'MAPLES'"
E.60pt,,293,60pt,6,cap,1563,2028,242,319,"survey #75, 'MAPLES'"
S.60pt,,293,60pt,6,cap,1825,2030,220,305,"survey #76, 'MAPLES'"
C.60pt,,293,60pt,7,cap,151,2357,226,307,"survey #77, 'Crab 9 Apple'"
r,0072,293,60pt,7,lower,397,2440,152,221,"survey #78, 'Crab 9 Apple'"
a.60pt,,293,60pt,7,lower,560,2436,192,229,"survey #79, 'Crab 9 Apple'"
b,0062,293,60pt,7,lower,762,2368,183,301,"survey #80, 'Crab 9 Apple'"
nine,0039,293,60pt,7,figure,1034,2366,217,300,"survey #81, 'Crab 9 Apple'"
A.60pt,,293,60pt,7,cap,1341,2358,285,305,"survey #82, 'Crab 9 Apple'"
p.60pt,,293,60pt,7,lower,1634,2440,186,285,"survey #83, 'Crab 9 Apple'"
p.60pt_2,,293,60pt,7,lower,1832,2440,186,285,"survey #84, 'Crab 9 Apple'"
l.60pt,,293,60pt,7,lower,2032,2367,87,296,"survey #85, 'Crab 9 Apple'"
e.60pt,,293,60pt,7,lower,2135,2438,186,226,"survey #86, 'Crab 9 Apple'"
E.48pt,,293,48pt,4,cap,437,1334,178,243,"survey #49, 'ENORMOUS'"
N,004E,293,48pt,4,cap,631,1340,185,231,"survey #50, 'ENORMOUS'"
O.48pt,,293,48pt,4,cap,834,1339,177,230,"survey #51, 'ENORMOUS'"
R,0052,293,48pt,4,cap,1028,1342,190,258,"survey #52, 'ENORMOUS'"
M.48pt,,293,48pt,4,cap,1222,1343,259,224,"survey #53, 'ENORMOUS'"
O.48pt_2,,293,48pt,4,cap,1494,1341,176,230,"survey #54, 'ENORMOUS'"
U,0055,293,48pt,4,cap,1684,1342,182,229,"survey #55, 'ENORMOUS'"
S.48pt,,293,48pt,4,cap,1878,1340,161,232,"survey #56, 'ENORMOUS'"
S.48pt_2,,293,48pt,5,cap,146,1603,158,232,"survey #57, 'Spring 7 Chicken'"
p.48pt,,293,48pt,5,lower,314,1660,138,225,"survey #58, 'Spring 7 Chicken'"
r.48pt,,293,48pt,5,lower,465,1660,120,173,"survey #59, 'Spring 7 Chicken'"
i,0069,293,48pt,5,lower,591,1613,70,220,"survey #60, 'Spring 7 Chicken'"
n,006E,293,48pt,5,lower,666,1655,167,178,"survey #61, 'Spring 7 Chicken'"
g,0067,293,48pt,5,lower,844,1660,166,225,"survey #62, 'Spring 7 Chicken'"
seven,0037,293,48pt,5,figure,1052,1603,167,230,"survey #63, 'Spring 7 Chicken'"
C.48pt,,293,48pt,5,cap,1256,1604,180,235,"survey #64, 'Spring 7 Chicken'"
h,0068,293,48pt,5,lower,1448,1605,161,229,"survey #65, 'Spring 7 Chicken'"
i.48pt,,293,48pt,5,lower,1621,1615,71,218,"survey #66, 'Spring 7 Chicken'"
c,0063,293,48pt,5,lower,1702,1662,128,175,"survey #67, 'Spring 7 Chicken'"
k,006B,293,48pt,5,lower,1839,1609,168,225,"survey #68, 'Spring 7 Chicken'"
e.48pt,,293,48pt,5,lower,2013,1659,137,180,"survey #69, 'Spring 7 Chicken'"
n.48pt,,293,48pt,5,lower,2159,1657,166,177,"survey #70, 'Spring 7 Chicken'"
B,0042,293,36pt,2,cap,428,742,157,183,"survey #21, 'BROAD ROADS'"
R.36pt,,293,36pt,2,cap,591,741,140,202,"survey #22, 'BROAD ROADS'"
O.36pt,,293,36pt,2,cap,741,737,137,190,"survey #23, 'BROAD ROADS'"
A.36pt,,293,36pt,2,cap,884,737,160,187,"survey #24, 'BROAD ROADS'"
D,0044,293,36pt,2,cap,1050,741,144,183,"survey #25, 'BROAD ROADS'"
R.36pt_2,,293,36pt,2,cap,1304,743,141,202,"survey #26, 'BROAD ROADS'"
O.36pt_2,,293,36pt,2,cap,1455,740,136,189,"survey #27, 'BROAD ROADS'"
A.36pt_2,,293,36pt,2,cap,1597,740,160,186,"survey #28, 'BROAD ROADS'"
D.36pt,,293,36pt,2,cap,1763,744,144,183,"survey #29, 'BROAD ROADS'"
S.36pt,,293,36pt,2,cap,1917,739,124,191,"survey #30, 'BROAD ROADS'"
D.36pt_2,,293,36pt,3,cap,148,974,140,184,"survey #31, 'Dangerous 8 Locality'"
a.36pt,,293,36pt,3,lower,296,1013,111,146,"survey #32, 'Dangerous 8 Locality'"
n.36pt,,293,36pt,3,lower,408,1012,124,144,"survey #33, 'Dangerous 8 Locality'"
g.36pt,,293,36pt,3,lower,535,1011,120,180,"survey #34, 'Dangerous 8 Locality'"
e.36pt,,293,36pt,3,lower,659,1013,106,145,"survey #35, 'Dangerous 8 Locality'"
r.36pt,,293,36pt,3,lower,769,1013,93,143,"survey #36, 'Dangerous 8 Locality'"
o,006F,293,36pt,3,lower,865,1011,104,147,"survey #37, 'Dangerous 8 Locality'"
u,0075,293,36pt,3,lower,974,1009,129,149,"survey #38, 'Dangerous 8 Locality'"
s.36pt,,293,36pt,3,lower,1108,1012,96,147,"survey #39, 'Dangerous 8 Locality'"
eight,0038,293,36pt,3,figure,1320,971,128,188,"survey #40, 'Dangerous 8 Locality'"
L.36pt,,293,36pt,3,cap,1563,974,132,195,"survey #41, 'Dangerous 8 Locality'"
o.36pt,,293,36pt,3,lower,1701,1014,103,147,"survey #42, 'Dangerous 8 Locality'"
c.36pt,,293,36pt,3,lower,1812,1016,102,144,"survey #43, 'Dangerous 8 Locality'"
a.36pt_2,,293,36pt,3,lower,1921,1016,111,145,"survey #44, 'Dangerous 8 Locality'"
l.36pt,,293,36pt,3,lower,2038,974,48,185,"survey #45, 'Dangerous 8 Locality'"
i.36pt,,293,36pt,3,lower,2098,981,46,178,"survey #46, 'Dangerous 8 Locality'"
t,0074,293,36pt,3,lower,2152,991,63,170,"survey #47, 'Dangerous 8 Locality'"
y,0079,293,36pt,3,lower,2217,1017,114,179,"survey #48, 'Dangerous 8 Locality'"
O.30pt,,292,30pt,6,cap,422,3054,124,164,"survey #95, 'OLDEST RESIDENT'"
L.30pt,,292,30pt,6,cap,553,3056,114,166,"survey #96, 'OLDEST RESIDENT'"
D.30pt,,292,30pt,6,cap,670,3057,127,157,"survey #97, 'OLDEST RESIDENT'"
E.30pt,,292,30pt,6,cap,806,3052,119,170,"survey #98, 'OLDEST RESIDENT'"
S.30pt,,292,30pt,6,cap,932,3053,110,164,"survey #99, 'OLDEST RESIDENT'"
T.30pt,,292,30pt,6,cap,1047,3051,114,163,"survey #100, 'OLDEST RESIDENT'"
R.30pt,,292,30pt,6,cap,1254,3056,116,179,"survey #101, 'OLDEST RESIDENT'"
E.30pt_2,,292,30pt,6,cap,1381,3051,120,171,"survey #102, 'OLDEST RESIDENT'"
S.30pt_2,,292,30pt,6,cap,1507,3053,111,164,"survey #103, 'OLDEST RESIDENT'"
I,0049,292,30pt,6,cap,1625,3056,53,157,"survey #104, 'OLDEST RESIDENT'"
D.30pt_2,,292,30pt,6,cap,1687,3055,127,158,"survey #105, 'OLDEST RESIDENT'"
E.30pt_3,,292,30pt,6,cap,1822,3051,121,170,"survey #106, 'OLDEST RESIDENT'"
N.30pt,,292,30pt,6,cap,1949,3054,122,161,"survey #107, 'OLDEST RESIDENT'"
T.30pt_2,,292,30pt,6,cap,2075,3050,114,164,"survey #108, 'OLDEST RESIDENT'"
L.30pt_2,,292,30pt,7,cap,205,3257,113,165,"survey #109, 'Lived Near Champion Hills'"
i.30pt,,292,30pt,7,lower,318,3265,40,149,"survey #110, 'Lived Near Champion Hills'"
v,0076,292,30pt,7,lower,361,3292,96,126,"survey #111, 'Lived Near Champion Hills'"
e.30pt,,292,30pt,7,lower,461,3291,88,127,"survey #112, 'Lived Near Champion Hills'"
d,0064,292,30pt,7,lower,554,3257,88,159,"survey #113, 'Lived Near Champion Hills'"
N.30pt_2,,292,30pt,7,cap,699,3255,123,161,"survey #114, 'Lived Near Champion Hills'"
e.30pt_2,,292,30pt,7,lower,828,3291,90,127,"survey #115, 'Lived Near Champion Hills'"
a.30pt,,292,30pt,7,lower,924,3291,92,126,"survey #116, 'Lived Near Champion Hills'"
r.30pt,,292,30pt,7,lower,1016,3291,74,122,"survey #117, 'Lived Near Champion Hills'"
C.30pt,,292,30pt,7,cap,1158,3254,120,162,"survey #118, 'Lived Near Champion Hills'"
h.30pt,,292,30pt,7,lower,1284,3257,103,156,"survey #119, 'Lived Near Champion Hills'"
a.30pt_2,,292,30pt,7,lower,1393,3291,92,126,"survey #120, 'Lived Near Champion Hills'"
m.30pt,,292,30pt,7,lower,1487,3289,158,123,"survey #121, 'Lived Near Champion Hills'"
p.30pt,,292,30pt,7,lower,1646,3290,92,164,"survey #122, 'Lived Near Champion Hills'"
