glyph,unicode,leaf,line,band,category,x,y,w,h,notes
R,0052,338,54pt,6,cap,253,3289,348,295,"survey #49, 'ROVER 6'"
O,004F,338,54pt,6,cap,615,3288,321,297,"survey #50, 'ROVER 6'"
V,0056,338,54pt,6,cap,950,3290,342,297,"survey #51, 'ROVER 6'"
E,0045,338,54pt,6,cap,1306,3290,311,296,"survey #52, 'ROVER 6'"
R.54pt,,338,54pt,6,cap,1641,3289,348,297,"survey #53, 'ROVER 6'"
six,0036,338,54pt,6,figure,2159,3285,279,297,"survey #54, 'ROVER 6'"
W,0057,338,36pt,4,cap,419,2585,285,232,"survey #34, 'WILD MAN'"
I,0049,338,36pt,4,cap,711,2587,90,231,"survey #35, 'WILD MAN'"
L,004C,338,36pt,4,cap,817,2586,231,232,"survey #36, 'WILD MAN'"
D,0044,338,36pt,4,cap,1054,2586,252,233,"survey #37, 'WILD MAN'"
M,004D,338,36pt,4,cap,1434,2586,285,232,"survey #38, 'WILD MAN'"
A,0041,338,36pt,4,cap,1727,2584,275,232,"survey #39, 'WILD MAN'"
N,004E,338,36pt,4,cap,2011,2584,250,233,"survey #40, 'WILD MAN'"
B,0042,338,36pt,5,cap,243,2853,250,231,"survey #41, 'BLUE 8 JAY'"
L.36pt,,338,36pt,5,cap,509,2853,230,231,"survey #42, 'BLUE 8 JAY'"
U,0055,338,36pt,5,cap,742,2852,253,234,"survey #43, 'BLUE 8 JAY'"
E.36pt,,338,36pt,5,cap,1002,2855,248,232,"survey #44, 'BLUE 8 JAY'"
eight,0038,338,36pt,5,figure,1360,2853,188,233,"survey #45, 'BLUE 8 JAY'"
J,004A,338,36pt,5,cap,1656,2851,230,233,"survey #46, 'BLUE 8 JAY'"
A.36pt,,338,36pt,5,cap,1898,2849,276,234,"survey #47, 'BLUE 8 JAY'"
Y,0059,338,36pt,5,cap,2179,2850,268,233,"survey #48, 'BLUE 8 JAY'"
F,0046,338,24pt,2,cap,471,2027,191,170,"survey #14, 'FALL SUITS'"
A.24pt,,338,24pt,2,cap,664,2026,210,171,"survey #15, 'FALL SUITS'"
L.24pt,,338,24pt,2,cap,887,2026,175,171,"survey #16, 'FALL SUITS'"
L.24pt_2,,338,24pt,2,cap,1075,2026,174,172,"survey #17, 'FALL SUITS'"
S,0053,338,24pt,2,cap,1366,2027,175,170,"survey #18, 'FALL SUITS'"
U.24pt,,338,24pt,2,cap,1558,2026,192,171,"survey #19, 'FALL SUITS'"
I.24pt,,338,24pt,2,cap,1773,2025,65,172,"survey #20, 'FALL SUITS'"
T,0054,338,24pt,2,cap,1850,2027,184,171,"survey #21, 'FALL SUITS'"
S.24pt,,338,24pt,2,cap,2041,2026,174,171,"survey #22, 'FALL SUITS'"
N.24pt,,338,24pt,3,cap,248,2214,185,172,"survey #23, 'NEAT 35 STYLE'"
E.24pt,,338,24pt,3,cap,451,2217,192,170,"survey #24, 'NEAT 35 STYLE'"
A.24pt_2,,338,24pt,3,cap,647,2216,210,171,"survey #25, 'NEAT 35 STYLE'"
T.24pt,,338,24pt,3,cap,860,2218,185,170,"survey #26, 'NEAT 35 STYLE'"
three,0033,338,24pt,3,figure,1122,2217,141,171,"survey #27, 'NEAT 35 STYLE'"
five,0035,338,24pt,3,figure,1271,2217,140,171,"survey #28, 'NEAT 35 STYLE'"
S.24pt_2,,338,24pt,3,cap,1490,2216,175,171,"survey #29, 'NEAT 35 STYLE'"
T.24pt_2,,338,24pt,3,cap,1672,2217,185,170,"survey #30, 'NEAT 35 STYLE'"
Y.24pt,,338,24pt,3,cap,1859,2216,203,171,"survey #31, 'NEAT 35 STYLE'"
L.24pt_3,,338,24pt,3,cap,2075,2215,175,171,"survey #32, 'NEAT 35 STYLE'"
E.24pt_2,,338,24pt,3,cap,2256,2215,191,171,"survey #33, 'NEAT 35 STYLE'"
