glyph,unicode,leaf,line,band,category,x,y,w,h,notes
C,0043,473,60pt,7,cap,531,2982,116,291,"survey #115, 'CHAMPIONSHIP'"
H,0048,473,60pt,7,cap,669,2983,120,289,"survey #116, 'CHAMPIONSHIP'"
A,0041,473,60pt,7,cap,810,2982,118,291,"survey #117, 'CHAMPIONSHIP'"
M,004D,473,60pt,7,cap,938,2982,135,290,"survey #118, 'CHAMPIONSHIP'"
P,0050,473,60pt,7,cap,1091,2981,120,290,"survey #119, 'CHAMPIONSHIP'"
I,0049,473,60pt,7,cap,1234,2982,22,288,"survey #120, 'CHAMPIONSHIP'"
O,004F,473,60pt,7,cap,1277,2978,129,292,"survey #121, 'CHAMPIONSHIP'"
N,004E,473,60pt,7,cap,1429,2980,119,291,"survey #122, 'CHAMPIONSHIP'"
S,0053,473,60pt,7,cap,1572,2978,125,291,"survey #123, 'CHAMPIONSHIP'"
H.60pt,,473,60pt,7,cap,1718,2980,119,289,"survey #124, 'CHAMPIONSHIP'"
I.60pt,,473,60pt,7,cap,1866,2981,20,288,"survey #125, 'CHAMPIONSHIP'"
P.60pt,,473,60pt,7,cap,1914,2980,119,290,"survey #126, 'CHAMPIONSHIP'"
M.60pt,,473,60pt,8,cap,199,3290,134,290,"survey #127, 'Medals were 5 Awarded'"
e,0065,473,60pt,8,lower,340,3369,82,212,"survey #128, 'Medals were 5 Awarded'"
d,0064,473,60pt,8,lower,429,3289,83,292,"survey #129, 'Medals were 5 Awarded'"
a,0061,473,60pt,8,lower,527,3372,78,209,"survey #130, 'Medals were 5 Awarded'"
l,006C,473,60pt,8,lower,623,3293,43,288,"survey #131, 'Medals were 5 Awarded'"
s,0073,473,60pt,8,lower,672,3371,84,210,"survey #132, 'Medals were 5 Awarded'"
w,0077,473,60pt,8,lower,863,3371,139,208,"survey #133, 'Medals were 5 Awarded'"
e.60pt,,473,60pt,8,lower,1011,3368,81,212,"survey #134, 'Medals were 5 Awarded'"
r,0072,473,60pt,8,lower,1106,3368,79,210,"survey #135, 'Medals were 5 Awarded'"
e.60pt_2,,473,60pt,8,lower,1191,3367,82,212,"survey #136, 'Medals were 5 Awarded'"
five,0035,473,60pt,8,figure,1402,3287,113,291,"survey #137, 'Medals were 5 Awarded'"
A.60pt,,473,60pt,8,cap,1646,3288,118,290,"survey #138, 'Medals were 5 Awarded'"
w.60pt,,473,60pt,8,lower,1771,3370,138,207,"survey #139, 'Medals were 5 Awarded'"
a.60pt,,473,60pt,8,lower,1918,3368,78,210,"survey #140, 'Medals were 5 Awarded'"
r.60pt,,473,60pt,8,lower,2016,3368,78,209,"survey #141, 'Medals were 5 Awarded'"
d.60pt,,473,60pt,8,lower,2101,3285,82,293,"survey #142, 'Medals were 5 Awarded'"
e.60pt_3,,473,60pt,8,lower,2197,3366,81,212,"survey #143, 'Medals were 5 Awarded'"
d.60pt_2,,473,60pt,8,lower,2286,3285,83,293,"survey #144, 'Medals were 5 Awarded'"
H.42pt,,473,42pt,5,cap,414,2283,90,228,"survey #72, 'HONORABLE MEMBERS'"
O.42pt,,473,42pt,5,cap,520,2281,98,234,"survey #73, 'HONORABLE MEMBERS'"
N.42pt,,473,42pt,5,cap,633,2283,86,229,"survey #74, 'HONORABLE MEMBERS'"
O.42pt_2,,473,42pt,5,cap,735,2281,97,234,"survey #75, 'HONORABLE MEMBERS'"
R,0052,473,42pt,5,cap,847,2283,90,228,"survey #76, 'HONORABLE MEMBERS'"
A.42pt,,473,42pt,5,cap,949,2282,88,229,"survey #77, 'HONORABLE MEMBERS'"
B,0042,473,42pt,5,cap,1052,2282,93,229,"survey #78, 'HONORABLE MEMBERS'"
L,004C,473,42pt,5,cap,1160,2283,79,228,"survey #79, 'HONORABLE MEMBERS'"
E,0045,473,42pt,5,cap,1248,2283,92,227,"survey #80, 'HONORABLE MEMBERS'"
M.42pt,,473,42pt,5,cap,1432,2283,99,226,"survey #81, 'HONORABLE MEMBERS'"
E.42pt,,473,42pt,5,cap,1546,2282,91,228,"survey #82, 'HONORABLE MEMBERS'"
M.42pt_2,,473,42pt,5,cap,1646,2282,99,227,"survey #83, 'HONORABLE MEMBERS'"
B.42pt,,473,42pt,5,cap,1761,2281,92,229,"survey #84, 'HONORABLE MEMBERS'"
E.42pt_2,,473,42pt,5,cap,1867,2282,91,228,"survey #85, 'HONORABLE MEMBERS'"
R.42pt,,473,42pt,5,cap,1971,2282,89,228,"survey #86, 'HONORABLE MEMBERS'"
S.42pt,,473,42pt,5,cap,2069,2281,97,231,"survey #87, 'HONORABLE MEMBERS'"
J,004A,473,42pt,6,cap,194,2526,69,230,"survey #88, 'Jefferson Athletc 62 Assocaton'"
e.42pt,,473,42pt,6,lower,272,2587,62,169,"survey #89, 'Jefferson Athletc 62 Assocaton'"
f,0066,473,42pt,6,lower,340,2528,40,227,"survey #90, 'Jefferson Athletc 62 Assocaton'"
f.42pt,,473,42pt,6,lower,383,2528,40,227,"survey #91, 'Jefferson Athletc 62 Assocaton'"
e.42pt_2,,473,42pt,6,lower,422,2561,62,195,"survey #92, 'Jefferson Athletc 62 Assocaton'"
r.42pt,,473,42pt,6,lower,491,2590,59,165,"survey #93, 'Jefferson Athletc 62 Assocaton'"
s.42pt,,473,42pt,6,lower,548,2591,64,165,"survey #94, 'Jefferson Athletc 62 Assocaton'"
o,006F,473,42pt,6,lower,614,2588,66,168,"survey #95, 'Jefferson Athletc 62 Assocaton'"
n,006E,473,42pt,6,lower,687,2589,62,165,"survey #96, 'Jefferson Athletc 62 Assocaton'"
A.42pt_2,,473,42pt,6,cap,861,2525,88,229,"survey #97, 'Jefferson Athletc 62 Assocaton'"
t,0074,473,42pt,6,lower,959,2550,45,204,"survey #98, 'Jefferson Athletc 62 Assocaton'"
h,0068,473,42pt,6,lower,1007,2528,62,226,"survey #99, 'Jefferson Athletc 62 Assocaton'"
l.42pt,,473,42pt,6,lower,1079,2529,34,224,"survey #100, 'Jefferson Athletc 62 Assocaton'"
e.42pt_3,,473,42pt,6,lower,1114,2586,61,169,"survey #101, 'Jefferson Athletc 62 Assocaton'"
t.42pt,,473,42pt,6,lower,1182,2550,44,203,"survey #102, 'Jefferson Athletc 62 Assocaton'"
c,0063,473,42pt,6,lower,1252,2588,63,166,"survey #103, 'Jefferson Athletc 62 Assocaton'"
six,0036,473,42pt,6,figure,1421,2526,86,226,"survey #104, 'Jefferson Athletc 62 Assocaton'"
two,0032,473,42pt,6,figure,1520,2523,84,228,"survey #105, 'Jefferson Athletc 62 Assocaton'"
A.42pt_3,,473,42pt,6,cap,1717,2523,88,229,"survey #106, 'Jefferson Athletc 62 Assocaton'"
s.42pt_2,,473,42pt,6,lower,1811,2588,64,165,"survey #107, 'Jefferson Athletc 62 Assocaton'"
s.42pt_3,,473,42pt,6,lower,1876,2588,63,165,"survey #108, 'Jefferson Athletc 62 Assocaton'"
o.42pt,,473,42pt,6,lower,1940,2585,67,169,"survey #109, 'Jefferson Athletc 62 Assocaton'"
c.42pt,,473,42pt,6,lower,2009,2588,63,165,"survey #110, 'Jefferson Athletc 62 Assocaton'"
a.42pt,,473,42pt,6,lower,2100,2587,61,166,"survey #111, 'Jefferson Athletc 62 Assocaton'"
t.42pt_2,,473,42pt,6,lower,2172,2548,44,204,"survey #112, 'Jefferson Athletc 62 Assocaton'"
o.42pt_2,,473,42pt,6,lower,2241,2586,66,168,"survey #113, 'Jefferson Athletc 62 Assocaton'"
n.42pt,,473,42pt,6,lower,2314,2587,64,165,"survey #114, 'Jefferson Athletc 62 Assocaton'"
C.30pt,,473,30pt,3,cap,510,1712,62,166,"survey #15, 'CRESTON BCYCLE COMPANY'"
R.30pt,,473,30pt,3,cap,582,1712,63,167,"survey #16, 'CRESTON BCYCLE COMPANY'"
E.30pt,,473,30pt,3,cap,656,1712,63,167,"survey #17, 'CRESTON BCYCLE COMPANY'"
S.30pt,,473,30pt,3,cap,724,1709,73,171,"survey #18, 'CRESTON BCYCLE COMPANY'"
T,0054,473,30pt,3,cap,799,1712,62,166,"survey #19, 'CRESTON BCYCLE COMPANY'"
O.30pt,,473,30pt,3,cap,864,1711,69,168,"survey #20, 'CRESTON BCYCLE COMPANY'"
N.30pt,,473,30pt,3,cap,943,1711,64,167,"survey #21, 'CRESTON BCYCLE COMPANY'"
B.30pt,,473,30pt,3,cap,1076,1712,66,165,"survey #22, 'CRESTON BCYCLE COMPANY'"
C.30pt_2,,473,30pt,3,cap,1177,1711,62,166,"survey #23, 'CRESTON BCYCLE COMPANY'"
Y,0059,473,30pt,3,cap,1245,1712,62,166,"survey #24, 'CRESTON BCYCLE COMPANY'"
C.30pt_3,,473,30pt,3,cap,1315,1711,62,166,"survey #25, 'CRESTON BCYCLE COMPANY'"
L.30pt,,473,30pt,3,cap,1388,1713,51,165,"survey #26, 'CRESTON BCYCLE COMPANY'"
E.30pt_2,,473,30pt,3,cap,1447,1712,62,166,"survey #27, 'CRESTON BCYCLE COMPANY'"
C.30pt_4,,473,30pt,3,cap,1560,1712,62,165,"survey #28, 'CRESTON BCYCLE COMPANY'"
O.30pt_2,,473,30pt,3,cap,1628,1711,69,168,"survey #29, 'CRESTON BCYCLE COMPANY'"
M.30pt,,473,30pt,3,cap,1703,1712,80,166,"survey #30, 'CRESTON BCYCLE COMPANY'"
P.30pt,,473,30pt,3,cap,1795,1712,66,166,"survey #31, 'CRESTON BCYCLE COMPANY'"
A.30pt,,473,30pt,3,cap,1861,1712,65,166,"survey #32, 'CRESTON BCYCLE COMPANY'"
N.30pt_2,,473,30pt,3,cap,1936,1711,64,167,"survey #33, 'CRESTON BCYCLE COMPANY'"
Y.30pt,,473,30pt,3,cap,2009,1712,63,167,"survey #34, 'CRESTON BCYCLE COMPANY'"
O.30pt_3,,473,30pt,4,cap,197,1889,68,168,"survey #35, 'Oldest Automoble 35 Manufacturers n Amerca'"
l.30pt,,473,30pt,4,lower,271,1891,25,165,"survey #36, 'Oldest Automoble 35 Manufacturers n Amerca'"
d.30pt,,473,30pt,4,lower,295,1890,48,166,"survey #37, 'Oldest Automoble 35 Manufacturers n Amerca'"
e.30pt,,473,30pt,4,lower,349,1929,46,128,"survey #38, 'Oldest Automoble 35 Manufacturers n Amerca'"
s.30pt,,473,30pt,4,lower,396,1928,48,129,"survey #39, 'Oldest Automoble 35 Manufacturers n Amerca'"
t.30pt,,473,30pt,4,lower,449,1905,31,151,"survey #40, 'Oldest Automoble 35 Manufacturers n Amerca'"
A.30pt_2,,473,30pt,4,cap,515,1889,65,167,"survey #41, 'Oldest Automoble 35 Manufacturers n Amerca'"
u,0075,473,30pt,4,lower,586,1929,47,127,"survey #42, 'Oldest Automoble 35 Manufacturers n Amerca'"
t.30pt_2,,473,30pt,4,lower,640,1905,32,151,"survey #43, 'Oldest Automoble 35 Manufacturers n Amerca'"
o.30pt,,473,30pt,4,lower,670,1927,52,129,"survey #44, 'Oldest Automoble 35 Manufacturers n Amerca'"
m,006D,473,30pt,4,lower,725,1927,80,129,"survey #45, 'Oldest Automoble 35 Manufacturers n Amerca'"
o.30pt_2,,473,30pt,4,lower,810,1927,51,129,"survey #46, 'Oldest Automoble 35 Manufacturers n Amerca'"
b,0062,473,30pt,4,lower,866,1889,47,167,"survey #47, 'Oldest Automoble 35 Manufacturers n Amerca'"
l.30pt_2,,473,30pt,4,lower,939,1890,25,165,"survey #48, 'Oldest Automoble 35 Manufacturers n Amerca'"
e.30pt_2,,473,30pt,4,lower,963,1928,47,128,"survey #49, 'Oldest Automoble 35 Manufacturers n Amerca'"
three,0033,473,30pt,4,figure,1047,1889,66,166,"survey #50, 'Oldest Automoble 35 Manufacturers n Amerca'"
five.30pt,,473,30pt,4,figure,1119,1889,65,166,"survey #51, 'Oldest Automoble 35 Manufacturers n Amerca'"
