glyph,unicode,leaf,line,band,category,x,y,w,h,notes
E,0045,319,84pt,6,cap,467,2683,210,401,"survey #73, 'ENAMORS'"
N,004E,319,84pt,6,cap,695,2683,197,402,"survey #74, 'ENAMORS'"
A,0041,319,84pt,6,cap,912,2684,223,401,"survey #75, 'ENAMORS'"
M,004D,319,84pt,6,cap,1151,2682,251,402,"survey #76, 'ENAMORS'"
O,004F,319,84pt,6,cap,1429,2682,186,402,"survey #77, 'ENAMORS'"
R,0052,319,84pt,6,cap,1644,2682,225,401,"survey #78, 'ENAMORS'"
S,0053,319,84pt,6,cap,1882,2680,197,405,"survey #79, 'ENAMORS'"
A.84pt,,319,84pt,7,cap,188,3143,218,401,"survey #80, 'Artist 7 Models'"
r,0072,319,84pt,7,lower,423,3166,151,378,"survey #81, 'Artist 7 Models'"
t,0074,319,84pt,7,lower,577,3158,89,386,"survey #82, 'Artist 7 Models'"
i,0069,319,84pt,7,lower,682,3156,69,390,"survey #83, 'Artist 7 Models'"
s,0073,319,84pt,7,lower,774,3211,151,340,"survey #84, 'Artist 7 Models'"
t.84pt,,319,84pt,7,lower,937,3158,89,386,"survey #85, 'Artist 7 Models'"
seven,0037,319,84pt,7,figure,1101,3146,152,401,"survey #86, 'Artist 7 Models'"
M.84pt,,319,84pt,7,cap,1331,3144,251,401,"survey #87, 'Artist 7 Models'"
o,006F,319,84pt,7,lower,1608,3210,137,336,"survey #88, 'Artist 7 Models'"
d,0064,319,84pt,7,lower,1771,3144,163,401,"survey #89, 'Artist 7 Models'"
e,0065,319,84pt,7,lower,1955,3209,136,335,"survey #90, 'Artist 7 Models'"
l,006C,319,84pt,7,lower,2110,3146,75,397,"survey #91, 'Artist 7 Models'"
s.84pt,,319,84pt,7,lower,2202,3209,151,341,"survey #92, 'Artist 7 Models'"
C,0043,319,72pt,4,cap,419,1633,149,335,"survey #50, 'CLEOPATRA'"
L,004C,319,72pt,4,cap,589,1635,176,333,"survey #51, 'CLEOPATRA'"
E.72pt,,319,72pt,4,cap,785,1635,182,332,"survey #52, 'CLEOPATRA'"
O.72pt,,319,72pt,4,cap,987,1634,159,333,"survey #53, 'CLEOPATRA'"
P,0050,319,72pt,4,cap,1174,1636,167,331,"survey #54, 'CLEOPATRA'"
A.72pt,,319,72pt,4,cap,1346,1636,194,332,"survey #55, 'CLEOPATRA'"
T,0054,319,72pt,4,cap,1541,1634,172,333,"survey #56, 'CLEOPATRA'"
R.72pt,,319,72pt,4,cap,1729,1635,192,332,"survey #57, 'CLEOPATRA'"
A.72pt_2,,319,72pt,4,cap,1930,1636,192,332,"survey #58, 'CLEOPATRA'"
A.72pt_3,,319,72pt,5,cap,182,2033,189,332,"survey #59, 'Ancient 3 Queens'"
n,006E,319,72pt,5,lower,383,2088,145,277,"survey #60, 'Ancient 3 Queens'"
c,0063,319,72pt,5,lower,549,2086,115,280,"survey #61, 'Ancient 3 Queens'"
i.72pt,,319,72pt,5,lower,684,2037,61,328,"survey #62, 'Ancient 3 Queens'"
e.72pt,,319,72pt,5,lower,768,2090,116,276,"survey #63, 'Ancient 3 Queens'"
n.72pt,,319,72pt,5,lower,905,2089,147,276,"survey #64, 'Ancient 3 Queens'"
t.72pt,,319,72pt,5,lower,1065,2050,73,317,"survey #65, 'Ancient 3 Queens'"
three,0033,319,72pt,5,figure,1207,2030,149,336,"survey #66, 'Ancient 3 Queens'"
Q,0051,319,72pt,5,cap,1440,2031,160,356,"survey #67, 'Ancient 3 Queens'"
u,0075,319,72pt,5,lower,1619,2091,154,275,"survey #68, 'Ancient 3 Queens'"
e.72pt_2,,319,72pt,5,lower,1791,2089,116,276,"survey #69, 'Ancient 3 Queens'"
e.72pt_3,,319,72pt,5,lower,1931,2089,115,276,"survey #70, 'Ancient 3 Queens'"
n.72pt_2,,319,72pt,5,lower,2067,2088,146,277,"survey #71, 'Ancient 3 Queens'"
s.72pt,,319,72pt,5,lower,2232,2088,124,277,"survey #72, 'Ancient 3 Queens'"
C.60pt,,319,60pt,2,cap,446,714,127,275,"survey #23, 'COMMANDERS'"
O.60pt,,319,60pt,2,cap,587,713,128,275,"survey #24, 'COMMANDERS'"
M.60pt,,319,60pt,2,cap,736,714,181,272,"survey #25, 'COMMANDERS'"
M.60pt_2,,319,60pt,2,cap,939,715,180,272,"survey #26, 'COMMANDERS'"
A.60pt,,319,60pt,2,cap,1133,716,160,271,"survey #27, 'COMMANDERS'"
N.60pt,,319,60pt,2,cap,1308,716,146,271,"survey #28, 'COMMANDERS'"
D,0044,319,60pt,2,cap,1475,715,142,272,"survey #29, 'COMMANDERS'"
E.60pt,,319,60pt,2,cap,1635,717,143,271,"survey #30, 'COMMANDERS'"
R.60pt,,319,60pt,2,cap,1795,716,163,272,"survey #31, 'COMMANDERS'"
S.60pt,,319,60pt,2,cap,1966,716,127,273,"survey #32, 'COMMANDERS'"
N.60pt_2,,319,60pt,3,cap,187,1047,142,273,"survey #33, 'Northern 6 Province'"
o.60pt,,319,60pt,3,lower,349,1090,92,230,"survey #34, 'Northern 6 Province'"
r.60pt,,319,60pt,3,lower,460,1091,104,227,"survey #35, 'Northern 6 Province'"
t.60pt,,319,60pt,3,lower,573,1054,67,265,"survey #36, 'Northern 6 Province'"
h,0068,319,60pt,3,lower,650,1047,126,271,"survey #37, 'Northern 6 Province'"
e.60pt,,319,60pt,3,lower,795,1090,91,229,"survey #38, 'Northern 6 Province'"
r.60pt_2,,319,60pt,3,lower,906,1090,104,227,"survey #39, 'Northern 6 Province'"
n.60pt,,319,60pt,3,lower,1022,1091,125,226,"survey #40, 'Northern 6 Province'"
six,0036,319,60pt,3,figure,1227,1045,122,274,"survey #41, 'Northern 6 Province'"
P.60pt,,319,60pt,3,cap,1429,1047,135,271,"survey #42, 'Northern 6 Province'"
r.60pt_3,,319,60pt,3,lower,1579,1091,101,227,"survey #43, 'Northern 6 Province'"
o.60pt_2,,319,60pt,3,lower,1697,1090,92,230,"survey #44, 'Northern 6 Province'"
v,0076,319,60pt,3,lower,1804,1094,122,224,"survey #45, 'Northern 6 Province'"
i.60pt,,319,60pt,3,lower,1936,1051,56,267,"survey #46, 'Northern 6 Province'"
n.60pt_2,,319,60pt,3,lower,2006,1092,124,226,"survey #47, 'Northern 6 Province'"
c.60pt,,319,60pt,3,lower,2151,1091,91,230,"survey #48, 'Northern 6 Province'"
e.60pt_2,,319,60pt,3,lower,2263,1092,91,228,"survey #49, 'Northern 6 Province'"
T.48pt,,318,48pt,7,cap,470,3047,129,231,"survey #108, 'TRUE HARMONY'"
R.48pt,,318,48pt,7,cap,605,3048,136,231,"survey #109, 'TRUE HARMONY'"
U,0055,318,48pt,7,cap,745,3048,130,232,"survey #110, 'TRUE HARMONY'"
E.48pt,,318,48pt,7,cap,889,3047,118,232,"survey #111, 'TRUE HARMONY'"
H,0048,318,48pt,7,cap,1101,3047,139,233,"survey #112, 'TRUE HARMONY'"
A.48pt,,318,48pt,7,cap,1252,3047,140,232,"survey #113, 'TRUE HARMONY'"
R.48pt_2,,318,48pt,7,cap,1403,3048,134,231,"survey #114, 'TRUE HARMONY'"
M.48pt,,318,48pt,7,cap,1546,3046,155,233,"survey #115, 'TRUE HARMONY'"
O.48pt,,318,48pt,7,cap,1715,3045,109,235,"survey #116, 'TRUE HARMONY'"
N.48pt,,318,48pt,7,cap,1841,3045,122,234,"survey #117, 'TRUE HARMONY'"
Y,0059,318,48pt,7,cap,1973,3046,131,232,"survey #118, 'TRUE HARMONY'"
E.48pt_2,,318,48pt,8,cap,202,3323,119,230,"survey #119, 'Established in 5 Business'"
s.48pt,,318,48pt,8,lower,328,3364,77,190,"survey #120, 'Established in 5 Business'"
t.48pt,,318,48pt,8,lower,411,3334,61,221,"survey #121, 'Established in 5 Business'"
a,0061,318,48pt,8,lower,483,3365,89,191,"survey #122, 'Established in 5 Business'"
b,0062,318,48pt,8,lower,580,3324,93,232,"survey #123, 'Established in 5 Business'"
l.48pt,,318,48pt,8,lower,683,3324,50,231,"survey #124, 'Established in 5 Business'"
i.48pt,,318,48pt,8,lower,741,3326,54,230,"survey #125, 'Established in 5 Business'"
s.48pt_2,,318,48pt,8,lower,805,3366,79,190,"survey #126, 'Established in 5 Business'"
h.48pt,,318,48pt,8,lower,891,3323,104,233,"survey #127, 'Established in 5 Business'"
e.48pt,,318,48pt,8,lower,1009,3364,73,194,"survey #128, 'Established in 5 Business'"
d.48pt,,318,48pt,8,lower,1094,3324,93,235,"survey #129, 'Established in 5 Business'"
i.48pt_2,,318,48pt,8,lower,1247,3326,54,230,"survey #130, 'Established in 5 Business'"
n.48pt,,318,48pt,8,lower,1307,3365,106,191,"survey #131, 'Established in 5 Business'"
five,0035,318,48pt,8,figure,1471,3324,103,232,"survey #132, 'Established in 5 Business'"
