glyph,unicode,leaf,line,band,category,x,y,w,h,notes
C,0043,320,72pt,7,cap,193,3207,173,404,"survey #78, 'COLD 8 RAINS'"
O,004F,320,72pt,7,cap,387,3207,188,402,"survey #79, 'COLD 8 RAINS'"
L,004C,320,72pt,7,cap,605,3207,204,401,"survey #80, 'COLD 8 RAINS'"
D,0044,320,72pt,7,cap,829,3207,200,402,"survey #81, 'COLD 8 RAINS'"
eight,0038,320,72pt,7,figure,1122,3204,154,406,"survey #82, 'COLD 8 RAINS'"
R,0052,320,72pt,7,cap,1368,3206,227,403,"survey #83, 'COLD 8 RAINS'"
A,0041,320,72pt,7,cap,1606,3207,225,402,"survey #84, 'COLD 8 RAINS'"
I,0049,320,72pt,7,cap,1852,3206,87,402,"survey #85, 'COLD 8 RAINS'"
N,004E,320,72pt,7,cap,1967,3204,198,404,"survey #86, 'COLD 8 RAINS'"
S,0053,320,72pt,7,cap,2187,3202,198,407,"survey #87, 'COLD 8 RAINS'"
M,004D,320,60pt,6,cap,190,2737,215,334,"survey #68, 'MARCH 7 SALE'"
A.60pt,,320,60pt,6,cap,425,2737,193,334,"survey #69, 'MARCH 7 SALE'"
R.60pt,,320,60pt,6,cap,633,2736,195,335,"survey #70, 'MARCH 7 SALE'"
C.60pt,,320,60pt,6,cap,847,2734,151,336,"survey #71, 'MARCH 7 SALE'"
H,0048,320,60pt,6,cap,1021,2734,198,335,"survey #72, 'MARCH 7 SALE'"
seven,0037,320,60pt,6,figure,1343,2735,147,334,"survey #73, 'MARCH 7 SALE'"
S.60pt,,320,60pt,6,cap,1616,2732,160,337,"survey #74, 'MARCH 7 SALE'"
A.60pt_2,,320,60pt,6,cap,1790,2735,195,334,"survey #75, 'MARCH 7 SALE'"
L.60pt,,320,60pt,6,cap,1999,2734,176,334,"survey #76, 'MARCH 7 SALE'"
E,0045,320,60pt,6,cap,2195,2733,183,334,"survey #77, 'MARCH 7 SALE'"
P,0050,320,42pt,5,cap,183,2333,135,273,"survey #54, 'PICNIC 2 GROUNDS'"
I.42pt,,320,42pt,5,cap,334,2332,64,274,"survey #55, 'PICNIC 2 GROUNDS'"
C.42pt,,320,42pt,5,cap,417,2331,128,276,"survey #56, 'PICNIC 2 GROUNDS'"
N.42pt,,320,42pt,5,cap,559,2332,146,274,"survey #57, 'PICNIC 2 GROUNDS'"
I.42pt_2,,320,42pt,5,cap,727,2331,63,274,"survey #58, 'PICNIC 2 GROUNDS'"
C.42pt_2,,320,42pt,5,cap,809,2330,129,276,"survey #59, 'PICNIC 2 GROUNDS'"
two,0032,320,42pt,5,figure,1041,2329,124,275,"survey #60, 'PICNIC 2 GROUNDS'"
G,0047,320,42pt,5,cap,1278,2329,143,276,"survey #61, 'PICNIC 2 GROUNDS'"
R.42pt,,320,42pt,5,cap,1436,2329,166,275,"survey #62, 'PICNIC 2 GROUNDS'"
O.42pt,,320,42pt,5,cap,1615,2328,130,276,"survey #63, 'PICNIC 2 GROUNDS'"
U,0055,320,42pt,5,cap,1760,2330,152,274,"survey #64, 'PICNIC 2 GROUNDS'"
N.42pt_2,,320,42pt,5,cap,1928,2329,148,275,"survey #65, 'PICNIC 2 GROUNDS'"
D.42pt,,320,42pt,5,cap,2096,2330,143,273,"survey #66, 'PICNIC 2 GROUNDS'"
S.42pt,,320,42pt,5,cap,2250,2329,127,275,"survey #67, 'PICNIC 2 GROUNDS'"
B,0042,320,36pt,4,cap,181,1963,121,232,"survey #38, 'BRIGHT 43 SUNSHINE'"
R.36pt,,320,36pt,4,cap,313,1963,135,232,"survey #39, 'BRIGHT 43 SUNSHINE'"
I.36pt,,320,36pt,4,cap,458,1962,58,232,"survey #40, 'BRIGHT 43 SUNSHINE'"
G.36pt,,320,36pt,4,cap,531,1961,125,234,"survey #41, 'BRIGHT 43 SUNSHINE'"
H.36pt,,320,36pt,4,cap,669,1960,139,233,"survey #42, 'BRIGHT 43 SUNSHINE'"
T,0054,320,36pt,4,cap,816,1960,130,233,"survey #43, 'BRIGHT 43 SUNSHINE'"
four,0034,320,36pt,4,figure,1027,1959,106,233,"survey #44, 'BRIGHT 43 SUNSHINE'"
three,0033,320,36pt,4,figure,1146,1960,105,233,"survey #45, 'BRIGHT 43 SUNSHINE'"
S.36pt,,320,36pt,4,cap,1374,1958,110,234,"survey #46, 'BRIGHT 43 SUNSHINE'"
U.36pt,,320,36pt,4,cap,1493,1959,129,234,"survey #47, 'BRIGHT 43 SUNSHINE'"
N.36pt,,320,36pt,4,cap,1638,1959,120,233,"survey #48, 'BRIGHT 43 SUNSHINE'"
S.36pt_2,,320,36pt,4,cap,1771,1958,109,235,"survey #49, 'BRIGHT 43 SUNSHINE'"
H.36pt_2,,320,36pt,4,cap,1896,1959,138,233,"survey #50, 'BRIGHT 43 SUNSHINE'"
I.36pt_2,,320,36pt,4,cap,2050,1960,58,232,"survey #51, 'BRIGHT 43 SUNSHINE'"
N.36pt_2,,320,36pt,4,cap,2126,1959,122,233,"survey #52, 'BRIGHT 43 SUNSHINE'"
E.36pt,,320,36pt,4,cap,2264,1960,118,232,"survey #53, 'BRIGHT 43 SUNSHINE'"
T.30pt,,320,30pt,3,cap,171,1649,78,170,"survey #15, 'THE LONG DREAMY 59 DAYS PAST'"
H.30pt,,320,30pt,3,cap,256,1648,90,171,"survey #16, 'THE LONG DREAMY 59 DAYS PAST'"
