glyph,unicode,leaf,line,band,category,x,y,w,h,notes
W,0057,211,54pt,8,cap,79,3281,130,300,"survey #215, 'WILL START 82 PAYING MONDAY'"
I,0049,211,54pt,8,cap,216,3284,31,299,"survey #216, 'WILL START 82 PAYING MONDAY'"
L,004C,211,54pt,8,cap,262,3287,74,297,"survey #217, 'WILL START 82 PAYING MONDAY'"
L.54pt,,211,54pt,8,cap,339,3289,75,297,"survey #218, 'WILL START 82 PAYING MONDAY'"
S,0053,211,54pt,8,cap,456,3290,78,298,"survey #219, 'WILL START 82 PAYING MONDAY'"
T,0054,211,54pt,8,cap,532,3290,94,298,"survey #220, 'WILL START 82 PAYING MONDAY'"
A,0041,211,54pt,8,cap,625,3291,77,298,"survey #221, 'WILL START 82 PAYING MONDAY'"
R,0052,211,54pt,8,cap,707,3290,81,299,"survey #222, 'WILL START 82 PAYING MONDAY'"
T.54pt,,211,54pt,8,cap,792,3291,94,299,"survey #223, 'WILL START 82 PAYING MONDAY'"
eight,0038,211,54pt,8,figure,924,3292,71,297,"survey #224, 'WILL START 82 PAYING MONDAY'"
two,0032,211,54pt,8,figure,1009,3291,69,298,"survey #225, 'WILL START 82 PAYING MONDAY'"
P,0050,211,54pt,8,cap,1142,3291,77,299,"survey #226, 'WILL START 82 PAYING MONDAY'"
A.54pt,,211,54pt,8,cap,1218,3291,78,299,"survey #227, 'WILL START 82 PAYING MONDAY'"
Y,0059,211,54pt,8,cap,1294,3291,79,298,"survey #228, 'WILL START 82 PAYING MONDAY'"
I.54pt,,211,54pt,8,cap,1382,3290,30,298,"survey #229, 'WILL START 82 PAYING MONDAY'"
N,004E,211,54pt,8,cap,1431,3289,87,300,"survey #230, 'WILL START 82 PAYING MONDAY'"
G,0047,211,54pt,8,cap,1537,3290,79,298,"survey #231, 'WILL START 82 PAYING MONDAY'"
M,004D,211,54pt,8,cap,1665,3288,130,300,"survey #232, 'WILL START 82 PAYING MONDAY'"
O,004F,211,54pt,8,cap,1810,3289,79,299,"survey #233, 'WILL START 82 PAYING MONDAY'"
N.54pt,,211,54pt,8,cap,1905,3288,87,299,"survey #234, 'WILL START 82 PAYING MONDAY'"
D,0044,211,54pt,8,cap,2011,3288,78,299,"survey #235, 'WILL START 82 PAYING MONDAY'"
A.54pt_2,,211,54pt,8,cap,2097,3288,77,299,"survey #236, 'WILL START 82 PAYING MONDAY'"
Y.54pt,,211,54pt,8,cap,2173,3288,79,297,"survey #237, 'WILL START 82 PAYING MONDAY'"
T.48pt,,211,48pt,7,cap,75,2855,79,271,"survey #190, 'TAKES CHARGE 93 OF BANK ASSETS'"
A.48pt,,211,48pt,7,cap,155,2857,67,271,"survey #191, 'TAKES CHARGE 93 OF BANK ASSETS'"
K,004B,211,48pt,7,cap,227,2859,73,270,"survey #192, 'TAKES CHARGE 93 OF BANK ASSETS'"
E,0045,211,48pt,7,cap,305,2860,69,271,"survey #193, 'TAKES CHARGE 93 OF BANK ASSETS'"
S.48pt,,211,48pt,7,cap,377,2861,71,270,"survey #194, 'TAKES CHARGE 93 OF BANK ASSETS'"
C,0043,211,48pt,7,cap,500,2862,72,269,"survey #195, 'TAKES CHARGE 93 OF BANK ASSETS'"
H,0048,211,48pt,7,cap,582,2861,72,271,"survey #196, 'TAKES CHARGE 93 OF BANK ASSETS'"
A.48pt_2,,211,48pt,7,cap,662,2861,71,271,"survey #197, 'TAKES CHARGE 93 OF BANK ASSETS'"
R.48pt,,211,48pt,7,cap,740,2861,72,271,"survey #198, 'TAKES CHARGE 93 OF BANK ASSETS'"
G.48pt,,211,48pt,7,cap,823,2861,73,271,"survey #199, 'TAKES CHARGE 93 OF BANK ASSETS'"
E.48pt,,211,48pt,7,cap,908,2861,70,271,"survey #200, 'TAKES CHARGE 93 OF BANK ASSETS'"
nine,0039,211,48pt,7,figure,1027,2860,63,271,"survey #201, 'TAKES CHARGE 93 OF BANK ASSETS'"
three,0033,211,48pt,7,figure,1099,2860,63,271,"survey #202, 'TAKES CHARGE 93 OF BANK ASSETS'"
O.48pt,,211,48pt,7,cap,1219,2861,72,270,"survey #203, 'TAKES CHARGE 93 OF BANK ASSETS'"
F,0046,211,48pt,7,cap,1302,2860,68,272,"survey #204, 'TAKES CHARGE 93 OF BANK ASSETS'"
B,0042,211,48pt,7,cap,1424,2860,72,270,"survey #205, 'TAKES CHARGE 93 OF BANK ASSETS'"
A.48pt_3,,211,48pt,7,cap,1500,2859,70,271,"survey #206, 'TAKES CHARGE 93 OF BANK ASSETS'"
N.48pt,,211,48pt,7,cap,1578,2859,76,271,"survey #207, 'TAKES CHARGE 93 OF BANK ASSETS'"
K.48pt,,211,48pt,7,cap,1667,2859,74,271,"survey #208, 'TAKES CHARGE 93 OF BANK ASSETS'"
A.48pt_4,,211,48pt,7,cap,1787,2859,71,270,"survey #209, 'TAKES CHARGE 93 OF BANK ASSETS'"
S.48pt_2,,211,48pt,7,cap,1863,2859,71,270,"survey #210, 'TAKES CHARGE 93 OF BANK ASSETS'"
S.48pt_3,,211,48pt,7,cap,1942,2859,71,270,"survey #211, 'TAKES CHARGE 93 OF BANK ASSETS'"
E.48pt_2,,211,48pt,7,cap,2023,2859,69,270,"survey #212, 'TAKES CHARGE 93 OF BANK ASSETS'"
T.48pt_2,,211,48pt,7,cap,2092,2859,84,270,"survey #213, 'TAKES CHARGE 93 OF BANK ASSETS'"
S.48pt_4,,211,48pt,7,cap,2179,2859,71,270,"survey #214, 'TAKES CHARGE 93 OF BANK ASSETS'"
B.42pt,,211,42pt,6,cap,82,2459,62,248,"survey #164, 'BANK EXAMINER 28 SMITH PRESENT'"
A.42pt,,211,42pt,6,cap,145,2460,61,248,"survey #165, 'BANK EXAMINER 28 SMITH PRESENT'"
N.42pt,,211,42pt,6,cap,209,2460,70,248,"survey #166, 'BANK EXAMINER 28 SMITH PRESENT'"
K.42pt,,211,42pt,6,cap,290,2461,70,248,"survey #167, 'BANK EXAMINER 28 SMITH PRESENT'"
E.42pt,,211,42pt,6,cap,429,2461,64,249,"survey #168, 'BANK EXAMINER 28 SMITH PRESENT'"
X,0058,211,42pt,6,cap,491,2462,73,248,"survey #169, 'BANK EXAMINER 28 SMITH PRESENT'"
A.42pt_2,,211,42pt,6,cap,563,2462,63,248,"survey #170, 'BANK EXAMINER 28 SMITH PRESENT'"
M.42pt,,211,42pt,6,cap,632,2462,105,248,"survey #171, 'BANK EXAMINER 28 SMITH PRESENT'"
I.42pt,,211,42pt,6,cap,748,2462,26,248,"survey #172, 'BANK EXAMINER 28 SMITH PRESENT'"
N.42pt_2,,211,42pt,6,cap,789,2461,71,249,"survey #173, 'BANK EXAMINER 28 SMITH PRESENT'"
E.42pt_2,,211,42pt,6,cap,874,2461,65,249,"survey #174, 'BANK EXAMINER 28 SMITH PRESENT'"
R.42pt,,211,42pt,6,cap,943,2461,65,249,"survey #175, 'BANK EXAMINER 28 SMITH PRESENT'"
two.42pt,,211,42pt,6,figure,1092,2461,58,249,"survey #176, 'BANK EXAMINER 28 SMITH PRESENT'"
eight.42pt,,211,42pt,6,figure,1166,2462,58,248,"survey #177, 'BANK EXAMINER 28 SMITH PRESENT'"
S.42pt,,211,42pt,6,cap,1299,2461,64,249,"survey #178, 'BANK EXAMINER 28 SMITH PRESENT'"
M.42pt_2,,211,42pt,6,cap,1372,2461,105,248,"survey #179, 'BANK EXAMINER 28 SMITH PRESENT'"
I.42pt_2,,211,42pt,6,cap,1490,2462,26,247,"survey #180, 'BANK EXAMINER 28 SMITH PRESENT'"
T.42pt,,211,42pt,6,cap,1521,2461,76,248,"survey #181, 'BANK EXAMINER 28 SMITH PRESENT'"
H.42pt,,211,42pt,6,cap,1604,2461,64,248,"survey #182, 'BANK EXAMINER 28 SMITH PRESENT'"
P.42pt,,211,42pt,6,cap,1748,2461,64,247,"survey #183, 'BANK EXAMINER 28 SMITH PRESENT'"
R.42pt_2,,211,42pt,6,cap,1816,2460,65,249,"survey #184, 'BANK EXAMINER 28 SMITH PRESENT'"
E.42pt_3,,211,42pt,6,cap,1895,2460,64,248,"survey #185, 'BANK EXAMINER 28 SMITH PRESENT'"
S.42pt_2,,211,42pt,6,cap,1959,2460,64,248,"survey #186, 'BANK EXAMINER 28 SMITH PRESENT'"
E.42pt_4,,211,42pt,6,cap,2033,2460,63,248,"survey #187, 'BANK EXAMINER 28 SMITH PRESENT'"
N.42pt_3,,211,42pt,6,cap,2102,2459,72,249,"survey #188, 'BANK EXAMINER 28 SMITH PRESENT'"
T.42pt_2,,211,42pt,6,cap,2179,2460,77,248,"survey #189, 'BANK EXAMINER 28 SMITH PRESENT'"
M.36pt,,211,36pt,5,cap,83,2075,86,220,"survey #133, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
E.36pt,,211,36pt,5,cap,180,2076,56,219,"survey #134, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
E.36pt_2,,211,36pt,5,cap,239,2076,56,219,"survey #135, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
T.36pt,,211,36pt,5,cap,290,2076,66,220,"survey #136, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
I.36pt,,211,36pt,5,cap,362,2076,22,219,"survey #137, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
N.36pt,,211,36pt,5,cap,397,2076,63,220,"survey #138, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
G.36pt,,211,36pt,5,cap,472,2076,57,219,"survey #139, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
O.36pt,,211,36pt,5,cap,587,2076,56,219,"survey #140, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
F.36pt,,211,36pt,5,cap,654,2076,53,219,"survey #141, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
D.36pt,,211,36pt,5,cap,762,2075,57,220,"survey #142, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
I.36pt_2,,211,36pt,5,cap,830,2075,22,219,"survey #143, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
R.36pt,,211,36pt,5,cap,866,2076,56,218,"survey #144, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
E.36pt_3,,211,36pt,5,cap,936,2075,57,219,"survey #145, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
C.36pt,,211,36pt,5,cap,997,2075,57,220,"survey #146, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
T.36pt_2,,211,36pt,5,cap,1055,2075,67,220,"survey #147, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
O.36pt_2,,211,36pt,5,cap,1127,2075,55,220,"survey #148, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
R.36pt_2,,211,36pt,5,cap,1194,2075,57,219,"survey #149, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
S.36pt,,211,36pt,5,cap,1260,2075,56,219,"survey #150, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
five,0035,211,36pt,5,figure,1374,2075,50,219,"survey #151, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
four,0034,211,36pt,5,figure,1426,2074,65,219,"survey #152, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
P.36pt,,211,36pt,5,cap,1550,2075,55,218,"survey #153, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
R.36pt_3,,211,36pt,5,cap,1610,2074,57,219,"survey #154, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
O.36pt_3,,211,36pt,5,cap,1679,2074,55,219,"survey #155, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
V,0056,211,36pt,5,cap,1741,2075,54,218,"survey #156, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
I.36pt_3,,211,36pt,5,cap,1802,2073,22,220,"survey #157, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
D.36pt_2,,211,36pt,5,cap,1838,2073,57,220,"survey #158, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
E.36pt_4,,211,36pt,5,cap,1905,2074,57,218,"survey #159, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
C.36pt_2,,211,36pt,5,cap,2017,2074,56,219,"survey #160, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
A.36pt,,211,36pt,5,cap,2075,2075,56,218,"survey #161, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
S.36pt_2,,211,36pt,5,cap,2132,2074,55,218,"survey #162, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
H.36pt,,211,36pt,5,cap,2196,2074,56,218,"survey #163, 'MEETING OF DIRECTORS 54 PROVIDE CASH'"
D.30pt,,211,30pt,4,cap,83,1732,47,190,"survey #96, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
E.30pt,,211,30pt,4,cap,138,1732,47,189,"survey #97, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
P.30pt,,211,30pt,4,cap,187,1731,47,191,"survey #98, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
O.30pt,,211,30pt,4,cap,237,1731,48,190,"survey #99, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
S.30pt,,211,30pt,4,cap,289,1731,47,190,"survey #100, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
I.30pt,,211,30pt,4,cap,341,1731,20,190,"survey #101, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
T.30pt,,211,30pt,4,cap,362,1730,57,191,"survey #102, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
O.30pt_2,,211,30pt,4,cap,422,1730,48,191,"survey #103, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
R.30pt,,211,30pt,4,cap,479,1731,48,190,"survey #104, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
S.30pt_2,,211,30pt,4,cap,534,1731,48,189,"survey #105, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
W.30pt,,211,30pt,4,cap,621,1730,81,190,"survey #106, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
I.30pt_2,,211,30pt,4,cap,708,1730,19,190,"survey #107, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
L.30pt,,211,30pt,4,cap,738,1730,45,190,"survey #108, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
L.30pt_2,,211,30pt,4,cap,787,1730,45,190,"survey #109, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
B.30pt,,211,30pt,4,cap,872,1729,49,191,"survey #110, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
E.30pt_2,,211,30pt,4,cap,930,1730,49,189,"survey #111, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
P.30pt_2,,211,30pt,4,cap,1016,1729,48,191,"survey #112, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
A.30pt,,211,30pt,4,cap,1063,1730,47,190,"survey #113, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
I.30pt_3,,211,30pt,4,cap,1114,1729,19,191,"survey #114, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
D.30pt_2,,211,30pt,4,cap,1144,1730,48,190,"survey #115, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
six,0036,211,30pt,4,figure,1236,1730,44,190,"survey #116, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
seven,0037,211,30pt,4,figure,1288,1730,45,190,"survey #117, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
D.30pt_3,,211,30pt,4,cap,1382,1730,48,190,"survey #118, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
O.30pt_3,,211,30pt,4,cap,1441,1728,48,191,"survey #119, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
L.30pt_3,,211,30pt,4,cap,1500,1729,45,190,"survey #120, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
L.30pt_4,,211,30pt,4,cap,1549,1729,45,190,"survey #121, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
A.30pt_2,,211,30pt,4,cap,1591,1729,47,190,"survey #122, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
R.30pt_2,,211,30pt,4,cap,1642,1729,48,190,"survey #123, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
F.30pt,,211,30pt,4,cap,1741,1729,44,190,"survey #124, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
O.30pt_4,,211,30pt,4,cap,1790,1728,48,190,"survey #125, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
R.30pt_3,,211,30pt,4,cap,1848,1729,48,189,"survey #126, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
D.30pt_4,,211,30pt,4,cap,1947,1730,48,189,"survey #127, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
O.30pt_5,,211,30pt,4,cap,2006,1728,48,190,"survey #128, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
L.30pt_5,,211,30pt,4,cap,2064,1728,45,190,"survey #129, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
L.30pt_6,,211,30pt,4,cap,2114,1728,44,190,"survey #130, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
A.30pt_3,,211,30pt,4,cap,2156,1729,46,189,"survey #131, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
R.30pt_4,,211,30pt,4,cap,2206,1729,48,189,"survey #132, 'DEPOSITORS WILL BE PAID 67 DOLLAR FOR DOLLAR'"
C.26pt,,211,26pt,3,cap,80,1397,45,180,"survey #57, 'CASHIER SKIPPED TO CANADA 49 WITH ALL THE FUNDS'"
A.26pt,,211,26pt,3,cap,126,1397,44,181,"survey #58, 'CASHIER SKIPPED TO CANADA 49 WITH ALL THE FUNDS'"
S.26pt,,211,26pt,3,cap,171,1396,47,180,"survey #59, 'CASHIER SKIPPED TO CANADA 49 WITH ALL THE FUNDS'"
H.26pt,,211,26pt,3,cap,223,1395,47,180,"survey #60, 'CASHIER SKIPPED TO CANADA 49 WITH ALL THE FUNDS'"
