glyph,unicode,leaf,line,band,category,x,y,w,h,notes
M,004D,303,72pt,8,cap,178,3182,361,337,"survey #71, 'MAD 3 Boy'"
A,0041,303,72pt,8,cap,542,3180,309,340,"survey #72, 'MAD 3 Boy'"
D,0044,303,72pt,8,cap,868,3184,286,338,"survey #73, 'MAD 3 Boy'"
three,0033,303,72pt,8,figure,1252,3200,209,368,"survey #74, 'MAD 3 Boy'"
B,0042,303,72pt,8,cap,1586,3182,283,339,"survey #75, 'MAD 3 Boy'"
o,006F,303,72pt,8,lower,1880,3272,215,249,"survey #76, 'MAD 3 Boy'"
y,0079,303,72pt,8,lower,2104,3279,250,317,"survey #77, 'MAD 3 Boy'"
B.60pt,,303,60pt,6,cap,427,2285,246,299,"survey #55, 'BA[RG]AIN'"
A.60pt,,303,60pt,6,cap,675,2282,259,299,"survey #56, 'BA[RG]AIN'"
A.60pt_2,,303,60pt,6,cap,1455,2283,261,298,"survey #58, 'BA[RG]AIN'"
I,0049,303,60pt,6,cap,1730,2286,93,293,"survey #59, 'BA[RG]AIN'"
N,004E,303,60pt,6,cap,1843,2288,261,300,"survey #60, 'BA[RG]AIN'"
C,0043,303,60pt,7,cap,170,2649,222,301,"survey #61, 'Cheap 8 Hats'"
h,0068,303,60pt,7,lower,404,2645,203,301,"survey #62, 'Cheap 8 Hats'"
e,0065,303,60pt,7,lower,618,2726,166,224,"survey #63, 'Cheap 8 Hats'"
a,0061,303,60pt,7,lower,785,2727,200,223,"survey #64, 'Cheap 8 Hats'"
p,0070,303,60pt,7,lower,992,2726,189,287,"survey #65, 'Cheap 8 Hats'"
eight,0038,303,60pt,7,figure,1287,2650,182,296,"survey #66, 'Cheap 8 Hats'"
H,0048,303,60pt,7,cap,1584,2651,254,295,"survey #67, 'Cheap 8 Hats'"
a.60pt,,303,60pt,7,lower,1853,2725,200,223,"survey #68, 'Cheap 8 Hats'"
t,0074,303,60pt,7,lower,2050,2656,138,290,"survey #69, 'Cheap 8 Hats'"
s,0073,303,60pt,7,lower,2190,2727,168,221,"survey #70, 'Cheap 8 Hats'"
K,004B,303,54pt,4,cap,360,1461,230,268,"survey #36, 'KING JOHN'"
I.54pt,,303,54pt,4,cap,605,1462,81,265,"survey #37, 'KING JOHN'"
N.54pt,,303,54pt,4,cap,709,1463,231,271,"survey #38, 'KING JOHN'"
G,0047,303,54pt,4,cap,950,1458,220,274,"survey #39, 'KING JOHN'"
J,004A,303,54pt,4,cap,1271,1460,161,269,"survey #40, 'KING JOHN'"
O,004F,303,54pt,4,cap,1450,1458,228,273,"survey #41, 'KING JOHN'"
H.54pt,,303,54pt,4,cap,1696,1460,228,266,"survey #42, 'KING JOHN'"
N.54pt_2,,303,54pt,4,cap,1946,1463,232,271,"survey #43, 'KING JOHN'"
A.54pt,,303,54pt,5,cap,176,1792,230,268,"survey #44, 'Always 7 Bold'"
l,006C,303,54pt,5,lower,420,1790,77,270,"survey #45, 'Always 7 Bold'"
w,0077,303,54pt,5,lower,510,1867,280,199,"survey #46, 'Always 7 Bold'"
a.54pt,,303,54pt,5,lower,792,1863,179,201,"survey #47, 'Always 7 Bold'"
y.54pt,,303,54pt,5,lower,970,1866,191,246,"survey #48, 'Always 7 Bold'"
s.54pt,,303,54pt,5,lower,1165,1859,150,202,"survey #49, 'Always 7 Bold'"
seven,0037,303,54pt,5,figure,1411,1807,164,255,"survey #50, 'Always 7 Bold'"
B.54pt,,303,54pt,5,cap,1683,1792,217,269,"survey #51, 'Always 7 Bold'"
o.54pt,,303,54pt,5,lower,1909,1861,166,200,"survey #52, 'Always 7 Bold'"
l.54pt,,303,54pt,5,lower,2090,1789,77,270,"survey #53, 'Always 7 Bold'"
d,0064,303,54pt,5,lower,2181,1790,165,273,"survey #54, 'Always 7 Bold'"
B.48pt,,303,48pt,2,cap,534,689,195,243,"survey #15, 'BUILDING'"
U,0055,303,48pt,2,cap,744,690,205,242,"survey #16, 'BUILDING'"
I.48pt,,303,48pt,2,cap,961,689,76,239,"survey #17, 'BUILDING'"
L,004C,303,48pt,2,cap,1061,688,187,250,"survey #18, 'BUILDING'"
D.48pt,,303,48pt,2,cap,1259,687,199,245,"survey #19, 'BUILDING'"
I.48pt_2,,303,48pt,2,cap,1476,690,76,239,"survey #20, 'BUILDING'"
N.48pt,,303,48pt,2,cap,1569,690,210,248,"survey #21, 'BUILDING'"
G.48pt,,303,48pt,2,cap,1791,687,201,247,"survey #22, 'BUILDING'"
C.48pt,,303,48pt,3,cap,172,990,177,244,"survey #23, 'Cages for 5 Sale'"
a.48pt,,303,48pt,3,lower,357,1050,159,181,"survey #24, 'Cages for 5 Sale'"
g,0067,303,48pt,3,lower,522,1050,165,232,"survey #25, 'Cages for 5 Sale'"
