glyph,unicode,leaf,line,band,category,x,y,w,h,notes
L,004C,227,72pt,9,cap,124,3203,91,353,"survey #313, 'Largest Body 46 OF WATER'"
a,0061,227,72pt,9,lower,212,3309,101,318,"survey #314, 'Largest Body 46 OF WATER'"
r,0072,227,72pt,9,lower,310,3311,83,249,"survey #315, 'Largest Body 46 OF WATER'"
g,0067,227,72pt,9,lower,390,3311,98,334,"survey #316, 'Largest Body 46 OF WATER'"
e,0065,227,72pt,9,lower,492,3312,73,252,"survey #317, 'Largest Body 46 OF WATER'"
s,0073,227,72pt,9,lower,570,3315,75,249,"survey #318, 'Largest Body 46 OF WATER'"
t,0074,227,72pt,9,lower,644,3213,75,352,"survey #319, 'Largest Body 46 OF WATER'"
B,0042,227,72pt,9,cap,765,3214,101,352,"survey #320, 'Largest Body 46 OF WATER'"
o,006F,227,72pt,9,lower,879,3316,72,250,"survey #321, 'Largest Body 46 OF WATER'"
d,0064,227,72pt,9,lower,962,3215,89,352,"survey #322, 'Largest Body 46 OF WATER'"
y,0079,227,72pt,9,lower,1049,3317,99,340,"survey #323, 'Largest Body 46 OF WATER'"
four,0034,227,72pt,9,figure,1200,3215,109,351,"survey #324, 'Largest Body 46 OF WATER'"
six,0036,227,72pt,9,figure,1316,3216,86,351,"survey #325, 'Largest Body 46 OF WATER'"
O,004F,227,72pt,9,cap,1465,3214,86,352,"survey #326, 'Largest Body 46 OF WATER'"
F,0046,227,72pt,9,cap,1559,3214,98,352,"survey #327, 'Largest Body 46 OF WATER'"
W,0057,227,72pt,9,cap,1695,3214,165,353,"survey #328, 'Largest Body 46 OF WATER'"
A,0041,227,72pt,9,cap,1861,3215,112,351,"survey #329, 'Largest Body 46 OF WATER'"
T,0054,227,72pt,9,cap,1972,3214,112,353,"survey #330, 'Largest Body 46 OF WATER'"
E,0045,227,72pt,9,cap,2086,3213,100,353,"survey #331, 'Largest Body 46 OF WATER'"
R,0052,227,72pt,9,cap,2187,3214,115,353,"survey #332, 'Largest Body 46 OF WATER'"
A.60pt,,227,60pt,8,cap,124,2742,94,294,"survey #288, 'ACROSS THE 8 Atlantic in Boats'"
C,0043,227,60pt,8,cap,219,2743,75,295,"survey #289, 'ACROSS THE 8 Atlantic in Boats'"
R.60pt,,227,60pt,8,cap,295,2745,98,294,"survey #290, 'ACROSS THE 8 Atlantic in Boats'"
O.60pt,,227,60pt,8,cap,392,2744,78,297,"survey #291, 'ACROSS THE 8 Atlantic in Boats'"
S,0053,227,60pt,8,cap,472,2747,84,295,"survey #292, 'ACROSS THE 8 Atlantic in Boats'"
S.60pt,,227,60pt,8,cap,556,2748,84,294,"survey #293, 'ACROSS THE 8 Atlantic in Boats'"
T.60pt,,227,60pt,8,cap,691,2749,102,293,"survey #294, 'ACROSS THE 8 Atlantic in Boats'"
H,0048,227,60pt,8,cap,794,2750,98,293,"survey #295, 'ACROSS THE 8 Atlantic in Boats'"
E.60pt,,227,60pt,8,cap,891,2750,88,293,"survey #296, 'ACROSS THE 8 Atlantic in Boats'"
eight,0038,227,60pt,8,figure,1034,2752,78,292,"survey #297, 'ACROSS THE 8 Atlantic in Boats'"
A.60pt_2,,227,60pt,8,cap,1165,2749,98,294,"survey #298, 'ACROSS THE 8 Atlantic in Boats'"
t.60pt,,227,60pt,8,lower,1260,2749,57,293,"survey #299, 'ACROSS THE 8 Atlantic in Boats'"
l,006C,227,60pt,8,lower,1317,2750,44,292,"survey #300, 'ACROSS THE 8 Atlantic in Boats'"
a.60pt,,227,60pt,8,lower,1362,2836,85,208,"survey #301, 'ACROSS THE 8 Atlantic in Boats'"
n,006E,227,60pt,8,lower,1446,2837,82,205,"survey #302, 'ACROSS THE 8 Atlantic in Boats'"
t.60pt_2,,227,60pt,8,lower,1528,2749,56,292,"survey #303, 'ACROSS THE 8 Atlantic in Boats'"
i,0069,227,60pt,8,lower,1585,2748,42,294,"survey #304, 'ACROSS THE 8 Atlantic in Boats'"
c,0063,227,60pt,8,lower,1629,2836,63,207,"survey #305, 'ACROSS THE 8 Atlantic in Boats'"
i.60pt,,227,60pt,8,lower,1747,2749,41,292,"survey #306, 'ACROSS THE 8 Atlantic in Boats'"
n.60pt,,227,60pt,8,lower,1789,2837,82,205,"survey #307, 'ACROSS THE 8 Atlantic in Boats'"
B.60pt,,227,60pt,8,cap,1937,2749,87,293,"survey #308, 'ACROSS THE 8 Atlantic in Boats'"
o.60pt,,227,60pt,8,lower,2027,2834,63,208,"survey #309, 'ACROSS THE 8 Atlantic in Boats'"
