glyph,unicode,leaf,line,band,category,x,y,w,h,notes
C,0043,321,72pt,8,cap,148,3105,76,422,"survey #228, 'CHICAGO AND DENVER 5 RAILROAD ~'"
H,0048,321,72pt,8,cap,228,3108,78,420,"survey #229, 'CHICAGO AND DENVER 5 RAILROAD ~'"
I,0049,321,72pt,8,cap,308,3110,34,418,"survey #230, 'CHICAGO AND DENVER 5 RAILROAD ~'"
C.72pt,,321,72pt,8,cap,347,3108,77,423,"survey #231, 'CHICAGO AND DENVER 5 RAILROAD ~'"
A,0041,321,72pt,8,cap,430,3112,75,419,"survey #232, 'CHICAGO AND DENVER 5 RAILROAD ~'"
G,0047,321,72pt,8,cap,511,3111,78,423,"survey #233, 'CHICAGO AND DENVER 5 RAILROAD ~'"
O,004F,321,72pt,8,cap,596,3110,75,424,"survey #234, 'CHICAGO AND DENVER 5 RAILROAD ~'"
A.72pt,,321,72pt,8,cap,738,3114,77,420,"survey #235, 'CHICAGO AND DENVER 5 RAILROAD ~'"
N,004E,321,72pt,8,cap,821,3114,76,420,"survey #236, 'CHICAGO AND DENVER 5 RAILROAD ~'"
D,0044,321,72pt,8,cap,904,3114,76,420,"survey #237, 'CHICAGO AND DENVER 5 RAILROAD ~'"
D.72pt,,321,72pt,8,cap,1042,3106,77,429,"survey #238, 'CHICAGO AND DENVER 5 RAILROAD ~'"
E,0045,321,72pt,8,cap,1126,3114,68,421,"survey #239, 'CHICAGO AND DENVER 5 RAILROAD ~'"
N.72pt,,321,72pt,8,cap,1201,3115,77,420,"survey #240, 'CHICAGO AND DENVER 5 RAILROAD ~'"
V,0056,321,72pt,8,cap,1286,3114,80,422,"survey #241, 'CHICAGO AND DENVER 5 RAILROAD ~'"
E.72pt,,321,72pt,8,cap,1368,3115,65,420,"survey #242, 'CHICAGO AND DENVER 5 RAILROAD ~'"
R,0052,321,72pt,8,cap,1438,3115,81,420,"survey #243, 'CHICAGO AND DENVER 5 RAILROAD ~'"
five,0035,321,72pt,8,figure,1583,3115,71,421,"survey #244, 'CHICAGO AND DENVER 5 RAILROAD ~'"
R.72pt,,321,72pt,8,cap,1718,3116,81,419,"survey #245, 'CHICAGO AND DENVER 5 RAILROAD ~'"
A.72pt_2,,321,72pt,8,cap,1805,3116,76,420,"survey #246, 'CHICAGO AND DENVER 5 RAILROAD ~'"
I.72pt,,321,72pt,8,cap,1886,3116,33,419,"survey #247, 'CHICAGO AND DENVER 5 RAILROAD ~'"
L,004C,321,72pt,8,cap,1925,3115,64,420,"survey #248, 'CHICAGO AND DENVER 5 RAILROAD ~'"
R.72pt_2,,321,72pt,8,cap,1994,3100,81,435,"survey #249, 'CHICAGO AND DENVER 5 RAILROAD ~'"
O.72pt,,321,72pt,8,cap,2084,3114,71,422,"survey #250, 'CHICAGO AND DENVER 5 RAILROAD ~'"
A.72pt_3,,321,72pt,8,cap,2165,3115,75,420,"survey #251, 'CHICAGO AND DENVER 5 RAILROAD ~'"
D.72pt_2,,321,72pt,8,cap,2247,3114,76,421,"survey #252, 'CHICAGO AND DENVER 5 RAILROAD ~'"
N.60pt,,321,60pt,7,cap,144,2599,69,356,"survey #199, 'NATIONAL BANKING 6 EXCHANGE BLOCK'"
A.60pt,,321,60pt,7,cap,216,2600,70,356,"survey #200, 'NATIONAL BANKING 6 EXCHANGE BLOCK'"
T,0054,321,60pt,7,cap,282,2600,58,356,"survey #201, 'NATIONAL BANKING 6 EXCHANGE BLOCK'"
I.60pt,,321,60pt,7,cap,344,2599,28,358,"survey #202, 'NATIONAL BANKING 6 EXCHANGE BLOCK'"
O.60pt,,321,60pt,7,cap,377,2599,71,361,"survey #203, 'NATIONAL BANKING 6 EXCHANGE BLOCK'"
N.60pt_2,,321,60pt,7,cap,448,2601,70,357,"survey #204, 'NATIONAL BANKING 6 EXCHANGE BLOCK'"
A.60pt_2,,321,60pt,7,cap,522,2602,70,357,"survey #205, 'NATIONAL BANKING 6 EXCHANGE BLOCK'"
L.60pt,,321,60pt,7,cap,595,2601,55,357,"survey #206, 'NATIONAL BANKING 6 EXCHANGE BLOCK'"
B,0042,321,60pt,7,cap,713,2603,70,355,"survey #207, 'NATIONAL BANKING 6 EXCHANGE BLOCK'"
A.60pt_3,,321,60pt,7,cap,786,2602,71,357,"survey #208, 'NATIONAL BANKING 6 EXCHANGE BLOCK'"
N.60pt_3,,321,60pt,7,cap,860,2603,69,357,"survey #209, 'NATIONAL BANKING 6 EXCHANGE BLOCK'"
K,004B,321,60pt,7,cap,935,2602,70,358,"survey #210, 'NATIONAL BANKING 6 EXCHANGE BLOCK'"
I.60pt_2,,321,60pt,7,cap,1008,2602,27,358,"survey #211, 'NATIONAL BANKING 6 EXCHANGE BLOCK'"
N.60pt_4,,321,60pt,7,cap,1043,2603,70,358,"survey #212, 'NATIONAL BANKING 6 EXCHANGE BLOCK'"
G.60pt,,321,60pt,7,cap,1115,2600,75,362,"survey #213, 'NATIONAL BANKING 6 EXCHANGE BLOCK'"
