glyph,unicode,leaf,line,band,category,x,y,w,h,notes
P,0050,323,84pt,6,cap,306,2646,75,422,"survey #138, 'PUBLISHERS AND STATIONERS'"
U,0055,323,84pt,6,cap,387,2646,76,423,"survey #139, 'PUBLISHERS AND STATIONERS'"
B,0042,323,84pt,6,cap,469,2647,76,422,"survey #140, 'PUBLISHERS AND STATIONERS'"
L,004C,323,84pt,6,cap,552,2647,64,422,"survey #141, 'PUBLISHERS AND STATIONERS'"
I,0049,323,84pt,6,cap,619,2649,33,421,"survey #142, 'PUBLISHERS AND STATIONERS'"
S,0053,323,84pt,6,cap,658,2647,76,425,"survey #143, 'PUBLISHERS AND STATIONERS'"
H,0048,323,84pt,6,cap,741,2648,78,422,"survey #144, 'PUBLISHERS AND STATIONERS'"
E,0045,323,84pt,6,cap,824,2649,66,422,"survey #145, 'PUBLISHERS AND STATIONERS'"
R,0052,323,84pt,6,cap,894,2649,82,421,"survey #146, 'PUBLISHERS AND STATIONERS'"
S.84pt,,323,84pt,6,cap,981,2647,76,425,"survey #147, 'PUBLISHERS AND STATIONERS'"
A,0041,323,84pt,6,cap,1131,2649,76,421,"survey #148, 'PUBLISHERS AND STATIONERS'"
N,004E,323,84pt,6,cap,1214,2648,76,422,"survey #149, 'PUBLISHERS AND STATIONERS'"
D,0044,323,84pt,6,cap,1297,2648,77,422,"survey #150, 'PUBLISHERS AND STATIONERS'"
S.84pt_2,,323,84pt,6,cap,1448,2645,76,425,"survey #151, 'PUBLISHERS AND STATIONERS'"
T,0054,323,84pt,6,cap,1529,2647,70,421,"survey #152, 'PUBLISHERS AND STATIONERS'"
A.84pt,,323,84pt,6,cap,1604,2648,76,420,"survey #153, 'PUBLISHERS AND STATIONERS'"
T.84pt,,323,84pt,6,cap,1685,2647,70,421,"survey #154, 'PUBLISHERS AND STATIONERS'"
I.84pt,,323,84pt,6,cap,1760,2648,31,420,"survey #155, 'PUBLISHERS AND STATIONERS'"
O,004F,323,84pt,6,cap,1802,2646,70,423,"survey #156, 'PUBLISHERS AND STATIONERS'"
N.84pt,,323,84pt,6,cap,1882,2647,74,421,"survey #157, 'PUBLISHERS AND STATIONERS'"
E.84pt,,323,84pt,6,cap,1965,2646,65,421,"survey #158, 'PUBLISHERS AND STATIONERS'"
R.84pt,,323,84pt,6,cap,2040,2646,80,420,"survey #159, 'PUBLISHERS AND STATIONERS'"
S.84pt_3,,323,84pt,6,cap,2126,2644,76,424,"survey #160, 'PUBLISHERS AND STATIONERS'"
P.84pt,,323,84pt,7,cap,169,3111,75,420,"survey #161, 'Pleasant M[an]ner 6 Look Cheerful'"
l,006C,323,84pt,7,lower,250,3116,33,416,"survey #162, 'Pleasant M[an]ner 6 Look Cheerful'"
e,0065,323,84pt,7,lower,288,3171,70,364,"survey #163, 'Pleasant M[an]ner 6 Look Cheerful'"
a,0061,323,84pt,7,lower,363,3173,73,362,"survey #164, 'Pleasant M[an]ner 6 Look Cheerful'"
s,0073,323,84pt,7,lower,436,3172,74,367,"survey #165, 'Pleasant M[an]ner 6 Look Cheerful'"
a.84pt,,323,84pt,7,lower,514,3175,72,362,"survey #166, 'Pleasant M[an]ner 6 Look Cheerful'"
n,006E,323,84pt,7,lower,587,3176,75,362,"survey #167, 'Pleasant M[an]ner 6 Look Cheerful'"
t,0074,323,84pt,7,lower,660,3127,39,412,"survey #168, 'Pleasant M[an]ner 6 Look Cheerful'"
M,004D,323,84pt,7,cap,763,3119,115,420,"survey #169, 'Pleasant M[an]ner 6 Look Cheerful'"
n.84pt,,323,84pt,7,lower,1030,3177,75,361,"survey #171, 'Pleasant M[an]ner 6 Look Cheerful'"
e.84pt,,323,84pt,7,lower,1108,3174,70,365,"survey #172, 'Pleasant M[an]ner 6 Look Cheerful'"
r,0072,323,84pt,7,lower,1180,3177,54,361,"survey #173, 'Pleasant M[an]ner 6 Look Cheerful'"
six,0036,323,84pt,7,figure,1305,3116,73,421,"survey #174, 'Pleasant M[an]ner 6 Look Cheerful'"
L.84pt,,323,84pt,7,cap,1453,3116,63,420,"survey #175, 'Pleasant M[an]ner 6 Look Cheerful'"
o,006F,323,84pt,7,lower,1522,3172,76,366,"survey #176, 'Pleasant M[an]ner 6 Look Cheerful'"
o.84pt,,323,84pt,7,lower,1603,3172,75,365,"survey #177, 'Pleasant M[an]ner 6 Look Cheerful'"
k,006B,323,84pt,7,lower,1683,3118,78,417,"survey #178, 'Pleasant M[an]ner 6 Look Cheerful'"
C,0043,323,84pt,7,cap,1832,3113,77,423,"survey #179, 'Pleasant M[an]ner 6 Look Cheerful'"
h,0068,323,84pt,7,lower,1913,3118,76,417,"survey #180, 'Pleasant M[an]ner 6 Look Cheerful'"
e.84pt_2,,323,84pt,7,lower,1992,3171,70,365,"survey #181, 'Pleasant M[an]ner 6 Look Cheerful'"
e.84pt_3,,323,84pt,7,lower,2067,3171,70,364,"survey #182, 'Pleasant M[an]ner 6 Look Cheerful'"
r.84pt,,323,84pt,7,lower,2140,3173,53,361,"survey #183, 'Pleasant M[an]ner 6 Look Cheerful'"
f,0066,323,84pt,7,lower,2194,3116,38,417,"survey #184, 'Pleasant M[an]ner 6 Look Cheerful'"
u,0075,323,84pt,7,lower,2233,3173,78,361,"survey #185, 'Pleasant M[an]ner 6 Look Cheerful'"
l.84pt,,323,84pt,7,lower,2315,3117,31,416,"survey #186, 'Pleasant M[an]ner 6 Look Cheerful'"
S.72pt,,323,72pt,4,cap,467,1592,71,361,"survey #88, 'SUPREME COURTS DECISION'"
U.72pt,,323,72pt,4,cap,537,1593,70,360,"survey #89, 'SUPREME COURTS DECISION'"
P.72pt,,323,72pt,4,cap,612,1592,71,359,"survey #90, 'SUPREME COURTS DECISION'"
R.72pt,,323,72pt,4,cap,683,1593,76,359,"survey #91, 'SUPREME COURTS DECISION'"
E.72pt,,323,72pt,4,cap,756,1591,61,360,"survey #92, 'SUPREME COURTS DECISION'"
M.72pt,,323,72pt,4,cap,816,1593,108,358,"survey #93, 'SUPREME COURTS DECISION'"
E.72pt_2,,323,72pt,4,cap,924,1591,61,360,"survey #94, 'SUPREME COURTS DECISION'"
C.72pt,,323,72pt,4,cap,1052,1591,72,361,"survey #95, 'SUPREME COURTS DECISION'"
O.72pt,,323,72pt,4,cap,1122,1591,72,362,"survey #96, 'SUPREME COURTS DECISION'"
U.72pt_2,,323,72pt,4,cap,1193,1592,70,360,"survey #97, 'SUPREME COURTS DECISION'"
