glyph,unicode,leaf,line,band,category,x,y,w,h,notes
B,0042,257,60pt,4,cap,376,1341,239,297,"survey #41, 'BUSTED'"
U,0055,257,60pt,4,cap,644,1341,242,300,"survey #42, 'BUSTED'"
S,0053,257,60pt,4,cap,920,1336,259,306,"survey #43, 'BUSTED'"
T,0054,257,60pt,4,cap,1200,1343,242,296,"survey #44, 'BUSTED'"
E,0045,257,60pt,4,cap,1469,1342,220,295,"survey #45, 'BUSTED'"
D,0044,257,60pt,4,cap,1725,1342,242,296,"survey #46, 'BUSTED'"
S.60pt,,257,60pt,5,cap,97,1667,250,305,"survey #47, 'Sand 6 Bag'"
a,0061,257,60pt,5,lower,371,1748,201,225,"survey #48, 'Sand 6 Bag'"
n,006E,257,60pt,5,lower,605,1751,195,219,"survey #49, 'Sand 6 Bag'"
d,0064,257,60pt,5,lower,825,1676,213,298,"survey #50, 'Sand 6 Bag'"
six,0036,257,60pt,5,figure,1186,1671,227,304,"survey #51, 'Sand 6 Bag'"
B.60pt,,257,60pt,5,cap,1561,1674,241,296,"survey #52, 'Sand 6 Bag'"
a.60pt,,257,60pt,5,lower,1822,1750,204,259,"survey #53, 'Sand 6 Bag'"
g,0067,257,60pt,5,lower,2047,1751,220,287,"survey #54, 'Sand 6 Bag'"
H,0048,257,48pt,2,cap,354,667,188,231,"survey #19, 'HISTORIES'"
I,0049,257,48pt,2,cap,573,668,45,229,"survey #20, 'HISTORIES'"
S.48pt,,257,48pt,2,cap,643,667,203,233,"survey #21, 'HISTORIES'"
T.48pt,,257,48pt,2,cap,867,668,195,229,"survey #22, 'HISTORIES'"
O,004F,257,48pt,2,cap,1087,668,201,233,"survey #23, 'HISTORIES'"
R,0052,257,48pt,2,cap,1315,671,182,229,"survey #24, 'HISTORIES'"
I.48pt,,257,48pt,2,cap,1527,669,44,230,"survey #25, 'HISTORIES'"
E.48pt,,257,48pt,2,cap,1598,671,169,228,"survey #26, 'HISTORIES'"
S.48pt_2,,257,48pt,2,cap,1790,669,203,233,"survey #27, 'HISTORIES'"
N,004E,257,48pt,3,cap,99,934,183,231,"survey #28, 'Night 3 Edition'"
i,0069,257,48pt,3,lower,312,935,37,228,"survey #29, 'Night 3 Edition'"
g.48pt,,257,48pt,3,lower,362,985,183,235,"survey #30, 'Night 3 Edition'"
h,0068,257,48pt,3,lower,559,934,154,228,"survey #31, 'Night 3 Edition'"
t,0074,257,48pt,3,lower,727,941,100,221,"survey #32, 'Night 3 Edition'"
three,0033,257,48pt,3,figure,961,930,178,235,"survey #33, 'Night 3 Edition'"
E.48pt_2,,257,48pt,3,cap,1299,935,169,229,"survey #34, 'Night 3 Edition'"
d.48pt,,257,48pt,3,lower,1489,935,166,233,"survey #35, 'Night 3 Edition'"
i.48pt,,257,48pt,3,lower,1686,936,38,227,"survey #36, 'Night 3 Edition'"
t.48pt,,257,48pt,3,lower,1737,943,100,221,"survey #37, 'Night 3 Edition'"
i.48pt_2,,257,48pt,3,lower,1850,936,38,227,"survey #38, 'Night 3 Edition'"
o,006F,257,48pt,3,lower,1911,986,164,182,"survey #39, 'Night 3 Edition'"
n.48pt,,257,48pt,3,lower,2101,988,151,177,"survey #40, 'Night 3 Edition'"
C,0043,256,36pt,5,cap,590,3137,173,202,"survey #73, 'CRANBERRY'"
R.36pt,,256,36pt,5,cap,779,3140,158,197,"survey #74, 'CRANBERRY'"
A,0041,256,36pt,5,cap,959,3137,162,199,"survey #75, 'CRANBERRY'"
N.36pt,,256,36pt,5,cap,1144,3139,162,196,"survey #76, 'CRANBERRY'"
B.36pt,,256,36pt,5,cap,1327,3137,156,198,"survey #77, 'CRANBERRY'"
E.36pt,,256,36pt,5,cap,1501,3138,146,197,"survey #78, 'CRANBERRY'"
R.36pt_2,,256,36pt,5,cap,1668,3139,157,197,"survey #79, 'CRANBERRY'"
R.36pt_3,,256,36pt,5,cap,1844,3139,156,197,"survey #80, 'CRANBERRY'"
Y,0059,256,36pt,5,cap,2011,3137,153,200,"survey #81, 'CRANBERRY'"
T.30pt,,256,30pt,3,cap,485,2592,139,165,"survey #40, 'THREE EDITIONS'"
H.30pt,,256,30pt,3,cap,643,2591,124,166,"survey #41, 'THREE EDITIONS'"
R.30pt,,256,30pt,3,cap,789,2590,128,166,"survey #42, 'THREE EDITIONS'"
E.30pt,,256,30pt,3,cap,938,2591,117,165,"survey #43, 'THREE EDITIONS'"
E.30pt_2,,256,30pt,3,cap,1076,2590,116,166,"survey #44, 'THREE EDITIONS'"
E.30pt_3,,256,30pt,3,cap,1274,2590,116,166,"survey #45, 'THREE EDITIONS'"
D.30pt,,256,30pt,3,cap,1411,2591,128,165,"survey #46, 'THREE EDITIONS'"
I.30pt,,256,30pt,3,cap,1558,2590,31,166,"survey #47, 'THREE EDITIONS'"
T.30pt_2,,256,30pt,3,cap,1609,2590,139,166,"survey #48, 'THREE EDITIONS'"
I.30pt_2,,256,30pt,3,cap,1767,2591,32,165,"survey #49, 'THREE EDITIONS'"
O.30pt,,256,30pt,3,cap,1818,2589,141,169,"survey #50, 'THREE EDITIONS'"
N.30pt,,256,30pt,3,cap,1979,2591,123,167,"survey #51, 'THREE EDITIONS'"
S.30pt,,256,30pt,3,cap,2122,2589,137,170,"survey #52, 'THREE EDITIONS'"
