glyph,unicode,leaf,line,band,category,x,y,w,h,notes
B,0042,237,96pt,7,cap,100,3056,150,529,"survey #102, 'BRICK 56 HOUSE'"
R,0052,237,96pt,7,cap,264,3061,161,529,"survey #103, 'BRICK 56 HOUSE'"
I,0049,237,96pt,7,cap,434,3064,61,528,"survey #104, 'BRICK 56 HOUSE'"
C,0043,237,96pt,7,cap,514,3064,147,529,"survey #105, 'BRICK 56 HOUSE'"
K,004B,237,96pt,7,cap,678,3066,177,530,"survey #106, 'BRICK 56 HOUSE'"
five,0035,237,96pt,7,figure,995,3064,154,532,"survey #107, 'BRICK 56 HOUSE'"
six,0036,237,96pt,7,figure,1167,3064,160,531,"survey #108, 'BRICK 56 HOUSE'"
H,0048,237,96pt,7,cap,1474,3063,151,533,"survey #109, 'BRICK 56 HOUSE'"
O,004F,237,96pt,7,cap,1649,3062,151,532,"survey #110, 'BRICK 56 HOUSE'"
U,0055,237,96pt,7,cap,1820,3063,144,532,"survey #111, 'BRICK 56 HOUSE'"
S,0053,237,96pt,7,cap,1984,3063,148,532,"survey #112, 'BRICK 56 HOUSE'"
E,0045,237,96pt,7,cap,2150,3062,137,532,"survey #113, 'BRICK 56 HOUSE'"
F,0046,237,72pt,6,cap,114,2506,122,406,"survey #90, 'FANCY 43 BOOKS'"
A,0041,237,72pt,6,cap,242,2509,170,406,"survey #91, 'FANCY 43 BOOKS'"
N,004E,237,72pt,6,cap,426,2510,149,407,"survey #92, 'FANCY 43 BOOKS'"
C.72pt,,237,72pt,6,cap,597,2506,153,415,"survey #93, 'FANCY 43 BOOKS'"
Y,0059,237,72pt,6,cap,758,2510,181,410,"survey #94, 'FANCY 43 BOOKS'"
four,0034,237,72pt,6,figure,990,2513,194,405,"survey #95, 'FANCY 43 BOOKS'"
three,0033,237,72pt,6,figure,1195,2508,158,413,"survey #96, 'FANCY 43 BOOKS'"
B.72pt,,237,72pt,6,cap,1440,2512,154,405,"survey #97, 'FANCY 43 BOOKS'"
O.72pt,,237,72pt,6,cap,1607,2507,152,414,"survey #98, 'FANCY 43 BOOKS'"
O.72pt_2,,237,72pt,6,cap,1774,2507,152,413,"survey #99, 'FANCY 43 BOOKS'"
K.72pt,,237,72pt,6,cap,1945,2511,173,406,"survey #100, 'FANCY 43 BOOKS'"
S.72pt,,237,72pt,6,cap,2130,2507,147,413,"survey #101, 'FANCY 43 BOOKS'"
D,0044,237,60pt,5,cap,110,2000,121,341,"survey #76, 'DURABLE 98 TYPES'"
U.60pt,,237,60pt,5,cap,249,2001,122,339,"survey #77, 'DURABLE 98 TYPES'"
R.60pt,,237,60pt,5,cap,390,2002,138,342,"survey #78, 'DURABLE 98 TYPES'"
A.60pt,,237,60pt,5,cap,543,2002,161,341,"survey #79, 'DURABLE 98 TYPES'"
B.60pt,,237,60pt,5,cap,721,2001,127,343,"survey #80, 'DURABLE 98 TYPES'"
L,004C,237,60pt,5,cap,865,2003,105,340,"survey #81, 'DURABLE 98 TYPES'"
E.60pt,,237,60pt,5,cap,987,2001,105,341,"survey #82, 'DURABLE 98 TYPES'"
nine,0039,237,60pt,5,figure,1184,2001,128,347,"survey #83, 'DURABLE 98 TYPES'"
eight,0038,237,60pt,5,figure,1329,2001,128,347,"survey #84, 'DURABLE 98 TYPES'"
T,0054,237,60pt,5,cap,1549,2001,142,342,"survey #85, 'DURABLE 98 TYPES'"
Y.60pt,,237,60pt,5,cap,1708,2001,157,340,"survey #86, 'DURABLE 98 TYPES'"
P,0050,237,60pt,5,cap,1889,2000,127,342,"survey #87, 'DURABLE 98 TYPES'"
E.60pt_2,,237,60pt,5,cap,2031,2000,106,341,"survey #88, 'DURABLE 98 TYPES'"
S.60pt,,237,60pt,5,cap,2156,1999,123,346,"survey #89, 'DURABLE 98 TYPES'"
N.54pt,,237,54pt,4,cap,107,1546,122,318,"survey #59, 'NATIONAL 68 BANKERS'"
