glyph,unicode,leaf,line,band,category,x,y,w,h,notes
M,004D,448,84pt,2,cap,559,700,228,430,"survey #13, 'MOURNING'"
O,004F,448,84pt,2,cap,804,697,174,433,"survey #14, 'MOURNING'"
U,0055,448,84pt,2,cap,1007,699,172,433,"survey #15, 'MOURNING'"
R,0052,448,84pt,2,cap,1213,700,176,430,"survey #16, 'MOURNING'"
N,004E,448,84pt,2,cap,1406,700,167,431,"survey #17, 'MOURNING'"
I,0049,448,84pt,2,cap,1602,701,51,430,"survey #18, 'MOURNING'"
N.84pt,,448,84pt,2,cap,1685,701,168,431,"survey #19, 'MOURNING'"
G,0047,448,84pt,2,cap,1872,701,171,432,"survey #20, 'MOURNING'"
W,0057,448,84pt,3,cap,198,1184,222,430,"survey #21, 'Winter 37 Summer'"
i,0069,448,84pt,3,lower,435,1190,49,426,"survey #22, 'Winter 37 Summer'"
n,006E,448,84pt,3,lower,504,1233,112,382,"survey #23, 'Winter 37 Summer'"
t,0074,448,84pt,3,lower,631,1198,96,419,"survey #24, 'Winter 37 Summer'"
e,0065,448,84pt,3,lower,738,1234,120,384,"survey #25, 'Winter 37 Summer'"
r,0072,448,84pt,3,lower,871,1234,109,382,"survey #26, 'Winter 37 Summer'"
three,0033,448,84pt,3,figure,1037,1182,155,436,"survey #27, 'Winter 37 Summer'"
seven,0037,448,84pt,3,figure,1225,1182,147,433,"survey #28, 'Winter 37 Summer'"
S,0053,448,84pt,3,cap,1446,1183,170,435,"survey #29, 'Winter 37 Summer'"
u,0075,448,84pt,3,lower,1629,1238,115,380,"survey #30, 'Winter 37 Summer'"
m,006D,448,84pt,3,lower,1761,1237,183,380,"survey #31, 'Winter 37 Summer'"
m.84pt,,448,84pt,3,lower,1962,1239,183,379,"survey #32, 'Winter 37 Summer'"
e.84pt,,448,84pt,3,lower,2161,1238,120,383,"survey #33, 'Winter 37 Summer'"
r.84pt,,448,84pt,3,lower,2292,1239,109,381,"survey #34, 'Winter 37 Summer'"
L,004C,447,72pt,8,cap,431,2790,120,362,"survey #122, 'LARGE BIRDS'"
A,0041,447,72pt,8,cap,562,2790,158,362,"survey #123, 'LARGE BIRDS'"
R.72pt,,447,72pt,8,cap,736,2790,152,364,"survey #124, 'LARGE BIRDS'"
G.72pt,,447,72pt,8,cap,898,2788,140,368,"survey #125, 'LARGE BIRDS'"
E,0045,447,72pt,8,cap,1058,2790,130,363,"survey #126, 'LARGE BIRDS'"
B,0042,447,72pt,8,cap,1325,2791,139,362,"survey #127, 'LARGE BIRDS'"
I.72pt,,447,72pt,8,cap,1485,2790,47,362,"survey #128, 'LARGE BIRDS'"
R.72pt_2,,447,72pt,8,cap,1560,2789,150,364,"survey #129, 'LARGE BIRDS'"
D,0044,447,72pt,8,cap,1724,2789,141,363,"survey #130, 'LARGE BIRDS'"
S.72pt,,447,72pt,8,cap,1882,2787,147,367,"survey #131, 'LARGE BIRDS'"
L.72pt,,447,72pt,9,cap,150,3173,118,361,"survey #132, 'Leave the 48 Plains'"
e.72pt,,447,72pt,9,lower,276,3213,102,326,"survey #133, 'Leave the 48 Plains'"
a,0061,447,72pt,9,lower,386,3211,102,328,"survey #134, 'Leave the 48 Plains'"
v,0076,447,72pt,9,lower,497,3215,103,323,"survey #135, 'Leave the 48 Plains'"
e.72pt_2,,447,72pt,9,lower,609,3216,103,326,"survey #136, 'Leave the 48 Plains'"
t.72pt,,447,72pt,9,lower,832,3182,92,361,"survey #137, 'Leave the 48 Plains'"
h,0068,447,72pt,9,lower,928,3177,99,362,"survey #138, 'Leave the 48 Plains'"
e.72pt_3,,447,72pt,9,lower,1040,3215,103,327,"survey #139, 'Leave the 48 Plains'"
