glyph,unicode,leaf,line,band,category,x,y,w,h,notes
F,0046,219,72pt,8,cap,231,2830,226,337,"survey #104, 'FLORISTS'"
L,004C,219,72pt,8,cap,474,2834,231,336,"survey #105, 'FLORISTS'"
O,004F,219,72pt,8,cap,718,2829,235,350,"survey #106, 'FLORISTS'"
R,0052,219,72pt,8,cap,968,2833,276,338,"survey #107, 'FLORISTS'"
I,0049,219,72pt,8,cap,1239,2833,158,337,"survey #108, 'FLORISTS'"
S,0053,219,72pt,8,cap,1411,2829,198,348,"survey #109, 'FLORISTS'"
T,0054,219,72pt,8,cap,1620,2833,224,335,"survey #110, 'FLORISTS'"
S.72pt,,219,72pt,8,cap,1861,2828,198,348,"survey #111, 'FLORISTS'"
G,0047,219,72pt,9,cap,72,3220,246,345,"survey #112, 'Great 8 D[ay]s'"
r,0072,219,72pt,9,lower,317,3318,174,244,"survey #113, 'Great 8 D[ay]s'"
e,0065,219,72pt,9,lower,494,3316,163,254,"survey #114, 'Great 8 D[ay]s'"
a,0061,219,72pt,9,lower,667,3318,211,253,"survey #115, 'Great 8 D[ay]s'"
t,0074,219,72pt,9,lower,873,3254,149,318,"survey #116, 'Great 8 D[ay]s'"
eight,0038,219,72pt,9,figure,1101,3231,199,343,"survey #117, 'Great 8 D[ay]s'"
D,0044,219,72pt,9,cap,1390,3231,252,334,"survey #118, 'Great 8 D[ay]s'"
s,0073,219,72pt,9,lower,2082,3312,144,254,"survey #120, 'Great 8 D[ay]s'"
S.60pt,,219,60pt,6,cap,299,2007,166,298,"survey #84, 'SUPERIOR'"
U,0055,219,60pt,6,cap,478,2008,230,294,"survey #85, 'SUPERIOR'"
P,0050,219,60pt,6,cap,723,2007,211,291,"survey #86, 'SUPERIOR'"
E,0045,219,60pt,6,cap,937,2011,198,286,"survey #87, 'SUPERIOR'"
R.60pt,,219,60pt,6,cap,1144,2008,236,289,"survey #88, 'SUPERIOR'"
I.60pt,,219,60pt,6,cap,1386,2007,128,291,"survey #89, 'SUPERIOR'"
O.60pt,,219,60pt,6,cap,1522,2005,200,299,"survey #90, 'SUPERIOR'"
R.60pt_2,,219,60pt,6,cap,1734,2007,236,288,"survey #91, 'SUPERIOR'"
D.60pt,,219,60pt,7,cap,64,2337,210,288,"survey #92, 'Display 5 Type'"
i,0069,219,60pt,7,lower,277,2337,102,290,"survey #93, 'Display 5 Type'"
s.60pt,,219,60pt,7,lower,385,2411,125,221,"survey #94, 'Display 5 Type'"
p,0070,219,60pt,7,lower,514,2412,180,285,"survey #95, 'Display 5 Type'"
l,006C,219,60pt,7,lower,695,2341,108,288,"survey #96, 'Display 5 Type'"
a.60pt,,219,60pt,7,lower,804,2409,176,223,"survey #97, 'Display 5 Type'"
y,0079,219,60pt,7,lower,981,2414,183,288,"survey #98, 'Display 5 Type'"
five,0035,219,60pt,7,figure,1265,2342,156,289,"survey #99, 'Display 5 Type'"
T.60pt,,219,60pt,7,cap,1521,2339,185,289,"survey #100, 'Display 5 Type'"
y.60pt,,219,60pt,7,lower,1717,2414,183,286,"survey #101, 'Display 5 Type'"
p.60pt,,219,60pt,7,lower,1899,2410,183,285,"survey #102, 'Display 5 Type'"
e.60pt,,219,60pt,7,lower,2091,2407,141,221,"survey #103, 'Display 5 Type'"
S.48pt,,219,48pt,4,cap,272,1301,136,250,"survey #58, 'SHEET MUSIC'"
H,0048,219,48pt,4,cap,414,1303,197,243,"survey #59, 'SHEET MUSIC'"
E.48pt,,219,48pt,4,cap,613,1303,161,242,"survey #60, 'SHEET MUSIC'"
E.48pt_2,,219,48pt,4,cap,782,1303,161,241,"survey #61, 'SHEET MUSIC'"
T.48pt,,219,48pt,4,cap,957,1304,154,241,"survey #62, 'SHEET MUSIC'"
M,004D,219,48pt,4,cap,1199,1302,217,242,"survey #63, 'SHEET MUSIC'"
U.48pt,,219,48pt,4,cap,1417,1302,186,245,"survey #64, 'SHEET MUSIC'"
S.48pt_2,,219,48pt,4,cap,1611,1298,138,250,"survey #65, 'SHEET MUSIC'"
I.48pt,,219,48pt,4,cap,1756,1302,100,241,"survey #66, 'SHEET MUSIC'"
C,0043,219,48pt,4,cap,1865,1297,143,250,"survey #67, 'SHEET MUSIC'"
O.48pt,,219,48pt,5,cap,63,1567,151,249,"survey #68, 'Operatic 7 Singing'"
p.48pt,,219,48pt,5,lower,219,1632,138,234,"survey #69, 'Operatic 7 Singing'"
e.48pt,,219,48pt,5,lower,364,1631,112,183,"survey #70, 'Operatic 7 Singing'"
r.48pt,,219,48pt,5,lower,478,1631,122,181,"survey #71, 'Operatic 7 Singing'"
a.48pt,,219,48pt,5,lower,602,1630,142,183,"survey #72, 'Operatic 7 Singing'"
t.48pt,,219,48pt,5,lower,741,1583,106,230,"survey #73, 'Operatic 7 Singing'"
i.48pt,,219,48pt,5,lower,844,1568,82,243,"survey #74, 'Operatic 7 Singing'"
c,0063,219,48pt,5,lower,929,1630,111,183,"survey #75, 'Operatic 7 Singing'"
seven,0037,219,48pt,5,figure,1130,1568,127,242,"survey #76, 'Operatic 7 Singing'"
S.48pt_3,,219,48pt,5,cap,1336,1564,139,250,"survey #77, 'Operatic 7 Singing'"
i.48pt_2,,219,48pt,5,lower,1477,1567,81,243,"survey #78, 'Operatic 7 Singing'"
n,006E,219,48pt,5,lower,1557,1630,155,180,"survey #79, 'Operatic 7 Singing'"
g,0067,219,48pt,5,lower,1713,1629,147,236,"survey #80, 'Operatic 7 Singing'"
i.48pt_3,,219,48pt,5,lower,1857,1567,81,242,"survey #81, 'Operatic 7 Singing'"
n.48pt,,219,48pt,5,lower,1937,1630,154,179,"survey #82, 'Operatic 7 Singing'"
g.48pt,,219,48pt,5,lower,2093,1628,146,236,"survey #83, 'Operatic 7 Singing'"
C.42pt,,219,42pt,2,cap,191,703,114,214,"survey #27, 'CURIOUS DEPOSIT'"
