glyph,unicode,leaf,line,band,category,x,y,w,h,notes
R,0052,332,60pt,7,cap,197,3268,174,318,"survey #87, 'RAPID 3 GAINS'"
A,0041,332,60pt,7,cap,375,3270,210,317,"survey #88, 'RAPID 3 GAINS'"
P,0050,332,60pt,7,cap,591,3270,151,318,"survey #89, 'RAPID 3 GAINS'"
I,0049,332,60pt,7,cap,754,3269,66,319,"survey #90, 'RAPID 3 GAINS'"
D,0044,332,60pt,7,cap,830,3271,222,317,"survey #91, 'RAPID 3 GAINS'"
three,0033,332,60pt,7,figure,1175,3271,176,317,"survey #92, 'RAPID 3 GAINS'"
G,0047,332,60pt,7,cap,1480,3270,245,318,"survey #93, 'RAPID 3 GAINS'"
A.60pt,,332,60pt,7,cap,1734,3268,210,320,"survey #94, 'RAPID 3 GAINS'"
I.60pt,,332,60pt,7,cap,1952,3267,65,319,"survey #95, 'RAPID 3 GAINS'"
N,004E,332,60pt,7,cap,2032,3267,180,321,"survey #96, 'RAPID 3 GAINS'"
S,0053,332,60pt,7,cap,2227,3266,163,320,"survey #97, 'RAPID 3 GAINS'"
L,004C,332,48pt,6,cap,195,2825,114,262,"survey #73, 'LUNCHES 4 SERVED'"
U,0055,332,48pt,6,cap,315,2826,135,264,"survey #74, 'LUNCHES 4 SERVED'"
N.48pt,,332,48pt,6,cap,466,2823,144,265,"survey #75, 'LUNCHES 4 SERVED'"
C,0043,332,48pt,6,cap,625,2825,169,265,"survey #76, 'LUNCHES 4 SERVED'"
H,0048,332,48pt,6,cap,802,2824,150,263,"survey #77, 'LUNCHES 4 SERVED'"
E,0045,332,48pt,6,cap,963,2823,121,264,"survey #78, 'LUNCHES 4 SERVED'"
S.48pt,,332,48pt,6,cap,1089,2824,140,265,"survey #79, 'LUNCHES 4 SERVED'"
four,0034,332,48pt,6,figure,1296,2824,143,263,"survey #80, 'LUNCHES 4 SERVED'"
S.48pt_2,,332,48pt,6,cap,1505,2823,139,266,"survey #81, 'LUNCHES 4 SERVED'"
E.48pt,,332,48pt,6,cap,1655,2822,121,265,"survey #82, 'LUNCHES 4 SERVED'"
R.48pt,,332,48pt,6,cap,1780,2824,140,262,"survey #83, 'LUNCHES 4 SERVED'"
V,0056,332,48pt,6,cap,1918,2823,167,262,"survey #84, 'LUNCHES 4 SERVED'"
E.48pt_2,,332,48pt,6,cap,2091,2822,121,264,"survey #85, 'LUNCHES 4 SERVED'"
D.48pt,,332,48pt,6,cap,2217,2825,179,261,"survey #86, 'LUNCHES 4 SERVED'"
G.36pt,,332,36pt,5,cap,194,2447,167,217,"survey #58, 'GREATER 5 BARGAIN'"
R.36pt,,332,36pt,5,cap,372,2448,117,216,"survey #59, 'GREATER 5 BARGAIN'"
E.36pt,,332,36pt,5,cap,497,2448,109,216,"survey #60, 'GREATER 5 BARGAIN'"
A.36pt,,332,36pt,5,cap,611,2447,169,216,"survey #61, 'GREATER 5 BARGAIN'"
T,0054,332,36pt,5,cap,784,2447,120,217,"survey #62, 'GREATER 5 BARGAIN'"
E.36pt_2,,332,36pt,5,cap,910,2448,110,216,"survey #63, 'GREATER 5 BARGAIN'"
R.36pt_2,,332,36pt,5,cap,1029,2447,119,217,"survey #64, 'GREATER 5 BARGAIN'"
five,0035,332,36pt,5,figure,1224,2448,123,216,"survey #65, 'GREATER 5 BARGAIN'"
B,0042,332,36pt,5,cap,1428,2447,124,216,"survey #66, 'GREATER 5 BARGAIN'"
A.36pt_2,,332,36pt,5,cap,1555,2445,168,217,"survey #67, 'GREATER 5 BARGAIN'"
R.36pt_3,,332,36pt,5,cap,1731,2446,118,217,"survey #68, 'GREATER 5 BARGAIN'"
G.36pt_2,,332,36pt,5,cap,1855,2446,167,217,"survey #69, 'GREATER 5 BARGAIN'"
A.36pt_3,,332,36pt,5,cap,2028,2446,168,216,"survey #70, 'GREATER 5 BARGAIN'"
I.36pt,,332,36pt,5,cap,2205,2447,46,216,"survey #71, 'GREATER 5 BARGAIN'"
N.36pt,,332,36pt,5,cap,2264,2446,128,217,"survey #72, 'GREATER 5 BARGAIN'"
E.30pt,,332,30pt,4,cap,197,2107,89,191,"survey #40, 'EXCURSION 8 STEAMERS'"
X,0058,332,30pt,4,cap,290,2107,115,192,"survey #41, 'EXCURSION 8 STEAMERS'"
C.30pt,,332,30pt,4,cap,410,2107,126,192,"survey #42, 'EXCURSION 8 STEAMERS'"
U.30pt,,332,30pt,4,cap,544,2107,104,192,"survey #43, 'EXCURSION 8 STEAMERS'"
R.30pt,,332,30pt,4,cap,655,2107,105,191,"survey #44, 'EXCURSION 8 STEAMERS'"
S.30pt,,332,30pt,4,cap,763,2107,101,192,"survey #45, 'EXCURSION 8 STEAMERS'"
I.30pt,,332,30pt,4,cap,870,2106,43,192,"survey #46, 'EXCURSION 8 STEAMERS'"
O,004F,332,30pt,4,cap,919,2106,152,192,"survey #47, 'EXCURSION 8 STEAMERS'"
N.30pt,,332,30pt,4,cap,1076,2105,112,192,"survey #48, 'EXCURSION 8 STEAMERS'"
eight,0038,332,30pt,4,figure,1293,2106,101,192,"survey #49, 'EXCURSION 8 STEAMERS'"
S.30pt_2,,332,30pt,4,cap,1489,2105,101,193,"survey #50, 'EXCURSION 8 STEAMERS'"
T.30pt,,332,30pt,4,cap,1592,2105,111,192,"survey #51, 'EXCURSION 8 STEAMERS'"
E.30pt_2,,332,30pt,4,cap,1710,2105,91,192,"survey #52, 'EXCURSION 8 STEAMERS'"
A.30pt,,332,30pt,4,cap,1804,2107,143,191,"survey #53, 'EXCURSION 8 STEAMERS'"
M,004D,332,30pt,4,cap,1952,2105,138,192,"survey #54, 'EXCURSION 8 STEAMERS'"
