glyph,unicode,leaf,line,band,category,x,y,w,h,notes
G,0047,425,60pt,4,cap,1720,1470,247,305,"survey #22, '[SPR][IN]G'"
R,0052,425,60pt,5,cap,123,1829,279,295,"survey #23, 'Rug 3 [Sa]les'"
u,0075,425,60pt,5,lower,431,1901,208,227,"survey #24, 'Rug 3 [Sa]les'"
g,0067,425,60pt,5,lower,639,1899,250,284,"survey #25, 'Rug 3 [Sa]les'"
three,0033,425,60pt,5,figure,999,1828,225,304,"survey #26, 'Rug 3 [Sa]les'"
l,006C,425,60pt,5,lower,1797,1828,146,296,"survey #28, 'Rug 3 [Sa]les'"
e,0065,425,60pt,5,lower,1938,1897,194,234,"survey #29, 'Rug 3 [Sa]les'"
s,0073,425,60pt,5,lower,2129,1898,181,231,"survey #30, 'Rug 3 [Sa]les'"
D,0044,424,36pt,2,cap,625,3199,178,196,"survey #10, 'D [OMEST] [ICS]'"
three.36pt,,424,36pt,3,figure,1248,3415,141,202,"survey #16, '[Ba][rga][in] 39 [Hu]nter'"
nine,0039,424,36pt,3,figure,1385,3415,167,203,"survey #17, '[Ba][rga][in] 39 [Hu]nter'"
n,006E,424,36pt,3,lower,1967,3461,152,153,"survey #19, '[Ba][rga][in] 39 [Hu]nter'"
t,0074,424,36pt,3,lower,2133,3425,77,189,"survey #20, '[Ba][rga][in] 39 [Hu]nter'"
e.36pt,,424,36pt,3,lower,2207,3460,120,158,"survey #21, '[Ba][rga][in] 39 [Hu]nter'"
r,0072,424,36pt,3,lower,2325,3460,130,154,"survey #22, '[Ba][rga][in] 39 [Hu]nter'"
