glyph,unicode,leaf,line,band,category,x,y,w,h,notes
R,0052,381,60pt,4,cap,289,1392,228,300,"survey #40, 'ROCK BASS'"
O,004F,381,60pt,4,cap,519,1391,243,296,"survey #41, 'ROCK BASS'"
C,0043,381,60pt,4,cap,768,1390,205,297,"survey #42, 'ROCK BASS'"
K,004B,381,60pt,4,cap,974,1393,250,291,"survey #43, 'ROCK BASS'"
B,0042,381,60pt,4,cap,1304,1394,186,289,"survey #44, 'ROCK BASS'"
A,0041,381,60pt,4,cap,1491,1391,290,293,"survey #45, 'ROCK BASS'"
S,0053,381,60pt,4,cap,1783,1396,152,293,"survey #46, 'ROCK BASS'"
S.60pt,,381,60pt,4,cap,1938,1396,152,293,"survey #47, 'ROCK BASS'"
L,004C,381,60pt,5,cap,96,1757,202,290,"survey #48, 'Lake 8 Resorts'"
a,0061,381,60pt,5,lower,296,1850,142,200,"survey #49, 'Lake 8 Resorts'"
k,006B,381,60pt,5,lower,441,1756,192,293,"survey #50, 'Lake 8 Resorts'"
e,0065,381,60pt,5,lower,642,1848,147,205,"survey #51, 'Lake 8 Resorts'"
eight,0038,381,60pt,5,figure,927,1756,159,298,"survey #52, 'Lake 8 Resorts'"
R.60pt,,381,60pt,5,cap,1223,1759,230,300,"survey #53, 'Lake 8 Resorts'"
e.60pt,,381,60pt,5,lower,1460,1849,147,204,"survey #54, 'Lake 8 Resorts'"
s,0073,381,60pt,5,lower,1612,1852,132,200,"survey #55, 'Lake 8 Resorts'"
o,006F,381,60pt,5,lower,1748,1853,164,198,"survey #56, 'Lake 8 Resorts'"
r,0072,381,60pt,5,lower,1917,1852,141,197,"survey #57, 'Lake 8 Resorts'"
t,0074,381,60pt,5,lower,2061,1788,87,263,"survey #58, 'Lake 8 Resorts'"
s.60pt,,381,60pt,5,lower,2151,1853,130,200,"survey #59, 'Lake 8 Resorts'"
B.36pt,,380,36pt,6,cap,492,3170,114,185,"survey #112, 'BLACK S[QU]IRREL'"
L.36pt,,380,36pt,6,cap,602,3171,122,185,"survey #113, 'BLACK S[QU]IRREL'"
A.36pt,,380,36pt,6,cap,719,3170,168,185,"survey #114, 'BLACK S[QU]IRREL'"
C.36pt,,380,36pt,6,cap,883,3171,130,186,"survey #115, 'BLACK S[QU]IRREL'"
K.36pt,,380,36pt,6,cap,1010,3172,151,185,"survey #116, 'BLACK S[QU]IRREL'"
S.36pt,,380,36pt,6,cap,1225,3172,101,186,"survey #117, 'BLACK S[QU]IRREL'"
I,0049,380,36pt,6,cap,1476,3172,147,186,"survey #119, 'BLACK S[QU]IRREL'"
R.36pt,,380,36pt,6,cap,1618,3172,60,186,"survey #120, 'BLACK S[QU]IRREL'"
R.36pt_2,,380,36pt,6,cap,1675,3171,137,193,"survey #121, 'BLACK S[QU]IRREL'"
E,0045,380,36pt,6,cap,1812,3171,136,193,"survey #122, 'BLACK S[QU]IRREL'"
L.36pt_2,,380,36pt,6,cap,1944,3170,239,187,"survey #123, 'BLACK S[QU]IRREL'"
W,0057,380,36pt,7,cap,229,3403,205,183,"survey #124, 'Wild Tu[rk]eys 98 and Geese'"
i,0069,380,36pt,7,lower,430,3405,54,182,"survey #125, 'Wild Tu[rk]eys 98 and Geese'"
l,006C,380,36pt,7,lower,482,3406,49,182,"survey #126, 'Wild Tu[rk]eys 98 and Geese'"
d,0064,380,36pt,7,lower,529,3405,97,184,"survey #127, 'Wild Tu[rk]eys 98 and Geese'"
T,0054,380,36pt,7,cap,659,3401,147,188,"survey #128, 'Wild Tu[rk]eys 98 and Geese'"
u,0075,380,36pt,7,lower,802,3461,102,129,"survey #129, 'Wild Tu[rk]eys 98 and Geese'"
e.36pt,,380,36pt,7,lower,1085,3463,77,128,"survey #131, 'Wild Tu[rk]eys 98 and Geese'"
y,0079,380,36pt,7,lower,1158,3464,117,173,"survey #132, 'Wild Tu[rk]eys 98 and Geese'"
s.36pt,,380,36pt,7,lower,1272,3462,73,131,"survey #133, 'Wild Tu[rk]eys 98 and Geese'"
nine,0039,380,36pt,7,figure,1400,3406,99,187,"survey #134, 'Wild Tu[rk]eys 98 and Geese'"
eight.36pt,,380,36pt,7,figure,1510,3406,96,185,"survey #135, 'Wild Tu[rk]eys 98 and Geese'"
a.36pt,,380,36pt,7,lower,1661,3463,82,129,"survey #136, 'Wild Tu[rk]eys 98 and Geese'"
n,006E,380,36pt,7,lower,1740,3462,117,129,"survey #137, 'Wild Tu[rk]eys 98 and Geese'"
d.36pt,,380,36pt,7,lower,1854,3406,99,185,"survey #138, 'Wild Tu[rk]eys 98 and Geese'"
G,0047,380,36pt,7,cap,1999,3404,147,186,"survey #139, 'Wild Tu[rk]eys 98 and Geese'"
e.36pt_2,,380,36pt,7,lower,2143,3462,77,129,"survey #140, 'Wild Tu[rk]eys 98 and Geese'"
e.36pt_3,,380,36pt,7,lower,2218,3462,77,129,"survey #141, 'Wild Tu[rk]eys 98 and Geese'"
s.36pt_2,,380,36pt,7,lower,2293,3461,73,130,"survey #142, 'Wild Tu[rk]eys 98 and Geese'"
e.36pt_4,,380,36pt,7,lower,2363,3462,78,128,"survey #143, 'Wild Tu[rk]eys 98 and Geese'"
C.30pt,,380,30pt,4,cap,437,2634,107,161,"survey #77, 'CAR[RI]AGE COMPANY'"
A.30pt,,380,30pt,4,cap,543,2633,139,160,"survey #78, 'CAR[RI]AGE COMPANY'"
R.30pt,,380,30pt,4,cap,679,2632,115,168,"survey #79, 'CAR[RI]AGE COMPANY'"
A.30pt_2,,380,30pt,4,cap,950,2633,139,161,"survey #81, 'CAR[RI]AGE COMPANY'"
G.30pt,,380,30pt,4,cap,1085,2636,121,161,"survey #82, 'CAR[RI]AGE COMPANY'"
E.30pt,,380,30pt,4,cap,1203,2632,101,163,"survey #83, 'CAR[RI]AGE COMPANY'"
C.30pt_2,,380,30pt,4,cap,1387,2635,107,161,"survey #84, 'CAR[RI]AGE COMPANY'"
O.30pt,,380,30pt,4,cap,1491,2634,128,162,"survey #85, 'CAR[RI]AGE COMPANY'"
M,004D,380,30pt,4,cap,1618,2633,150,161,"survey #86, 'CAR[RI]AGE COMPANY'"
P,0050,380,30pt,4,cap,1765,2633,93,161,"survey #87, 'CAR[RI]AGE COMPANY'"
A.30pt_3,,380,30pt,4,cap,1853,2633,140,161,"survey #88, 'CAR[RI]AGE COMPANY'"
N,004E,380,30pt,4,cap,1988,2632,128,162,"survey #89, 'CAR[RI]AGE COMPANY'"
Y,0059,380,30pt,4,cap,2112,2631,125,161,"survey #90, 'CAR[RI]AGE COMPANY'"
N.30pt,,380,30pt,5,cap,230,2831,126,161,"survey #91, 'New or S[ec]ond 26 H[an]d Wagons'"
e.30pt,,380,30pt,5,lower,351,2879,67,115,"survey #92, 'New or S[ec]ond 26 H[an]d Wagons'"
w,0077,380,30pt,5,lower,417,2881,132,113,"survey #93, 'New or S[ec]ond 26 H[an]d Wagons'"
o.30pt,,380,30pt,5,lower,593,2880,76,113,"survey #94, 'New or S[ec]ond 26 H[an]d Wagons'"
r.30pt,,380,30pt,5,lower,666,2878,72,115,"survey #95, 'New or S[ec]ond 26 H[an]d Wagons'"
S.30pt,,380,30pt,5,cap,780,2835,146,161,"survey #96, 'New or S[ec]ond 26 H[an]d Wagons'"
o.30pt_2,,380,30pt,5,lower,993,2882,76,114,"survey #98, 'New or S[ec]ond 26 H[an]d Wagons'"
n.30pt,,380,30pt,5,lower,1066,2882,98,113,"survey #99, 'New or S[ec]ond 26 H[an]d Wagons'"
d.30pt,,380,30pt,5,lower,1160,2837,82,160,"survey #100, 'New or S[ec]ond 26 H[an]d Wagons'"
two,0032,380,30pt,5,figure,1284,2834,77,161,"survey #101, 'New or S[ec]ond 26 H[an]d Wagons'"
six,0036,380,30pt,5,figure,1366,2835,82,161,"survey #102, 'New or S[ec]ond 26 H[an]d Wagons'"
H,0048,380,30pt,5,cap,1487,2834,196,161,"survey #103, 'New or S[ec]ond 26 H[an]d Wagons'"
d.30pt_2,,380,30pt,5,lower,1778,2836,82,161,"survey #105, 'New or S[ec]ond 26 H[an]d Wagons'"
W.30pt,,380,30pt,5,cap,1896,2834,170,160,"survey #106, 'New or S[ec]ond 26 H[an]d Wagons'"
a.30pt,,380,30pt,5,lower,2061,2880,71,114,"survey #107, 'New or S[ec]ond 26 H[an]d Wagons'"
g,0067,380,30pt,5,lower,2129,2881,91,151,"survey #108, 'New or S[ec]ond 26 H[an]d Wagons'"
o.30pt_3,,380,30pt,5,lower,2216,2882,76,114,"survey #109, 'New or S[ec]ond 26 H[an]d Wagons'"
n.30pt_2,,380,30pt,5,lower,2288,2880,96,114,"survey #110, 'New or S[ec]ond 26 H[an]d Wagons'"
s.30pt,,380,30pt,5,lower,2380,2881,63,116,"survey #111, 'New or S[ec]ond 26 H[an]d Wagons'"
