glyph,unicode,leaf,line,band,category,x,y,w,h,notes
M,004D,407,72pt,4,cap,429,1539,250,374,"survey #40, 'MONUMENT'"
O,004F,407,72pt,4,cap,693,1537,174,377,"survey #41, 'MONUMENT'"
N,004E,407,72pt,4,cap,886,1537,158,377,"survey #42, 'MONUMENT'"
U,0055,407,72pt,4,cap,1068,1538,157,377,"survey #43, 'MONUMENT'"
M.72pt,,407,72pt,4,cap,1244,1538,251,375,"survey #44, 'MONUMENT'"
E,0045,407,72pt,4,cap,1512,1538,153,374,"survey #45, 'MONUMENT'"
N.72pt,,407,72pt,4,cap,1684,1537,157,375,"survey #46, 'MONUMENT'"
T,0054,407,72pt,4,cap,1857,1538,157,373,"survey #47, 'MONUMENT'"
S,0053,407,72pt,5,cap,138,1942,158,374,"survey #48, 'Shows 4 Respect'"
h,0068,407,72pt,5,lower,313,1945,121,371,"survey #49, 'Shows 4 Respect'"
o,006F,407,72pt,5,lower,452,2062,131,257,"survey #50, 'Shows 4 Respect'"
w,0077,407,72pt,5,lower,595,2066,206,251,"survey #51, 'Shows 4 Respect'"
s,0073,407,72pt,5,lower,815,2065,116,251,"survey #52, 'Shows 4 Respect'"
four,0034,407,72pt,5,figure,1041,1941,179,375,"survey #53, 'Shows 4 Respect'"
R,0052,407,72pt,5,cap,1330,1942,168,374,"survey #54, 'Shows 4 Respect'"
e,0065,407,72pt,5,lower,1508,2060,132,259,"survey #55, 'Shows 4 Respect'"
s.72pt,,407,72pt,5,lower,1655,2064,116,251,"survey #56, 'Shows 4 Respect'"
p,0070,407,72pt,5,lower,1787,2064,127,306,"survey #57, 'Shows 4 Respect'"
e.72pt,,407,72pt,5,lower,1929,2060,132,258,"survey #58, 'Shows 4 Respect'"
c,0063,407,72pt,5,lower,2074,2064,129,251,"survey #59, 'Shows 4 Respect'"
t,0074,407,72pt,5,lower,2210,1972,108,345,"survey #60, 'Shows 4 Respect'"
W,0057,407,60pt,2,cap,264,675,234,320,"survey #13, 'WHEAT MARKET'"
H,0048,407,60pt,2,cap,515,676,138,318,"survey #14, 'WHEAT MARKET'"
E.60pt,,407,60pt,2,cap,672,675,136,318,"survey #15, 'WHEAT MARKET'"
A,0041,407,60pt,2,cap,823,672,148,321,"survey #16, 'WHEAT MARKET'"
T.60pt,,407,60pt,2,cap,979,675,132,318,"survey #17, 'WHEAT MARKET'"
M.60pt,,407,60pt,2,cap,1178,673,236,320,"survey #18, 'WHEAT MARKET'"
A.60pt,,407,60pt,2,cap,1423,673,148,320,"survey #19, 'WHEAT MARKET'"
R.60pt,,407,60pt,2,cap,1587,674,140,319,"survey #20, 'WHEAT MARKET'"
K,004B,407,60pt,2,cap,1745,673,142,320,"survey #21, 'WHEAT MARKET'"
E.60pt_2,,407,60pt,2,cap,1900,675,135,318,"survey #22, 'WHEAT MARKET'"
T.60pt_2,,407,60pt,2,cap,2049,674,133,318,"survey #23, 'WHEAT MARKET'"
G,0047,407,60pt,3,cap,136,1018,146,321,"survey #24, 'Growing 2 Stronger'"
r,0072,407,60pt,3,lower,292,1116,91,221,"survey #25, 'Growing 2 Stronger'"
o.60pt,,407,60pt,3,lower,392,1118,112,221,"survey #26, 'Growing 2 Stronger'"
w.60pt,,407,60pt,3,lower,512,1119,187,218,"survey #27, 'Growing 2 Stronger'"
i,0069,407,60pt,3,lower,711,1020,47,317,"survey #28, 'Growing 2 Stronger'"
n,006E,407,60pt,3,lower,776,1114,105,222,"survey #29, 'Growing 2 Stronger'"
g,0067,407,60pt,3,lower,898,1117,114,269,"survey #30, 'Growing 2 Stronger'"
two,0032,407,60pt,3,figure,1127,1016,132,319,"survey #31, 'Growing 2 Stronger'"
S.60pt,,407,60pt,3,cap,1374,1017,139,319,"survey #32, 'Growing 2 Stronger'"
t.60pt,,407,60pt,3,lower,1521,1042,92,295,"survey #33, 'Growing 2 Stronger'"
r.60pt,,407,60pt,3,lower,1623,1115,91,221,"survey #34, 'Growing 2 Stronger'"
o.60pt_2,,407,60pt,3,lower,1724,1118,112,220,"survey #35, 'Growing 2 Stronger'"
n.60pt,,407,60pt,3,lower,1847,1113,106,223,"survey #36, 'Growing 2 Stronger'"
g.60pt,,407,60pt,3,lower,1969,1117,113,269,"survey #37, 'Growing 2 Stronger'"
e.60pt,,407,60pt,3,lower,2097,1117,117,219,"survey #38, 'Growing 2 Stronger'"
r.60pt_2,,407,60pt,3,lower,2224,1114,91,220,"survey #39, 'Growing 2 Stronger'"
