glyph,unicode,leaf,line,band,category,x,y,w,h,notes
eight,0038,234,120pt,5,figure,201,2936,310,673,"survey #53, '8 HOME'"
H,0048,234,120pt,5,cap,762,2951,335,656,"survey #54, '8 HOME'"
O,004F,234,120pt,5,cap,1134,2945,362,677,"survey #55, '8 HOME'"
M,004D,234,120pt,5,cap,1531,2940,492,657,"survey #56, '8 HOME'"
E,0045,234,120pt,5,cap,2069,2947,325,659,"survey #57, '8 HOME'"
D,0044,234,96pt,4,cap,209,2135,257,518,"survey #46, 'DANGER 6'"
A,0041,234,96pt,4,cap,477,2136,299,518,"survey #47, 'DANGER 6'"
N,004E,234,96pt,4,cap,795,2135,253,519,"survey #48, 'DANGER 6'"
G,0047,234,96pt,4,cap,1080,2130,273,530,"survey #49, 'DANGER 6'"
E.96pt,,234,96pt,4,cap,1384,2135,253,518,"survey #50, 'DANGER 6'"
R,0052,234,96pt,4,cap,1665,2135,259,517,"survey #51, 'DANGER 6'"
six,0036,234,96pt,4,figure,2148,2128,241,532,"survey #52, 'DANGER 6'"
eight.84pt,,234,84pt,3,figure,197,1376,214,475,"survey #38, '8 BANKERS'"
B,0042,234,84pt,3,cap,615,1380,232,461,"survey #39, '8 BANKERS'"
A.84pt,,234,84pt,3,cap,857,1380,264,461,"survey #40, '8 BANKERS'"
N.84pt,,234,84pt,3,cap,1141,1380,224,462,"survey #41, '8 BANKERS'"
K,004B,234,84pt,3,cap,1407,1380,245,462,"survey #42, '8 BANKERS'"
E.84pt,,234,84pt,3,cap,1667,1378,224,463,"survey #43, '8 BANKERS'"
R.84pt,,234,84pt,3,cap,1932,1381,229,460,"survey #44, '8 BANKERS'"
S,0053,234,84pt,3,cap,2172,1378,222,474,"survey #45, '8 BANKERS'"
O.72pt,,234,72pt,2,cap,198,692,216,416,"survey #28, 'ORGANIZED 7'"
R.72pt,,234,72pt,2,cap,438,696,200,404,"survey #29, 'ORGANIZED 7'"
G.72pt,,234,72pt,2,cap,647,691,209,414,"survey #30, 'ORGANIZED 7'"
A.72pt,,234,72pt,2,cap,868,695,230,405,"survey #31, 'ORGANIZED 7'"
N.72pt,,234,72pt,2,cap,1112,690,195,405,"survey #32, 'ORGANIZED 7'"
I,0049,234,72pt,2,cap,1341,697,86,404,"survey #33, 'ORGANIZED 7'"
Z,005A,234,72pt,2,cap,1448,695,196,405,"survey #34, 'ORGANIZED 7'"
E.72pt,,234,72pt,2,cap,1666,695,195,406,"survey #35, 'ORGANIZED 7'"
D.72pt,,234,72pt,2,cap,1894,697,198,405,"survey #36, 'ORGANIZED 7'"
seven,0037,234,72pt,2,figure,2208,699,178,403,"survey #37, 'ORGANIZED 7'"
M.60pt,,233,60pt,8,cap,198,3174,244,347,"survey #140, 'MUSIC 6 STORE'"
U,0055,233,60pt,8,cap,466,3179,163,353,"survey #141, 'MUSIC 6 STORE'"
S.60pt,,233,60pt,8,cap,648,3177,169,356,"survey #142, 'MUSIC 6 STORE'"
I.60pt,,233,60pt,8,cap,835,3182,74,344,"survey #143, 'MUSIC 6 STORE'"
C,0043,233,60pt,8,cap,931,3177,182,356,"survey #144, 'MUSIC 6 STORE'"
