glyph,unicode,leaf,line,band,category,x,y,w,h,notes
A,0041,276,72pt,2,cap,552,693,197,349,"survey #22, 'AVONDALE'"
V,0056,276,72pt,2,cap,748,694,179,348,"survey #23, 'AVONDALE'"
O,004F,276,72pt,2,cap,937,690,185,361,"survey #24, 'AVONDALE'"
N,004E,276,72pt,2,cap,1146,694,165,349,"survey #25, 'AVONDALE'"
D,0044,276,72pt,2,cap,1342,696,168,348,"survey #26, 'AVONDALE'"
A.72pt,,276,72pt,2,cap,1521,695,197,350,"survey #27, 'AVONDALE'"
L,004C,276,72pt,2,cap,1732,697,156,348,"survey #28, 'AVONDALE'"
E,0045,276,72pt,2,cap,1903,697,168,348,"survey #29, 'AVONDALE'"
B,0042,276,72pt,3,cap,225,1079,173,355,"survey #30, 'Beautiful 7 Town'"
e,0065,276,72pt,3,lower,413,1179,140,261,"survey #31, 'Beautiful 7 Town'"
a,0061,276,72pt,3,lower,567,1177,139,259,"survey #32, 'Beautiful 7 Town'"
u,0075,276,72pt,3,lower,728,1183,138,255,"survey #33, 'Beautiful 7 Town'"
t,0074,276,72pt,3,lower,881,1111,99,322,"survey #34, 'Beautiful 7 Town'"
i,0069,276,72pt,3,lower,996,1086,62,348,"survey #35, 'Beautiful 7 Town'"
f,0066,276,72pt,3,lower,1077,1086,104,349,"survey #36, 'Beautiful 7 Town'"
u.72pt,,276,72pt,3,lower,1193,1184,138,255,"survey #37, 'Beautiful 7 Town'"
l,006C,276,72pt,3,lower,1361,1086,60,349,"survey #38, 'Beautiful 7 Town'"
seven,0037,276,72pt,3,figure,1496,1079,150,350,"survey #39, 'Beautiful 7 Town'"
T,0054,276,72pt,3,cap,1686,1086,180,349,"survey #40, 'Beautiful 7 Town'"
o,006F,276,72pt,3,lower,1875,1182,143,261,"survey #41, 'Beautiful 7 Town'"
w,0077,276,72pt,3,lower,2026,1186,226,251,"survey #42, 'Beautiful 7 Town'"
n,006E,276,72pt,3,lower,2269,1181,138,255,"survey #43, 'Beautiful 7 Town'"
C,0043,275,60pt,8,cap,303,2877,149,300,"survey #126, 'CANDY MAKER'"
A.60pt,,275,60pt,8,cap,461,2880,160,292,"survey #127, 'CANDY MAKER'"
N.60pt,,275,60pt,8,cap,633,2881,136,292,"survey #128, 'CANDY MAKER'"
D.60pt,,275,60pt,8,cap,791,2881,140,292,"survey #129, 'CANDY MAKER'"
Y,0059,275,60pt,8,cap,939,2881,149,292,"survey #130, 'CANDY MAKER'"
M,004D,275,60pt,8,cap,1184,2881,206,292,"survey #131, 'CANDY MAKER'"
A.60pt_2,,275,60pt,8,cap,1405,2880,161,293,"survey #132, 'CANDY MAKER'"
K,004B,275,60pt,8,cap,1579,2880,151,292,"survey #133, 'CANDY MAKER'"
E.60pt,,275,60pt,8,cap,1744,2880,137,293,"survey #134, 'CANDY MAKER'"
R,0052,275,60pt,8,cap,1900,2881,141,291,"survey #135, 'CANDY MAKER'"
S,0053,275,60pt,9,cap,92,3203,132,297,"survey #136, 'Spectators 4 Invited'"
p,0070,275,60pt,9,lower,240,3286,113,274,"survey #137, 'Spectators 4 Invited'"
e.60pt,,275,60pt,9,lower,365,3286,115,220,"survey #138, 'Spectators 4 Invited'"
c,0063,275,60pt,9,lower,487,3287,114,221,"survey #139, 'Spectators 4 Invited'"
t.60pt,,275,60pt,9,lower,607,3233,83,271,"survey #140, 'Spectators 4 Invited'"
a.60pt,,275,60pt,9,lower,699,3288,116,218,"survey #141, 'Spectators 4 Invited'"
t.60pt_2,,275,60pt,9,lower,817,3233,84,271,"survey #142, 'Spectators 4 Invited'"
o.60pt,,275,60pt,9,lower,907,3289,118,221,"survey #143, 'Spectators 4 Invited'"
r,0072,275,60pt,9,lower,1042,3287,91,217,"survey #144, 'Spectators 4 Invited'"
s,0073,275,60pt,9,lower,1140,3290,107,219,"survey #145, 'Spectators 4 Invited'"
four,0034,275,60pt,9,figure,1310,3212,141,291,"survey #146, 'Spectators 4 Invited'"
I,0049,275,60pt,9,cap,1515,3212,62,292,"survey #147, 'Spectators 4 Invited'"
n.60pt,,275,60pt,9,lower,1599,3287,114,216,"survey #148, 'Spectators 4 Invited'"
v,0076,275,60pt,9,lower,1722,3292,125,212,"survey #149, 'Spectators 4 Invited'"
i.60pt,,275,60pt,9,lower,1859,3212,52,291,"survey #150, 'Spectators 4 Invited'"
t.60pt_3,,275,60pt,9,lower,1922,3233,84,270,"survey #151, 'Spectators 4 Invited'"
e.60pt_2,,275,60pt,9,lower,2012,3289,116,220,"survey #152, 'Spectators 4 Invited'"
d,0064,275,60pt,9,lower,2139,3211,116,295,"survey #153, 'Spectators 4 Invited'"
C.54pt,,275,54pt,6,cap,424,2099,137,279,"survey #96, 'CONVENTIONS'"
O.54pt,,275,54pt,6,cap,569,2099,140,279,"survey #97, 'CONVENTIONS'"
N.54pt,,275,54pt,6,cap,723,2102,125,271,"survey #98, 'CONVENTIONS'"
V.54pt,,275,54pt,6,cap,859,2102,135,271,"survey #99, 'CONVENTIONS'"
E.54pt,,275,54pt,6,cap,1004,2103,127,270,"survey #100, 'CONVENTIONS'"
N.54pt_2,,275,54pt,6,cap,1143,2103,124,270,"survey #101, 'CONVENTIONS'"
T.54pt,,275,54pt,6,cap,1277,2103,136,270,"survey #102, 'CONVENTIONS'"
I.54pt,,275,54pt,6,cap,1426,2103,58,270,"survey #103, 'CONVENTIONS'"
O.54pt_2,,275,54pt,6,cap,1497,2100,140,279,"survey #104, 'CONVENTIONS'"
N.54pt_3,,275,54pt,6,cap,1651,2103,124,270,"survey #105, 'CONVENTIONS'"
S.54pt,,275,54pt,6,cap,1788,2101,125,276,"survey #106, 'CONVENTIONS'"
H,0048,275,54pt,7,cap,90,2399,128,269,"survey #107, 'Historical 6 Speeches'"
i.54pt,,275,54pt,7,lower,232,2400,48,269,"survey #108, 'Historical 6 Speeches'"
s.54pt,,275,54pt,7,lower,291,2470,97,204,"survey #109, 'Historical 6 Speeches'"
t.54pt,,275,54pt,7,lower,392,2419,76,251,"survey #110, 'Historical 6 Speeches'"
o.54pt,,275,54pt,7,lower,473,2470,108,205,"survey #111, 'Historical 6 Speeches'"
r.54pt,,275,54pt,7,lower,592,2469,83,202,"survey #112, 'Historical 6 Speeches'"
i.54pt_2,,275,54pt,7,lower,683,2402,48,269,"survey #113, 'Historical 6 Speeches'"
c.54pt,,275,54pt,7,lower,744,2470,104,205,"survey #114, 'Historical 6 Speeches'"
a.54pt,,275,54pt,7,lower,854,2472,105,202,"survey #115, 'Historical 6 Speeches'"
l.54pt,,275,54pt,7,lower,970,2402,47,270,"survey #116, 'Historical 6 Speeches'"
six,0036,275,54pt,7,figure,1126,2399,121,277,"survey #117, 'Historical 6 Speeches'"
S.54pt_2,,275,54pt,7,cap,1357,2399,124,275,"survey #118, 'Historical 6 Speeches'"
p.54pt,,275,54pt,7,lower,1492,2472,104,253,"survey #119, 'Historical 6 Speeches'"
e.54pt,,275,54pt,7,lower,1604,2471,105,204,"survey #120, 'Historical 6 Speeches'"
e.54pt_2,,275,54pt,7,lower,1714,2436,106,239,"survey #121, 'Historical 6 Speeches'"
c.54pt_2,,275,54pt,7,lower,1826,2471,103,204,"survey #122, 'Historical 6 Speeches'"
h,0068,275,54pt,7,lower,1938,2403,104,268,"survey #123, 'Historical 6 Speeches'"
e.54pt_3,,275,54pt,7,lower,2051,2472,106,203,"survey #124, 'Historical 6 Speeches'"
s.54pt_2,,275,54pt,7,lower,2163,2473,97,203,"survey #125, 'Historical 6 Speeches'"
D.48pt,,275,48pt,4,cap,369,1371,113,243,"survey #64, 'DENTAL PARLOR'"
E.48pt,,275,48pt,4,cap,496,1370,111,244,"survey #65, 'DENTAL PARLOR'"
N.48pt,,275,48pt,4,cap,620,1370,110,243,"survey #66, 'DENTAL PARLOR'"
T.48pt,,275,48pt,4,cap,741,1370,121,244,"survey #67, 'DENTAL PARLOR'"
A.48pt,,275,48pt,4,cap,871,1371,132,243,"survey #68, 'DENTAL PARLOR'"
L.48pt,,275,48pt,4,cap,1014,1370,106,244,"survey #69, 'DENTAL PARLOR'"
P,0050,275,48pt,4,cap,1220,1372,111,242,"survey #70, 'DENTAL PARLOR'"
A.48pt_2,,275,48pt,4,cap,1341,1371,132,243,"survey #71, 'DENTAL PARLOR'"
R.48pt,,275,48pt,4,cap,1485,1371,115,243,"survey #72, 'DENTAL PARLOR'"
L.48pt_2,,275,48pt,4,cap,1612,1371,106,244,"survey #73, 'DENTAL PARLOR'"
O.48pt,,275,48pt,4,cap,1725,1369,124,251,"survey #74, 'DENTAL PARLOR'"
