glyph,unicode,leaf,line,band,category,x,y,w,h,notes
S,0053,264,72pt,6,cap,523,2764,297,362,"survey #40, 'SHOES'"
H,0048,264,72pt,6,cap,833,2760,388,360,"survey #41, 'SHOES'"
O,004F,264,72pt,6,cap,1234,2759,318,366,"survey #42, 'SHOES'"
E,0045,264,72pt,6,cap,1567,2761,386,359,"survey #43, 'SHOES'"
S.72pt,,264,72pt,6,cap,1950,2760,297,363,"survey #44, 'SHOES'"
R,0052,264,72pt,7,cap,287,3193,352,359,"survey #45, 'Red 8 [Top]'"
e,0065,264,72pt,7,lower,640,3287,247,273,"survey #46, 'Red 8 [Top]'"
d,0064,264,72pt,7,lower,902,3194,295,363,"survey #47, 'Red 8 [Top]'"
eight,0038,264,72pt,7,figure,1274,3192,289,368,"survey #48, 'Red 8 [Top]'"
A,0041,264,60pt,4,cap,502,1695,293,300,"survey #30, 'ASTU[TE]'"
S.60pt,,264,60pt,4,cap,829,1694,260,304,"survey #31, 'ASTU[TE]'"
T,0054,264,60pt,4,cap,1118,1691,265,304,"survey #32, 'ASTU[TE]'"
U,0055,264,60pt,4,cap,1383,1694,301,306,"survey #33, 'ASTU[TE]'"
L,004C,264,60pt,5,cap,284,2062,252,301,"survey #35, 'L[ittle] 4 B[oy]'"
four,0034,264,60pt,5,figure,1385,2059,270,302,"survey #37, 'L[ittle] 4 B[oy]'"
B,0042,264,60pt,5,cap,1739,2060,309,328,"survey #38, 'L[ittle] 4 B[oy]'"
O.54pt,,264,54pt,2,cap,979,706,251,277,"survey #22, '[TR]O[UBL]E'"
E.54pt,,264,54pt,2,cap,2040,710,297,272,"survey #24, '[TR]O[UBL]E'"
six,0036,264,54pt,3,figure,1074,1033,227,291,"survey #26, '[Pay] 6 [Po][lic]e'"
e.54pt,,264,54pt,3,lower,2285,1110,195,213,"survey #29, '[Pay] 6 [Po][lic]e'"
C,0043,263,48pt,9,cap,306,3039,222,252,"survey #80, 'COLO[NIZE]'"
O.48pt,,263,48pt,9,cap,542,3042,225,252,"survey #81, 'COLO[NIZE]'"
L.48pt,,263,48pt,9,cap,771,3045,191,244,"survey #82, 'COLO[NIZE]'"
O.48pt_2,,263,48pt,9,cap,977,3042,227,253,"survey #83, 'COLO[NIZE]'"
N,004E,263,48pt,10,cap,75,3332,249,248,"survey #85, 'New 4 Coun[ty]'"
e.48pt,,263,48pt,10,lower,322,3392,165,195,"survey #86, 'New 4 Coun[ty]'"
w,0077,263,48pt,10,lower,503,3399,268,187,"survey #87, 'New 4 Coun[ty]'"
four.48pt,,263,48pt,10,figure,847,3342,206,244,"survey #88, 'New 4 Coun[ty]'"
C.48pt,,263,48pt,10,cap,1155,3340,226,252,"survey #89, 'New 4 Coun[ty]'"
o,006F,263,48pt,10,lower,1386,3398,166,193,"survey #90, 'New 4 Coun[ty]'"
u,0075,263,48pt,10,lower,1563,3402,178,189,"survey #91, 'New 4 Coun[ty]'"
n,006E,263,48pt,10,lower,1741,3397,179,190,"survey #92, 'New 4 Coun[ty]'"
D,0044,263,42pt,7,cap,315,2264,228,226,"survey #65, 'DO[MES][TI]C'"
O.42pt,,263,42pt,7,cap,553,2261,220,241,"survey #66, 'DO[MES][TI]C'"
C.42pt,,263,42pt,7,cap,1770,2264,211,232,"survey #69, 'DO[MES][TI]C'"
S.42pt,,263,42pt,8,cap,75,2522,188,236,"survey #70, 'Ser[va]nt 9 Du[ty]'"
e.42pt,,263,42pt,8,lower,260,2577,155,182,"survey #71, 'Ser[va]nt 9 Du[ty]'"
r,0072,263,42pt,8,lower,418,2580,145,174,"survey #72, 'Ser[va]nt 9 Du[ty]'"
n.42pt,,263,42pt,8,lower,885,2580,169,176,"survey #74, 'Ser[va]nt 9 Du[ty]'"
t,0074,263,42pt,8,lower,1069,2529,122,228,"survey #75, 'Ser[va]nt 9 Du[ty]'"
nine,0039,263,42pt,8,figure,1271,2527,188,236,"survey #76, 'Ser[va]nt 9 Du[ty]'"
D.42pt,,263,42pt,8,cap,1544,2532,231,225,"survey #77, 'Ser[va]nt 9 Du[ty]'"
u.42pt,,263,42pt,8,lower,1781,2585,168,176,"survey #78, 'Ser[va]nt 9 Du[ty]'"
D.36pt,,263,36pt,5,cap,301,1559,195,197,"survey #49, 'DANG[ER]O[US]'"
A.36pt,,263,36pt,5,cap,495,1560,189,198,"survey #50, 'DANG[ER]O[US]'"
N.36pt,,263,36pt,5,cap,696,1559,210,198,"survey #51, 'DANG[ER]O[US]'"
G,0047,263,36pt,5,cap,906,1557,182,205,"survey #52, 'DANG[ER]O[US]'"
O.36pt,,263,36pt,5,cap,1466,1559,182,205,"survey #54, 'DANG[ER]O[US]'"
Y,0059,263,36pt,6,cap,91,1790,294,201,"survey #56, 'Y[oun]g 8 [Elep]hant'"
g,0067,263,36pt,6,lower,668,1831,160,192,"survey #58, 'Y[oun]g 8 [Elep]hant'"
eight.36pt,,263,36pt,6,figure,923,1789,166,206,"survey #59, 'Y[oun]g 8 [Elep]hant'"
h,0068,263,36pt,6,lower,1721,1794,144,197,"survey #61, 'Y[oun]g 8 [Elep]hant'"
a,0061,263,36pt,6,lower,1870,1838,133,156,"survey #62, 'Y[oun]g 8 [Elep]hant'"
n.36pt,,263,36pt,6,lower,2002,1837,143,155,"survey #63, 'Y[oun]g 8 [Elep]hant'"
t.36pt,,263,36pt,6,lower,2154,1793,103,198,"survey #64, 'Y[oun]g 8 [Elep]hant'"
