glyph,unicode,leaf,line,band,category,x,y,w,h,notes
H,0048,231,84pt,7,cap,143,3134,392,464,"survey #60, 'HIDE 3'"
I,0049,231,84pt,7,cap,608,3139,127,462,"survey #61, 'HIDE 3'"
D,0044,231,84pt,7,cap,810,3141,400,460,"survey #62, 'HIDE 3'"
E,0045,231,84pt,7,cap,1265,3138,391,461,"survey #63, 'HIDE 3'"
three,0033,231,84pt,7,figure,1895,3128,368,473,"survey #64, 'HIDE 3'"
eight,0038,231,72pt,6,figure,110,2552,303,412,"survey #55, '8 MARK'"
M,004D,231,72pt,6,cap,644,2555,424,407,"survey #56, '8 MARK'"
A,0041,231,72pt,6,cap,1111,2558,390,403,"survey #57, '8 MARK'"
R,0052,231,72pt,6,cap,1538,2554,330,405,"survey #58, '8 MARK'"
K,004B,231,72pt,6,cap,1927,2552,344,405,"survey #59, '8 MARK'"
H.60pt,,231,60pt,5,cap,131,2041,288,349,"survey #49, 'HEART 9'"
E.60pt,,231,60pt,5,cap,482,2042,287,350,"survey #50, 'HEART 9'"
A.60pt,,231,60pt,5,cap,792,2043,337,349,"survey #51, 'HEART 9'"
R.60pt,,231,60pt,5,cap,1172,2042,281,350,"survey #52, 'HEART 9'"
T,0054,231,60pt,5,cap,1486,2041,292,349,"survey #53, 'HEART 9'"
nine,0039,231,60pt,5,figure,1999,2040,263,356,"survey #54, 'HEART 9'"
T.54pt,,231,54pt,4,cap,107,1579,236,293,"survey #42, 'TO 8 RENT'"
O,004F,231,54pt,4,cap,366,1578,264,301,"survey #43, 'TO 8 RENT'"
eight.54pt,,231,54pt,4,figure,779,1578,230,301,"survey #44, 'TO 8 RENT'"
R.54pt,,231,54pt,4,cap,1188,1577,236,295,"survey #45, 'TO 8 RENT'"
E.54pt,,231,54pt,4,cap,1463,1577,240,294,"survey #46, 'TO 8 RENT'"
N,004E,231,54pt,4,cap,1743,1577,239,293,"survey #47, 'TO 8 RENT'"
T.54pt_2,,231,54pt,4,cap,2021,1577,246,292,"survey #48, 'TO 8 RENT'"
N.48pt,,231,48pt,3,cap,119,1137,213,277,"survey #35, 'NEW 5 MEN'"
E.48pt,,231,48pt,3,cap,375,1139,220,273,"survey #36, 'NEW 5 MEN'"
W,0057,231,48pt,3,cap,610,1132,367,279,"survey #37, 'NEW 5 MEN'"
five,0035,231,48pt,3,figure,1111,1137,207,278,"survey #38, 'NEW 5 MEN'"
M.48pt,,231,48pt,3,cap,1458,1136,278,274,"survey #39, 'NEW 5 MEN'"
E.48pt_2,,231,48pt,3,cap,1781,1138,222,272,"survey #40, 'NEW 5 MEN'"
N.48pt_2,,231,48pt,3,cap,2034,1135,222,276,"survey #41, 'NEW 5 MEN'"
F,0046,231,42pt,2,cap,115,716,186,247,"survey #25, 'FINE 6 TYPES'"
I.42pt,,231,42pt,2,cap,322,716,64,245,"survey #26, 'FINE 6 TYPES'"
N.42pt,,231,42pt,2,cap,420,713,193,246,"survey #27, 'FINE 6 TYPES'"
E.42pt,,231,42pt,2,cap,645,712,198,246,"survey #28, 'FINE 6 TYPES'"
six,0036,231,42pt,2,figure,941,712,182,249,"survey #29, 'FINE 6 TYPES'"
T.42pt,,231,42pt,2,cap,1208,712,200,245,"survey #30, 'FINE 6 TYPES'"
Y,0059,231,42pt,2,cap,1415,713,216,242,"survey #31, 'FINE 6 TYPES'"
P,0050,231,42pt,2,cap,1653,716,191,242,"survey #32, 'FINE 6 TYPES'"
E.42pt_2,,231,42pt,2,cap,1863,714,198,244,"survey #33, 'FINE 6 TYPES'"
S,0053,231,42pt,2,cap,2076,715,196,247,"survey #34, 'FINE 6 TYPES'"
M.36pt,,230,36pt,4,cap,222,3336,218,223,"survey #54, 'MAIL 3 TRAINS'"
A.36pt,,230,36pt,4,cap,456,3337,207,223,"survey #55, 'MAIL 3 TRAINS'"
I.36pt,,230,36pt,4,cap,679,3336,60,224,"survey #56, 'MAIL 3 TRAINS'"
L,004C,230,36pt,4,cap,767,3337,164,223,"survey #57, 'MAIL 3 TRAINS'"
three.36pt,,230,36pt,4,figure,1055,3336,167,226,"survey #58, 'MAIL 3 TRAINS'"
T.36pt,,230,36pt,4,cap,1346,3333,182,224,"survey #59, 'MAIL 3 TRAINS'"
R.36pt,,230,36pt,4,cap,1542,3335,174,223,"survey #60, 'MAIL 3 TRAINS'"
A.36pt_2,,230,36pt,4,cap,1726,3336,207,223,"survey #61, 'MAIL 3 TRAINS'"
I.36pt_2,,230,36pt,4,cap,1950,3337,60,223,"survey #62, 'MAIL 3 TRAINS'"
N.36pt,,230,36pt,4,cap,2037,3338,178,223,"survey #63, 'MAIL 3 TRAINS'"
S.36pt,,230,36pt,4,cap,2234,3337,180,228,"survey #64, 'MAIL 3 TRAINS'"
T.30pt,,230,30pt,3,cap,208,2995,158,197,"survey #40, 'THE 9 SCIENTIFIC'"
H.30pt,,230,30pt,3,cap,377,2994,157,197,"survey #41, 'THE 9 SCIENTIFIC'"
E.30pt,,230,30pt,3,cap,556,2994,153,197,"survey #42, 'THE 9 SCIENTIFIC'"
nine.30pt,,230,30pt,3,figure,808,2992,139,201,"survey #43, 'THE 9 SCIENTIFIC'"
S.30pt,,230,30pt,3,cap,1047,2992,154,201,"survey #44, 'THE 9 SCIENTIFIC'"
C,0043,230,30pt,3,cap,1209,2992,166,201,"survey #45, 'THE 9 SCIENTIFIC'"
I.30pt,,230,30pt,3,cap,1387,2994,53,196,"survey #46, 'THE 9 SCIENTIFIC'"
E.30pt_2,,230,30pt,3,cap,1460,2994,153,198,"survey #47, 'THE 9 SCIENTIFIC'"
N.30pt,,230,30pt,3,cap,1627,2995,153,197,"survey #48, 'THE 9 SCIENTIFIC'"
T.30pt_2,,230,30pt,3,cap,1789,2996,157,197,"survey #49, 'THE 9 SCIENTIFIC'"
I.30pt_2,,230,30pt,3,cap,1957,2996,52,197,"survey #50, 'THE 9 SCIENTIFIC'"
F.30pt,,230,30pt,3,cap,2029,2997,151,197,"survey #51, 'THE 9 SCIENTIFIC'"
I.30pt_3,,230,30pt,3,cap,2189,2997,53,197,"survey #52, 'THE 9 SCIENTIFIC'"
C.30pt,,230,30pt,3,cap,2256,2996,165,201,"survey #53, 'THE 9 SCIENTIFIC'"
T.24pt,,230,24pt,2,cap,211,2671,126,168,"survey #25, 'THE ~ POETS 7 OF OLD'"
H.24pt,,230,24pt,2,cap,346,2671,128,168,"survey #26, 'THE ~ POETS 7 OF OLD'"
E.24pt,,230,24pt,2,cap,492,2670,123,168,"survey #27, 'THE ~ POETS 7 OF OLD'"
P.24pt,,230,24pt,2,cap,708,2669,122,170,"survey #29, 'THE ~ POETS 7 OF OLD'"
O.24pt,,230,24pt,2,cap,840,2670,134,170,"survey #30, 'THE ~ POETS 7 OF OLD'"
E.24pt_2,,230,24pt,2,cap,989,2670,123,168,"survey #31, 'THE ~ POETS 7 OF OLD'"
T.24pt_2,,230,24pt,2,cap,1115,2671,126,168,"survey #32, 'THE ~ POETS 7 OF OLD'"
S.24pt,,230,24pt,2,cap,1248,2671,124,170,"survey #33, 'THE ~ POETS 7 OF OLD'"
seven,0037,230,24pt,2,figure,1458,2672,116,168,"survey #34, 'THE ~ POETS 7 OF OLD'"
O.24pt_2,,230,24pt,2,cap,1661,2667,136,175,"survey #35, 'THE ~ POETS 7 OF OLD'"
F.24pt,,230,24pt,2,cap,1812,2673,121,168,"survey #36, 'THE ~ POETS 7 OF OLD'"
O.24pt_3,,230,24pt,2,cap,2024,2674,135,170,"survey #37, 'THE ~ POETS 7 OF OLD'"
L.24pt,,230,24pt,2,cap,2172,2675,116,168,"survey #38, 'THE ~ POETS 7 OF OLD'"
D.24pt,,230,24pt,2,cap,2294,2676,126,168,"survey #39, 'THE ~ POETS 7 OF OLD'"
