glyph,unicode,leaf,line,band,category,x,y,w,h,notes
C,0043,268,96pt,6,cap,483,2538,422,477,"survey #44, 'COLD'"
O,004F,268,96pt,6,cap,943,2537,433,479,"survey #45, 'COLD'"
L,004C,268,96pt,6,cap,1438,2540,364,467,"survey #46, 'COLD'"
D,0044,268,96pt,6,cap,1845,2544,401,463,"survey #47, 'COLD'"
C.96pt,,268,96pt,7,cap,285,3072,421,475,"survey #48, 'Chips 9'"
h,0068,268,96pt,7,lower,756,3077,303,465,"survey #49, 'Chips 9'"
i,0069,268,96pt,7,lower,1121,3080,104,460,"survey #50, 'Chips 9'"
p,0070,268,96pt,7,lower,1298,3194,314,449,"survey #51, 'Chips 9'"
s,0073,268,96pt,7,lower,1654,3189,283,358,"survey #52, 'Chips 9'"
nine,0039,268,96pt,7,figure,2078,3069,357,479,"survey #53, 'Chips 9'"
D.72pt,,268,72pt,4,cap,472,1548,297,351,"survey #31, 'DRINKS'"
R,0052,268,72pt,4,cap,816,1545,283,352,"survey #32, 'DRINKS'"
I,0049,268,72pt,4,cap,1147,1546,93,352,"survey #33, 'DRINKS'"
N,004E,268,72pt,4,cap,1299,1544,289,353,"survey #34, 'DRINKS'"
K,004B,268,72pt,4,cap,1653,1546,297,353,"survey #35, 'DRINKS'"
S,0053,268,72pt,4,cap,1973,1544,293,360,"survey #36, 'DRINKS'"
H,0048,268,72pt,5,cap,292,1948,301,353,"survey #37, 'Hot 8 Rye'"
o,006F,268,72pt,5,lower,638,2004,244,275,"survey #38, 'Hot 8 Rye'"
t,0074,268,72pt,5,lower,904,1958,153,341,"survey #39, 'Hot 8 Rye'"
eight,0038,268,72pt,5,figure,1197,1946,274,358,"survey #40, 'Hot 8 Rye'"
R.72pt,,268,72pt,5,cap,1639,1947,283,352,"survey #41, 'Hot 8 Rye'"
y,0079,268,72pt,5,lower,1947,2036,250,348,"survey #42, 'Hot 8 Rye'"
e,0065,268,72pt,5,lower,2218,2032,235,276,"survey #43, 'Hot 8 Rye'"
M,004D,268,60pt,2,cap,480,689,302,295,"survey #14, 'MANNER'"
A,0041,268,60pt,2,cap,820,688,285,295,"survey #15, 'MANNER'"
N.60pt,,268,60pt,2,cap,1142,688,243,295,"survey #16, 'MANNER'"
N.60pt_2,,268,60pt,2,cap,1442,689,242,295,"survey #17, 'MANNER'"
E,0045,268,60pt,2,cap,1739,690,242,296,"survey #18, 'MANNER'"
R.60pt,,268,60pt,2,cap,2018,690,238,298,"survey #19, 'MANNER'"
P,0050,268,60pt,3,cap,288,1023,239,295,"survey #20, 'Polite 2 Girl'"
o.60pt,,268,60pt,3,lower,547,1093,202,230,"survey #21, 'Polite 2 Girl'"
l,006C,268,60pt,3,lower,780,1023,69,296,"survey #22, 'Polite 2 Girl'"
i.60pt,,268,60pt,3,lower,893,1025,67,293,"survey #23, 'Polite 2 Girl'"
t.60pt,,268,60pt,3,lower,995,1030,130,288,"survey #24, 'Polite 2 Girl'"
e.60pt,,268,60pt,3,lower,1147,1091,200,232,"survey #25, 'Polite 2 Girl'"
two,0032,268,60pt,3,figure,1458,1020,219,298,"survey #26, 'Polite 2 Girl'"
G,0047,268,60pt,3,cap,1787,1022,269,303,"survey #27, 'Polite 2 Girl'"
i.60pt_2,,268,60pt,3,lower,2100,1028,66,293,"survey #28, 'Polite 2 Girl'"
r,0072,268,60pt,3,lower,2212,1095,139,226,"survey #29, 'Polite 2 Girl'"
l.60pt,,268,60pt,3,lower,2376,1026,69,296,"survey #30, 'Polite 2 Girl'"
B,0042,267,54pt,8,cap,424,3011,220,273,"survey #88, 'BANKER'"
A.54pt,,267,54pt,8,cap,662,3014,260,272,"survey #89, 'BANKER'"
N.54pt,,267,54pt,8,cap,947,3011,222,275,"survey #90, 'BANKER'"
K.54pt,,267,54pt,8,cap,1213,3013,229,274,"survey #91, 'BANKER'"
E.54pt,,267,54pt,8,cap,1474,3014,222,272,"survey #92, 'BANKER'"
R.54pt,,267,54pt,8,cap,1727,3012,219,274,"survey #93, 'BANKER'"
P.54pt,,267,54pt,9,cap,118,3300,211,272,"survey #94, 'Pony 6 Show'"
o.54pt,,267,54pt,9,lower,348,3369,180,213,"survey #95, 'Pony 6 Show'"
n,006E,267,54pt,9,lower,560,3372,173,209,"survey #96, 'Pony 6 Show'"
y.54pt,,267,54pt,9,lower,756,3376,194,268,"survey #97, 'Pony 6 Show'"
six,0036,267,54pt,9,figure,1023,3310,205,278,"survey #98, 'Pony 6 Show'"
S.54pt,,267,54pt,9,cap,1307,3308,225,279,"survey #99, 'Pony 6 Show'"
h.54pt,,267,54pt,9,lower,1562,3309,173,273,"survey #100, 'Pony 6 Show'"
o.54pt_2,,267,54pt,9,lower,1768,3373,183,225,"survey #101, 'Pony 6 Show'"
w,0077,267,54pt,9,lower,1967,3376,298,207,"survey #102, 'Pony 6 Show'"
E.48pt,,267,48pt,6,cap,270,2168,194,246,"survey #67, 'ESTABLISH'"
S.48pt,,267,48pt,6,cap,479,2171,195,248,"survey #68, 'ESTABLISH'"
T,0054,267,48pt,6,cap,688,2170,200,244,"survey #69, 'ESTABLISH'"
A.48pt,,267,48pt,6,cap,895,2172,227,243,"survey #70, 'ESTABLISH'"
B.48pt,,267,48pt,6,cap,1144,2173,190,242,"survey #71, 'ESTABLISH'"
L.48pt,,267,48pt,6,cap,1358,2172,181,243,"survey #72, 'ESTABLISH'"
