glyph,unicode,leaf,line,band,category,x,y,w,h,notes
P,0050,315,72pt,8,cap,408,2791,236,318,"survey #80, 'PIERCED'"
I,0049,315,72pt,8,cap,658,2794,123,316,"survey #81, 'PIERCED'"
E,0045,315,72pt,8,cap,794,2794,238,316,"survey #82, 'PIERCED'"
R,0052,315,72pt,8,cap,1046,2794,280,316,"survey #83, 'PIERCED'"
C,0043,315,72pt,8,cap,1340,2791,246,322,"survey #84, 'PIERCED'"
E.72pt,,315,72pt,8,cap,1608,2792,237,315,"survey #85, 'PIERCED'"
D,0044,315,72pt,8,cap,1864,2791,279,316,"survey #86, 'PIERCED'"
S,0053,315,72pt,9,cap,207,3185,230,321,"survey #87, 'Steep 8 Hill'"
t,0074,315,72pt,9,lower,450,3218,130,289,"survey #88, 'Steep 8 Hill'"
e,0065,315,72pt,9,lower,593,3279,187,228,"survey #89, 'Steep 8 Hill'"
e.72pt,,315,72pt,9,lower,796,3280,188,228,"survey #90, 'Steep 8 Hill'"
p,0070,315,72pt,9,lower,996,3282,197,305,"survey #91, 'Steep 8 Hill'"
eight,0038,315,72pt,9,figure,1337,3186,217,325,"survey #92, 'Steep 8 Hill'"
H,0048,315,72pt,9,cap,1727,3188,269,315,"survey #93, 'Steep 8 Hill'"
i,0069,315,72pt,9,lower,2005,3209,109,294,"survey #94, 'Steep 8 Hill'"
l,006C,315,72pt,9,lower,2131,3185,110,317,"survey #95, 'Steep 8 Hill'"
l.72pt,,315,72pt,9,lower,2257,3185,110,317,"survey #96, 'Steep 8 Hill'"
C.60pt,,315,60pt,6,cap,384,1979,204,274,"survey #60, 'COLUMBIA'"
O,004F,315,60pt,6,cap,608,1981,238,273,"survey #61, 'COLUMBIA'"
L,004C,315,60pt,6,cap,854,1984,202,266,"survey #62, 'COLUMBIA'"
U,0055,315,60pt,6,cap,1054,1984,239,270,"survey #63, 'COLUMBIA'"
M,004D,315,60pt,6,cap,1294,1981,296,268,"survey #64, 'COLUMBIA'"
B,0042,315,60pt,6,cap,1595,1982,210,266,"survey #65, 'COLUMBIA'"
I.60pt,,315,60pt,6,cap,1817,1981,119,266,"survey #66, 'COLUMBIA'"
A,0041,315,60pt,6,cap,1940,1980,250,267,"survey #67, 'COLUMBIA'"
