glyph,unicode,leaf,line,band,category,x,y,w,h,notes
B,0042,163,72pt,9,cap,86,3233,185,349,"survey #126, 'Beauty 6 ROSE'"
e,0065,163,72pt,9,lower,280,3331,133,257,"survey #127, 'Beauty 6 ROSE'"
a,0061,163,72pt,9,lower,419,3334,179,257,"survey #128, 'Beauty 6 ROSE'"
u,0075,163,72pt,9,lower,600,3334,165,258,"survey #129, 'Beauty 6 ROSE'"
t,0074,163,72pt,9,lower,774,3260,135,332,"survey #130, 'Beauty 6 ROSE'"
y,0079,163,72pt,9,lower,908,3336,181,319,"survey #131, 'Beauty 6 ROSE'"
six,0036,163,72pt,9,figure,1167,3235,177,356,"survey #132, 'Beauty 6 ROSE'"
R,0052,163,72pt,9,cap,1423,3237,218,350,"survey #133, 'Beauty 6 ROSE'"
O,004F,163,72pt,9,cap,1651,3234,189,354,"survey #134, 'Beauty 6 ROSE'"
S,0053,163,72pt,9,cap,1852,3234,187,354,"survey #135, 'Beauty 6 ROSE'"
E,0045,163,72pt,9,cap,2052,3233,202,349,"survey #136, 'Beauty 6 ROSE'"
C,0043,163,60pt,8,cap,82,2787,139,293,"survey #112, 'CHICK 5 Feathers'"
H,0048,163,60pt,8,cap,226,2787,165,294,"survey #113, 'CHICK 5 Feathers'"
I,0049,163,60pt,8,cap,406,2789,83,292,"survey #114, 'CHICK 5 Feathers'"
C.60pt,,163,60pt,8,cap,498,2790,147,294,"survey #115, 'CHICK 5 Feathers'"
K,004B,163,60pt,8,cap,649,2788,189,294,"survey #116, 'CHICK 5 Feathers'"
five,0035,163,60pt,8,figure,933,2776,137,308,"survey #117, 'CHICK 5 Feathers'"
F,0046,163,60pt,8,cap,1170,2787,172,294,"survey #118, 'CHICK 5 Feathers'"
e.60pt,,163,60pt,8,lower,1349,2867,117,214,"survey #119, 'CHICK 5 Feathers'"
a.60pt,,163,60pt,8,lower,1471,2866,153,215,"survey #120, 'CHICK 5 Feathers'"
t.60pt,,163,60pt,8,lower,1623,2799,113,281,"survey #121, 'CHICK 5 Feathers'"
h,0068,163,60pt,8,lower,1742,2784,140,305,"survey #122, 'CHICK 5 Feathers'"
e.60pt_2,,163,60pt,8,lower,1887,2864,118,214,"survey #123, 'CHICK 5 Feathers'"
r,0072,163,60pt,8,lower,2009,2863,121,212,"survey #124, 'CHICK 5 Feathers'"
s,0073,163,60pt,8,lower,2133,2862,120,216,"survey #125, 'CHICK 5 Feathers'"
F.54pt,,163,54pt,6,cap,210,2029,147,271,"survey #83, 'FISHING CAMPS'"
I.54pt,,163,54pt,6,cap,359,2029,79,271,"survey #84, 'FISHING CAMPS'"
S.54pt,,163,54pt,6,cap,444,2029,135,273,"survey #85, 'FISHING CAMPS'"
H.54pt,,163,54pt,6,cap,591,2028,163,272,"survey #86, 'FISHING CAMPS'"
I.54pt_2,,163,54pt,6,cap,759,2028,80,271,"survey #87, 'FISHING CAMPS'"
N,004E,163,54pt,6,cap,840,2027,162,273,"survey #88, 'FISHING CAMPS'"
G,0047,163,54pt,6,cap,1009,2027,155,273,"survey #89, 'FISHING CAMPS'"
C.54pt,,163,54pt,6,cap,1267,2026,139,273,"survey #90, 'FISHING CAMPS'"
A,0041,163,54pt,6,cap,1409,2023,174,274,"survey #91, 'FISHING CAMPS'"
M,004D,163,54pt,6,cap,1582,2025,214,271,"survey #92, 'FISHING CAMPS'"
P,0050,163,54pt,6,cap,1801,2023,149,272,"survey #93, 'FISHING CAMPS'"
S.54pt_2,,163,54pt,6,cap,1958,2024,135,272,"survey #94, 'FISHING CAMPS'"
B.54pt,,163,54pt,7,cap,71,2327,142,270,"survey #95, 'Boating 7 Excursion'"
o,006F,163,54pt,7,lower,219,2394,113,206,"survey #96, 'Boating 7 Excursion'"
a.54pt,,163,54pt,7,lower,342,2395,141,204,"survey #97, 'Boating 7 Excursion'"
t.54pt,,163,54pt,7,lower,479,2344,104,256,"survey #98, 'Boating 7 Excursion'"
i,0069,163,54pt,7,lower,579,2328,70,271,"survey #99, 'Boating 7 Excursion'"
n,006E,163,54pt,7,lower,652,2392,134,206,"survey #100, 'Boating 7 Excursion'"
g,0067,163,54pt,7,lower,791,2394,144,258,"survey #101, 'Boating 7 Excursion'"
seven,0037,163,54pt,7,figure,973,2319,130,281,"survey #102, 'Boating 7 Excursion'"
E.54pt,,163,54pt,7,cap,1137,2326,156,271,"survey #103, 'Boating 7 Excursion'"
x,0078,163,54pt,7,lower,1294,2392,143,204,"survey #104, 'Boating 7 Excursion'"
c,0063,163,54pt,7,lower,1441,2393,104,204,"survey #105, 'Boating 7 Excursion'"
u.54pt,,163,54pt,7,lower,1545,2390,142,212,"survey #106, 'Boating 7 Excursion'"
r.54pt,,163,54pt,7,lower,1684,2391,113,204,"survey #107, 'Boating 7 Excursion'"
s.54pt,,163,54pt,7,lower,1800,2389,117,207,"survey #108, 'Boating 7 Excursion'"
i.54pt,,163,54pt,7,lower,1918,2323,68,270,"survey #109, 'Boating 7 Excursion'"
o.54pt,,163,54pt,7,lower,1994,2389,116,205,"survey #110, 'Boating 7 Excursion'"
n.54pt,,163,54pt,7,lower,2118,2387,132,205,"survey #111, 'Boating 7 Excursion'"
O.48pt,,163,48pt,4,cap,240,1337,143,251,"survey #53, 'OLD TIME DANCE'"
L,004C,163,48pt,4,cap,389,1338,139,246,"survey #54, 'OLD TIME DANCE'"
D,0044,163,48pt,4,cap,528,1338,140,246,"survey #55, 'OLD TIME DANCE'"
T,0054,163,48pt,4,cap,711,1337,137,245,"survey #56, 'OLD TIME DANCE'"
I.48pt,,163,48pt,4,cap,850,1337,70,244,"survey #57, 'OLD TIME DANCE'"
M.48pt,,163,48pt,4,cap,925,1336,193,245,"survey #58, 'OLD TIME DANCE'"
E.48pt,,163,48pt,4,cap,1125,1336,139,245,"survey #59, 'OLD TIME DANCE'"
D.48pt,,163,48pt,4,cap,1310,1336,139,245,"survey #60, 'OLD TIME DANCE'"
A.48pt,,163,48pt,4,cap,1451,1334,158,247,"survey #61, 'OLD TIME DANCE'"
N.48pt,,163,48pt,4,cap,1611,1334,144,245,"survey #62, 'OLD TIME DANCE'"
C.48pt,,163,48pt,4,cap,1763,1332,136,250,"survey #63, 'OLD TIME DANCE'"
E.48pt_2,,163,48pt,4,cap,1902,1333,138,245,"survey #64, 'OLD TIME DANCE'"
P.48pt,,163,48pt,5,cap,65,1605,127,246,"survey #65, 'Pretty Girls 9 Attend'"
r.48pt,,163,48pt,5,lower,191,1668,92,183,"survey #66, 'Pretty Girls 9 Attend'"
e.48pt,,163,48pt,5,lower,285,1666,103,186,"survey #67, 'Pretty Girls 9 Attend'"
t.48pt,,163,48pt,5,lower,391,1623,89,229,"survey #68, 'Pretty Girls 9 Attend'"
t.48pt_2,,163,48pt,5,lower,480,1623,89,228,"survey #69, 'Pretty Girls 9 Attend'"
y.48pt,,163,48pt,5,lower,570,1669,131,227,"survey #70, 'Pretty Girls 9 Attend'"
G.48pt,,163,48pt,5,cap,790,1599,141,253,"survey #71, 'Pretty Girls 9 Attend'"
i.48pt,,163,48pt,5,lower,931,1601,63,247,"survey #72, 'Pretty Girls 9 Attend'"
r.48pt_2,,163,48pt,5,lower,994,1665,96,182,"survey #73, 'Pretty Girls 9 Attend'"
l,006C,163,48pt,5,lower,1091,1601,63,245,"survey #74, 'Pretty Girls 9 Attend'"
s.48pt,,163,48pt,5,lower,1157,1664,100,185,"survey #75, 'Pretty Girls 9 Attend'"
nine,0039,163,48pt,5,figure,1349,1599,121,250,"survey #76, 'Pretty Girls 9 Attend'"
A.48pt_2,,163,48pt,5,cap,1562,1600,159,246,"survey #77, 'Pretty Girls 9 Attend'"
t.48pt_3,,163,48pt,5,lower,1721,1619,89,228,"survey #78, 'Pretty Girls 9 Attend'"
t.48pt_4,,163,48pt,5,lower,1810,1619,89,228,"survey #79, 'Pretty Girls 9 Attend'"
e.48pt_2,,163,48pt,5,lower,1901,1661,105,185,"survey #80, 'Pretty Girls 9 Attend'"
n.48pt,,163,48pt,5,lower,2010,1659,122,184,"survey #81, 'Pretty Girls 9 Attend'"
d,0064,163,48pt,5,lower,2136,1596,116,249,"survey #82, 'Pretty Girls 9 Attend'"
S.42pt,,163,42pt,2,cap,283,710,113,225,"survey #19, 'SINISTER DESIGN'"
I.42pt,,163,42pt,2,cap,398,709,68,221,"survey #20, 'SINISTER DESIGN'"
N.42pt,,163,42pt,2,cap,465,708,131,223,"survey #21, 'SINISTER DESIGN'"
I.42pt_2,,163,42pt,2,cap,597,708,68,221,"survey #22, 'SINISTER DESIGN'"
