glyph,unicode,leaf,line,band,category,x,y,w,h,notes
B,0042,457,72pt,2,cap,512,719,294,350,"survey #21, 'BAKER'"
A,0041,457,72pt,2,cap,815,713,346,355,"survey #22, 'BAKER'"
K,004B,457,72pt,2,cap,1166,718,321,352,"survey #23, 'BAKER'"
E,0045,457,72pt,2,cap,1497,718,304,354,"survey #24, 'BAKER'"
R,0052,457,72pt,2,cap,1812,718,296,357,"survey #25, 'BAKER'"
N,004E,457,72pt,3,cap,190,1127,322,361,"survey #26, 'Nut 8 Cake'"
u,0075,457,72pt,3,lower,515,1237,268,246,"survey #27, 'Nut 8 Cake'"
t,0074,457,72pt,3,lower,787,1149,183,332,"survey #28, 'Nut 8 Cake'"
eight,0038,457,72pt,3,figure,1034,1124,281,360,"survey #29, 'Nut 8 Cake'"
C,0043,457,72pt,3,cap,1402,1125,283,357,"survey #30, 'Nut 8 Cake'"
a,0061,457,72pt,3,lower,1699,1239,207,246,"survey #31, 'Nut 8 Cake'"
k,006B,457,72pt,3,lower,1907,1127,257,353,"survey #32, 'Nut 8 Cake'"
e,0065,457,72pt,3,lower,2171,1239,200,246,"survey #33, 'Nut 8 Cake'"
G,0047,456,60pt,8,cap,464,2930,267,300,"survey #82, 'GARAGE'"
A.60pt,,456,60pt,8,cap,736,2927,291,299,"survey #83, 'GARAGE'"
R.60pt,,456,60pt,8,cap,1034,2932,245,301,"survey #84, 'GARAGE'"
A.60pt_2,,456,60pt,8,cap,1283,2927,290,299,"survey #85, 'GARAGE'"
G.60pt,,456,60pt,8,cap,1585,2929,267,301,"survey #86, 'GARAGE'"
E.60pt,,456,60pt,8,cap,1863,2931,257,295,"survey #87, 'GARAGE'"
M,004D,456,60pt,9,cap,201,3284,323,293,"survey #88, 'Many 5 Girls'"
a.60pt,,456,60pt,9,lower,541,3374,175,208,"survey #89, 'Many 5 Girls'"
n,006E,456,60pt,9,lower,726,3374,223,204,"survey #90, 'Many 5 Girls'"
y,0079,456,60pt,9,lower,951,3376,218,273,"survey #91, 'Many 5 Girls'"
five,0035,456,60pt,9,figure,1245,3283,233,299,"survey #92, 'Many 5 Girls'"
G.60pt_2,,456,60pt,9,cap,1566,3282,267,300,"survey #93, 'Many 5 Girls'"
i,0069,456,60pt,9,lower,1840,3285,106,292,"survey #94, 'Many 5 Girls'"
r,0072,456,60pt,9,lower,1957,3374,172,224,"survey #95, 'Many 5 Girls'"
l,006C,456,60pt,9,lower,2132,3282,108,297,"survey #96, 'Many 5 Girls'"
s,0073,456,60pt,9,lower,2245,3373,156,208,"survey #97, 'Many 5 Girls'"
E.54pt,,456,54pt,6,cap,472,2119,237,273,"survey #64, 'EASTERN'"
A.54pt,,456,54pt,6,cap,710,2115,268,277,"survey #65, 'EASTERN'"
S,0053,456,54pt,6,cap,982,2116,198,279,"survey #66, 'EASTERN'"
T,0054,456,54pt,6,cap,1178,2112,238,280,"survey #67, 'EASTERN'"
E.54pt_2,,456,54pt,6,cap,1419,2118,237,274,"survey #68, 'EASTERN'"
R.54pt,,456,54pt,6,cap,1655,2118,229,278,"survey #69, 'EASTERN'"
N.54pt,,456,54pt,6,cap,1886,2119,250,278,"survey #70, 'EASTERN'"
D,0044,456,54pt,7,cap,201,2453,249,273,"survey #71, 'Drug 6 Clerks'"
r.54pt,,456,54pt,7,lower,462,2534,159,191,"survey #72, 'Drug 6 Clerks'"
u.54pt,,456,54pt,7,lower,618,2536,206,194,"survey #73, 'Drug 6 Clerks'"
g,0067,456,54pt,7,lower,828,2499,153,286,"survey #74, 'Drug 6 Clerks'"
six,0036,456,54pt,7,figure,1087,2447,219,283,"survey #75, 'Drug 6 Clerks'"
C.54pt,,456,54pt,7,cap,1425,2451,220,279,"survey #76, 'Drug 6 Clerks'"
l.54pt,,456,54pt,7,lower,1647,2450,100,276,"survey #77, 'Drug 6 Clerks'"
e.54pt,,456,54pt,7,lower,1754,2537,153,192,"survey #78, 'Drug 6 Clerks'"
r.54pt_2,,456,54pt,7,lower,1906,2534,159,191,"survey #79, 'Drug 6 Clerks'"
k.54pt,,456,54pt,7,lower,2064,2452,198,274,"survey #80, 'Drug 6 Clerks'"
s.54pt,,456,54pt,7,lower,2265,2537,143,194,"survey #81, 'Drug 6 Clerks'"
C.48pt,,456,48pt,4,cap,494,1367,197,252,"survey #45, 'CARRIAGE'"
A.48pt,,456,48pt,4,cap,700,1367,235,249,"survey #46, 'CARRIAGE'"
R.48pt,,456,48pt,4,cap,937,1368,204,250,"survey #47, 'CARRIAGE'"
R.48pt_2,,456,48pt,4,cap,1144,1369,203,250,"survey #48, 'CARRIAGE'"
I,0049,456,48pt,4,cap,1348,1372,102,245,"survey #49, 'CARRIAGE'"
A.48pt_2,,456,48pt,4,cap,1453,1368,233,249,"survey #50, 'CARRIAGE'"
G.48pt,,456,48pt,4,cap,1695,1370,217,251,"survey #51, 'CARRIAGE'"
E.48pt,,456,48pt,4,cap,1917,1372,210,247,"survey #52, 'CARRIAGE'"
W,0057,456,48pt,5,cap,201,1671,306,255,"survey #53, 'Wagon 3 Shops'"
a.48pt,,456,48pt,5,lower,522,1744,145,178,"survey #54, 'Wagon 3 Shops'"
g.48pt,,456,48pt,5,lower,670,1710,137,261,"survey #55, 'Wagon 3 Shops'"
o,006F,456,48pt,5,lower,810,1744,140,177,"survey #56, 'Wagon 3 Shops'"
n.48pt,,456,48pt,5,lower,958,1745,181,172,"survey #57, 'Wagon 3 Shops'"
three,0033,456,48pt,5,figure,1273,1669,192,251,"survey #58, 'Wagon 3 Shops'"
S.48pt,,456,48pt,5,cap,1608,1670,173,251,"survey #59, 'Wagon 3 Shops'"
h,0068,456,48pt,5,lower,1782,1671,184,247,"survey #60, 'Wagon 3 Shops'"
o.48pt,,456,48pt,5,lower,1969,1746,140,177,"survey #61, 'Wagon 3 Shops'"
