glyph,unicode,leaf,line,band,category,x,y,w,h,notes
S,0053,454,120pt,6,cap,238,3007,302,586,"survey #61, 'Six 8 Men'"
i,0069,454,120pt,6,lower,547,3010,144,574,"survey #62, 'Six 8 Men'"
x,0078,454,120pt,6,lower,692,3199,268,385,"survey #63, 'Six 8 Men'"
eight,0038,454,120pt,6,figure,1066,3009,305,586,"survey #64, 'Six 8 Men'"
M,004D,454,120pt,6,cap,1467,3013,444,571,"survey #65, 'Six 8 Men'"
e,0065,454,120pt,6,lower,1916,3192,230,402,"survey #66, 'Six 8 Men'"
n,006E,454,120pt,6,lower,2146,3192,284,391,"survey #67, 'Six 8 Men'"
B,0042,454,96pt,4,cap,515,1776,302,462,"survey #46, 'BRIGHT'"
R,0052,454,96pt,4,cap,826,1776,300,466,"survey #47, 'BRIGHT'"
I,0049,454,96pt,4,cap,1125,1776,165,462,"survey #48, 'BRIGHT'"
G,0047,454,96pt,4,cap,1298,1772,266,475,"survey #49, 'BRIGHT'"
H,0048,454,96pt,4,cap,1560,1777,325,461,"survey #50, 'BRIGHT'"
T,0054,454,96pt,4,cap,1882,1768,271,472,"survey #51, 'BRIGHT'"
G.96pt,,454,96pt,5,cap,237,2306,266,475,"survey #52, 'Gold 5 Coin'"
o,006F,454,96pt,5,lower,507,2454,194,327,"survey #53, 'Gold 5 Coin'"
l,006C,454,96pt,5,lower,709,2308,116,464,"survey #54, 'Gold 5 Coin'"
d,0064,454,96pt,5,lower,837,2309,207,468,"survey #55, 'Gold 5 Coin'"
five,0035,454,96pt,5,figure,1216,2312,242,469,"survey #56, 'Gold 5 Coin'"
C,0043,454,96pt,5,cap,1634,2307,236,474,"survey #57, 'Gold 5 Coin'"
o.96pt,,454,96pt,5,lower,1885,2455,194,327,"survey #58, 'Gold 5 Coin'"
i.96pt,,454,96pt,5,lower,2085,2309,117,463,"survey #59, 'Gold 5 Coin'"
n.96pt,,454,96pt,5,lower,2207,2455,224,318,"survey #60, 'Gold 5 Coin'"
B.72pt,,454,72pt,2,cap,710,778,223,350,"survey #29, 'BOSTON'"
O,004F,454,72pt,2,cap,936,776,201,358,"survey #30, 'BOSTON'"
S.72pt,,454,72pt,2,cap,1144,776,182,358,"survey #31, 'BOSTON'"
T.72pt,,454,72pt,2,cap,1326,773,199,357,"survey #32, 'BOSTON'"
O.72pt,,454,72pt,2,cap,1527,778,201,357,"survey #33, 'BOSTON'"
N,004E,454,72pt,2,cap,1734,781,231,356,"survey #34, 'BOSTON'"
F,0046,454,72pt,3,cap,227,1179,211,351,"survey #35, 'Found 4 Terms'"
o.72pt,,454,72pt,3,lower,437,1284,144,250,"survey #36, 'Found 4 Terms'"
u,0075,454,72pt,3,lower,586,1283,169,251,"survey #37, 'Found 4 Terms'"
n.72pt,,454,72pt,3,lower,756,1253,165,276,"survey #38, 'Found 4 Terms'"
d.72pt,,454,72pt,3,lower,923,1178,153,355,"survey #39, 'Found 4 Terms'"
four,0034,454,72pt,3,figure,1242,1177,196,353,"survey #40, 'Found 4 Terms'"
T.72pt_2,,454,72pt,3,cap,1592,1175,199,356,"survey #41, 'Found 4 Terms'"
e.72pt,,454,72pt,3,lower,1792,1286,140,250,"survey #42, 'Found 4 Terms'"
r,0072,454,72pt,3,lower,1930,1288,126,244,"survey #43, 'Found 4 Terms'"
m,006D,454,72pt,3,lower,2056,1288,246,244,"survey #44, 'Found 4 Terms'"
s,0073,454,72pt,3,lower,2301,1287,135,251,"survey #45, 'Found 4 Terms'"
D,0044,453,60pt,8,cap,611,3007,185,291,"survey #122, 'DEMANDS'"
E,0045,453,60pt,8,cap,796,3007,179,291,"survey #123, 'DEMANDS'"
M.60pt,,453,60pt,8,cap,974,3006,219,292,"survey #124, 'DEMANDS'"
A,0041,453,60pt,8,cap,1190,3003,204,294,"survey #125, 'DEMANDS'"
N.60pt,,453,60pt,8,cap,1392,3006,190,296,"survey #126, 'DEMANDS'"
D.60pt,,453,60pt,8,cap,1580,3006,185,292,"survey #127, 'DEMANDS'"
S.60pt,,453,60pt,8,cap,1773,3005,150,297,"survey #128, 'DEMANDS'"
G.60pt,,453,60pt,9,cap,173,3330,162,298,"survey #129, 'Greatest 2 Chances'"
r.60pt,,453,60pt,9,lower,331,3419,103,205,"survey #130, 'Greatest 2 Chances'"
e.60pt,,453,60pt,9,lower,435,3422,116,210,"survey #131, 'Greatest 2 Chances'"
a,0061,453,60pt,9,lower,554,3422,131,211,"survey #132, 'Greatest 2 Chances'"
t,0074,453,60pt,9,lower,685,3357,94,275,"survey #133, 'Greatest 2 Chances'"
e.60pt_2,,453,60pt,9,lower,779,3423,116,211,"survey #134, 'Greatest 2 Chances'"
s.60pt,,453,60pt,9,lower,893,3421,111,211,"survey #135, 'Greatest 2 Chances'"
t.60pt,,453,60pt,9,lower,1005,3357,93,275,"survey #136, 'Greatest 2 Chances'"
two,0032,453,60pt,9,figure,1206,3335,149,293,"survey #137, 'Greatest 2 Chances'"
C.60pt,,453,60pt,9,cap,1464,3335,147,298,"survey #138, 'Greatest 2 Chances'"
h,0068,453,60pt,9,lower,1609,3334,136,292,"survey #139, 'Greatest 2 Chances'"
a.60pt,,453,60pt,9,lower,1749,3422,130,211,"survey #140, 'Greatest 2 Chances'"
n.60pt,,453,60pt,9,lower,1876,3423,135,205,"survey #141, 'Greatest 2 Chances'"
c,0063,453,60pt,9,lower,2016,3423,110,211,"survey #142, 'Greatest 2 Chances'"
e.60pt_3,,453,60pt,9,lower,2128,3424,116,210,"survey #143, 'Greatest 2 Chances'"
s.60pt_2,,453,60pt,9,lower,2243,3423,109,210,"survey #144, 'Greatest 2 Chances'"
Q,0051,453,54pt,6,cap,367,2208,151,320,"survey #95, 'QUEER MODEL'"
U,0055,453,54pt,6,cap,522,2210,167,275,"survey #96, 'QUEER MODEL'"
E.54pt,,453,54pt,6,cap,694,2210,162,271,"survey #97, 'QUEER MODEL'"
E.54pt_2,,453,54pt,6,cap,859,2211,163,270,"survey #98, 'QUEER MODEL'"
R.54pt,,453,54pt,6,cap,1025,2211,166,271,"survey #99, 'QUEER MODEL'"
M.54pt,,453,54pt,6,cap,1293,2211,201,270,"survey #100, 'QUEER MODEL'"
O.54pt,,453,54pt,6,cap,1500,2209,152,277,"survey #101, 'QUEER MODEL'"
D.54pt,,453,54pt,6,cap,1661,2211,169,270,"survey #102, 'QUEER MODEL'"
E.54pt_3,,453,54pt,6,cap,1836,2211,162,270,"survey #103, 'QUEER MODEL'"
L,004C,453,54pt,6,cap,1999,2211,165,271,"survey #104, 'QUEER MODEL'"
M.54pt_2,,453,54pt,7,cap,174,2523,197,271,"survey #105, 'Machines 3 Repaired'"
a.54pt,,453,54pt,7,lower,371,2603,121,197,"survey #106, 'Machines 3 Repaired'"
c.54pt,,453,54pt,7,lower,491,2603,103,197,"survey #107, 'Machines 3 Repaired'"
h.54pt,,453,54pt,7,lower,593,2525,127,272,"survey #108, 'Machines 3 Repaired'"
i.54pt,,453,54pt,7,lower,718,2525,68,272,"survey #109, 'Machines 3 Repaired'"
n.54pt,,453,54pt,7,lower,785,2605,126,192,"survey #110, 'Machines 3 Repaired'"
e.54pt,,453,54pt,7,lower,914,2603,107,197,"survey #111, 'Machines 3 Repaired'"
s.54pt,,453,54pt,7,lower,1019,2546,103,254,"survey #112, 'Machines 3 Repaired'"
three,0033,453,54pt,7,figure,1223,2523,135,277,"survey #113, 'Machines 3 Repaired'"
R.54pt_2,,453,54pt,7,cap,1460,2526,167,271,"survey #114, 'Machines 3 Repaired'"
e.54pt_2,,453,54pt,7,lower,1628,2603,107,197,"survey #115, 'Machines 3 Repaired'"
p,0070,453,54pt,7,lower,1736,2604,119,241,"survey #116, 'Machines 3 Repaired'"
