glyph,unicode,leaf,line,band,category,x,y,w,h,notes
B,0042,376,72pt,2,cap,469,686,261,350,"survey #20, 'BAKERY'"
A,0041,376,72pt,2,cap,734,681,300,356,"survey #21, 'BAKERY'"
K,004B,376,72pt,2,cap,1040,682,316,354,"survey #22, 'BAKERY'"
E,0045,376,72pt,2,cap,1365,686,261,350,"survey #23, 'BAKERY'"
R,0052,376,72pt,2,cap,1629,684,254,359,"survey #24, 'BAKERY'"
Y,0059,376,72pt,2,cap,1884,685,309,352,"survey #25, 'BAKERY'"
C,0043,376,72pt,3,cap,233,1082,218,424,"survey #26, 'Cherry 8 Pie'"
h,0068,376,72pt,3,lower,457,1082,216,356,"survey #27, 'Cherry 8 Pie'"
e,0065,376,72pt,3,lower,683,1194,185,247,"survey #28, 'Cherry 8 Pie'"
r,0072,376,72pt,3,lower,874,1194,169,243,"survey #29, 'Cherry 8 Pie'"
r.72pt,,376,72pt,3,lower,1048,1194,169,243,"survey #30, 'Cherry 8 Pie'"
y,0079,376,72pt,3,lower,1217,1191,229,320,"survey #31, 'Cherry 8 Pie'"
eight,0038,376,72pt,3,figure,1528,1082,233,360,"survey #32, 'Cherry 8 Pie'"
P,0050,376,72pt,3,cap,1874,1085,251,353,"survey #33, 'Cherry 8 Pie'"
i,0069,376,72pt,3,lower,2130,1085,104,353,"survey #34, 'Cherry 8 Pie'"
e.72pt,,376,72pt,3,lower,2245,1195,185,246,"survey #35, 'Cherry 8 Pie'"
P.60pt,,375,60pt,8,cap,388,2852,207,294,"survey #95, 'PLUMBER'"
L,004C,375,60pt,8,cap,603,2853,218,294,"survey #96, 'PLUMBER'"
U,0055,375,60pt,8,cap,825,2854,261,298,"survey #97, 'PLUMBER'"
M,004D,375,60pt,8,cap,1093,2853,275,293,"survey #98, 'PLUMBER'"
B.60pt,,375,60pt,8,cap,1379,2854,217,292,"survey #99, 'PLUMBER'"
E.60pt,,375,60pt,8,cap,1615,2854,215,291,"survey #100, 'PLUMBER'"
R.60pt,,375,60pt,8,cap,1843,2853,207,297,"survey #101, 'PLUMBER'"
S,0053,375,60pt,9,cap,138,3183,175,298,"survey #102, 'Sewer 5 Pipes'"
e.60pt,,375,60pt,9,lower,328,3275,152,209,"survey #103, 'Sewer 5 Pipes'"
w,0077,375,60pt,9,lower,488,3279,280,208,"survey #104, 'Sewer 5 Pipes'"
e.60pt_2,,375,60pt,9,lower,776,3278,154,208,"survey #105, 'Sewer 5 Pipes'"
r.60pt,,375,60pt,9,lower,940,3279,140,203,"survey #106, 'Sewer 5 Pipes'"
five,0035,375,60pt,9,figure,1198,3188,187,296,"survey #107, 'Sewer 5 Pipes'"
P.60pt_2,,375,60pt,9,cap,1515,3189,207,293,"survey #108, 'Sewer 5 Pipes'"
i.60pt,,375,60pt,9,lower,1725,3188,85,293,"survey #109, 'Sewer 5 Pipes'"
p,0070,375,60pt,9,lower,1814,3276,178,264,"survey #110, 'Sewer 5 Pipes'"
e.60pt_3,,375,60pt,9,lower,2006,3276,153,208,"survey #111, 'Sewer 5 Pipes'"
s,0073,375,60pt,9,lower,2174,3278,130,206,"survey #112, 'Sewer 5 Pipes'"
S.54pt,,375,54pt,6,cap,376,2078,166,277,"survey #73, 'SALESMEN'"
A.54pt,,375,54pt,6,cap,550,2074,229,277,"survey #74, 'SALESMEN'"
L.54pt,,375,54pt,6,cap,780,2079,201,272,"survey #75, 'SALESMEN'"
E.54pt,,375,54pt,6,cap,984,2080,199,276,"survey #76, 'SALESMEN'"
S.54pt_2,,375,54pt,6,cap,1191,2079,166,277,"survey #77, 'SALESMEN'"
M.54pt,,375,54pt,6,cap,1369,2079,254,272,"survey #78, 'SALESMEN'"
E.54pt_2,,375,54pt,6,cap,1630,2079,198,271,"survey #79, 'SALESMEN'"
N,004E,375,54pt,6,cap,1836,2078,222,276,"survey #80, 'SALESMEN'"
S.54pt_3,,375,54pt,7,cap,131,2386,162,277,"survey #81, 'Street 3 Passage'"
t,0074,375,54pt,7,lower,299,2408,108,255,"survey #82, 'Street 3 Passage'"
r.54pt,,375,54pt,7,lower,413,2472,128,189,"survey #83, 'Street 3 Passage'"
e.54pt,,375,54pt,7,lower,547,2472,138,192,"survey #84, 'Street 3 Passage'"
e.54pt_2,,375,54pt,7,lower,698,2472,139,193,"survey #85, 'Street 3 Passage'"
t.54pt,,375,54pt,7,lower,844,2410,110,255,"survey #86, 'Street 3 Passage'"
three,0033,375,54pt,7,figure,1025,2386,177,279,"survey #87, 'Street 3 Passage'"
P.54pt,,375,54pt,7,cap,1277,2389,190,272,"survey #88, 'Street 3 Passage'"
a,0061,375,54pt,7,lower,1474,2472,137,192,"survey #89, 'Street 3 Passage'"
s.54pt,,375,54pt,7,lower,1620,2472,119,191,"survey #90, 'Street 3 Passage'"
s.54pt_2,,375,54pt,7,lower,1750,2472,119,191,"survey #91, 'Street 3 Passage'"
a.54pt,,375,54pt,7,lower,1883,2471,137,193,"survey #92, 'Street 3 Passage'"
g,0067,375,54pt,7,lower,2028,2433,127,283,"survey #93, 'Street 3 Passage'"
e.54pt_3,,375,54pt,7,lower,2165,2471,139,192,"survey #94, 'Street 3 Passage'"
C.48pt,,375,48pt,4,cap,390,1347,148,250,"survey #48, 'CARPENTER'"
A.48pt,,375,48pt,4,cap,545,1345,202,248,"survey #49, 'CARPENTER'"
R.48pt,,375,48pt,4,cap,749,1347,174,248,"survey #50, 'CARPENTER'"
P.48pt,,375,48pt,4,cap,928,1348,170,244,"survey #51, 'CARPENTER'"
E.48pt,,375,48pt,4,cap,1109,1348,178,245,"survey #52, 'CARPENTER'"
N.48pt,,375,48pt,4,cap,1289,1348,198,247,"survey #53, 'CARPENTER'"
T,0054,375,48pt,4,cap,1495,1342,189,251,"survey #54, 'CARPENTER'"
E.48pt_2,,375,48pt,4,cap,1692,1349,179,244,"survey #55, 'CARPENTER'"
R.48pt_2,,375,48pt,4,cap,1872,1349,172,247,"survey #56, 'CARPENTER'"
B.48pt,,375,48pt,5,cap,127,1630,175,245,"survey #57, 'Bicycle 2 Repairer'"
i.48pt,,375,48pt,5,lower,307,1630,71,245,"survey #58, 'Bicycle 2 Repairer'"
c,0063,375,48pt,5,lower,388,1703,115,176,"survey #59, 'Bicycle 2 Repairer'"
y.48pt,,375,48pt,5,lower,502,1704,153,219,"survey #60, 'Bicycle 2 Repairer'"
c.48pt,,375,48pt,5,lower,669,1703,116,176,"survey #61, 'Bicycle 2 Repairer'"
l,006C,375,48pt,5,lower,787,1628,71,247,"survey #62, 'Bicycle 2 Repairer'"
e.48pt,,375,48pt,5,lower,863,1703,126,176,"survey #63, 'Bicycle 2 Repairer'"
two,0032,375,48pt,5,figure,1060,1627,149,249,"survey #64, 'Bicycle 2 Repairer'"
R.48pt_3,,375,48pt,5,cap,1285,1630,173,247,"survey #65, 'Bicycle 2 Repairer'"
e.48pt_2,,375,48pt,5,lower,1464,1703,126,176,"survey #66, 'Bicycle 2 Repairer'"
p.48pt,,375,48pt,5,lower,1594,1703,145,221,"survey #67, 'Bicycle 2 Repairer'"
a.48pt,,375,48pt,5,lower,1750,1704,122,174,"survey #68, 'Bicycle 2 Repairer'"
i.48pt_2,,375,48pt,5,lower,1876,1630,71,245,"survey #69, 'Bicycle 2 Repairer'"
r.48pt,,375,48pt,5,lower,1950,1703,114,172,"survey #70, 'Bicycle 2 Repairer'"
e.48pt_3,,375,48pt,5,lower,2068,1704,125,175,"survey #71, 'Bicycle 2 Repairer'"
r.48pt_2,,375,48pt,5,lower,2196,1703,114,172,"survey #72, 'Bicycle 2 Repairer'"
R.42pt,,375,42pt,2,cap,357,675,150,225,"survey #20, 'RABBIT HUNT'"
A.42pt,,375,42pt,2,cap,504,672,179,224,"survey #21, 'RABBIT HUNT'"
B.42pt,,375,42pt,2,cap,685,673,158,223,"survey #22, 'RABBIT HUNT'"
B.42pt_2,,375,42pt,2,cap,852,673,158,222,"survey #23, 'RABBIT HUNT'"
I,0049,375,42pt,2,cap,1017,673,88,222,"survey #24, 'RABBIT HUNT'"
T.42pt,,375,42pt,2,cap,1105,667,168,228,"survey #25, 'RABBIT HUNT'"
H,0048,375,42pt,2,cap,1357,674,181,222,"survey #26, 'RABBIT HUNT'"
U.42pt,,375,42pt,2,cap,1545,675,187,225,"survey #27, 'RABBIT HUNT'"
N.42pt,,375,42pt,2,cap,1737,675,174,223,"survey #28, 'RABBIT HUNT'"
T.42pt_2,,375,42pt,2,cap,1912,669,168,228,"survey #29, 'RABBIT HUNT'"
D,0044,375,42pt,3,cap,132,941,163,222,"survey #30, 'Delightf[ul] 8 Pleasure'"
e.42pt,,375,42pt,3,lower,303,1005,110,161,"survey #31, 'Delightf[ul] 8 Pleasure'"
l.42pt,,375,42pt,3,lower,418,937,65,224,"survey #32, 'Delightf[ul] 8 Pleasure'"
i.42pt,,375,42pt,3,lower,483,938,64,223,"survey #33, 'Delightf[ul] 8 Pleasure'"
g.42pt,,375,42pt,3,lower,546,973,102,231,"survey #34, 'Delightf[ul] 8 Pleasure'"
h.42pt,,375,42pt,3,lower,646,936,131,224,"survey #35, 'Delightf[ul] 8 Pleasure'"
t.42pt,,375,42pt,3,lower,775,956,87,208,"survey #36, 'Delightf[ul] 8 Pleasure'"
f,0066,375,42pt,3,lower,863,936,200,228,"survey #37, 'Delightf[ul] 8 Pleasure'"
