glyph,unicode,leaf,line,band,category,x,y,w,h,notes
S,0053,372,72pt,4,cap,588,1535,207,364,"survey #39, 'STRONG'"
T,0054,372,72pt,4,cap,801,1528,267,363,"survey #40, 'STRONG'"
R,0052,372,72pt,4,cap,1071,1541,253,356,"survey #41, 'STRONG'"
O,004F,372,72pt,4,cap,1331,1538,248,362,"survey #42, 'STRONG'"
N,004E,372,72pt,4,cap,1590,1542,278,357,"survey #43, 'STRONG'"
G,0047,372,72pt,4,cap,1877,1536,260,363,"survey #44, 'STRONG'"
H,0048,372,72pt,5,cap,259,1974,304,353,"survey #45, 'Hard 2 Paper'"
a,0061,372,72pt,5,lower,571,2094,174,241,"survey #46, 'Hard 2 Paper'"
r,0072,372,72pt,5,lower,746,2096,145,232,"survey #47, 'Hard 2 Paper'"
d,0064,372,72pt,5,lower,900,1972,203,363,"survey #48, 'Hard 2 Paper'"
two,0032,372,72pt,5,figure,1219,1975,180,353,"survey #49, 'Hard 2 Paper'"
P,0050,372,72pt,5,cap,1515,1976,239,351,"survey #50, 'Hard 2 Paper'"
a.72pt,,372,72pt,5,lower,1763,2095,174,242,"survey #51, 'Hard 2 Paper'"
p,0070,372,72pt,5,lower,1934,2096,204,308,"survey #52, 'Hard 2 Paper'"
e,0065,372,72pt,5,lower,2152,2097,165,238,"survey #53, 'Hard 2 Paper'"
r.72pt,,372,72pt,5,lower,2322,2098,144,232,"survey #54, 'Hard 2 Paper'"
P.60pt,,372,60pt,2,cap,571,705,198,294,"survey #19, 'PERFUME'"
E,0045,372,60pt,2,cap,775,705,216,294,"survey #20, 'PERFUME'"
R.60pt,,372,60pt,2,cap,991,704,212,299,"survey #21, 'PERFUME'"
F,0046,372,60pt,2,cap,1204,704,208,295,"survey #22, 'PERFUME'"
U,0055,372,60pt,2,cap,1415,705,248,305,"survey #23, 'PERFUME'"
M,004D,372,60pt,2,cap,1661,704,284,299,"survey #24, 'PERFUME'"
E.60pt,,372,60pt,2,cap,1947,709,215,294,"survey #25, 'PERFUME'"
F.60pt,,372,60pt,3,cap,260,1071,208,295,"survey #26, 'Fragrant 9 Rose'"
r.60pt,,372,60pt,3,lower,473,1171,119,209,"survey #27, 'Fragrant 9 Rose'"
a.60pt,,372,60pt,3,lower,597,1168,144,204,"survey #28, 'Fragrant 9 Rose'"
g,0067,372,60pt,3,lower,737,1129,133,302,"survey #29, 'Fragrant 9 Rose'"
r.60pt_2,,372,60pt,3,lower,869,1171,121,195,"survey #30, 'Fragrant 9 Rose'"
a.60pt_2,,372,60pt,3,lower,995,1169,144,204,"survey #31, 'Fragrant 9 Rose'"
n,006E,372,60pt,3,lower,1139,1169,169,198,"survey #32, 'Fragrant 9 Rose'"
t,0074,372,60pt,3,lower,1310,1110,99,283,"survey #33, 'Fragrant 9 Rose'"
nine,0039,372,60pt,3,figure,1537,1072,154,303,"survey #34, 'Fragrant 9 Rose'"
R.60pt_2,,372,60pt,3,cap,1816,1074,212,300,"survey #35, 'Fragrant 9 Rose'"
o,006F,372,60pt,3,lower,2033,1172,147,205,"survey #36, 'Fragrant 9 Rose'"
s,0073,372,60pt,3,lower,2191,1174,119,201,"survey #37, 'Fragrant 9 Rose'"
e.60pt,,372,60pt,3,lower,2323,1173,138,203,"survey #38, 'Fragrant 9 Rose'"
S.54pt,,371,54pt,8,cap,351,2892,157,280,"survey #105, 'SHIPMENTS ~'"
H.54pt,,371,54pt,8,cap,515,2896,230,272,"survey #106, 'SHIPMENTS ~'"
I,0049,371,54pt,8,cap,751,2897,103,272,"survey #107, 'SHIPMENTS ~'"
P.54pt,,371,54pt,8,cap,862,2898,181,271,"survey #108, 'SHIPMENTS ~'"
M.54pt,,371,54pt,8,cap,1046,2896,258,273,"survey #109, 'SHIPMENTS ~'"
E.54pt,,371,54pt,8,cap,1307,2896,195,272,"survey #110, 'SHIPMENTS ~'"
N.54pt,,371,54pt,8,cap,1502,2896,212,277,"survey #111, 'SHIPMENTS ~'"
T.54pt,,371,54pt,8,cap,1715,2888,203,280,"survey #112, 'SHIPMENTS ~'"
S.54pt_2,,371,54pt,8,cap,1920,2892,158,280,"survey #113, 'SHIPMENTS ~'"
F.54pt,,371,54pt,9,cap,130,3221,186,272,"survey #115, 'Florida 5 Oranges'"
l,006C,371,54pt,9,lower,312,3221,83,276,"survey #116, 'Florida 5 Oranges'"
o.54pt,,371,54pt,9,lower,400,3313,133,188,"survey #117, 'Florida 5 Oranges'"
r.54pt,,371,54pt,9,lower,540,3316,111,182,"survey #118, 'Florida 5 Oranges'"
i,0069,371,54pt,9,lower,655,3226,73,272,"survey #119, 'Florida 5 Oranges'"
d.54pt,,371,54pt,9,lower,734,3224,154,279,"survey #120, 'Florida 5 Oranges'"
a.54pt,,371,54pt,9,lower,895,3315,132,188,"survey #121, 'Florida 5 Oranges'"
five,0035,371,54pt,9,figure,1115,3225,131,278,"survey #122, 'Florida 5 Oranges'"
O.54pt,,371,54pt,9,cap,1342,3226,187,277,"survey #123, 'Florida 5 Oranges'"
r.54pt_2,,371,54pt,9,lower,1538,3316,111,183,"survey #124, 'Florida 5 Oranges'"
a.54pt_2,,371,54pt,9,lower,1657,3315,131,188,"survey #125, 'Florida 5 Oranges'"
n.54pt,,371,54pt,9,lower,1790,3316,152,182,"survey #126, 'Florida 5 Oranges'"
g.54pt,,371,54pt,9,lower,1942,3280,121,278,"survey #127, 'Florida 5 Oranges'"
e.54pt,,371,54pt,9,lower,2068,3314,126,188,"survey #128, 'Florida 5 Oranges'"
s.54pt,,371,54pt,9,lower,2199,3314,109,188,"survey #129, 'Florida 5 Oranges'"
B,0042,371,48pt,6,cap,288,2087,174,248,"survey #78, 'BRICK HOUSE'"
R.48pt,,371,48pt,6,cap,469,2088,172,249,"survey #79, 'BRICK HOUSE'"
I.48pt,,371,48pt,6,cap,650,2090,93,244,"survey #80, 'BRICK HOUSE'"
C,0043,371,48pt,6,cap,751,2087,151,252,"survey #81, 'BRICK HOUSE'"
K,004B,371,48pt,6,cap,907,2089,201,245,"survey #82, 'BRICK HOUSE'"
H.48pt,,371,48pt,6,cap,1207,2089,205,245,"survey #83, 'BRICK HOUSE'"
O.48pt,,371,48pt,6,cap,1423,2087,175,251,"survey #84, 'BRICK HOUSE'"
U.48pt,,371,48pt,6,cap,1608,2090,202,252,"survey #85, 'BRICK HOUSE'"
