glyph,unicode,leaf,line,band,category,x,y,w,h,notes
P,0050,113,72pt,8,cap,223,2823,112,345,"survey #157, 'PRECIOUS NUGGETS'"
R,0052,113,72pt,8,cap,342,2825,128,345,"survey #158, 'PRECIOUS NUGGETS'"
E,0045,113,72pt,8,cap,477,2822,105,356,"survey #159, 'PRECIOUS NUGGETS'"
C,0043,113,72pt,8,cap,598,2825,105,350,"survey #160, 'PRECIOUS NUGGETS'"
I,0049,113,72pt,8,cap,713,2827,62,345,"survey #161, 'PRECIOUS NUGGETS'"
O,004F,113,72pt,8,cap,790,2824,104,352,"survey #162, 'PRECIOUS NUGGETS'"
U,0055,113,72pt,8,cap,907,2828,132,347,"survey #163, 'PRECIOUS NUGGETS'"
S,0053,113,72pt,8,cap,1046,2825,103,351,"survey #164, 'PRECIOUS NUGGETS'"
N,004E,113,72pt,8,cap,1266,2828,127,351,"survey #165, 'PRECIOUS NUGGETS'"
U.72pt,,113,72pt,8,cap,1402,2827,131,347,"survey #166, 'PRECIOUS NUGGETS'"
G,0047,113,72pt,8,cap,1548,2825,119,350,"survey #167, 'PRECIOUS NUGGETS'"
G.72pt,,113,72pt,8,cap,1684,2825,120,350,"survey #168, 'PRECIOUS NUGGETS'"
E.72pt,,113,72pt,8,cap,1817,2822,105,357,"survey #169, 'PRECIOUS NUGGETS'"
T,0054,113,72pt,8,cap,1934,2822,130,350,"survey #170, 'PRECIOUS NUGGETS'"
S.72pt,,113,72pt,8,cap,2072,2825,103,350,"survey #171, 'PRECIOUS NUGGETS'"
P.72pt,,113,72pt,9,cap,121,3215,111,344,"survey #172, 'Prospectors 5 in Klondike'"
r,0072,113,72pt,9,lower,238,3301,63,260,"survey #173, 'Prospectors 5 in Klondike'"
o,006F,113,72pt,9,lower,308,3302,84,264,"survey #174, 'Prospectors 5 in Klondike'"
s,0073,113,72pt,9,lower,404,3302,77,264,"survey #175, 'Prospectors 5 in Klondike'"
p,0070,113,72pt,9,lower,490,3307,89,341,"survey #176, 'Prospectors 5 in Klondike'"
e,0065,113,72pt,9,lower,595,3305,81,265,"survey #177, 'Prospectors 5 in Klondike'"
c,0063,113,72pt,9,lower,691,3306,76,263,"survey #178, 'Prospectors 5 in Klondike'"
t,0074,113,72pt,9,lower,778,3263,52,310,"survey #179, 'Prospectors 5 in Klondike'"
o.72pt,,113,72pt,9,lower,840,3308,85,264,"survey #180, 'Prospectors 5 in Klondike'"
r.72pt,,113,72pt,9,lower,936,3309,64,261,"survey #181, 'Prospectors 5 in Klondike'"
s.72pt,,113,72pt,9,lower,1007,3309,78,264,"survey #182, 'Prospectors 5 in Klondike'"
five,0035,113,72pt,9,figure,1153,3222,89,351,"survey #183, 'Prospectors 5 in Klondike'"
i,0069,113,72pt,9,lower,1324,3224,45,345,"survey #184, 'Prospectors 5 in Klondike'"
n,006E,113,72pt,9,lower,1377,3308,96,261,"survey #185, 'Prospectors 5 in Klondike'"
K,004B,113,72pt,9,cap,1546,3225,134,345,"survey #186, 'Prospectors 5 in Klondike'"
l,006C,113,72pt,9,lower,1688,3222,47,346,"survey #187, 'Prospectors 5 in Klondike'"
o.72pt_2,,113,72pt,9,lower,1747,3307,84,264,"survey #188, 'Prospectors 5 in Klondike'"
n.72pt,,113,72pt,9,lower,1842,3308,96,261,"survey #189, 'Prospectors 5 in Klondike'"
d,0064,113,72pt,9,lower,1950,3223,86,349,"survey #190, 'Prospectors 5 in Klondike'"
i.72pt,,113,72pt,9,lower,2040,3223,44,346,"survey #191, 'Prospectors 5 in Klondike'"
