glyph,unicode,leaf,line,band,category,x,y,w,h,notes
G,0047,133,72pt,8,cap,403,2683,273,350,"survey #63, 'GRA[ND]'"
R,0052,133,72pt,8,cap,681,2683,317,348,"survey #64, 'GRA[ND]'"
A,0041,133,72pt,8,cap,1000,2682,319,349,"survey #65, 'GRA[ND]'"
C,0043,133,72pt,9,cap,151,3069,255,354,"survey #67, 'C[ru]sa[de]r 8'"
s,0073,133,72pt,9,lower,855,3189,191,242,"survey #69, 'C[ru]sa[de]r 8'"
a,0061,133,72pt,9,lower,1052,3191,216,240,"survey #70, 'C[ru]sa[de]r 8'"
r,0072,133,72pt,9,lower,1695,3193,206,237,"survey #72, 'C[ru]sa[de]r 8'"
eight,0038,133,72pt,9,figure,2076,3084,241,350,"survey #73, 'C[ru]sa[de]r 8'"
R.60pt,,133,60pt,6,cap,973,1912,272,296,"survey #51, '[HO]R[SES]'"
S,0053,133,60pt,7,cap,123,2239,232,300,"survey #53, 'Steel 3 A[rm]or'"
t,0074,133,60pt,7,lower,352,2276,113,262,"survey #54, 'Steel 3 A[rm]or'"
e,0065,133,60pt,7,lower,470,2336,120,203,"survey #55, 'Steel 3 A[rm]or'"
e.60pt,,133,60pt,7,lower,603,2338,120,202,"survey #56, 'Steel 3 A[rm]or'"
l,006C,133,60pt,7,lower,741,2246,133,293,"survey #57, 'Steel 3 A[rm]or'"
three,0033,133,60pt,7,figure,938,2246,195,297,"survey #58, 'Steel 3 A[rm]or'"
A.60pt,,133,60pt,7,cap,1220,2246,268,294,"survey #59, 'Steel 3 A[rm]or'"
o,006F,133,60pt,7,lower,1993,2343,137,199,"survey #61, 'Steel 3 A[rm]or'"
r.60pt,,133,60pt,7,lower,2150,2338,164,203,"survey #62, 'Steel 3 A[rm]or'"
T,0054,133,48pt,4,cap,1211,1277,156,244,"survey #38, '[GA][UN]TLE[TS]'"
L,004C,133,48pt,4,cap,1368,1276,191,244,"survey #39, '[GA][UN]TLE[TS]'"
E,0045,133,48pt,4,cap,1558,1277,243,244,"survey #40, '[GA][UN]TLE[TS]'"
o.48pt,,133,48pt,5,lower,483,1616,114,169,"survey #43, '[Sw]o[rds] 5 [Kn][ig]h[ts]'"
five,0035,133,48pt,5,figure,1075,1538,160,251,"survey #45, '[Sw]o[rds] 5 [Kn][ig]h[ts]'"
h,0068,133,48pt,5,lower,1931,1542,147,246,"survey #48, '[Sw]o[rds] 5 [Kn][ig]h[ts]'"
A.42pt,,133,42pt,2,cap,341,704,186,217,"survey #18, 'AL[EXA][ND][ER]'"
L.42pt,,133,42pt,2,cap,540,701,171,220,"survey #19, 'AL[EXA][ND][ER]'"
n,006E,133,42pt,3,lower,456,1014,127,152,"survey #24, '[Ha]nnibal 2 [Nap]o[le]on'"
n.42pt,,133,42pt,3,lower,593,1015,128,151,"survey #25, '[Ha]nnibal 2 [Nap]o[le]on'"
i,0069,133,42pt,3,lower,733,1016,62,150,"survey #26, '[Ha]nnibal 2 [Nap]o[le]on'"
b,0062,133,42pt,3,lower,798,941,108,226,"survey #27, '[Ha]nnibal 2 [Nap]o[le]on'"
a.42pt,,133,42pt,3,lower,907,1012,118,155,"survey #28, '[Ha]nnibal 2 [Nap]o[le]on'"
l.42pt,,133,42pt,3,lower,1034,941,98,227,"survey #29, '[Ha]nnibal 2 [Nap]o[le]on'"
two,0032,133,42pt,3,figure,1164,956,144,209,"survey #30, '[Ha]nnibal 2 [Nap]o[le]on'"
o.42pt,,133,42pt,3,lower,1812,1020,100,151,"survey #32, '[Ha]nnibal 2 [Nap]o[le]on'"
o.42pt_2,,133,42pt,3,lower,2077,1020,100,152,"survey #34, '[Ha]nnibal 2 [Nap]o[le]on'"
n.42pt_2,,133,42pt,3,lower,2181,1020,128,151,"survey #35, '[Ha]nnibal 2 [Nap]o[le]on'"
