glyph,unicode,leaf,line,band,category,x,y,w,h,notes
R,0052,137,72pt,7,cap,98,3063,318,352,"survey #81, 'RE[D8B]ugs'"
E,0045,137,72pt,7,cap,426,3072,285,345,"survey #82, 'RE[D8B]ugs'"
u,0075,137,72pt,7,lower,1672,3187,214,234,"survey #84, 'RE[D8B]ugs'"
g,0067,137,72pt,7,lower,1897,3187,201,316,"survey #85, 'RE[D8B]ugs'"
s,0073,137,72pt,7,lower,2107,3190,151,235,"survey #86, 'RE[D8B]ugs'"
E.48pt,,137,48pt,4,cap,321,1421,195,244,"survey #47, 'ESTABLISH'"
S,0053,137,48pt,4,cap,530,1421,157,246,"survey #48, 'ESTABLISH'"
T,0054,137,48pt,4,cap,697,1421,206,245,"survey #49, 'ESTABLISH'"
A,0041,137,48pt,4,cap,909,1419,229,246,"survey #50, 'ESTABLISH'"
B,0042,137,48pt,4,cap,1146,1422,184,243,"survey #51, 'ESTABLISH'"
L,004C,137,48pt,4,cap,1343,1421,197,245,"survey #52, 'ESTABLISH'"
I,0049,137,48pt,4,cap,1551,1421,81,245,"survey #53, 'ESTABLISH'"
S.48pt,,137,48pt,4,cap,1643,1422,156,246,"survey #54, 'ESTABLISH'"
H,0048,137,48pt,4,cap,1815,1423,228,244,"survey #55, 'ESTABLISH'"
E.48pt_2,,137,48pt,5,cap,97,1709,189,244,"survey #56, 'Electric 8 Machine'"
l,006C,137,48pt,5,lower,298,1708,69,245,"survey #57, 'Electric 8 Machine'"
e,0065,137,48pt,5,lower,372,1784,114,172,"survey #58, 'Electric 8 Machine'"
c,0063,137,48pt,5,lower,493,1783,116,172,"survey #59, 'Electric 8 Machine'"
t,0074,137,48pt,5,lower,617,1749,85,205,"survey #60, 'Electric 8 Machine'"
r,0072,137,48pt,5,lower,711,1781,94,172,"survey #61, 'Electric 8 Machine'"
i,0069,137,48pt,5,lower,810,1707,69,246,"survey #62, 'Electric 8 Machine'"
c.48pt,,137,48pt,5,lower,886,1783,116,172,"survey #63, 'Electric 8 Machine'"
eight,0038,137,48pt,5,figure,1060,1705,120,254,"survey #64, 'Electric 8 Machine'"
M,004D,137,48pt,5,cap,1248,1709,271,247,"survey #65, 'Electric 8 Machine'"
a,0061,137,48pt,5,lower,1533,1783,114,173,"survey #66, 'Electric 8 Machine'"
c.48pt_2,,137,48pt,5,lower,1653,1785,116,172,"survey #67, 'Electric 8 Machine'"
h,0068,137,48pt,5,lower,1774,1712,149,243,"survey #68, 'Electric 8 Machine'"
i.48pt,,137,48pt,5,lower,1931,1710,69,245,"survey #69, 'Electric 8 Machine'"
n,006E,137,48pt,5,lower,2005,1739,149,218,"survey #70, 'Electric 8 Machine'"
e.48pt,,137,48pt,5,lower,2157,1788,114,171,"survey #71, 'Electric 8 Machine'"
I.42pt,,137,42pt,2,cap,233,716,69,221,"survey #18, 'INCORPORATE'"
N,004E,137,42pt,2,cap,313,715,187,222,"survey #19, 'INCORPORATE'"
C,0043,137,42pt,2,cap,513,715,170,221,"survey #20, 'INCORPORATE'"
O,004F,137,42pt,2,cap,694,715,187,221,"survey #21, 'INCORPORATE'"
R.42pt,,137,42pt,2,cap,891,715,174,219,"survey #22, 'INCORPORATE'"
P,0050,137,42pt,2,cap,1069,715,143,220,"survey #23, 'INCORPORATE'"
O.42pt,,137,42pt,2,cap,1218,716,186,221,"survey #24, 'INCORPORATE'"
R.42pt_2,,137,42pt,2,cap,1413,717,174,219,"survey #25, 'INCORPORATE'"
A.42pt,,137,42pt,2,cap,1592,719,188,217,"survey #26, 'INCORPORATE'"
T.42pt,,137,42pt,2,cap,1785,717,185,221,"survey #27, 'INCORPORATE'"
E.42pt,,137,42pt,2,cap,1975,716,169,223,"survey #28, 'INCORPORATE'"
D,0044,137,42pt,3,cap,99,982,176,221,"survey #29, 'Domestic 37 Industry'"
o,006F,137,42pt,3,lower,283,1050,118,153,"survey #30, 'Domestic 37 Industry'"
m,006D,137,42pt,3,lower,405,1049,186,150,"survey #31, 'Domestic 37 Industry'"
e.42pt,,137,42pt,3,lower,595,1047,105,156,"survey #32, 'Domestic 37 Industry'"
s.42pt,,137,42pt,3,lower,707,1049,73,150,"survey #33, 'Domestic 37 Industry'"
t.42pt,,137,42pt,3,lower,789,1022,73,179,"survey #34, 'Domestic 37 Industry'"
i.42pt,,137,42pt,3,lower,860,982,62,217,"survey #35, 'Domestic 37 Industry'"
c.42pt,,137,42pt,3,lower,926,1051,99,150,"survey #36, 'Domestic 37 Industry'"
three,0033,137,42pt,3,figure,1127,977,97,226,"survey #37, 'Domestic 37 Industry'"
seven,0037,137,42pt,3,figure,1239,976,106,228,"survey #38, 'Domestic 37 Industry'"
I.42pt_2,,137,42pt,3,cap,1434,981,71,220,"survey #39, 'Domestic 37 Industry'"
n.42pt,,137,42pt,3,lower,1517,1049,127,152,"survey #40, 'Domestic 37 Industry'"
d,0064,137,42pt,3,lower,1647,978,122,225,"survey #41, 'Domestic 37 Industry'"
u.42pt,,137,42pt,3,lower,1775,1053,129,152,"survey #42, 'Domestic 37 Industry'"
s.42pt_2,,137,42pt,3,lower,1912,1052,74,151,"survey #43, 'Domestic 37 Industry'"
t.42pt_2,,137,42pt,3,lower,1992,1026,73,179,"survey #44, 'Domestic 37 Industry'"
r.42pt,,137,42pt,3,lower,2064,1054,83,148,"survey #45, 'Domestic 37 Industry'"
y,0079,137,42pt,3,lower,2145,1057,134,199,"survey #46, 'Domestic 37 Industry'"
